,note,step,duration,channel,velocity
0,40.0,120.0,240.0,0.0,0.0
1,56.0,0.0,120.0,0.0,0.0
2,59.0,120.0,120.0,0.0,0.0
3,64.0,120.0,120.0,0.0,0.0
4,68.0,120.0,120.0,0.0,0.0
5,83.0,120.0,240.0,0.0,0.0
6,56.0,0.0,120.0,0.0,0.0
7,59.0,120.0,120.0,0.0,0.0
8,64.0,120.0,120.0,0.0,0.0
9,68.0,120.0,120.0,0.0,0.0
10,83.0,0.0,720.0,0.0,0.0
11,56.0,120.0,120.0,0.0,0.0
12,59.0,120.0,120.0,0.0,0.0
13,64.0,120.0,120.0,0.0,0.0
14,68.0,120.0,120.0,0.0,0.0
15,56.0,120.0,120.0,0.0,0.0
16,80.0,240.0,240.0,0.0,0.0
17,59.0,120.0,120.0,0.0,0.0
18,64.0,0.0,120.0,0.0,0.0
19,78.0,0.0,480.0,0.0,0.0
20,57.0,120.0,120.0,0.0,0.0
21,59.0,120.0,120.0,0.0,0.0
22,63.0,120.0,120.0,0.0,0.0
23,71.0,0.0,480.0,0.0,0.0
24,66.0,120.0,120.0,0.0,0.0
25,57.0,120.0,120.0,0.0,0.0
26,59.0,120.0,120.0,0.0,0.0
27,63.0,240.0,120.0,0.0,0.0
28,76.0,0.0,480.0,0.0,0.0
29,56.0,120.0,120.0,0.0,0.0
30,59.0,120.0,120.0,0.0,0.0
31,64.0,120.0,120.0,0.0,0.0
32,80.0,120.0,240.0,0.0,0.0
33,68.0,120.0,120.0,0.0,0.0
34,56.0,0.0,120.0,0.0,0.0
35,59.0,120.0,120.0,0.0,0.0
36,64.0,0.0,120.0,0.0,0.0
37,52.0,240.0,120.0,0.0,0.0
38,40.0,120.0,240.0,0.0,0.0
39,56.0,0.0,120.0,0.0,0.0
40,59.0,120.0,120.0,0.0,0.0
41,64.0,120.0,120.0,0.0,0.0
42,83.0,0.0,240.0,0.0,0.0
43,68.0,120.0,120.0,0.0,0.0
44,56.0,120.0,120.0,0.0,0.0
45,59.0,120.0,120.0,0.0,0.0
46,64.0,120.0,120.0,0.0,0.0
47,68.0,120.0,120.0,0.0,0.0
48,83.0,120.0,720.0,0.0,0.0
49,56.0,120.0,120.0,0.0,0.0
50,59.0,120.0,120.0,0.0,0.0
51,64.0,120.0,120.0,0.0,0.0
52,68.0,120.0,120.0,0.0,0.0
53,56.0,0.0,120.0,0.0,0.0
54,80.0,240.0,240.0,0.0,0.0
55,59.0,120.0,120.0,0.0,0.0
56,64.0,0.0,120.0,0.0,0.0
57,78.0,120.0,480.0,0.0,0.0
58,57.0,120.0,120.0,0.0,0.0
59,59.0,120.0,120.0,0.0,0.0
60,63.0,0.0,120.0,0.0,0.0
61,66.0,120.0,120.0,0.0,0.0
62,71.0,240.0,480.0,0.0,0.0
63,57.0,120.0,120.0,0.0,0.0
64,59.0,120.0,120.0,0.0,0.0
65,63.0,0.0,120.0,0.0,0.0
66,76.0,120.0,240.0,0.0,0.0
67,56.0,120.0,120.0,0.0,0.0
68,59.0,120.0,120.0,0.0,0.0
69,64.0,120.0,120.0,0.0,0.0
70,68.0,120.0,120.0,0.0,0.0
71,66.0,120.0,120.0,0.0,0.0
72,64.0,120.0,120.0,0.0,0.0
73,47.0,0.0,120.0,0.0,0.0
74,35.0,0.0,240.0,0.0,0.0
75,63.0,120.0,120.0,0.0,0.0
76,59.0,120.0,120.0,0.0,0.0
77,63.0,120.0,120.0,0.0,0.0
78,66.0,120.0,120.0,0.0,0.0
79,81.0,120.0,240.0,0.0,0.0
80,71.0,120.0,120.0,0.0,0.0
81,59.0,0.0,120.0,0.0,0.0
