,note,step,duration,channel,velocity
0,76.0,72.0,120.0,0.0,0.0
1,68.0,24.0,90.0,1.0,0.0
2,64.0,0.0,90.0,1.0,0.0
3,71.0,48.0,90.0,1.0,0.0
4,64.0,96.0,90.0,1.0,0.0
5,68.0,0.0,90.0,1.0,0.0
6,76.0,48.0,40.0,0.0,0.0
7,71.0,96.0,90.0,1.0,0.0
8,69.0,0.0,90.0,1.0,0.0
9,66.0,0.0,90.0,1.0,0.0
10,76.0,96.0,90.0,0.0,0.0
11,71.0,0.0,90.0,1.0,0.0
12,75.0,96.0,90.0,0.0,0.0
13,69.0,96.0,90.0,1.0,0.0
14,66.0,0.0,90.0,1.0,0.0
15,73.0,0.0,90.0,0.0,0.0
16,71.0,96.0,90.0,1.0,0.0
17,75.0,0.0,90.0,0.0,0.0
18,64.0,0.0,90.0,1.0,0.0
19,68.0,0.0,90.0,1.0,0.0
20,76.0,48.0,40.0,0.0,0.0
21,71.0,0.0,90.0,1.0,0.0
22,76.0,16.0,40.0,0.0,0.0
23,76.0,32.0,15.0,0.0,0.0
24,76.0,96.0,15.0,0.0,0.0
25,64.0,0.0,90.0,1.0,0.0
26,68.0,48.0,90.0,1.0,0.0
27,71.0,96.0,90.0,1.0,0.0
28,80.0,0.0,40.0,0.0,0.0
29,83.0,48.0,330.0,0.0,0.0
30,66.0,0.0,90.0,1.0,0.0
31,63.0,96.0,90.0,1.0,0.0
32,71.0,96.0,90.0,1.0,0.0
33,63.0,0.0,90.0,1.0,0.0
34,66.0,48.0,90.0,1.0,0.0
35,71.0,96.0,90.0,1.0,0.0
36,64.0,0.0,90.0,1.0,0.0
37,61.0,0.0,90.0,1.0,0.0
38,81.0,96.0,90.0,0.0,0.0
39,69.0,96.0,90.0,1.0,0.0
40,85.0,0.0,180.0,0.0,0.0
41,63.0,48.0,90.0,1.0,0.0
42,66.0,0.0,90.0,1.0,0.0
43,83.0,48.0,40.0,0.0,0.0
44,71.0,0.0,90.0,1.0,0.0
45,81.0,96.0,40.0,0.0,0.0
46,64.0,32.0,90.0,1.0,0.0
47,80.0,0.0,90.0,0.0,0.0
48,83.0,48.0,180.0,0.0,0.0
49,68.0,158.0,30.0,1.0,0.0
50,56.0,2.0,90.0,1.0,0.0
51,59.0,0.0,90.0,1.0,0.0
52,81.0,46.0,40.0,0.0,0.0
53,64.0,2.0,90.0,1.0,0.0
54,80.0,48.0,40.0,0.0,0.0
55,57.0,2.0,90.0,1.0,0.0
56,78.0,46.0,40.0,0.0,0.0
57,80.0,48.0,40.0,0.0,0.0
58,81.0,46.0,40.0,0.0,0.0
59,61.0,2.0,90.0,1.0,0.0
60,80.0,48.0,40.0,0.0,0.0
61,83.0,46.0,40.0,0.0,0.0
62,66.0,2.0,90.0,1.0,0.0
63,81.0,48.0,40.0,0.0,0.0
64,80.0,0.0,40.0,0.0,0.0
65,69.0,2.0,90.0,1.0,0.0
66,78.0,192.0,40.0,0.0,0.0
67,76.0,0.0,180.0,0.0,0.0
68,59.0,64.0,270.0,1.0,0.0
69,68.0,32.0,90.0,1.0,0.0
70,75.0,32.0,30.0,0.0,0.0
71,66.0,0.0,30.0,1.0,0.0
72,71.0,88.0,30.0,0.0,0.0
73,71.0,56.0,20.0,0.0,0.0
74,68.0,0.0,90.0,1.0,0.0
75,64.0,96.0,90.0,1.0,0.0
76,76.0,14.0,60.0,0.0,0.0
77,71.0,50.0,90.0,1.0,0.0
78,76.0,46.0,40.0,0.0,0.0
79,68.0,96.0,90.0,1.0,0.0
80,64.0,0.0,90.0,1.0,0.0
81,71.0,98.0,90.0,1.0,0.0
82,69.0,0.0,90.0,1.0,0.0
83,66.0,96.0,90.0,1.0,0.0
84,76.0,0.0,90.0,0.0,0.0
85,75.0,0.0,90.0,0.0,0.0
86,71.0,96.0,90.0,1.0,0.0
87,73.0,96.0,90.0,0.0,0.0
88,69.0,0.0,90.0,1.0,0.0
89,66.0,0.0,90.0,1.0,0.0
90,71.0,96.0,90.0,1.0,0.0
91,75.0,0.0,90.0,0.0,0.0
92,64.0,0.0,90.0,1.0,0.0
93,68.0,48.0,90.0,1.0,0.0
94,76.0,0.0,40.0,0.0,0.0
95,71.0,0.0,90.0,1.0,0.0
96,76.0,16.0,15.0,0.0,0.0
97,64.0,0.0,90.0,1.0,0.0
98,68.0,48.0,90.0,1.0,0.0
99,76.0,48.0,150.0,0.0,0.0
100,71.0,96.0,90.0,1.0,0.0
101,80.0,0.0,40.0,0.0,0.0
102,63.0,0.0,90.0,1.0,0.0
103,66.0,96.0,90.0,1.0,0.0
104,83.0,48.0,330.0,0.0,0.0
105,71.0,96.0,90.0,1.0,0.0
106,66.0,48.0,90.0,1.0,0.0
107,63.0,0.0,90.0,1.0,0.0
108,71.0,96.0,90.0,1.0,0.0
109,61.0,96.0,90.0,1.0,0.0
110,64.0,0.0,90.0,1.0,0.0
111,69.0,48.0,90.0,1.0,0.0
112,81.0,0.0,15.0,0.0,0.0
113,66.0,0.0,90.0,1.0,0.0
114,63.0,0.0,90.0,1.0,0.0
115,85.0,48.0,40.0,0.0,0.0
116,71.0,48.0,90.0,1.0,0.0
117,83.0,48.0,40.0,0.0,0.0
118,81.0,0.0,40.0,0.0,0.0
119,64.0,0.0,90.0,1.0,0.0
120,68.0,2.0,90.0,1.0,0.0
121,80.0,46.0,40.0,0.0,0.0
122,83.0,32.0,40.0,0.0,0.0
123,81.0,48.0,40.0,0.0,0.0
124,71.0,16.0,30.0,1.0,0.0
125,80.0,48.0,40.0,0.0,0.0
126,57.0,48.0,90.0,1.0,0.0
127,78.0,48.0,40.0,0.0,0.0
128,81.0,0.0,40.0,0.0,0.0
129,69.0,2.0,90.0,1.0,0.0
130,80.0,46.0,40.0,0.0,0.0
131,78.0,96.0,40.0,0.0,0.0
132,59.0,48.0,90.0,1.0,0.0
133,76.0,0.0,40.0,0.0,0.0
134,68.0,0.0,90.0,1.0,0.0
135,76.0,16.0,40.0,0.0,0.0
136,76.0,32.0,15.0,0.0,0.0
137,59.0,0.0,90.0,1.0,0.0
138,80.0,94.0,90.0,0.0,0.0
139,69.0,2.0,90.0,1.0,0.0
140,78.0,96.0,90.0,0.0,0.0
141,76.0,0.0,150.0,0.0,0.0
142,68.0,64.0,150.0,0.0,0.0
143,52.0,32.0,90.0,1.0,0.0
144,59.0,32.0,30.0,1.0,0.0
145,59.0,96.0,30.0,1.0,0.0
146,59.0,160.0,30.0,1.0,0.0
147,56.0,32.0,90.0,1.0,0.0
148,64.0,144.0,330.0,1.0,0.0
149,71.0,0.0,30.0,0.0,0.0
150,59.0,96.0,30.0,1.0,0.0
151,76.0,96.0,30.0,0.0,0.0
152,59.0,0.0,30.0,1.0,0.0
153,59.0,0.0,30.0,1.0,0.0
154,80.0,16.0,30.0,0.0,0.0
155,63.0,16.0,330.0,1.0,0.0
156,54.0,32.0,90.0,1.0,0.0
157,81.0,48.0,150.0,0.0,0.0
158,59.0,14.0,30.0,1.0,0.0
159,78.0,34.0,40.0,0.0,0.0
160,75.0,128.0,150.0,0.0,0.0
161,59.0,96.0,30.0,1.0,0.0
162,59.0,16.0,30.0,1.0,0.0
163,57.0,32.0,90.0,1.0,0.0
164,66.0,144.0,330.0,1.0,0.0
165,71.0,0.0,30.0,0.0,0.0
166,59.0,96.0,30.0,1.0,0.0
167,75.0,96.0,30.0,0.0,0.0
168,59.0,0.0,30.0,1.0,0.0
169,59.0,16.0,30.0,1.0,0.0
170,78.0,0.0,30.0,0.0,0.0
171,56.0,32.0,90.0,1.0,0.0
172,80.0,48.0,150.0,0.0,0.0
173,64.0,16.0,330.0,1.0,0.0
174,59.0,14.0,30.0,1.0,0.0
175,76.0,34.0,40.0,0.0,0.0
176,59.0,96.0,30.0,1.0,0.0
177,71.0,126.0,150.0,0.0,0.0
178,59.0,16.0,30.0,1.0,0.0
179,52.0,0.0,330.0,1.0,0.0
180,56.0,34.0,90.0,1.0,0.0
181,71.0,48.0,40.0,0.0,0.0
182,59.0,16.0,30.0,1.0,0.0
183,73.0,32.0,40.0,0.0,0.0
184,75.0,48.0,40.0,0.0,0.0
185,59.0,16.0,30.0,1.0,0.0
186,76.0,48.0,40.0,0.0,0.0
187,78.0,46.0,40.0,0.0,0.0
188,59.0,0.0,90.0,1.0,0.0
189,80.0,50.0,40.0,0.0,0.0
190,54.0,144.0,330.0,1.0,0.0
191,57.0,32.0,90.0,1.0,0.0
192,83.0,46.0,40.0,0.0,0.0
193,81.0,2.0,40.0,0.0,0.0
194,59.0,16.0,30.0,1.0,0.0
195,80.0,46.0,40.0,0.0,0.0
196,78.0,34.0,40.0,0.0,0.0
197,76.0,34.0,90.0,0.0,0.0
198,59.0,62.0,30.0,1.0,0.0
199,75.0,0.0,30.0,0.0,0.0
200,59.0,16.0,30.0,1.0,0.0
201,51.0,46.0,330.0,1.0,0.0
202,57.0,32.0,90.0,1.0,0.0
203,83.0,48.0,40.0,0.0,0.0
204,59.0,14.0,30.0,1.0,0.0
205,85.0,34.0,40.0,0.0,0.0
206,59.0,14.0,30.0,1.0,0.0
207,87.0,48.0,40.0,0.0,0.0
208,88.0,48.0,40.0,0.0,0.0
209,59.0,0.0,90.0,1.0,0.0
210,90.0,2.0,40.0,0.0,0.0
211,91.0,48.0,40.0,0.0,0.0
212,52.0,30.0,150.0,1.0,0.0
213,56.0,0.0,150.0,1.0,0.0
214,92.0,48.0,40.0,0.0,0.0
215,91.0,48.0,40.0,0.0,0.0
216,93.0,18.0,40.0,0.0,0.0
217,92.0,48.0,40.0,0.0,0.0
218,90.0,48.0,40.0,0.0,0.0
219,88.0,48.0,40.0,0.0,0.0
220,87.0,48.0,40.0,0.0,0.0
221,85.0,34.0,40.0,0.0,0.0
222,83.0,48.0,30.0,0.0,0.0
223,92.0,48.0,30.0,0.0,0.0
224,90.0,48.0,30.0,0.0,0.0
225,88.0,48.0,30.0,0.0,0.0
226,87.0,48.0,30.0,0.0,0.0
227,85.0,48.0,30.0,0.0,0.0
228,83.0,48.0,30.0,0.0,0.0
229,81.0,48.0,30.0,0.0,0.0
230,80.0,48.0,30.0,0.0,0.0
231,88.0,48.0,30.0,0.0,0.0
232,87.0,48.0,30.0,0.0,0.0
233,85.0,48.0,30.0,0.0,0.0
234,83.0,48.0,30.0,0.0,0.0
235,81.0,48.0,30.0,0.0,0.0
