,note,step,duration,channel,velocity
0,52.0,0.0,480.0,2.0,0.0
1,76.0,480.0,480.0,0.0,0.0
2,68.0,0.0,480.0,1.0,0.0
3,71.0,0.0,480.0,1.0,0.0
4,56.0,0.0,480.0,2.0,0.0
5,76.0,480.0,480.0,0.0,0.0
6,73.0,0.0,480.0,1.0,0.0
7,57.0,0.0,480.0,2.0,0.0
8,78.0,720.0,480.0,0.0,0.0
9,75.0,0.0,720.0,0.0,0.0
10,66.0,240.0,720.0,1.0,0.0
11,59.0,0.0,720.0,2.0,0.0
12,76.0,0.0,240.0,0.0,0.0
13,61.0,0.0,240.0,2.0,0.0
14,71.0,420.0,15.0,1.0,0.0
15,78.0,7.0,420.0,0.0,0.0
16,63.0,0.0,420.0,2.0,0.0
17,64.0,480.0,480.0,2.0,0.0
18,80.0,0.0,480.0,0.0,0.0
19,71.0,0.0,480.0,1.0,0.0
20,80.0,480.0,480.0,0.0,0.0
21,76.0,0.0,15.0,1.0,0.0
22,61.0,0.0,480.0,2.0,0.0
23,73.0,0.0,15.0,1.0,0.0
24,78.0,0.0,480.0,1.0,0.0
25,57.0,480.0,480.0,2.0,0.0
26,81.0,0.0,480.0,0.0,0.0
27,80.0,240.0,720.0,0.0,0.0
28,76.0,240.0,480.0,1.0,0.0
29,71.0,0.0,480.0,1.0,0.0
30,59.0,0.0,480.0,2.0,0.0
31,60.0,0.0,480.0,2.0,0.0
32,69.0,420.0,480.0,2.0,0.0
33,75.0,0.0,480.0,1.0,0.0
34,78.0,0.0,240.0,0.0,0.0
35,76.0,8.0,420.0,0.0,0.0
36,73.0,7.0,420.0,1.0,0.0
37,61.0,285.0,420.0,2.0,0.0
38,68.0,0.0,420.0,2.0,0.0
39,57.0,480.0,480.0,2.0,0.0
40,80.0,240.0,240.0,0.0,0.0
41,73.0,0.0,480.0,1.0,0.0
42,69.0,0.0,480.0,1.0,0.0
43,78.0,0.0,240.0,0.0,0.0
44,71.0,0.0,480.0,1.0,0.0
45,76.0,0.0,480.0,0.0,0.0
46,59.0,480.0,480.0,2.0,0.0
47,68.0,0.0,480.0,1.0,0.0
48,66.0,0.0,480.0,1.0,0.0
49,75.0,310.0,480.0,0.0,0.0
50,47.0,0.0,480.0,2.0,0.0
51,68.0,0.0,570.0,1.0,0.0
52,71.0,0.0,15.0,1.0,0.0
53,76.0,227.0,570.0,0.0,0.0
54,52.0,265.0,300.0,2.0,0.0
55,47.0,352.0,330.0,2.0,0.0
56,40.0,766.0,180.0,2.0,0.0
57,68.0,480.0,480.0,1.0,0.0
58,52.0,0.0,480.0,2.0,0.0
59,76.0,0.0,480.0,0.0,0.0
60,71.0,0.0,480.0,1.0,0.0
61,56.0,0.0,480.0,2.0,0.0
62,76.0,480.0,480.0,0.0,0.0
63,57.0,0.0,480.0,2.0,0.0
64,73.0,0.0,480.0,1.0,0.0
65,78.0,720.0,480.0,0.0,0.0
66,75.0,0.0,720.0,0.0,0.0
67,66.0,240.0,720.0,1.0,0.0
68,59.0,0.0,720.0,2.0,0.0
69,61.0,0.0,240.0,2.0,0.0
70,71.0,0.0,240.0,1.0,0.0
71,76.0,420.0,240.0,0.0,0.0
72,63.0,0.0,420.0,2.0,0.0
73,71.0,533.0,420.0,1.0,0.0
74,78.0,7.0,420.0,0.0,0.0
75,71.0,480.0,480.0,1.0,0.0
76,64.0,0.0,480.0,2.0,0.0
77,76.0,0.0,480.0,1.0,0.0
78,80.0,0.0,480.0,0.0,0.0
79,80.0,0.0,480.0,0.0,0.0
80,61.0,0.0,480.0,2.0,0.0
81,73.0,480.0,480.0,1.0,0.0
82,76.0,0.0,480.0,1.0,0.0
83,57.0,0.0,480.0,2.0,0.0
84,81.0,0.0,480.0,0.0,0.0
85,78.0,480.0,480.0,1.0,0.0
86,73.0,0.0,480.0,1.0,0.0
87,59.0,240.0,480.0,2.0,0.0
88,71.0,0.0,480.0,1.0,0.0
89,76.0,0.0,480.0,1.0,0.0
90,80.0,240.0,720.0,0.0,0.0
91,60.0,0.0,480.0,2.0,0.0
92,69.0,420.0,480.0,2.0,0.0
93,75.0,0.0,480.0,1.0,0.0
94,78.0,0.0,240.0,0.0,0.0
95,73.0,7.0,420.0,1.0,0.0
96,76.0,0.0,420.0,0.0,0.0
97,68.0,8.0,420.0,2.0,0.0
98,61.0,285.0,420.0,2.0,0.0
99,73.0,0.0,480.0,1.0,0.0
100,69.0,0.0,480.0,1.0,0.0
101,57.0,0.0,480.0,2.0,0.0
102,80.0,240.0,240.0,0.0,0.0
103,78.0,480.0,240.0,0.0,0.0
104,59.0,480.0,480.0,2.0,0.0
105,68.0,0.0,480.0,1.0,0.0
106,76.0,0.0,480.0,0.0,0.0
107,75.0,0.0,480.0,0.0,0.0
108,71.0,0.0,15.0,1.0,0.0
109,66.0,0.0,480.0,1.0,0.0
110,47.0,310.0,480.0,2.0,0.0
111,76.0,0.0,570.0,0.0,0.0
112,52.0,265.0,300.0,2.0,0.0
113,68.0,215.0,570.0,1.0,0.0
114,71.0,0.0,570.0,1.0,0.0
115,40.0,170.0,300.0,2.0,0.0
116,78.0,240.0,240.0,0.0,0.0
117,80.0,240.0,240.0,0.0,0.0
118,81.0,480.0,240.0,0.0,0.0
119,83.0,480.0,480.0,0.0,0.0
120,80.0,0.0,480.0,1.0,0.0
121,52.0,0.0,480.0,2.0,0.0
122,56.0,0.0,480.0,2.0,0.0
123,71.0,0.0,15.0,1.0,0.0
124,83.0,0.0,480.0,0.0,0.0
125,80.0,0.0,480.0,1.0,0.0
126,59.0,0.0,480.0,2.0,0.0
127,71.0,480.0,15.0,1.0,0.0
128,83.0,0.0,15.0,0.0,0.0
129,80.0,480.0,15.0,1.0,0.0
130,64.0,240.0,480.0,2.0,0.0
131,52.0,0.0,480.0,2.0,0.0
132,78.0,0.0,240.0,1.0,0.0
133,71.0,240.0,15.0,1.0,0.0
134,81.0,0.0,240.0,0.0,0.0
135,71.0,420.0,15.0,1.0,0.0
136,80.0,0.0,420.0,0.0,0.0
137,76.0,15.0,420.0,1.0,0.0
138,47.0,0.0,480.0,2.0,0.0
139,78.0,0.0,15.0,1.0,0.0
140,71.0,480.0,15.0,1.0,0.0
141,81.0,0.0,15.0,0.0,0.0
142,51.0,0.0,480.0,2.0,0.0
143,81.0,0.0,15.0,0.0,0.0
144,71.0,480.0,15.0,1.0,0.0
145,54.0,0.0,480.0,2.0,0.0
146,81.0,0.0,15.0,0.0,0.0
147,71.0,480.0,15.0,1.0,0.0
148,78.0,0.0,15.0,1.0,0.0
149,59.0,240.0,480.0,2.0,0.0
150,47.0,420.0,480.0,2.0,0.0
151,76.0,0.0,240.0,1.0,0.0
152,71.0,0.0,15.0,1.0,0.0
153,80.0,0.0,240.0,0.0,0.0
154,78.0,533.0,420.0,0.0,0.0
155,71.0,7.0,420.0,1.0,0.0
156,75.0,0.0,420.0,1.0,0.0
157,80.0,0.0,480.0,0.0,0.0
158,76.0,0.0,480.0,1.0,0.0
159,71.0,0.0,480.0,1.0,0.0
160,52.0,240.0,480.0,2.0,0.0
161,73.0,240.0,240.0,1.0,0.0
162,81.0,0.0,240.0,0.0,0.0
163,71.0,240.0,240.0,1.0,0.0
164,80.0,0.0,240.0,0.0,0.0
165,64.0,0.0,15.0,2.0,0.0
166,69.0,240.0,240.0,1.0,0.0
167,78.0,0.0,240.0,0.0,0.0
168,68.0,720.0,240.0,1.0,0.0
169,76.0,0.0,240.0,0.0,0.0
170,80.0,0.0,720.0,0.0,0.0
171,64.0,240.0,720.0,2.0,0.0
172,71.0,0.0,720.0,1.0,0.0
173,81.0,0.0,240.0,0.0,0.0
174,76.0,0.0,15.0,1.0,0.0
175,69.0,0.0,240.0,1.0,0.0
176,61.0,420.0,240.0,2.0,0.0
177,83.0,7.0,420.0,0.0,0.0
178,71.0,8.0,420.0,1.0,0.0
179,76.0,0.0,15.0,1.0,0.0
180,56.0,160.0,480.0,2.0,0.0
181,57.0,80.0,240.0,2.0,0.0
182,85.0,80.0,150.0,0.0,0.0
183,83.0,160.0,150.0,0.0,0.0
184,54.0,480.0,240.0,2.0,0.0
185,81.0,0.0,150.0,0.0,0.0
186,76.0,0.0,480.0,1.0,0.0
187,71.0,480.0,480.0,1.0,0.0
188,80.0,0.0,480.0,0.0,0.0
189,59.0,0.0,480.0,2.0,0.0
190,78.0,0.0,480.0,0.0,0.0
191,47.0,0.0,480.0,2.0,0.0
192,75.0,310.0,480.0,1.0,0.0
193,69.0,0.0,480.0,1.0,0.0
194,76.0,310.0,480.0,0.0,0.0
195,71.0,0.0,480.0,1.0,0.0
196,52.0,170.0,300.0,2.0,0.0
197,68.0,0.0,480.0,1.0,0.0
198,47.0,314.0,300.0,2.0,0.0
199,40.0,576.0,150.0,2.0,0.0
200,76.0,240.0,240.0,0.0,0.0
201,75.0,240.0,240.0,0.0,0.0
202,76.0,0.0,480.0,0.0,0.0
203,68.0,240.0,240.0,1.0,0.0
204,61.0,0.0,480.0,2.0,0.0
205,73.0,240.0,240.0,1.0,0.0
206,69.0,240.0,240.0,1.0,0.0
207,78.0,0.0,480.0,0.0,0.0
208,54.0,0.0,240.0,2.0,0.0
209,57.0,0.0,240.0,2.0,0.0
210,73.0,240.0,240.0,1.0,0.0
211,66.0,240.0,240.0,1.0,0.0
212,75.0,0.0,720.0,0.0,0.0
213,59.0,240.0,720.0,2.0,0.0
214,70.0,240.0,240.0,1.0,0.0
215,71.0,0.0,960.0,1.0,0.0
216,61.0,240.0,240.0,2.0,0.0
217,76.0,0.0,240.0,0.0,0.0
218,63.0,0.0,240.0,2.0,0.0
219,78.0,240.0,240.0,0.0,0.0
220,59.0,240.0,240.0,2.0,0.0
221,75.0,0.0,240.0,0.0,0.0
222,80.0,0.0,240.0,0.0,0.0
223,64.0,240.0,240.0,2.0,0.0
224,63.0,0.0,240.0,2.0,0.0
225,79.0,240.0,240.0,0.0,0.0
226,64.0,240.0,240.0,2.0,0.0
227,80.0,240.0,480.0,0.0,0.0
228,61.0,0.0,240.0,2.0,0.0
229,77.0,0.0,240.0,1.0,0.0
230,80.0,0.0,240.0,1.0,0.0
231,83.0,240.0,240.0,0.0,0.0
232,54.0,0.0,240.0,2.0,0.0
233,57.0,240.0,240.0,2.0,0.0
234,78.0,0.0,480.0,1.0,0.0
235,81.0,240.0,480.0,0.0,0.0
236,59.0,240.0,480.0,2.0,0.0
237,80.0,0.0,480.0,0.0,0.0
238,76.0,240.0,480.0,1.0,0.0
239,57.0,0.0,480.0,2.0,0.0
240,78.0,240.0,240.0,0.0,0.0
241,75.0,0.0,240.0,1.0,0.0
242,76.0,240.0,240.0,0.0,0.0
243,56.0,0.0,480.0,2.0,0.0
244,71.0,0.0,15.0,1.0,0.0
245,77.0,240.0,240.0,0.0,0.0
246,74.0,0.0,240.0,1.0,0.0
247,80.0,120.0,240.0,0.0,0.0
248,61.0,0.0,240.0,2.0,0.0
249,78.0,120.0,120.0,0.0,0.0
250,57.0,240.0,240.0,2.0,0.0
251,78.0,120.0,240.0,0.0,0.0
252,68.0,0.0,240.0,2.0,0.0
253,76.0,120.0,120.0,0.0,0.0
254,59.0,240.0,240.0,2.0,0.0
255,64.0,0.0,240.0,2.0,0.0
256,76.0,120.0,240.0,0.0,0.0
257,69.0,0.0,240.0,2.0,0.0
258,75.0,120.0,120.0,0.0,0.0
259,59.0,240.0,240.0,2.0,0.0
260,66.0,0.0,240.0,2.0,0.0
261,64.0,240.0,480.0,2.0,0.0
262,68.0,0.0,480.0,2.0,0.0
263,76.0,240.0,240.0,0.0,0.0
264,68.0,0.0,240.0,0.0,0.0
265,69.0,240.0,240.0,0.0,0.0
266,71.0,240.0,240.0,0.0,0.0
267,68.0,0.0,240.0,2.0,0.0
268,73.0,240.0,240.0,0.0,0.0
269,69.0,0.0,240.0,2.0,0.0
270,66.0,0.0,240.0,2.0,0.0
271,75.0,240.0,240.0,0.0,0.0
272,76.0,0.0,240.0,0.0,0.0
273,64.0,240.0,240.0,2.0,0.0
274,75.0,240.0,240.0,0.0,0.0
275,60.0,0.0,240.0,2.0,0.0
276,68.0,240.0,240.0,1.0,0.0
277,61.0,0.0,480.0,2.0,0.0
278,76.0,240.0,480.0,0.0,0.0
279,73.0,0.0,240.0,1.0,0.0
280,54.0,0.0,240.0,2.0,0.0
281,69.0,240.0,240.0,1.0,0.0
282,78.0,240.0,480.0,0.0,0.0
283,73.0,0.0,240.0,1.0,0.0
284,57.0,0.0,240.0,2.0,0.0
285,66.0,240.0,240.0,1.0,0.0
286,75.0,240.0,720.0,0.0,0.0
287,59.0,0.0,720.0,2.0,0.0
288,70.0,240.0,240.0,1.0,0.0
289,71.0,0.0,960.0,1.0,0.0
290,61.0,0.0,240.0,2.0,0.0
291,76.0,240.0,240.0,0.0,0.0
292,63.0,240.0,240.0,2.0,0.0
293,78.0,0.0,240.0,0.0,0.0
294,59.0,240.0,240.0,2.0,0.0
295,75.0,0.0,240.0,0.0,0.0
296,64.0,240.0,240.0,2.0,0.0
297,80.0,0.0,240.0,0.0,0.0
298,63.0,0.0,240.0,2.0,0.0
299,79.0,240.0,240.0,0.0,0.0
300,80.0,0.0,480.0,0.0,0.0
301,64.0,240.0,240.0,2.0,0.0
302,61.0,0.0,240.0,2.0,0.0
303,77.0,240.0,240.0,1.0,0.0
304,54.0,0.0,240.0,2.0,0.0
305,80.0,0.0,240.0,1.0,0.0
306,83.0,240.0,240.0,0.0,0.0
307,57.0,240.0,240.0,2.0,0.0
308,78.0,240.0,480.0,1.0,0.0
309,81.0,0.0,480.0,0.0,0.0
310,59.0,240.0,480.0,2.0,0.0
311,80.0,0.0,480.0,0.0,0.0
312,76.0,240.0,480.0,1.0,0.0
313,57.0,0.0,480.0,2.0,0.0
314,78.0,240.0,240.0,0.0,0.0
315,75.0,0.0,240.0,1.0,0.0
316,56.0,0.0,480.0,2.0,0.0
317,76.0,240.0,240.0,0.0,0.0
318,71.0,0.0,15.0,1.0,0.0
319,74.0,240.0,240.0,1.0,0.0
320,77.0,0.0,240.0,0.0,0.0
321,80.0,120.0,240.0,0.0,0.0
322,78.0,120.0,120.0,0.0,0.0
323,57.0,0.0,240.0,2.0,0.0
324,61.0,240.0,240.0,2.0,0.0
325,78.0,120.0,240.0,0.0,0.0
326,64.0,240.0,240.0,2.0,0.0
327,76.0,120.0,120.0,0.0,0.0
328,59.0,0.0,240.0,2.0,0.0
329,68.0,0.0,240.0,2.0,0.0
330,76.0,120.0,240.0,0.0,0.0
331,69.0,0.0,240.0,2.0,0.0
332,75.0,120.0,120.0,0.0,0.0
333,66.0,0.0,240.0,2.0,0.0
334,59.0,240.0,240.0,2.0,0.0
335,76.0,240.0,240.0,0.0,0.0
336,68.0,0.0,480.0,2.0,0.0
337,64.0,240.0,480.0,2.0,0.0
338,75.0,0.0,240.0,0.0,0.0
339,76.0,240.0,240.0,0.0,0.0
340,63.0,0.0,240.0,2.0,0.0
341,78.0,240.0,240.0,0.0,0.0
342,80.0,0.0,240.0,0.0,0.0
343,64.0,240.0,240.0,2.0,0.0
344,66.0,0.0,240.0,2.0,0.0
345,81.0,240.0,240.0,0.0,0.0
346,83.0,0.0,480.0,0.0,0.0
347,68.0,240.0,240.0,2.0,0.0
348,82.0,240.0,240.0,1.0,0.0
349,67.0,0.0,240.0,2.0,0.0
350,83.0,0.0,480.0,0.0,0.0
351,68.0,240.0,240.0,2.0,0.0
352,66.0,240.0,240.0,2.0,0.0
353,81.0,0.0,240.0,1.0,0.0
354,80.0,0.0,240.0,1.0,0.0
355,64.0,240.0,240.0,2.0,0.0
356,83.0,0.0,480.0,0.0,0.0
357,62.0,0.0,240.0,2.0,0.0
358,78.0,240.0,240.0,1.0,0.0
359,61.0,0.0,960.0,2.0,0.0
360,83.0,0.0,720.0,0.0,0.0
361,77.0,240.0,240.0,1.0,0.0
362,66.0,0.0,240.0,2.0,0.0
363,74.0,240.0,240.0,1.0,0.0
364,65.0,0.0,240.0,2.0,0.0
365,73.0,240.0,240.0,1.0,0.0
366,73.0,0.0,240.0,2.0,0.0
367,81.0,240.0,240.0,0.0,0.0
368,78.0,0.0,480.0,1.0,0.0
369,72.0,240.0,240.0,2.0,0.0
370,80.0,240.0,480.0,0.0,0.0
371,77.0,0.0,240.0,1.0,0.0
372,71.0,0.0,240.0,2.0,0.0
373,61.0,0.0,240.0,2.0,0.0
374,69.0,0.0,240.0,2.0,0.0
375,81.0,0.0,480.0,0.0,0.0
376,66.0,240.0,240.0,2.0,0.0
377,65.0,0.0,240.0,2.0,0.0
378,80.0,240.0,240.0,1.0,0.0
379,66.0,240.0,240.0,2.0,0.0
380,64.0,0.0,240.0,2.0,0.0
381,80.0,240.0,240.0,1.0,0.0
382,63.0,0.0,240.0,2.0,0.0
383,81.0,0.0,15.0,0.0,0.0
384,78.0,240.0,240.0,1.0,0.0
385,60.0,240.0,240.0,2.0,0.0
386,76.0,0.0,240.0,1.0,0.0
387,75.0,240.0,240.0,1.0,0.0
388,81.0,0.0,720.0,0.0,0.0
389,59.0,0.0,960.0,2.0,0.0
390,72.0,0.0,240.0,1.0,0.0
391,64.0,240.0,240.0,2.0,0.0
392,63.0,240.0,240.0,2.0,0.0
393,71.0,0.0,240.0,1.0,0.0
394,80.0,240.0,240.0,0.0,0.0
395,76.0,0.0,480.0,1.0,0.0
396,71.0,0.0,240.0,2.0,0.0
397,70.0,240.0,240.0,2.0,0.0
398,78.0,0.0,480.0,0.0,0.0
399,75.0,480.0,240.0,1.0,0.0
400,69.0,0.0,240.0,2.0,0.0
401,59.0,0.0,240.0,2.0,0.0
402,64.0,0.0,960.0,2.0,0.0
403,76.0,0.0,480.0,1.0,0.0
404,80.0,0.0,480.0,0.0,0.0
405,75.0,240.0,240.0,2.0,0.0
406,73.0,0.0,240.0,2.0,0.0
407,76.0,0.0,240.0,1.0,0.0
408,81.0,240.0,240.0,0.0,0.0
409,71.0,0.0,240.0,2.0,0.0
410,75.0,0.0,240.0,1.0,0.0
411,80.0,240.0,240.0,0.0,0.0
412,78.0,0.0,240.0,0.0,0.0
413,69.0,240.0,240.0,2.0,0.0
414,73.0,0.0,240.0,1.0,0.0
415,68.0,0.0,240.0,2.0,0.0
416,76.0,0.0,240.0,0.0,0.0
417,71.0,240.0,240.0,1.0,0.0
418,73.0,240.0,240.0,2.0,0.0
419,76.0,0.0,480.0,1.0,0.0
420,80.0,0.0,480.0,0.0,0.0
421,71.0,240.0,240.0,2.0,0.0
422,69.0,240.0,240.0,2.0,0.0
423,78.0,240.0,240.0,1.0,0.0
424,81.0,0.0,240.0,0.0,0.0
425,68.0,0.0,240.0,2.0,0.0
426,83.0,0.0,240.0,0.0,0.0
427,66.0,0.0,240.0,2.0,0.0
428,80.0,240.0,15.0,1.0,0.0
429,64.0,240.0,480.0,2.0,0.0
430,84.0,240.0,240.0,0.0,0.0
431,81.0,0.0,240.0,1.0,0.0
432,85.0,0.0,240.0,0.0,0.0
433,57.0,0.0,480.0,2.0,0.0
434,78.0,120.0,480.0,1.0,0.0
435,66.0,240.0,240.0,2.0,0.0
436,81.0,0.0,480.0,0.0,0.0
437,59.0,0.0,720.0,2.0,0.0
438,80.0,0.0,480.0,0.0,0.0
439,76.0,240.0,480.0,1.0,0.0
440,68.0,120.0,120.0,2.0,0.0
441,70.0,240.0,120.0,2.0,0.0
442,71.0,0.0,240.0,2.0,0.0
443,75.0,0.0,720.0,1.0,0.0
444,78.0,155.0,720.0,0.0,0.0
445,47.0,155.0,240.0,2.0,0.0
446,69.0,0.0,720.0,1.0,0.0
447,52.0,240.0,150.0,2.0,0.0
448,59.0,85.0,150.0,2.0,0.0
449,68.0,0.0,240.0,1.0,0.0
450,71.0,0.0,240.0,1.0,0.0
451,76.0,120.0,240.0,0.0,0.0
452,64.0,85.0,150.0,2.0,0.0
453,59.0,120.0,120.0,2.0,0.0
454,63.0,120.0,120.0,2.0,0.0
455,61.0,120.0,120.0,2.0,0.0
456,64.0,120.0,120.0,2.0,0.0
457,63.0,120.0,120.0,2.0,0.0
458,66.0,120.0,120.0,2.0,0.0
459,64.0,120.0,120.0,2.0,0.0
460,63.0,120.0,120.0,2.0,0.0
461,61.0,120.0,120.0,2.0,0.0
462,63.0,96.0,120.0,2.0,0.0
463,64.0,144.0,90.0,2.0,0.0
464,68.0,96.0,120.0,0.0,0.0
465,65.0,24.0,90.0,2.0,0.0
466,73.0,120.0,120.0,0.0,0.0
467,71.0,96.0,120.0,0.0,0.0
468,66.0,24.0,90.0,2.0,0.0
469,69.0,120.0,120.0,0.0,0.0
470,73.0,96.0,120.0,0.0,0.0
471,78.0,120.0,120.0,0.0,0.0
472,58.0,24.0,90.0,2.0,0.0
473,76.0,120.0,120.0,0.0,0.0
474,75.0,120.0,120.0,0.0,0.0
475,73.0,120.0,120.0,0.0,0.0
476,71.0,120.0,120.0,0.0,0.0
477,73.0,120.0,120.0,0.0,0.0
478,75.0,120.0,120.0,0.0,0.0
479,73.0,120.0,120.0,0.0,0.0
480,59.0,0.0,15.0,2.0,0.0
481,75.0,120.0,120.0,0.0,0.0
482,76.0,0.0,120.0,0.0,0.0
483,61.0,120.0,120.0,2.0,0.0
484,78.0,120.0,120.0,0.0,0.0
485,63.0,0.0,120.0,2.0,0.0
486,75.0,0.0,120.0,0.0,0.0
487,59.0,120.0,120.0,2.0,0.0
488,76.0,120.0,120.0,0.0,0.0
489,61.0,0.0,120.0,2.0,0.0
490,63.0,120.0,120.0,2.0,0.0
491,78.0,0.0,120.0,0.0,0.0
492,64.0,120.0,120.0,2.0,0.0
493,80.0,0.0,120.0,0.0,0.0
494,78.0,0.0,120.0,0.0,0.0
495,63.0,120.0,120.0,2.0,0.0
496,61.0,120.0,120.0,2.0,0.0
497,76.0,0.0,120.0,0.0,0.0
498,78.0,0.0,120.0,0.0,0.0
499,63.0,120.0,120.0,2.0,0.0
500,64.0,120.0,120.0,2.0,0.0
501,80.0,0.0,120.0,0.0,0.0
502,78.0,0.0,120.0,0.0,0.0
503,63.0,120.0,120.0,2.0,0.0
504,64.0,120.0,120.0,2.0,0.0
505,80.0,0.0,120.0,0.0,0.0
506,76.0,0.0,120.0,0.0,0.0
507,61.0,120.0,120.0,2.0,0.0
508,73.0,0.0,120.0,0.0,0.0
509,57.0,120.0,120.0,2.0,0.0
510,81.0,0.0,120.0,0.0,0.0
511,61.0,120.0,120.0,2.0,0.0
512,83.0,0.0,120.0,0.0,0.0
513,54.0,120.0,120.0,2.0,0.0
514,66.0,120.0,120.0,2.0,0.0
515,81.0,0.0,120.0,0.0,0.0
516,71.0,0.0,120.0,0.0,0.0
517,59.0,120.0,120.0,2.0,0.0
518,80.0,120.0,120.0,0.0,0.0
519,64.0,0.0,120.0,2.0,0.0
520,59.0,120.0,120.0,2.0,0.0
521,81.0,0.0,120.0,0.0,0.0
522,80.0,120.0,120.0,0.0,0.0
523,64.0,0.0,120.0,2.0,0.0
524,69.0,120.0,120.0,0.0,0.0
525,60.0,0.0,120.0,2.0,0.0
526,63.0,0.0,120.0,2.0,0.0
