,note,step,duration,channel,velocity
0,71.0,320.0,150.0,1.0,0.0
1,40.0,0.0,300.0,4.0,0.0
2,76.0,96.0,300.0,1.0,0.0
3,68.0,0.0,300.0,3.0,0.0
4,71.0,0.0,300.0,2.0,0.0
5,44.0,0.0,90.0,4.0,0.0
6,64.0,0.0,90.0,3.0,0.0
7,68.0,0.0,90.0,2.0,0.0
8,71.0,96.0,90.0,1.0,0.0
9,64.0,94.0,90.0,2.0,0.0
10,59.0,0.0,90.0,3.0,0.0
11,47.0,0.0,90.0,4.0,0.0
12,68.0,0.0,90.0,1.0,0.0
13,52.0,0.0,90.0,4.0,0.0
14,59.0,0.0,90.0,2.0,0.0
15,64.0,194.0,90.0,1.0,0.0
16,56.0,0.0,90.0,3.0,0.0
17,57.0,0.0,390.0,3.0,0.0
18,59.0,48.0,330.0,2.0,0.0
19,54.0,160.0,390.0,4.0,0.0
20,64.0,144.0,180.0,1.0,0.0
21,63.0,0.0,180.0,1.0,0.0
22,64.0,0.0,150.0,1.0,0.0
23,59.0,56.0,150.0,2.0,0.0
24,56.0,0.0,150.0,3.0,0.0
25,52.0,0.0,150.0,4.0,0.0
26,66.0,24.0,20.0,1.0,0.0
27,59.0,96.0,90.0,3.0,0.0
28,64.0,0.0,180.0,2.0,0.0
29,47.0,30.0,270.0,4.0,0.0
30,64.0,24.0,20.0,1.0,0.0
31,63.0,22.0,20.0,1.0,0.0
32,64.0,2.0,20.0,1.0,0.0
33,68.0,64.0,90.0,1.0,0.0
34,58.0,0.0,90.0,3.0,0.0
35,59.0,288.0,90.0,3.0,0.0
36,63.0,0.0,90.0,2.0,0.0
37,66.0,0.0,90.0,1.0,0.0
38,69.0,258.0,90.0,1.0,0.0
39,47.0,32.0,270.0,4.0,0.0
40,81.0,94.0,300.0,1.0,0.0
41,63.0,0.0,270.0,3.0,0.0
42,66.0,0.0,270.0,2.0,0.0
43,69.0,2.0,90.0,2.0,0.0
44,59.0,0.0,90.0,4.0,0.0
45,78.0,96.0,90.0,1.0,0.0
46,63.0,0.0,90.0,3.0,0.0
47,66.0,0.0,90.0,3.0,0.0
48,69.0,0.0,90.0,2.0,0.0
49,75.0,94.0,90.0,1.0,0.0
50,60.0,0.0,90.0,4.0,0.0
51,64.0,0.0,90.0,3.0,0.0
52,68.0,0.0,90.0,2.0,0.0
53,76.0,162.0,90.0,1.0,0.0
54,61.0,0.0,90.0,4.0,0.0
55,66.0,56.0,150.0,1.0,0.0
56,57.0,0.0,150.0,4.0,0.0
57,61.0,46.0,390.0,2.0,0.0
58,66.0,24.0,20.0,1.0,0.0
59,42.0,0.0,180.0,4.0,0.0
60,57.0,32.0,150.0,3.0,0.0
61,69.0,112.0,20.0,1.0,0.0
62,73.0,26.0,180.0,1.0,0.0
63,63.0,0.0,150.0,2.0,0.0
64,47.0,8.0,150.0,4.0,0.0
65,57.0,0.0,150.0,3.0,0.0
66,71.0,24.0,20.0,1.0,0.0
67,69.0,24.0,20.0,1.0,0.0
68,68.0,24.0,20.0,1.0,0.0
69,66.0,16.0,20.0,1.0,0.0
70,64.0,22.0,20.0,1.0,0.0
71,63.0,146.0,20.0,1.0,0.0
72,63.0,0.0,180.0,2.0,0.0
73,66.0,64.0,180.0,1.0,0.0
74,40.0,30.0,270.0,4.0,0.0
75,57.0,24.0,150.0,3.0,0.0
76,59.0,22.0,20.0,3.0,0.0
77,57.0,2.0,20.0,3.0,0.0
78,59.0,0.0,90.0,2.0,0.0
79,64.0,146.0,90.0,1.0,0.0
80,56.0,0.0,90.0,3.0,0.0
81,64.0,48.0,40.0,1.0,0.0
82,68.0,48.0,40.0,1.0,0.0
83,71.0,46.0,40.0,1.0,0.0
84,76.0,218.0,40.0,1.0,0.0
85,80.0,24.0,210.0,1.0,0.0
86,64.0,0.0,270.0,3.0,0.0
87,68.0,0.0,270.0,2.0,0.0
88,59.0,0.0,270.0,2.0,0.0
89,52.0,8.0,270.0,4.0,0.0
90,78.0,16.0,20.0,1.0,0.0
91,76.0,24.0,20.0,1.0,0.0
92,75.0,24.0,20.0,1.0,0.0
93,76.0,24.0,20.0,1.0,0.0
94,78.0,24.0,20.0,1.0,0.0
95,80.0,22.0,20.0,1.0,0.0
96,81.0,26.0,20.0,1.0,0.0
97,83.0,24.0,20.0,1.0,0.0
98,82.0,24.0,20.0,1.0,0.0
99,85.0,24.0,20.0,1.0,0.0
100,83.0,24.0,20.0,1.0,0.0
101,81.0,24.0,20.0,1.0,0.0
102,80.0,24.0,20.0,1.0,0.0
103,78.0,22.0,20.0,1.0,0.0
104,76.0,98.0,20.0,1.0,0.0
105,59.0,96.0,90.0,3.0,0.0
106,80.0,0.0,180.0,1.0,0.0
107,52.0,0.0,90.0,4.0,0.0
108,68.0,0.0,90.0,2.0,0.0
109,71.0,0.0,90.0,2.0,0.0
110,56.0,0.0,90.0,4.0,0.0
111,64.0,94.0,90.0,3.0,0.0
112,66.0,146.0,90.0,2.0,0.0
113,78.0,0.0,90.0,1.0,0.0
114,63.0,0.0,90.0,3.0,0.0
115,59.0,0.0,90.0,4.0,0.0
116,64.0,48.0,40.0,1.0,0.0
117,68.0,48.0,40.0,1.0,0.0
118,71.0,46.0,40.0,1.0,0.0
119,76.0,218.0,40.0,1.0,0.0
120,52.0,8.0,270.0,4.0,0.0
121,80.0,24.0,210.0,1.0,0.0
122,64.0,0.0,270.0,3.0,0.0
123,68.0,0.0,270.0,2.0,0.0
124,59.0,0.0,270.0,2.0,0.0
125,76.0,16.0,20.0,1.0,0.0
126,83.0,22.0,20.0,1.0,0.0
127,82.0,26.0,20.0,1.0,0.0
128,83.0,24.0,20.0,1.0,0.0
129,80.0,24.0,20.0,1.0,0.0
130,88.0,22.0,20.0,1.0,0.0
131,87.0,26.0,20.0,1.0,0.0
132,88.0,22.0,20.0,1.0,0.0
133,83.0,26.0,20.0,1.0,0.0
134,92.0,24.0,20.0,1.0,0.0
135,88.0,24.0,20.0,1.0,0.0
136,83.0,24.0,20.0,1.0,0.0
137,80.0,24.0,20.0,1.0,0.0
138,78.0,22.0,20.0,1.0,0.0
139,76.0,96.0,20.0,1.0,0.0
