,note,step,duration,channel,velocity
0,59.0,17.0,30.0,7.0,0.0
1,59.0,15.0,15.0,7.0,0.0
2,35.0,10.0,15.0,7.0,0.0
3,59.0,12.0,120.0,7.0,0.0
4,52.0,0.0,120.0,7.0,0.0
5,55.0,0.0,120.0,7.0,0.0
6,37.0,10.0,15.0,7.0,0.0
7,39.0,28.0,15.0,7.0,0.0
8,40.0,60.0,30.0,7.0,0.0
9,66.0,40.0,15.0,7.0,0.0
10,64.0,10.0,30.0,7.0,0.0
11,63.0,45.0,15.0,7.0,0.0
12,64.0,13.0,60.0,7.0,0.0
13,66.0,12.0,15.0,7.0,0.0
14,55.0,10.0,120.0,7.0,0.0
15,67.0,50.0,120.0,7.0,0.0
16,59.0,0.0,120.0,7.0,0.0
17,35.0,10.0,15.0,7.0,0.0
18,52.0,0.0,120.0,7.0,0.0
19,37.0,10.0,15.0,7.0,0.0
20,39.0,28.0,15.0,7.0,0.0
21,40.0,60.0,30.0,7.0,0.0
22,64.0,72.0,60.0,7.0,0.0
23,35.0,10.0,15.0,7.0,0.0
24,52.0,0.0,120.0,7.0,0.0
25,55.0,10.0,120.0,7.0,0.0
26,59.0,0.0,120.0,7.0,0.0
27,71.0,2.0,120.0,7.0,0.0
28,37.0,10.0,15.0,7.0,0.0
29,39.0,28.0,15.0,7.0,0.0
30,40.0,47.0,30.0,7.0,0.0
31,40.0,3.0,15.0,7.0,0.0
32,42.0,18.0,15.0,7.0,0.0
33,43.0,30.0,30.0,7.0,0.0
34,55.0,0.0,120.0,7.0,0.0
35,59.0,0.0,120.0,7.0,0.0
36,52.0,10.0,120.0,7.0,0.0
37,69.0,10.0,20.0,7.0,0.0
38,67.0,20.0,30.0,7.0,0.0
39,66.0,27.0,20.0,7.0,0.0
40,64.0,2.0,30.0,7.0,0.0
41,43.0,3.0,15.0,7.0,0.0
42,45.0,68.0,15.0,7.0,0.0
43,52.0,50.0,120.0,7.0,0.0
44,59.0,60.0,60.0,7.0,0.0
45,55.0,0.0,120.0,7.0,0.0
46,47.0,0.0,180.0,7.0,0.0
47,67.0,0.0,120.0,7.0,0.0
48,70.0,0.0,60.0,7.0,0.0
49,54.0,0.0,60.0,7.0,0.0
50,51.0,0.0,60.0,7.0,0.0
51,71.0,0.0,60.0,7.0,0.0
52,66.0,47.0,60.0,7.0,0.0
53,45.0,15.0,15.0,7.0,0.0
54,47.0,113.0,15.0,7.0,0.0
55,48.0,0.0,120.0,7.0,0.0
56,63.0,0.0,120.0,7.0,0.0
57,66.0,5.0,120.0,7.0,0.0
58,51.0,0.0,120.0,7.0,0.0
59,57.0,47.0,120.0,7.0,0.0
60,66.0,15.0,60.0,7.0,0.0
61,67.0,15.0,15.0,7.0,0.0
62,69.0,0.0,60.0,7.0,0.0
63,45.0,15.0,15.0,7.0,0.0
64,43.0,15.0,15.0,7.0,0.0
65,42.0,13.0,15.0,7.0,0.0
66,40.0,120.0,15.0,7.0,0.0
67,71.0,0.0,15.0,7.0,0.0
68,57.0,15.0,180.0,7.0,0.0
69,60.0,30.0,180.0,7.0,0.0
70,72.0,0.0,180.0,7.0,0.0
71,39.0,55.0,120.0,7.0,0.0
72,54.0,0.0,180.0,7.0,0.0
73,54.0,2.0,60.0,7.0,0.0
74,71.0,2.0,30.0,7.0,0.0
75,57.0,0.0,30.0,7.0,0.0
76,35.0,10.0,15.0,7.0,0.0
77,69.0,0.0,20.0,7.0,0.0
78,59.0,0.0,20.0,7.0,0.0
79,37.0,3.0,15.0,7.0,0.0
80,39.0,28.0,15.0,7.0,0.0
81,52.0,5.0,60.0,7.0,0.0
82,59.0,0.0,60.0,7.0,0.0
83,69.0,15.0,30.0,7.0,0.0
84,40.0,10.0,30.0,7.0,0.0
85,67.0,10.0,30.0,7.0,0.0
86,54.0,0.0,60.0,7.0,0.0
87,69.0,16.0,20.0,7.0,0.0
88,60.0,30.0,60.0,7.0,0.0
89,52.0,1.0,60.0,7.0,0.0
90,33.0,10.0,15.0,7.0,0.0
91,66.0,5.0,20.0,7.0,0.0
92,33.0,4.0,15.0,7.0,0.0
93,33.0,4.0,15.0,7.0,0.0
94,55.0,0.0,60.0,7.0,0.0
95,64.0,26.0,60.0,7.0,0.0
96,59.0,10.0,60.0,7.0,0.0
97,35.0,25.0,30.0,7.0,0.0
98,52.0,5.0,60.0,7.0,0.0
99,59.0,1.0,60.0,7.0,0.0
100,66.0,0.0,60.0,7.0,0.0
101,57.0,0.0,60.0,7.0,0.0
102,51.0,8.0,60.0,7.0,0.0
103,35.0,10.0,15.0,7.0,0.0
104,35.0,1.0,15.0,7.0,0.0
105,63.0,0.0,15.0,7.0,0.0
106,54.0,55.0,15.0,7.0,0.0
107,35.0,4.0,15.0,7.0,0.0
108,59.0,0.0,60.0,7.0,0.0
109,64.0,5.0,60.0,7.0,0.0
110,52.0,0.0,60.0,7.0,0.0
111,55.0,40.0,60.0,7.0,0.0
112,40.0,0.0,60.0,7.0,0.0
113,45.0,0.0,30.0,7.0,0.0
114,60.0,0.0,30.0,7.0,0.0
115,57.0,0.0,30.0,7.0,0.0
116,64.0,15.0,30.0,7.0,0.0
117,60.0,0.0,15.0,7.0,0.0
118,57.0,0.0,15.0,7.0,0.0
119,64.0,0.0,15.0,7.0,0.0
120,45.0,0.0,15.0,7.0,0.0
121,55.0,0.0,60.0,7.0,0.0
122,59.0,0.0,60.0,7.0,0.0
123,64.0,0.0,60.0,7.0,0.0
124,52.0,0.0,60.0,7.0,0.0
125,40.0,38.0,60.0,7.0,0.0
126,71.0,3.0,30.0,1.0,0.0
127,52.0,0.0,15.0,7.0,0.0
128,67.0,0.0,15.0,7.0,0.0
129,59.0,0.0,15.0,7.0,0.0
130,40.0,7.0,15.0,7.0,0.0
131,64.0,0.0,15.0,7.0,0.0
132,40.0,0.0,15.0,7.0,0.0
133,64.0,0.0,15.0,7.0,0.0
134,59.0,0.0,15.0,7.0,0.0
135,67.0,0.0,15.0,7.0,0.0
136,52.0,10.0,15.0,7.0,0.0
137,71.0,60.0,15.0,1.0,0.0
138,59.0,0.0,15.0,7.0,0.0
139,40.0,2.0,15.0,7.0,0.0
140,64.0,0.0,15.0,7.0,0.0
141,67.0,0.0,15.0,7.0,0.0
142,52.0,0.0,15.0,7.0,0.0
143,67.0,60.0,60.0,7.0,0.0
144,40.0,0.0,60.0,7.0,0.0
145,71.0,0.0,240.0,4.0,0.0
146,59.0,0.0,240.0,4.0,0.0
147,52.0,0.0,60.0,7.0,0.0
148,52.0,60.0,240.0,3.0,0.0
149,71.0,0.0,240.0,2.0,0.0
150,67.0,0.0,240.0,2.0,0.0
151,71.0,12.0,120.0,1.0,0.0
152,59.0,0.0,60.0,7.0,0.0
153,52.0,0.0,60.0,6.0,0.0
154,64.0,0.0,240.0,3.0,0.0
155,67.0,0.0,240.0,4.0,0.0
156,64.0,0.0,60.0,7.0,0.0
157,78.0,45.0,15.0,1.0,0.0
158,76.0,5.0,60.0,1.0,0.0
159,75.0,36.0,15.0,1.0,0.0
160,76.0,1.0,60.0,1.0,0.0
161,64.0,0.0,15.0,7.0,0.0
162,67.0,0.0,15.0,7.0,0.0
163,40.0,0.0,15.0,7.0,0.0
164,59.0,9.0,15.0,7.0,0.0
165,52.0,0.0,15.0,7.0,0.0
166,40.0,0.0,15.0,7.0,0.0
167,59.0,0.0,15.0,7.0,0.0
168,52.0,0.0,15.0,7.0,0.0
169,67.0,0.0,15.0,7.0,0.0
170,64.0,10.0,15.0,7.0,0.0
171,78.0,0.0,15.0,1.0,0.0
172,59.0,0.0,15.0,7.0,0.0
173,40.0,0.0,15.0,7.0,0.0
174,67.0,0.0,15.0,7.0,0.0
175,64.0,0.0,15.0,7.0,0.0
176,52.0,2.0,15.0,7.0,0.0
177,71.0,0.0,240.0,4.0,0.0
178,59.0,0.0,60.0,7.0,0.0
179,79.0,50.0,120.0,1.0,0.0
180,64.0,0.0,240.0,3.0,0.0
181,52.0,0.0,240.0,3.0,0.0
182,67.0,0.0,240.0,2.0,0.0
183,71.0,0.0,240.0,2.0,0.0
184,59.0,60.0,240.0,4.0,0.0
185,52.0,0.0,60.0,7.0,0.0
186,52.0,0.0,60.0,6.0,0.0
187,64.0,0.0,60.0,7.0,0.0
188,67.0,0.0,240.0,4.0,0.0
189,40.0,0.0,60.0,7.0,0.0
190,67.0,70.0,60.0,7.0,0.0
191,76.0,38.0,60.0,1.0,0.0
192,59.0,10.0,15.0,7.0,0.0
193,64.0,0.0,15.0,7.0,0.0
194,67.0,0.0,15.0,7.0,0.0
195,40.0,0.0,15.0,7.0,0.0
196,52.0,0.0,15.0,7.0,0.0
197,40.0,0.0,15.0,7.0,0.0
198,67.0,0.0,15.0,7.0,0.0
199,64.0,10.0,15.0,7.0,0.0
200,52.0,0.0,15.0,7.0,0.0
201,59.0,0.0,15.0,7.0,0.0
202,67.0,0.0,15.0,7.0,0.0
203,52.0,2.0,15.0,7.0,0.0
204,64.0,0.0,15.0,7.0,0.0
205,59.0,0.0,15.0,7.0,0.0
206,40.0,0.0,15.0,7.0,0.0
207,71.0,20.0,120.0,2.0,0.0
208,67.0,0.0,120.0,2.0,0.0
209,64.0,0.0,120.0,3.0,0.0
210,59.0,0.0,120.0,4.0,0.0
211,71.0,0.0,120.0,4.0,0.0
212,52.0,0.0,120.0,3.0,0.0
213,67.0,0.0,120.0,4.0,0.0
214,59.0,0.0,60.0,7.0,0.0
215,67.0,0.0,60.0,7.0,0.0
216,64.0,0.0,60.0,7.0,0.0
217,52.0,0.0,60.0,6.0,0.0
218,52.0,0.0,60.0,7.0,0.0
219,40.0,38.0,60.0,7.0,0.0
220,83.0,0.0,120.0,1.0,0.0
221,67.0,0.0,15.0,7.0,0.0
222,64.0,0.0,15.0,7.0,0.0
223,52.0,0.0,15.0,7.0,0.0
224,59.0,10.0,15.0,7.0,0.0
225,40.0,0.0,15.0,7.0,0.0
226,52.0,0.0,15.0,7.0,0.0
227,67.0,0.0,15.0,7.0,0.0
228,59.0,0.0,15.0,7.0,0.0
229,40.0,0.0,15.0,7.0,0.0
230,64.0,10.0,15.0,7.0,0.0
231,64.0,0.0,15.0,7.0,0.0
232,40.0,0.0,15.0,7.0,0.0
233,59.0,0.0,15.0,7.0,0.0
234,52.0,2.0,15.0,7.0,0.0
235,67.0,0.0,15.0,7.0,0.0
236,67.0,0.0,60.0,4.0,0.0
237,43.0,0.0,60.0,7.0,0.0
238,59.0,0.0,60.0,4.0,0.0
239,81.0,40.0,20.0,1.0,0.0
240,71.0,0.0,60.0,7.0,0.0
241,64.0,0.0,60.0,7.0,0.0
242,55.0,0.0,60.0,7.0,0.0
243,55.0,20.0,60.0,3.0,0.0
244,76.0,0.0,60.0,2.0,0.0
245,71.0,0.0,60.0,2.0,0.0
246,71.0,0.0,60.0,4.0,0.0
247,59.0,0.0,60.0,7.0,0.0
248,67.0,0.0,60.0,3.0,0.0
249,52.0,0.0,60.0,6.0,0.0
250,79.0,0.0,30.0,1.0,0.0
251,67.0,0.0,60.0,3.0,0.0
252,71.0,0.0,60.0,2.0,0.0
253,76.0,0.0,60.0,2.0,0.0
254,59.0,0.0,60.0,4.0,0.0
255,55.0,0.0,60.0,3.0,0.0
256,71.0,0.0,60.0,4.0,0.0
257,78.0,18.0,20.0,1.0,0.0
258,67.0,60.0,60.0,4.0,0.0
259,76.0,0.0,30.0,1.0,0.0
260,59.0,0.0,15.0,7.0,0.0
261,71.0,0.0,15.0,7.0,0.0
262,64.0,0.0,15.0,7.0,0.0
263,43.0,0.0,15.0,7.0,0.0
264,55.0,10.0,15.0,7.0,0.0
265,71.0,0.0,15.0,7.0,0.0
266,43.0,0.0,15.0,7.0,0.0
267,59.0,0.0,15.0,7.0,0.0
268,64.0,10.0,15.0,7.0,0.0
269,55.0,0.0,15.0,7.0,0.0
270,71.0,0.0,15.0,7.0,0.0
271,59.0,0.0,15.0,7.0,0.0
272,64.0,0.0,15.0,7.0,0.0
273,43.0,2.0,15.0,7.0,0.0
274,55.0,0.0,15.0,7.0,0.0
275,64.0,0.0,60.0,7.0,0.0
276,64.0,0.0,120.0,3.0,0.0
277,59.0,38.0,180.0,4.0,0.0
278,47.0,0.0,60.0,7.0,0.0
279,59.0,10.0,60.0,7.0,0.0
280,71.0,0.0,60.0,2.0,0.0
281,71.0,0.0,180.0,4.0,0.0
282,71.0,0.0,60.0,7.0,0.0
283,67.0,0.0,60.0,7.0,0.0
284,76.0,50.0,120.0,1.0,0.0
285,47.0,0.0,60.0,6.0,0.0
286,79.0,0.0,120.0,1.0,0.0
287,67.0,28.0,60.0,3.0,0.0
288,76.0,0.0,60.0,2.0,0.0
289,47.0,10.0,60.0,6.0,0.0
290,70.0,0.0,60.0,3.0,0.0
291,73.0,0.0,60.0,2.0,0.0
292,67.0,0.0,60.0,2.0,0.0
293,67.0,0.0,15.0,7.0,0.0
294,70.0,0.0,15.0,7.0,0.0
295,73.0,0.0,15.0,7.0,0.0
296,64.0,10.0,15.0,7.0,0.0
297,47.0,0.0,15.0,7.0,0.0
298,59.0,0.0,15.0,7.0,0.0
299,67.0,0.0,15.0,7.0,0.0
300,47.0,0.0,15.0,7.0,0.0
301,64.0,10.0,15.0,7.0,0.0
302,73.0,0.0,15.0,7.0,0.0
303,70.0,0.0,15.0,7.0,0.0
304,59.0,0.0,15.0,7.0,0.0
305,59.0,0.0,15.0,7.0,0.0
306,67.0,0.0,15.0,7.0,0.0
307,47.0,2.0,15.0,7.0,0.0
308,73.0,0.0,15.0,7.0,0.0
309,70.0,0.0,15.0,7.0,0.0
310,64.0,0.0,15.0,7.0,0.0
311,47.0,0.0,60.0,7.0,0.0
312,78.0,0.0,60.0,1.0,0.0
313,66.0,0.0,60.0,2.0,0.0
314,66.0,0.0,60.0,7.0,0.0
315,63.0,0.0,60.0,7.0,0.0
316,71.0,0.0,60.0,3.0,0.0
317,71.0,0.0,60.0,7.0,0.0
318,75.0,0.0,60.0,7.0,0.0
319,75.0,0.0,60.0,1.0,0.0
320,63.0,0.0,60.0,3.0,0.0
321,75.0,0.0,60.0,2.0,0.0
322,47.0,0.0,60.0,6.0,0.0
323,59.0,0.0,60.0,7.0,0.0
324,78.0,3.0,30.0,1.0,0.0
325,59.0,0.0,15.0,7.0,0.0
326,47.0,0.0,15.0,7.0,0.0
327,66.0,0.0,15.0,7.0,0.0
328,63.0,0.0,15.0,7.0,0.0
329,59.0,0.0,15.0,7.0,0.0
330,66.0,0.0,15.0,7.0,0.0
331,63.0,0.0,15.0,7.0,0.0
332,47.0,0.0,15.0,7.0,0.0
333,78.0,60.0,15.0,1.0,0.0
334,66.0,2.0,15.0,7.0,0.0
335,63.0,0.0,15.0,7.0,0.0
336,59.0,0.0,15.0,7.0,0.0
337,47.0,0.0,15.0,7.0,0.0
338,63.0,0.0,60.0,7.0,0.0
339,57.0,0.0,120.0,3.0,0.0
340,75.0,0.0,120.0,1.0,0.0
341,78.0,0.0,120.0,1.0,0.0
342,57.0,0.0,60.0,7.0,0.0
343,66.0,60.0,60.0,7.0,0.0
344,60.0,0.0,60.0,7.0,0.0
345,45.0,0.0,60.0,7.0,0.0
346,63.0,47.0,120.0,3.0,0.0
347,66.0,0.0,120.0,2.0,0.0
348,72.0,0.0,120.0,2.0,0.0
349,78.0,15.0,60.0,1.0,0.0
350,79.0,36.0,15.0,1.0,0.0
351,81.0,1.0,60.0,1.0,0.0
352,60.0,0.0,15.0,7.0,0.0
353,66.0,0.0,15.0,7.0,0.0
354,51.0,0.0,15.0,7.0,0.0
355,69.0,9.0,15.0,7.0,0.0
356,39.0,0.0,15.0,7.0,0.0
357,69.0,0.0,15.0,7.0,0.0
358,51.0,0.0,15.0,7.0,0.0
359,60.0,0.0,15.0,7.0,0.0
360,39.0,10.0,15.0,7.0,0.0
361,66.0,0.0,15.0,7.0,0.0
362,83.0,60.0,15.0,1.0,0.0
363,66.0,0.0,15.0,7.0,0.0
364,69.0,0.0,15.0,7.0,0.0
365,60.0,0.0,15.0,7.0,0.0
366,51.0,0.0,15.0,7.0,0.0
367,39.0,2.0,15.0,7.0,0.0
368,78.0,98.0,120.0,1.0,0.0
369,69.0,0.0,60.0,7.0,0.0
370,66.0,0.0,60.0,7.0,0.0
371,51.0,60.0,60.0,7.0,0.0
372,69.0,0.0,300.0,4.0,0.0
373,63.0,0.0,120.0,3.0,0.0
374,39.0,0.0,60.0,7.0,0.0
375,51.0,0.0,120.0,3.0,0.0
376,84.0,0.0,300.0,1.0,0.0
377,72.0,0.0,60.0,2.0,0.0
378,60.0,0.0,60.0,7.0,0.0
379,69.0,0.0,60.0,2.0,0.0
380,72.0,0.0,180.0,2.0,0.0
381,51.0,0.0,15.0,7.0,0.0
382,66.0,10.0,15.0,7.0,0.0
383,39.0,0.0,15.0,7.0,0.0
384,69.0,0.0,15.0,7.0,0.0
385,72.0,0.0,15.0,7.0,0.0
386,51.0,0.0,15.0,7.0,0.0
387,69.0,0.0,15.0,7.0,0.0
388,72.0,0.0,15.0,7.0,0.0
389,39.0,0.0,15.0,7.0,0.0
390,66.0,10.0,15.0,7.0,0.0
391,72.0,0.0,15.0,7.0,0.0
392,51.0,62.0,15.0,7.0,0.0
393,39.0,0.0,15.0,7.0,0.0
394,69.0,0.0,15.0,7.0,0.0
395,66.0,0.0,15.0,7.0,0.0
396,66.0,10.0,60.0,7.0,0.0
397,62.0,0.0,60.0,3.0,0.0
398,50.0,28.0,60.0,3.0,0.0
399,72.0,0.0,60.0,7.0,0.0
400,38.0,0.0,60.0,7.0,0.0
401,50.0,0.0,60.0,7.0,0.0
402,69.0,0.0,60.0,7.0,0.0
403,62.0,10.0,60.0,4.0,0.0
404,74.0,0.0,120.0,1.0,0.0
405,81.0,50.0,60.0,1.0,0.0
406,72.0,0.0,60.0,2.0,0.0
407,54.0,0.0,60.0,3.0,0.0
408,69.0,0.0,60.0,2.0,0.0
409,57.0,0.0,60.0,3.0,0.0
410,50.0,0.0,15.0,7.0,0.0
411,62.0,0.0,15.0,7.0,0.0
412,69.0,0.0,15.0,7.0,0.0
413,38.0,10.0,15.0,7.0,0.0
414,72.0,0.0,15.0,7.0,0.0
415,50.0,10.0,15.0,7.0,0.0
416,38.0,0.0,15.0,7.0,0.0
