,note,step,duration,channel,velocity
0,74.0,5.0,120.0,10.0,0.0
1,62.0,2.0,60.0,11.0,0.0
2,62.0,0.0,60.0,12.0,0.0
3,62.0,1.0,720.0,4.0,0.0
4,50.0,53.0,60.0,6.0,0.0
5,50.0,3.0,120.0,13.0,0.0
6,50.0,1.0,720.0,5.0,0.0
7,38.0,54.0,120.0,14.0,0.0
8,66.0,2.0,60.0,12.0,0.0
9,69.0,0.0,60.0,11.0,0.0
10,54.0,1.0,60.0,6.0,0.0
11,57.0,0.0,60.0,6.0,0.0
12,66.0,2.0,60.0,12.0,0.0
13,69.0,0.0,60.0,11.0,0.0
14,57.0,58.0,60.0,6.0,0.0
15,54.0,0.0,60.0,6.0,0.0
16,71.0,0.0,60.0,11.0,0.0
17,67.0,2.0,60.0,12.0,0.0
18,55.0,0.0,60.0,6.0,0.0
19,59.0,53.0,60.0,6.0,0.0
20,69.0,2.0,60.0,11.0,0.0
21,66.0,0.0,60.0,12.0,0.0
22,57.0,0.0,60.0,6.0,0.0
23,54.0,63.0,60.0,6.0,0.0
24,66.0,0.0,60.0,12.0,0.0
25,69.0,2.0,60.0,11.0,0.0
26,54.0,58.0,60.0,6.0,0.0
27,57.0,0.0,60.0,6.0,0.0
28,67.0,0.0,60.0,11.0,0.0
29,64.0,2.0,60.0,12.0,0.0
30,52.0,53.0,60.0,6.0,0.0
31,55.0,0.0,60.0,6.0,0.0
32,62.0,2.0,60.0,12.0,0.0
33,66.0,0.0,60.0,11.0,0.0
34,54.0,63.0,60.0,6.0,0.0
35,50.0,0.0,60.0,6.0,0.0
36,62.0,2.0,60.0,12.0,0.0
37,66.0,0.0,60.0,11.0,0.0
38,54.0,0.0,60.0,6.0,0.0
39,50.0,58.0,60.0,6.0,0.0
40,64.0,0.0,60.0,11.0,0.0
41,61.0,2.0,60.0,12.0,0.0
42,45.0,0.0,60.0,6.0,0.0
43,52.0,26.0,60.0,6.0,0.0
44,74.0,27.0,30.0,10.0,0.0
45,62.0,2.0,60.0,12.0,0.0
46,62.0,0.0,60.0,11.0,0.0
47,54.0,1.0,60.0,6.0,0.0
48,50.0,0.0,60.0,6.0,0.0
49,76.0,30.0,30.0,10.0,0.0
50,78.0,25.0,30.0,10.0,0.0
51,62.0,1.0,60.0,11.0,0.0
52,62.0,0.0,60.0,12.0,0.0
53,50.0,0.0,60.0,6.0,0.0
54,54.0,59.0,60.0,6.0,0.0
55,76.0,3.0,30.0,10.0,0.0
56,76.0,2.0,60.0,10.0,0.0
57,62.0,0.0,60.0,11.0,0.0
58,62.0,2.0,60.0,12.0,0.0
59,62.0,1.0,720.0,4.0,0.0
60,50.0,53.0,60.0,6.0,0.0
61,54.0,0.0,60.0,6.0,0.0
62,50.0,3.0,120.0,13.0,0.0
63,50.0,1.0,720.0,5.0,0.0
64,38.0,52.0,120.0,14.0,0.0
65,74.0,2.0,120.0,10.0,0.0
66,69.0,2.0,60.0,11.0,0.0
67,66.0,0.0,60.0,12.0,0.0
68,57.0,6.0,60.0,6.0,0.0
69,54.0,0.0,60.0,6.0,0.0
70,69.0,2.0,60.0,11.0,0.0
71,66.0,0.0,60.0,12.0,0.0
72,57.0,0.0,60.0,6.0,0.0
73,54.0,58.0,60.0,6.0,0.0
74,71.0,2.0,60.0,11.0,0.0
75,67.0,0.0,60.0,12.0,0.0
76,59.0,0.0,60.0,6.0,0.0
77,55.0,53.0,60.0,6.0,0.0
78,66.0,2.0,60.0,12.0,0.0
79,69.0,0.0,60.0,11.0,0.0
80,57.0,63.0,60.0,6.0,0.0
81,54.0,0.0,60.0,6.0,0.0
82,69.0,2.0,60.0,11.0,0.0
83,66.0,0.0,60.0,12.0,0.0
84,54.0,58.0,60.0,6.0,0.0
