,note,step,duration,channel,velocity
0,52.0,115.0,2760.0,12.0,64.0
1,45.0,0.0,2760.0,13.0,64.0
2,73.0,80.0,240.0,10.0,64.0
3,74.0,240.0,90.0,10.0,64.0
4,78.0,400.0,90.0,10.0,64.0
5,76.0,120.0,240.0,10.0,64.0
6,74.0,115.0,120.0,10.0,64.0
7,73.0,85.0,120.0,10.0,64.0
8,71.0,240.0,90.0,10.0,64.0
9,64.0,400.0,90.0,10.0,64.0
10,69.0,240.0,240.0,10.0,64.0
11,68.0,0.0,240.0,11.0,64.0
12,71.0,240.0,240.0,10.0,64.0
13,69.0,0.0,240.0,11.0,64.0
14,73.0,120.0,240.0,10.0,64.0
15,74.0,0.0,120.0,10.0,64.0
16,71.0,0.0,120.0,11.0,64.0
17,73.0,845.0,120.0,10.0,64.0
18,69.0,0.0,120.0,11.0,64.0
19,71.0,120.0,840.0,10.0,64.0
20,68.0,600.0,960.0,11.0,64.0
21,52.0,0.0,960.0,12.0,64.0
22,40.0,0.0,960.0,13.0,64.0
23,45.0,115.0,1800.0,13.0,64.0
24,57.0,0.0,480.0,12.0,64.0
25,61.0,240.0,240.0,11.0,64.0
26,62.0,160.0,240.0,11.0,64.0
27,54.0,75.0,390.0,12.0,64.0
28,66.0,365.0,240.0,11.0,64.0
29,64.0,0.0,1200.0,11.0,64.0
30,56.0,0.0,720.0,12.0,64.0
31,71.0,120.0,120.0,10.0,64.0
32,73.0,240.0,120.0,10.0,64.0
33,74.0,120.0,240.0,10.0,64.0
34,52.0,5.0,240.0,12.0,64.0
35,71.0,235.0,240.0,10.0,64.0
36,45.0,0.0,1800.0,13.0,64.0
37,57.0,240.0,480.0,12.0,64.0
38,73.0,245.0,240.0,10.0,64.0
39,61.0,0.0,240.0,11.0,64.0
40,54.0,75.0,390.0,12.0,64.0
41,62.0,160.0,240.0,11.0,64.0
42,74.0,235.0,240.0,10.0,64.0
43,66.0,5.0,240.0,11.0,64.0
44,64.0,115.0,840.0,11.0,64.0
45,56.0,120.0,720.0,12.0,64.0
46,71.0,125.0,240.0,10.0,64.0
47,71.0,120.0,120.0,10.0,64.0
48,73.0,240.0,120.0,10.0,64.0
49,74.0,0.0,240.0,10.0,64.0
50,71.0,485.0,240.0,10.0,64.0
51,52.0,0.0,240.0,12.0,64.0
52,57.0,0.0,480.0,13.0,64.0
53,64.0,480.0,480.0,11.0,64.0
54,73.0,0.0,480.0,10.0,64.0
55,57.0,0.0,480.0,12.0,64.0
56,76.0,0.0,480.0,10.0,64.0
57,64.0,0.0,480.0,12.0,64.0
58,69.0,0.0,480.0,11.0,64.0
59,61.0,720.0,480.0,13.0,64.0
60,64.0,235.0,720.0,12.0,64.0
61,68.0,0.0,720.0,11.0,64.0
62,74.0,0.0,720.0,10.0,64.0
63,59.0,0.0,720.0,13.0,64.0
64,69.0,485.0,240.0,11.0,64.0
65,57.0,0.0,240.0,13.0,64.0
66,69.0,0.0,240.0,12.0,64.0
67,73.0,0.0,240.0,10.0,64.0
68,78.0,0.0,480.0,10.0,64.0
69,74.0,0.0,480.0,11.0,64.0
70,50.0,0.0,480.0,13.0,64.0
71,69.0,480.0,480.0,12.0,64.0
72,73.0,0.0,480.0,11.0,64.0
73,57.0,80.0,480.0,13.0,64.0
74,76.0,0.0,480.0,10.0,64.0
75,64.0,115.0,1320.0,12.0,64.0
76,71.0,280.0,90.0,10.0,64.0
77,68.0,0.0,840.0,11.0,64.0
78,52.0,0.0,840.0,13.0,64.0
79,71.0,120.0,120.0,10.0,64.0
80,73.0,240.0,120.0,10.0,64.0
81,74.0,120.0,240.0,10.0,64.0
82,71.0,405.0,240.0,10.0,64.0
83,69.0,80.0,390.0,11.0,64.0
84,73.0,400.0,480.0,10.0,64.0
85,61.0,0.0,480.0,12.0,64.0
86,45.0,0.0,480.0,13.0,64.0
87,64.0,0.0,390.0,4.0,64.0
88,33.0,0.0,480.0,14.0,64.0
89,52.0,0.0,390.0,4.0,64.0
90,64.0,0.0,480.0,12.0,64.0
91,37.0,640.0,480.0,14.0,64.0
92,49.0,0.0,480.0,13.0,64.0
93,64.0,80.0,390.0,4.0,64.0
94,52.0,0.0,390.0,4.0,64.0
95,69.0,0.0,480.0,11.0,64.0
96,57.0,0.0,480.0,12.0,64.0
97,61.0,0.0,480.0,12.0,64.0
98,76.0,0.0,480.0,10.0,64.0
99,62.0,0.0,720.0,12.0,64.0
100,35.0,0.0,720.0,14.0,64.0
101,64.0,0.0,630.0,4.0,64.0
102,52.0,80.0,630.0,4.0,64.0
103,68.0,0.0,720.0,11.0,64.0
104,47.0,0.0,720.0,13.0,64.0
105,59.0,0.0,720.0,12.0,64.0
106,74.0,235.0,720.0,10.0,64.0
107,57.0,0.0,240.0,4.0,64.0
108,69.0,0.0,240.0,4.0,64.0
109,69.0,0.0,240.0,11.0,64.0
110,45.0,0.0,240.0,13.0,64.0
111,64.0,245.0,240.0,12.0,64.0
112,61.0,0.0,240.0,12.0,64.0
113,33.0,0.0,240.0,14.0,64.0
114,73.0,0.0,240.0,10.0,64.0
115,74.0,0.0,480.0,11.0,64.0
116,57.0,0.0,390.0,4.0,64.0
117,66.0,160.0,240.0,12.0,64.0
118,69.0,80.0,390.0,4.0,64.0
119,50.0,235.0,480.0,13.0,64.0
120,38.0,0.0,480.0,14.0,64.0
121,78.0,0.0,480.0,10.0,64.0
122,68.0,0.0,240.0,12.0,64.0
123,57.0,0.0,390.0,4.0,64.0
124,69.0,0.0,390.0,4.0,64.0
125,76.0,0.0,390.0,10.0,64.0
126,73.0,0.0,390.0,11.0,64.0
127,69.0,85.0,240.0,12.0,64.0
128,33.0,0.0,390.0,14.0,64.0
129,45.0,160.0,390.0,13.0,64.0
130,52.0,80.0,90.0,12.0,64.0
131,76.0,280.0,90.0,10.0,64.0
132,52.0,0.0,630.0,13.0,64.0
133,68.0,0.0,630.0,11.0,64.0
134,59.0,0.0,630.0,12.0,64.0
135,40.0,160.0,630.0,14.0,64.0
136,64.0,75.0,390.0,4.0,64.0
137,52.0,0.0,390.0,4.0,64.0
138,71.0,40.0,120.0,10.0,64.0
139,73.0,85.0,120.0,10.0,64.0
140,74.0,80.0,90.0,10.0,64.0
141,40.0,0.0,240.0,14.0,64.0
142,52.0,0.0,240.0,13.0,64.0
143,69.0,0.0,240.0,11.0,64.0
144,75.0,155.0,90.0,10.0,64.0
145,66.0,85.0,240.0,12.0,64.0
146,59.0,0.0,630.0,12.0,64.0
147,52.0,0.0,390.0,4.0,64.0
148,40.0,0.0,630.0,14.0,64.0
149,52.0,160.0,630.0,13.0,64.0
150,76.0,280.0,90.0,10.0,64.0
151,68.0,0.0,630.0,11.0,64.0
152,64.0,75.0,390.0,4.0,64.0
153,71.0,40.0,120.0,10.0,64.0
154,73.0,85.0,120.0,10.0,64.0
155,74.0,80.0,90.0,10.0,64.0
156,52.0,0.0,240.0,13.0,64.0
157,40.0,0.0,240.0,14.0,64.0
158,75.0,155.0,90.0,10.0,64.0
159,66.0,0.0,240.0,12.0,64.0
160,69.0,85.0,240.0,11.0,64.0
161,40.0,0.0,630.0,14.0,64.0
162,59.0,0.0,630.0,12.0,64.0
163,52.0,0.0,390.0,4.0,64.0
164,64.0,75.0,390.0,4.0,64.0
165,76.0,280.0,90.0,10.0,64.0
166,68.0,160.0,630.0,11.0,64.0
167,52.0,0.0,630.0,13.0,64.0
168,71.0,40.0,120.0,10.0,64.0
169,73.0,85.0,120.0,10.0,64.0
170,74.0,80.0,90.0,10.0,64.0
171,66.0,0.0,240.0,12.0,64.0
172,69.0,0.0,240.0,11.0,64.0
173,52.0,0.0,240.0,13.0,64.0
174,75.0,155.0,90.0,10.0,64.0
175,40.0,85.0,240.0,14.0,64.0
176,40.0,0.0,630.0,14.0,64.0
177,52.0,0.0,630.0,13.0,64.0
178,68.0,0.0,630.0,11.0,64.0
179,64.0,0.0,390.0,4.0,64.0
180,52.0,75.0,390.0,4.0,64.0
181,76.0,280.0,90.0,10.0,64.0
182,59.0,160.0,630.0,12.0,64.0
183,71.0,40.0,120.0,10.0,64.0
184,73.0,85.0,120.0,10.0,64.0
185,74.0,80.0,90.0,10.0,64.0
186,75.0,155.0,90.0,10.0,64.0
187,69.0,0.0,240.0,11.0,64.0
188,66.0,85.0,240.0,12.0,64.0
189,52.0,0.0,240.0,13.0,64.0
190,40.0,0.0,240.0,14.0,64.0
191,52.0,160.0,630.0,13.0,64.0
192,76.0,280.0,90.0,10.0,64.0
193,64.0,75.0,390.0,4.0,64.0
194,40.0,0.0,630.0,14.0,64.0
195,68.0,0.0,630.0,11.0,64.0
196,59.0,0.0,630.0,12.0,64.0
197,64.0,0.0,90.0,3.0,64.0
198,52.0,0.0,390.0,4.0,64.0
199,59.0,40.0,120.0,3.0,64.0
200,71.0,0.0,120.0,10.0,64.0
201,61.0,80.0,120.0,3.0,64.0
202,73.0,5.0,120.0,10.0,64.0
203,62.0,0.0,90.0,3.0,64.0
204,74.0,80.0,90.0,10.0,64.0
205,40.0,0.0,240.0,14.0,64.0
206,66.0,0.0,240.0,12.0,64.0
207,52.0,85.0,240.0,13.0,64.0
208,63.0,0.0,90.0,3.0,64.0
209,75.0,155.0,90.0,10.0,64.0
210,69.0,0.0,240.0,11.0,64.0
211,52.0,0.0,630.0,13.0,64.0
212,59.0,0.0,630.0,12.0,64.0
213,76.0,280.0,90.0,10.0,64.0
214,64.0,0.0,390.0,4.0,64.0
215,68.0,0.0,630.0,11.0,64.0
216,52.0,75.0,390.0,4.0,64.0
217,64.0,0.0,90.0,3.0,64.0
218,40.0,160.0,630.0,14.0,64.0
219,71.0,40.0,120.0,10.0,64.0
220,73.0,85.0,120.0,10.0,64.0
221,74.0,80.0,90.0,10.0,64.0
222,75.0,155.0,90.0,10.0,64.0
223,40.0,85.0,240.0,14.0,64.0
224,52.0,0.0,240.0,13.0,64.0
225,69.0,0.0,240.0,11.0,64.0
226,66.0,0.0,240.0,12.0,64.0
227,68.0,0.0,630.0,11.0,64.0
228,59.0,160.0,630.0,12.0,64.0
229,40.0,0.0,630.0,14.0,64.0
230,52.0,75.0,390.0,4.0,64.0
231,52.0,0.0,630.0,13.0,64.0
232,76.0,280.0,90.0,10.0,64.0
233,64.0,0.0,390.0,4.0,64.0
234,71.0,40.0,120.0,10.0,64.0
235,73.0,85.0,120.0,10.0,64.0
236,74.0,80.0,90.0,10.0,64.0
237,66.0,85.0,240.0,12.0,64.0
238,75.0,155.0,90.0,10.0,64.0
239,40.0,0.0,240.0,14.0,64.0
240,69.0,0.0,240.0,11.0,64.0
241,52.0,0.0,240.0,13.0,64.0
242,68.0,160.0,630.0,11.0,64.0
243,64.0,0.0,390.0,4.0,64.0
244,52.0,75.0,390.0,4.0,64.0
245,40.0,0.0,630.0,14.0,64.0
246,59.0,0.0,630.0,12.0,64.0
247,52.0,0.0,630.0,13.0,64.0
248,76.0,280.0,90.0,10.0,64.0
249,71.0,40.0,120.0,10.0,64.0
250,73.0,85.0,120.0,10.0,64.0
251,74.0,80.0,90.0,10.0,64.0
252,40.0,0.0,240.0,14.0,64.0
253,52.0,0.0,240.0,13.0,64.0
254,66.0,0.0,240.0,12.0,64.0
255,69.0,85.0,240.0,11.0,64.0
256,75.0,155.0,90.0,10.0,64.0
257,64.0,0.0,390.0,4.0,64.0
258,52.0,0.0,630.0,13.0,64.0
259,40.0,0.0,630.0,14.0,64.0
260,68.0,0.0,630.0,11.0,64.0
261,59.0,160.0,630.0,12.0,64.0
262,76.0,280.0,90.0,10.0,64.0
263,52.0,75.0,390.0,4.0,64.0
264,71.0,40.0,120.0,10.0,64.0
265,73.0,85.0,120.0,10.0,64.0
266,74.0,80.0,90.0,10.0,64.0
267,69.0,85.0,240.0,11.0,64.0
