,note,step,duration,channel,velocity
0,54.0,0,192,2.0,80.0
1,66.0,0,192,2.0,80.0
2,67.0,120,192,1.0,80.0
3,79.0,0,192,1.0,80.0
4,52.0,120,192,2.0,80.0
5,64.0,0,192,2.0,80.0
6,67.0,0,216,1.0,80.0
7,79.0,120,216,1.0,80.0
8,62.0,120,192,2.0,80.0
9,50.0,0,192,2.0,80.0
10,79.0,0,192,1.0,80.0
11,67.0,120,192,1.0,80.0
12,49.0,120,192,2.0,80.0
13,61.0,0,192,2.0,80.0
14,67.0,120,96,1.0,80.0
15,79.0,0,96,1.0,80.0
16,47.0,0,192,2.0,80.0
17,59.0,120,192,2.0,80.0
18,61.0,0,192,1.0,80.0
19,64.0,120,192,1.0,80.0
20,58.0,0,192,2.0,80.0
21,46.0,120,192,2.0,80.0
22,64.0,0,216,1.0,80.0
23,61.0,120,216,1.0,80.0
24,43.0,0,192,2.0,80.0
25,55.0,120,192,2.0,80.0
26,61.0,120,192,1.0,80.0
27,64.0,0,192,1.0,80.0
28,42.0,0,192,2.0,80.0
29,54.0,120,192,2.0,80.0
30,61.0,0,96,1.0,80.0
31,64.0,120,96,1.0,80.0
32,62.0,120,96,0.0,80.0
33,35.0,0,192,2.0,80.0
34,54.0,120,96,1.0,80.0
35,59.0,0,96,1.0,80.0
36,62.0,0,96,1.0,80.0
37,62.0,0,168,0.0,80.0
38,61.0,60,48,0.0,80.0
39,59.0,60,48,0.0,80.0
40,47.0,120,192,2.0,80.0
41,64.0,0,96,1.0,80.0
42,55.0,0,96,1.0,80.0
43,59.0,0,96,1.0,80.0
44,61.0,60,48,0.0,80.0
45,62.0,60,96,0.0,80.0
46,47.0,0,192,2.0,80.0
47,59.0,0,96,1.0,80.0
48,62.0,0,96,1.0,80.0
49,54.0,0,96,1.0,80.0
50,62.0,120,168,0.0,80.0
51,61.0,60,48,0.0,80.0
52,59.0,0,48,0.0,80.0
53,47.0,120,192,2.0,80.0
54,64.0,0,96,1.0,80.0
55,59.0,60,96,1.0,80.0
56,55.0,0,96,1.0,80.0
57,61.0,60,48,0.0,80.0
58,62.0,60,96,0.0,80.0
59,47.0,0,192,2.0,80.0
60,54.0,120,96,1.0,80.0
61,59.0,0,96,1.0,80.0
62,62.0,0,96,1.0,80.0
63,62.0,0,168,0.0,80.0
64,61.0,60,48,0.0,80.0
65,59.0,0,48,0.0,80.0
66,47.0,120,192,2.0,80.0
67,64.0,0,96,1.0,80.0
68,61.0,60,96,1.0,80.0
69,54.0,0,96,1.0,80.0
70,58.0,60,48,0.0,80.0
71,47.0,60,192,2.0,80.0
72,59.0,0,192,0.0,80.0
73,59.0,0,96,1.0,80.0
74,62.0,120,96,1.0,80.0
75,54.0,0,96,1.0,80.0
76,47.0,120,192,2.0,80.0
77,59.0,120,96,0.0,80.0
78,54.0,0,96,1.0,80.0
79,57.0,0,96,1.0,80.0
80,63.0,0,96,1.0,80.0
81,59.0,0,96,1.0,80.0
82,67.0,120,96,0.0,80.0
83,35.0,0,192,2.0,80.0
84,59.0,0,96,1.0,80.0
85,64.0,0,96,1.0,80.0
86,55.0,120,96,1.0,80.0
87,67.0,0,168,0.0,80.0
88,66.0,60,48,0.0,80.0
89,64.0,60,48,0.0,80.0
90,47.0,120,192,2.0,80.0
91,69.0,0,96,1.0,80.0
92,64.0,0,96,1.0,80.0
93,60.0,0,96,1.0,80.0
94,66.0,60,48,0.0,80.0
95,67.0,60,96,0.0,80.0
96,47.0,0,192,2.0,80.0
97,64.0,120,96,1.0,80.0
98,67.0,0,96,1.0,80.0
99,59.0,0,96,1.0,80.0
100,67.0,0,168,0.0,80.0
101,66.0,60,48,0.0,80.0
102,64.0,0,48,0.0,80.0
103,47.0,120,192,2.0,80.0
104,69.0,0,96,1.0,80.0
105,64.0,0,96,1.0,80.0
106,60.0,60,96,1.0,80.0
107,66.0,60,48,0.0,80.0
108,67.0,60,96,0.0,80.0
109,47.0,0,192,2.0,80.0
110,67.0,0,96,1.0,80.0
111,64.0,0,96,1.0,80.0
112,59.0,120,96,1.0,80.0
113,67.0,0,168,0.0,80.0
114,66.0,60,48,0.0,80.0
115,64.0,0,48,0.0,80.0
116,47.0,120,192,2.0,80.0
117,69.0,60,96,1.0,80.0
118,66.0,0,96,1.0,80.0
119,59.0,0,96,1.0,80.0
120,63.0,60,48,0.0,80.0
121,47.0,0,192,2.0,80.0
122,67.0,120,96,1.0,80.0
123,64.0,0,96,1.0,80.0
124,59.0,0,96,1.0,80.0
125,64.0,60,288,0.0,80.0
126,47.0,120,192,2.0,80.0
127,59.0,0,96,1.0,80.0
128,64.0,0,96,1.0,80.0
129,67.0,0,96,1.0,80.0
130,55.0,120,96,1.0,80.0
131,64.0,120,192,0.0,80.0
132,52.0,0,96,2.0,80.0
133,64.0,120,96,1.0,80.0
134,49.0,0,96,2.0,80.0
135,61.0,120,96,1.0,80.0
136,55.0,0,192,0.0,80.0
137,47.0,120,96,2.0,80.0
138,59.0,0,96,1.0,80.0
139,58.0,120,96,1.0,80.0
140,46.0,0,96,2.0,80.0
141,54.0,0,192,0.0,80.0
142,66.0,120,96,1.0,80.0
143,54.0,0,96,2.0,80.0
144,62.0,0,96,1.0,80.0
145,50.0,0,96,2.0,80.0
146,59.0,120,96,1.0,80.0
147,47.0,0,96,2.0,80.0
148,59.0,120,336,0.0,80.0
149,58.0,120,96,0.0,80.0
150,66.0,0,192,1.0,80.0
151,58.0,0,192,1.0,80.0
152,54.0,0,192,1.0,80.0
153,61.0,0,192,1.0,80.0
154,59.0,120,96,0.0,80.0
155,42.0,120,384,2.0,80.0
156,66.0,0,96,1.0,80.0
157,61.0,0,96,1.0,80.0
158,58.0,0,96,1.0,80.0
159,54.0,0,96,1.0,80.0
160,64.0,120,216,0.0,80.0
161,62.0,0,48,0.0,80.0
162,61.0,60,48,0.0,80.0
163,54.0,0,192,1.0,80.0
164,66.0,120,192,1.0,80.0
165,62.0,0,192,1.0,80.0
166,59.0,0,192,1.0,80.0
167,47.0,120,384,2.0,80.0
168,59.0,60,192,0.0,80.0
169,66.0,0,96,1.0,80.0
170,62.0,0,96,1.0,80.0
171,59.0,120,96,1.0,80.0
172,54.0,0,96,1.0,80.0
173,67.0,120,192,0.0,80.0
174,67.0,0,96,1.0,80.0
175,55.0,120,96,2.0,80.0
176,52.0,0,96,2.0,80.0
177,64.0,120,96,1.0,80.0
178,58.0,0,192,0.0,80.0
179,50.0,120,96,2.0,80.0
180,62.0,0,96,1.0,80.0
181,49.0,120,96,2.0,80.0
182,61.0,0,96,1.0,80.0
183,57.0,0,192,0.0,80.0
184,69.0,0,96,1.0,80.0
185,45.0,0,96,2.0,80.0
186,57.0,120,96,2.0,80.0
187,66.0,0,96,1.0,80.0
188,42.0,0,96,2.0,80.0
189,54.0,120,96,2.0,80.0
190,50.0,0,96,2.0,80.0
191,38.0,0,96,2.0,80.0
192,62.0,120,96,1.0,80.0
193,62.0,0,336,0.0,80.0
194,61.0,120,96,0.0,80.0
195,57.0,0,192,1.0,80.0
196,61.0,0,192,1.0,80.0
197,64.0,0,192,1.0,80.0
198,69.0,0,192,1.0,80.0
199,64.0,120,96,0.0,80.0
200,33.0,120,384,2.0,80.0
201,45.0,0,384,2.0,80.0
202,67.0,0,96,0.0,80.0
203,61.0,120,96,1.0,80.0
204,64.0,0,96,1.0,80.0
205,57.0,0,96,1.0,80.0
206,69.0,0,96,1.0,80.0
207,57.0,120,96,1.0,80.0
208,59.0,120,96,1.0,80.0
209,50.0,120,384,2.0,80.0
210,38.0,0,384,2.0,80.0
211,66.0,0,384,0.0,80.0
212,60.0,120,96,1.0,80.0
213,61.0,0,96,1.0,80.0
214,66.0,0,192,0.0,80.0
215,66.0,0,96,1.0,80.0
216,57.0,120,96,1.0,80.0
217,61.0,0,96,1.0,80.0
218,69.0,0,96,1.0,80.0
219,68.0,120,96,1.0,80.0
220,59.0,0,96,1.0,80.0
221,61.0,120,336,0.0,80.0
222,57.0,120,96,0.0,80.0
223,59.0,120,96,0.0,80.0
224,57.0,120,384,1.0,80.0
225,37.0,0,864,2.0,80.0
226,66.0,0,384,1.0,80.0
227,49.0,120,864,2.0,80.0
228,61.0,120,96,0.0,80.0
229,62.0,0,64,0.0,80.0
230,61.0,80,64,0.0,80.0
231,49.0,120,192,2.0,80.0
232,59.0,40,64,0.0,80.0
233,59.0,0,64,0.0,80.0
234,71.0,0,192,1.0,80.0
235,77.0,40,192,1.0,80.0
236,62.0,80,96,2.0,80.0
237,56.0,0,96,2.0,80.0
238,59.0,0,96,2.0,80.0
239,61.0,80,64,0.0,80.0
240,83.0,40,96,1.0,80.0
241,62.0,40,64,0.0,80.0
242,62.0,0,64,0.0,80.0
243,61.0,80,64,0.0,80.0
244,49.0,80,192,2.0,80.0
245,59.0,40,64,0.0,80.0
246,59.0,0,64,0.0,80.0
247,71.0,40,192,1.0,80.0
248,77.0,0,192,1.0,80.0
249,59.0,0,96,2.0,80.0
250,62.0,80,96,2.0,80.0
251,56.0,0,96,2.0,80.0
252,61.0,80,64,0.0,80.0
253,83.0,40,96,1.0,80.0
254,62.0,40,64,0.0,80.0
255,66.0,0,192,0.0,80.0
256,66.0,0,96,1.0,80.0
257,58.0,120,96,1.0,80.0
258,61.0,0,96,1.0,80.0
259,70.0,0,96,1.0,80.0
260,68.0,0,96,1.0,80.0
261,59.0,120,96,1.0,80.0
262,61.0,120,336,0.0,80.0
263,58.0,120,96,0.0,80.0
264,59.0,120,96,0.0,80.0
265,49.0,0,864,2.0,80.0
266,37.0,80,864,2.0,80.0
267,66.0,120,384,1.0,80.0
268,58.0,0,384,1.0,80.0
269,61.0,120,96,0.0,80.0
270,62.0,0,64,0.0,80.0
271,61.0,80,64,0.0,80.0
272,49.0,120,192,2.0,80.0
273,59.0,40,64,0.0,80.0
274,59.0,0,64,0.0,80.0
275,77.0,0,192,1.0,80.0
276,71.0,40,192,1.0,80.0
277,56.0,80,96,2.0,80.0
278,59.0,0,96,2.0,80.0
279,62.0,0,96,2.0,80.0
280,61.0,80,64,0.0,80.0
281,83.0,40,96,1.0,80.0
282,62.0,40,64,0.0,80.0
283,62.0,0,64,0.0,80.0
284,61.0,80,64,0.0,80.0
285,49.0,80,192,2.0,80.0
286,59.0,40,64,0.0,80.0
287,59.0,0,64,0.0,80.0
288,71.0,40,192,1.0,80.0
289,77.0,0,192,1.0,80.0
290,62.0,0,96,2.0,80.0
291,59.0,0,96,2.0,80.0
292,56.0,80,96,2.0,80.0
293,61.0,80,64,0.0,80.0
294,83.0,40,96,1.0,80.0
295,62.0,40,64,0.0,80.0
296,61.0,0,96,0.0,80.0
297,66.0,120,96,0.0,80.0
298,64.0,0,96,0.0,80.0
299,34.0,80,384,2.0,80.0
300,46.0,0,384,2.0,80.0
301,66.0,0,192,1.0,80.0
302,54.0,0,192,1.0,80.0
303,61.0,120,192,1.0,80.0
304,66.0,120,96,0.0,80.0
305,64.0,0,96,0.0,80.0
306,62.0,120,96,0.0,80.0
307,61.0,0,96,0.0,80.0
308,35.0,0,384,2.0,80.0
309,47.0,120,384,2.0,80.0
310,54.0,0,192,1.0,80.0
311,61.0,0,192,1.0,80.0
312,66.0,120,192,1.0,80.0
313,62.0,120,96,0.0,80.0
314,61.0,0,96,0.0,80.0
315,59.0,120,96,0.0,80.0
316,58.0,120,96,0.0,80.0
317,37.0,120,384,2.0,80.0
318,49.0,0,384,2.0,80.0
319,65.0,0,192,1.0,80.0
320,61.0,0,192,1.0,80.0
321,56.0,0,192,1.0,80.0
322,59.0,120,96,0.0,80.0
323,58.0,120,96,0.0,80.0
324,56.0,120,96,0.0,80.0
325,42.0,0,384,2.0,80.0
326,54.0,0,384,2.0,80.0
327,54.0,0,192,1.0,80.0
328,58.0,0,192,1.0,80.0
329,61.0,0,192,1.0,80.0
330,66.0,120,192,1.0,80.0
331,54.0,0,353,0.0,80.0
332,54.0,120,96,0.0,80.0
333,52.0,0,96,0.0,80.0
334,34.0,240,384,2.0,80.0
335,46.0,0,384,2.0,80.0
336,54.0,0,192,1.0,80.0
337,61.0,0,192,1.0,80.0
338,66.0,120,192,1.0,80.0
339,54.0,120,96,0.0,80.0
340,52.0,0,96,0.0,80.0
341,50.0,120,96,0.0,80.0
342,49.0,0,96,0.0,80.0
343,35.0,120,384,2.0,80.0
344,47.0,0,384,2.0,80.0
345,62.0,120,192,1.0,80.0
346,54.0,0,192,1.0,80.0
347,66.0,0,192,1.0,80.0
348,59.0,0,192,1.0,80.0
349,50.0,120,96,0.0,80.0
350,49.0,120,96,0.0,80.0
351,47.0,120,96,0.0,80.0
352,46.0,0,96,0.0,80.0
353,49.0,0,384,2.0,80.0
354,37.0,0,384,2.0,80.0
355,65.0,0,192,1.0,80.0
356,61.0,0,192,1.0,80.0
357,56.0,120,192,1.0,80.0
358,47.0,120,96,0.0,80.0
359,46.0,120,96,0.0,80.0
