,note,step,duration,channel,velocity
0,48.0,0,480,5.0,87.0
1,60.0,40,480,5.0,85.0
2,55.0,0,480,4.0,84.0
3,64.0,0,480,4.0,84.0
4,84.0,0,480,1.0,84.0
5,72.0,0,480,2.0,85.0
6,76.0,0,480,3.0,84.0
7,79.0,40,480,3.0,84.0
8,52.0,0,120,2.0,64.0
9,64.0,0,120,1.0,64.0
10,60.0,0,120,2.0,64.0
11,48.0,0,120,4.0,64.0
12,43.0,640,120,4.0,64.0
13,36.0,0,120,5.0,64.0
14,48.0,0,360,4.0,66.0
15,52.0,0,360,2.0,66.0
16,60.0,0,360,2.0,66.0
17,64.0,0,360,1.0,66.0
18,36.0,240,360,5.0,66.0
19,43.0,0,360,4.0,66.0
20,65.0,0,120,1.0,65.0
21,38.0,0,120,5.0,65.0
22,53.0,0,120,2.0,65.0
23,60.0,0,120,2.0,65.0
24,50.0,480,120,4.0,65.0
25,67.0,240,120,1.0,66.0
26,55.0,0,120,2.0,66.0
27,60.0,0,120,2.0,66.0
28,52.0,0,120,4.0,66.0
29,40.0,0,120,5.0,66.0
30,48.0,0,156,4.0,70.0
31,53.0,0,156,4.0,70.0
32,57.0,240,156,2.0,70.0
33,69.0,0,156,1.0,70.0
34,60.0,0,156,2.0,70.0
35,41.0,0,192,5.0,70.0
36,52.0,480,156,4.0,64.0
37,67.0,0,156,1.0,64.0
38,55.0,0,156,2.0,64.0
39,48.0,0,156,4.0,64.0
40,60.0,0,156,2.0,64.0
41,40.0,0,192,5.0,64.0
42,43.0,0,120,4.0,69.0
43,48.0,0,120,4.0,69.0
44,64.0,0,120,1.0,69.0
45,36.0,1200,120,5.0,69.0
46,60.0,0,120,2.0,69.0
47,52.0,0,120,2.0,69.0
48,52.0,0,360,2.0,71.0
49,60.0,0,360,2.0,71.0
50,64.0,0,360,1.0,71.0
51,48.0,0,360,4.0,71.0
52,43.0,0,360,4.0,71.0
53,36.0,240,360,5.0,71.0
54,53.0,0,120,2.0,69.0
55,60.0,0,120,2.0,69.0
56,65.0,0,120,1.0,69.0
57,38.0,480,120,5.0,69.0
58,50.0,0,120,4.0,69.0
59,52.0,0,120,4.0,71.0
60,67.0,0,120,1.0,71.0
61,55.0,0,120,2.0,71.0
62,40.0,0,120,5.0,71.0
63,60.0,240,120,2.0,71.0
64,41.0,0,360,5.0,74.0
65,60.0,240,360,2.0,74.0
66,57.0,0,360,2.0,74.0
67,69.0,0,360,1.0,74.0
68,53.0,0,360,4.0,74.0
69,48.0,0,360,4.0,74.0
70,60.0,0,120,2.0,73.0
71,40.0,480,120,5.0,73.0
72,48.0,0,120,4.0,73.0
73,55.0,0,120,2.0,73.0
74,52.0,0,120,4.0,73.0
