,note,step,duration,channel,velocity
0,71.0,2,102,1.0,0.0
1,71.0,0,102,2.0,0.0
2,67.0,8,102,2.0,0.0
3,43.0,36,60,13.0,0.0
4,62.0,14,102,3.0,0.0
5,55.0,0,102,3.0,0.0
6,50.0,60,60,13.0,0.0
7,71.0,30,74,1.0,0.0
8,71.0,8,102,2.0,0.0
9,67.0,0,102,2.0,0.0
10,55.0,8,60,13.0,0.0
11,55.0,0,102,3.0,0.0
12,62.0,3,102,3.0,0.0
13,62.0,60,60,13.0,0.0
14,71.0,11,30,1.0,0.0
15,72.0,2,102,1.0,0.0
16,64.0,0,102,2.0,0.0
17,67.0,8,102,2.0,0.0
18,64.0,36,60,13.0,0.0
19,60.0,14,102,3.0,0.0
20,55.0,0,102,3.0,0.0
21,60.0,60,60,13.0,0.0
22,71.0,2,102,1.0,0.0
23,71.0,0,102,2.0,0.0
24,67.0,8,102,2.0,0.0
25,43.0,36,60,13.0,0.0
26,62.0,14,102,3.0,0.0
27,55.0,0,102,3.0,0.0
28,50.0,60,60,13.0,0.0
29,71.0,30,74,1.0,0.0
30,67.0,8,102,2.0,0.0
31,71.0,0,102,2.0,0.0
32,55.0,8,60,13.0,0.0
33,55.0,3,102,3.0,0.0
34,62.0,0,102,3.0,0.0
35,62.0,60,60,13.0,0.0
36,71.0,11,30,1.0,0.0
37,76.0,2,102,1.0,0.0
38,66.0,8,102,2.0,0.0
39,69.0,0,102,2.0,0.0
40,60.0,36,60,13.0,0.0
41,55.0,14,102,3.0,0.0
42,60.0,0,102,3.0,0.0
43,57.0,60,60,13.0,0.0
44,71.0,2,110,1.0,0.0
45,71.0,0,102,2.0,0.0
46,67.0,6,102,2.0,0.0
47,43.0,38,60,13.0,0.0
48,62.0,14,102,3.0,0.0
49,55.0,0,102,3.0,0.0
50,50.0,54,60,13.0,0.0
51,71.0,6,60,1.0,0.0
52,67.0,6,102,2.0,0.0
53,71.0,0,102,2.0,0.0
54,55.0,38,60,13.0,0.0
55,55.0,14,102,3.0,0.0
56,62.0,0,102,3.0,0.0
57,74.0,2,50,1.0,0.0
58,59.0,54,60,13.0,0.0
59,72.0,6,60,1.0,0.0
60,62.0,6,102,2.0,0.0
61,66.0,0,102,2.0,0.0
62,57.0,4,60,13.0,0.0
63,55.0,8,102,3.0,0.0
64,62.0,34,60,3.0,0.0
65,69.0,2,50,1.0,0.0
66,50.0,60,60,13.0,0.0
67,60.0,6,50,3.0,0.0
68,71.0,2,102,1.0,0.0
69,62.0,0,102,2.0,0.0
70,67.0,8,102,2.0,0.0
71,43.0,36,60,13.0,0.0
72,55.0,0,102,3.0,0.0
73,59.0,14,102,3.0,0.0
74,50.0,60,60,13.0,0.0
75,71.0,2,120,1.0,0.0
76,62.0,4,120,2.0,0.0
77,67.0,24,160,2.0,0.0
78,55.0,46,60,13.0,0.0
79,59.0,0,102,3.0,0.0
80,55.0,8,102,3.0,0.0
81,62.0,24,60,13.0,0.0
82,72.0,2,30,1.0,0.0
83,64.0,10,30,2.0,0.0
84,67.0,4,60,13.0,0.0
85,55.0,0,102,3.0,0.0
86,71.0,2,30,1.0,0.0
87,66.0,38,30,2.0,0.0
88,62.0,0,30,2.0,0.0
89,69.0,2,30,1.0,0.0
90,60.0,0,30,2.0,0.0
91,64.0,70,30,2.0,0.0
92,67.0,10,102,1.0,0.0
93,62.0,40,60,2.0,0.0
94,59.0,0,60,2.0,0.0
95,55.0,14,102,3.0,0.0
96,43.0,60,60,13.0,0.0
97,64.0,2,102,1.0,0.0
98,62.0,0,102,2.0,0.0
99,55.0,8,102,2.0,0.0
100,48.0,36,60,13.0,0.0
101,55.0,14,102,3.0,0.0
102,47.0,60,60,13.0,0.0
103,66.0,2,102,1.0,0.0
104,60.0,8,102,2.0,0.0
105,45.0,36,60,13.0,0.0
106,55.0,14,102,3.0,0.0
107,50.0,60,60,13.0,0.0
108,62.0,2,102,1.0,0.0
109,57.0,8,102,2.0,0.0
110,60.0,0,102,2.0,0.0
111,43.0,36,60,13.0,0.0
112,55.0,14,102,3.0,0.0
113,50.0,60,60,13.0,0.0
114,67.0,2,102,1.0,0.0
115,55.0,8,102,2.0,0.0
116,59.0,0,102,2.0,0.0
117,55.0,36,60,13.0,0.0
118,55.0,14,102,3.0,0.0
119,62.0,24,60,13.0,0.0
120,72.0,2,30,1.0,0.0
121,67.0,0,30,2.0,0.0
122,64.0,34,30,2.0,0.0
123,67.0,4,60,13.0,0.0
124,55.0,0,102,3.0,0.0
125,71.0,2,30,1.0,0.0
126,66.0,38,30,2.0,0.0
127,62.0,0,30,2.0,0.0
128,69.0,2,30,1.0,0.0
129,64.0,0,30,2.0,0.0
130,60.0,110,30,2.0,0.0
131,67.0,2,102,1.0,0.0
132,62.0,8,102,2.0,0.0
133,59.0,0,102,2.0,0.0
134,55.0,14,102,3.0,0.0
135,43.0,60,60,13.0,0.0
136,64.0,2,102,1.0,0.0
137,59.0,8,102,2.0,0.0
138,62.0,0,102,2.0,0.0
139,55.0,36,60,13.0,0.0
140,55.0,14,102,3.0,0.0
141,52.0,60,60,13.0,0.0
142,66.0,2,102,1.0,0.0
143,61.0,8,102,2.0,0.0
144,57.0,0,102,2.0,0.0
145,45.0,36,60,13.0,0.0
146,57.0,14,102,3.0,0.0
147,57.0,104,60,13.0,0.0
148,64.0,2,110,1.0,0.0
149,55.0,0,110,2.0,0.0
150,61.0,8,110,2.0,0.0
151,57.0,0,110,3.0,0.0
152,50.0,6,110,3.0,0.0
153,38.0,60,60,13.0,0.0
154,62.0,0,240,1.0,0.0
155,54.0,8,230,2.0,0.0
156,57.0,0,230,2.0,0.0
157,45.0,60,60,13.0,0.0
158,50.0,0,230,3.0,0.0
159,57.0,6,230,3.0,0.0
160,50.0,60,60,13.0,0.0
161,54.0,46,60,13.0,0.0
162,57.0,60,60,13.0,0.0
163,67.0,10,110,1.0,0.0
164,76.0,0,110,1.0,0.0
165,50.0,44,60,13.0,0.0
166,50.0,6,110,3.0,0.0
167,57.0,0,110,3.0,0.0
168,57.0,60,60,13.0,0.0
169,74.0,10,230,1.0,0.0
170,66.0,0,230,1.0,0.0
171,62.0,60,60,13.0,0.0
172,50.0,6,230,3.0,0.0
173,57.0,0,230,3.0,0.0
174,57.0,60,60,13.0,0.0
175,50.0,44,60,13.0,0.0
176,57.0,104,60,13.0,0.0
177,64.0,2,110,1.0,0.0
178,55.0,8,110,2.0,0.0
179,60.0,0,110,2.0,0.0
180,50.0,6,110,3.0,0.0
181,57.0,0,110,3.0,0.0
182,38.0,60,60,13.0,0.0
183,62.0,6,240,1.0,0.0
184,54.0,8,230,2.0,0.0
185,57.0,0,230,2.0,0.0
186,45.0,60,60,13.0,0.0
187,60.0,0,230,3.0,0.0
188,50.0,0,230,3.0,0.0
