,note,step,duration,channel,velocity
0,72.0,0.0,90.0,1.0,64.0
1,60.0,216.0,90.0,1.0,64.0
2,60.0,0.0,180.0,1.0,64.0
3,72.0,240.0,180.0,1.0,64.0
4,60.0,264.0,180.0,1.0,64.0
5,72.0,0.0,180.0,1.0,64.0
6,60.0,216.0,210.0,1.0,64.0
7,72.0,0.0,210.0,1.0,64.0
8,60.0,240.0,180.0,1.0,64.0
9,72.0,0.0,180.0,1.0,64.0
10,60.0,0.0,180.0,1.0,64.0
11,72.0,120.0,180.0,1.0,64.0
12,41.0,144.0,180.0,1.0,64.0
13,68.0,0.0,180.0,0.0,64.0
14,44.0,0.0,180.0,1.0,64.0
15,72.0,0.0,210.0,1.0,64.0
16,68.0,0.0,210.0,1.0,64.0
17,60.0,216.0,210.0,1.0,64.0
18,41.0,168.0,390.0,1.0,64.0
19,68.0,0.0,390.0,0.0,64.0
20,44.0,0.0,390.0,1.0,64.0
21,60.0,72.0,180.0,1.0,64.0
22,68.0,0.0,180.0,1.0,64.0
23,72.0,0.0,180.0,1.0,64.0
24,60.0,120.0,180.0,1.0,64.0
25,72.0,0.0,180.0,1.0,64.0
26,68.0,0.0,180.0,1.0,64.0
27,67.0,144.0,180.0,0.0,64.0
28,43.0,0.0,180.0,1.0,64.0
29,39.0,0.0,180.0,1.0,64.0
30,60.0,216.0,210.0,1.0,64.0
31,67.0,0.0,210.0,1.0,64.0
32,72.0,0.0,210.0,1.0,64.0
33,70.0,0.0,390.0,0.0,64.0
34,43.0,0.0,390.0,1.0,64.0
35,46.0,168.0,390.0,1.0,64.0
36,70.0,0.0,180.0,1.0,64.0
37,72.0,0.0,180.0,1.0,64.0
38,60.0,72.0,180.0,1.0,64.0
39,70.0,0.0,180.0,1.0,64.0
40,72.0,0.0,180.0,1.0,64.0
41,60.0,120.0,180.0,1.0,64.0
42,68.0,144.0,180.0,0.0,64.0
43,41.0,0.0,180.0,1.0,64.0
44,44.0,0.0,180.0,1.0,64.0
45,68.0,0.0,210.0,1.0,64.0
46,60.0,0.0,210.0,1.0,64.0
47,72.0,216.0,210.0,1.0,64.0
48,44.0,0.0,390.0,1.0,64.0
49,48.0,0.0,390.0,1.0,64.0
50,72.0,168.0,390.0,0.0,64.0
51,60.0,72.0,180.0,1.0,64.0
52,72.0,0.0,180.0,1.0,64.0
53,60.0,0.0,180.0,1.0,64.0
54,72.0,120.0,180.0,1.0,64.0
55,43.0,0.0,180.0,1.0,64.0
56,70.0,0.0,180.0,0.0,64.0
57,46.0,144.0,180.0,1.0,64.0
58,72.0,0.0,210.0,1.0,64.0
59,60.0,96.0,210.0,1.0,64.0
