,note,step,duration,channel,velocity
0,80.0,0.0,480.0,1.0,0.0
1,68.0,240.0,480.0,1.0,0.0
2,66.0,240.0,1440.0,1.0,0.0
3,78.0,0.0,1440.0,1.0,0.0
4,72.0,240.0,1920.0,2.0,0.0
5,32.0,240.0,240.0,5.0,0.0
6,36.0,240.0,240.0,3.0,0.0
7,44.0,240.0,240.0,3.0,0.0
8,48.0,240.0,240.0,3.0,0.0
9,56.0,240.0,240.0,3.0,0.0
10,48.0,0.0,240.0,3.0,0.0
11,44.0,240.0,240.0,3.0,0.0
12,77.0,0.0,480.0,1.0,0.0
13,65.0,0.0,480.0,1.0,0.0
14,53.0,0.0,1680.0,3.0,0.0
15,48.0,0.0,1440.0,1.0,0.0
16,56.0,240.0,240.0,3.0,0.0
17,60.0,480.0,1440.0,1.0,0.0
18,65.0,240.0,240.0,3.0,0.0
19,68.0,240.0,240.0,3.0,0.0
20,72.0,240.0,240.0,3.0,0.0
21,80.0,240.0,240.0,3.0,0.0
22,65.0,240.0,480.0,1.0,0.0
23,77.0,0.0,480.0,1.0,0.0
24,29.0,240.0,240.0,5.0,0.0
25,63.0,240.0,1440.0,1.0,0.0
26,75.0,0.0,1440.0,1.0,0.0
27,68.0,240.0,1920.0,2.0,0.0
28,32.0,240.0,240.0,3.0,0.0
29,41.0,240.0,240.0,3.0,0.0
30,44.0,240.0,240.0,3.0,0.0
31,53.0,240.0,240.0,3.0,0.0
32,44.0,0.0,240.0,3.0,0.0
33,41.0,240.0,240.0,3.0,0.0
34,61.0,0.0,480.0,1.0,0.0
35,73.0,0.0,480.0,1.0,0.0
36,49.0,0.0,1680.0,3.0,0.0
37,44.0,0.0,1440.0,1.0,0.0
38,56.0,480.0,1440.0,1.0,0.0
39,53.0,240.0,240.0,3.0,0.0
40,61.0,240.0,240.0,3.0,0.0
41,65.0,240.0,240.0,3.0,0.0
42,68.0,240.0,240.0,3.0,0.0
43,77.0,240.0,240.0,3.0,0.0
44,73.0,0.0,480.0,1.0,0.0
45,61.0,240.0,480.0,1.0,0.0
46,25.0,240.0,240.0,5.0,0.0
47,65.0,0.0,960.0,2.0,0.0
48,60.0,0.0,960.0,1.0,0.0
49,72.0,0.0,960.0,1.0,0.0
50,37.0,240.0,240.0,3.0,0.0
51,44.0,240.0,240.0,3.0,0.0
