,note,step,duration,channel,velocity
0,37.0,2048.0,2070.0,0.0,0.0
1,49.0,2048.0,2070.0,0.0,0.0
2,54.0,2048.0,2070.0,0.0,0.0
3,50.0,0.0,8220.0,0.0,0.0
4,66.0,2048.0,2070.0,0.0,0.0
5,67.0,1024.0,5160.0,0.0,0.0
6,35.0,2048.0,2070.0,0.0,0.0
7,47.0,1024.0,2070.0,0.0,0.0
8,51.0,1024.0,2070.0,0.0,0.0
9,48.0,0.0,4140.0,0.0,0.0
10,68.0,1024.0,2070.0,0.0,0.0
11,63.0,0.0,2070.0,0.0,0.0
12,69.0,1024.0,1050.0,0.0,0.0
13,67.0,1024.0,1050.0,0.0,0.0
14,49.0,0.0,2070.0,0.0,0.0
15,64.0,2048.0,4140.0,0.0,0.0
16,68.0,2048.0,1050.0,0.0,0.0
17,61.0,0.0,2070.0,0.0,0.0
18,65.0,2048.0,2070.0,0.0,0.0
19,62.0,0.0,8220.0,0.0,0.0
20,77.0,4096.0,2070.0,0.0,0.0
21,78.0,1024.0,5160.0,0.0,0.0
22,71.0,0.0,4140.0,0.0,0.0
23,83.0,1024.0,2070.0,0.0,0.0
24,84.0,0.0,4140.0,0.0,0.0
25,72.0,1024.0,4140.0,0.0,0.0
26,63.0,0.0,1050.0,0.0,0.0
27,51.0,1024.0,2070.0,0.0,0.0
28,79.0,1024.0,2070.0,0.0,0.0
29,63.0,0.0,2070.0,0.0,0.0
30,80.0,0.0,1050.0,0.0,0.0
31,86.0,1024.0,1050.0,0.0,0.0
32,74.0,0.0,1050.0,0.0,0.0
33,78.0,0.0,1050.0,0.0,0.0
34,47.0,2048.0,2070.0,0.0,0.0
35,62.0,2048.0,4140.0,0.0,0.0
36,79.0,0.0,1050.0,0.0,0.0
37,59.0,0.0,2070.0,0.0,0.0
38,60.0,0.0,4140.0,0.0,0.0
39,63.0,1024.0,2070.0,0.0,0.0
40,79.0,1024.0,2070.0,0.0,0.0
41,75.0,0.0,2070.0,0.0,0.0
42,80.0,1024.0,1050.0,0.0,0.0
43,78.0,0.0,1050.0,0.0,0.0
44,74.0,1024.0,1050.0,0.0,0.0
45,62.0,0.0,1050.0,0.0,0.0
46,50.0,1024.0,2070.0,0.0,0.0
47,35.0,0.0,2070.0,0.0,0.0
48,79.0,0.0,1050.0,0.0,0.0
49,67.0,1024.0,2070.0,0.0,0.0
50,62.0,0.0,2070.0,0.0,0.0
51,47.0,1024.0,2070.0,0.0,0.0
52,68.0,0.0,1050.0,0.0,0.0
53,51.0,1024.0,2070.0,0.0,0.0
54,66.0,994.0,1050.0,0.0,0.0
55,63.0,0.0,2040.0,0.0,0.0
56,67.0,0.0,2070.0,0.0,0.0
57,79.0,994.0,2070.0,0.0,0.0
58,60.0,30.0,15.0,0.0,0.0
59,72.0,0.0,2070.0,0.0,0.0
60,63.0,0.0,2040.0,0.0,0.0
61,75.0,0.0,2070.0,0.0,0.0
62,80.0,0.0,1050.0,0.0,0.0
63,68.0,653.0,1050.0,0.0,0.0
64,32.0,0.0,2310.0,0.0,0.0
65,39.0,0.0,2220.0,0.0,0.0
66,44.0,0.0,2130.0,0.0,0.0
67,48.0,30.0,15.0,0.0,0.0
68,78.0,0.0,5160.0,0.0,0.0
69,81.0,311.0,5160.0,0.0,0.0
70,69.0,0.0,2040.0,0.0,0.0
71,57.0,682.0,15.0,0.0,0.0
72,60.0,0.0,15.0,0.0,0.0
73,54.0,0.0,15.0,0.0,0.0
74,51.0,0.0,15.0,0.0,0.0
75,60.0,0.0,15.0,0.0,0.0
76,51.0,683.0,15.0,0.0,0.0
77,54.0,0.0,15.0,0.0,0.0
78,57.0,0.0,15.0,0.0,0.0
79,66.0,0.0,3060.0,0.0,0.0
80,63.0,30.0,3060.0,0.0,0.0
81,60.0,0.0,690.0,0.0,0.0
82,20.0,30.0,14340.0,0.0,0.0
83,69.0,0.0,3060.0,0.0,0.0
84,57.0,0.0,15.0,0.0,0.0
85,54.0,682.0,15.0,0.0,0.0
