,note,step,duration,channel,velocity
0,56.0,13.0,60.0,13.0,0.0
1,58.0,16.0,15.0,13.0,0.0
2,59.0,20.0,20.0,10.0,0.0
3,59.0,0.0,180.0,0.0,0.0
4,63.0,2.0,180.0,0.0,0.0
5,59.0,15.0,180.0,13.0,0.0
6,44.0,13.0,120.0,3.0,0.0
7,32.0,13.0,60.0,14.0,0.0
8,51.0,20.0,20.0,10.0,0.0
9,59.0,8.0,20.0,10.0,0.0
10,63.0,1.0,60.0,10.0,0.0
11,63.0,20.0,20.0,11.0,0.0
12,59.0,19.0,20.0,11.0,0.0
13,56.0,4.0,30.0,12.0,0.0
14,63.0,2.0,20.0,11.0,0.0
15,71.0,13.0,20.0,10.0,0.0
16,56.0,0.0,60.0,11.0,0.0
17,54.0,7.0,30.0,12.0,0.0
18,63.0,20.0,20.0,10.0,0.0
19,51.0,3.0,30.0,12.0,0.0
20,71.0,1.0,20.0,10.0,0.0
21,76.0,1.0,60.0,10.0,0.0
22,64.0,0.0,60.0,0.0,0.0
23,58.0,0.0,60.0,0.0,0.0
24,68.0,12.0,20.0,11.0,0.0
25,49.0,8.0,30.0,12.0,0.0
26,63.0,9.0,60.0,13.0,0.0
27,49.0,0.0,120.0,3.0,0.0
28,37.0,44.0,120.0,3.0,0.0
29,25.0,25.0,60.0,14.0,0.0
30,64.0,10.0,20.0,11.0,0.0
31,52.0,3.0,30.0,12.0,0.0
32,68.0,2.0,20.0,11.0,0.0
33,61.0,2.0,15.0,13.0,0.0
34,61.0,0.0,60.0,11.0,0.0
35,56.0,28.0,30.0,12.0,0.0
36,58.0,6.0,60.0,13.0,0.0
37,56.0,13.0,60.0,13.0,0.0
38,58.0,16.0,15.0,13.0,0.0
39,59.0,20.0,20.0,10.0,0.0
40,71.0,0.0,180.0,0.0,0.0
41,63.0,0.0,180.0,0.0,0.0
42,59.0,15.0,180.0,13.0,0.0
43,44.0,13.0,120.0,3.0,0.0
44,32.0,13.0,60.0,14.0,0.0
45,51.0,20.0,20.0,10.0,0.0
46,59.0,8.0,20.0,10.0,0.0
47,63.0,1.0,60.0,10.0,0.0
48,63.0,20.0,20.0,11.0,0.0
49,59.0,19.0,20.0,11.0,0.0
50,56.0,4.0,30.0,12.0,0.0
51,63.0,2.0,20.0,11.0,0.0
52,71.0,13.0,20.0,10.0,0.0
53,56.0,2.0,60.0,11.0,0.0
54,54.0,7.0,30.0,12.0,0.0
55,68.0,20.0,20.0,10.0,0.0
56,51.0,3.0,30.0,12.0,0.0
57,71.0,1.0,20.0,10.0,0.0
58,80.0,1.0,60.0,10.0,0.0
59,70.0,0.0,60.0,0.0,0.0
60,64.0,2.0,60.0,0.0,0.0
61,70.0,12.0,20.0,11.0,0.0
62,49.0,8.0,30.0,12.0,0.0
63,66.0,9.0,60.0,13.0,0.0
64,49.0,0.0,120.0,3.0,0.0
65,37.0,44.0,120.0,3.0,0.0
66,25.0,25.0,60.0,14.0,0.0
67,68.0,10.0,20.0,11.0,0.0
68,52.0,3.0,30.0,12.0,0.0
69,70.0,0.0,20.0,11.0,0.0
70,64.0,2.0,15.0,13.0,0.0
71,61.0,6.0,60.0,11.0,0.0
72,56.0,28.0,30.0,12.0,0.0
73,58.0,0.0,60.0,13.0,0.0
74,58.0,12.0,60.0,13.0,0.0
75,59.0,17.0,15.0,13.0,0.0
76,58.0,13.0,20.0,10.0,0.0
77,64.0,0.0,60.0,0.0,0.0
78,61.0,2.0,60.0,0.0,0.0
79,49.0,7.0,30.0,12.0,0.0
80,61.0,0.0,120.0,13.0,0.0
81,43.0,44.0,120.0,3.0,0.0
82,31.0,13.0,60.0,14.0,0.0
83,52.0,20.0,20.0,10.0,0.0
84,52.0,5.0,30.0,12.0,0.0
85,58.0,1.0,20.0,10.0,0.0
86,61.0,1.0,60.0,10.0,0.0
87,70.0,0.0,60.0,0.0,0.0
88,64.0,12.0,20.0,11.0,0.0
89,73.0,6.0,60.0,0.0,0.0
90,58.0,8.0,30.0,12.0,0.0
91,61.0,19.0,20.0,11.0,0.0
92,64.0,0.0,20.0,11.0,0.0
93,70.0,2.0,60.0,11.0,0.0
94,64.0,10.0,60.0,13.0,0.0
95,63.0,17.0,15.0,13.0,0.0
96,56.0,13.0,20.0,10.0,0.0
97,59.0,2.0,60.0,0.0,0.0
98,63.0,0.0,60.0,0.0,0.0
99,47.0,7.0,30.0,12.0,0.0
100,59.0,6.0,120.0,13.0,0.0
101,44.0,44.0,120.0,3.0,0.0
102,32.0,13.0,60.0,14.0,0.0
103,51.0,20.0,20.0,10.0,0.0
104,51.0,5.0,30.0,12.0,0.0
105,56.0,1.0,20.0,10.0,0.0
106,59.0,1.0,60.0,10.0,0.0
107,68.0,0.0,60.0,0.0,0.0
108,63.0,12.0,20.0,11.0,0.0
109,71.0,0.0,60.0,0.0,0.0
110,56.0,8.0,30.0,12.0,0.0
111,59.0,19.0,20.0,11.0,0.0
112,63.0,0.0,20.0,11.0,0.0
113,68.0,2.0,60.0,11.0,0.0
114,63.0,10.0,60.0,13.0,0.0
115,61.0,17.0,15.0,13.0,0.0
116,56.0,13.0,20.0,10.0,0.0
117,56.0,2.0,120.0,0.0,0.0
118,61.0,0.0,120.0,0.0,0.0
119,44.0,7.0,30.0,12.0,0.0
120,56.0,5.0,90.0,13.0,0.0
121,52.0,29.0,120.0,3.0,0.0
122,40.0,0.0,120.0,3.0,0.0
123,40.0,13.0,60.0,14.0,0.0
124,52.0,20.0,20.0,10.0,0.0
125,49.0,5.0,30.0,12.0,0.0
126,56.0,3.0,20.0,10.0,0.0
127,61.0,6.0,60.0,10.0,0.0
128,61.0,12.0,20.0,11.0,0.0
129,52.0,3.0,30.0,12.0,0.0
130,56.0,10.0,20.0,11.0,0.0
131,58.0,4.0,15.0,13.0,0.0
132,61.0,0.0,20.0,11.0,0.0
133,56.0,4.0,15.0,13.0,0.0
134,62.0,1.0,60.0,10.0,0.0
135,62.0,0.0,60.0,0.0,0.0
136,68.0,0.0,60.0,0.0,0.0
137,68.0,5.0,60.0,11.0,0.0
138,55.0,19.0,30.0,13.0,0.0
139,56.0,19.0,30.0,13.0,0.0
140,63.0,13.0,20.0,10.0,0.0
141,67.0,2.0,60.0,11.0,0.0
142,67.0,1.0,60.0,0.0,0.0
143,46.0,7.0,30.0,12.0,0.0
144,58.0,2.0,60.0,13.0,0.0
145,51.0,0.0,60.0,3.0,0.0
146,39.0,4.0,60.0,3.0,0.0
147,39.0,13.0,60.0,14.0,0.0
148,58.0,16.0,20.0,10.0,0.0
149,51.0,2.0,30.0,12.0,0.0
150,63.0,1.0,20.0,10.0,0.0
151,59.0,3.0,60.0,10.0,0.0
152,68.0,12.0,20.0,11.0,0.0
153,63.0,0.0,60.0,0.0,0.0
154,51.0,8.0,30.0,12.0,0.0
155,59.0,2.0,60.0,13.0,0.0
156,44.0,0.0,60.0,3.0,0.0
157,56.0,4.0,60.0,3.0,0.0
158,44.0,12.0,60.0,14.0,0.0
159,63.0,14.0,20.0,11.0,0.0
160,56.0,3.0,30.0,12.0,0.0
161,68.0,0.0,20.0,11.0,0.0
162,68.0,20.0,20.0,10.0,0.0
163,60.0,2.0,60.0,11.0,0.0
164,56.0,2.0,60.0,12.0,0.0
165,60.0,2.0,60.0,13.0,0.0
166,42.0,4.0,60.0,3.0,0.0
167,54.0,0.0,60.0,3.0,0.0
168,42.0,13.0,60.0,14.0,0.0
169,63.0,16.0,20.0,10.0,0.0
170,68.0,2.0,20.0,10.0,0.0
171,61.0,3.0,60.0,10.0,0.0
172,68.0,12.0,20.0,11.0,0.0
173,49.0,8.0,30.0,12.0,0.0
174,61.0,2.0,60.0,13.0,0.0
175,52.0,4.0,60.0,3.0,0.0
176,40.0,0.0,60.0,3.0,0.0
177,40.0,12.0,60.0,14.0,0.0
178,61.0,14.0,20.0,11.0,0.0
179,56.0,3.0,30.0,12.0,0.0
180,73.0,1.0,20.0,11.0,0.0
181,70.0,20.0,20.0,10.0,0.0
182,70.0,4.0,60.0,11.0,0.0
183,66.0,1.0,60.0,0.0,0.0
184,70.0,0.0,60.0,0.0,0.0
185,66.0,5.0,90.0,13.0,0.0
186,37.0,0.0,60.0,3.0,0.0
187,49.0,1.0,60.0,3.0,0.0
188,37.0,13.0,60.0,14.0,0.0
189,61.0,16.0,20.0,10.0,0.0
190,49.0,5.0,30.0,12.0,0.0
191,70.0,1.0,20.0,10.0,0.0
192,68.0,3.0,60.0,10.0,0.0
193,68.0,0.0,60.0,0.0,0.0
194,68.0,12.0,20.0,11.0,0.0
195,61.0,1.0,60.0,0.0,0.0
196,56.0,3.0,30.0,12.0,0.0
197,52.0,6.0,60.0,3.0,0.0
198,40.0,0.0,60.0,3.0,0.0
199,40.0,12.0,60.0,14.0,0.0
200,61.0,14.0,20.0,11.0,0.0
201,49.0,3.0,30.0,12.0,0.0
202,64.0,0.0,30.0,13.0,0.0
203,73.0,0.0,20.0,11.0,0.0
204,70.0,13.0,20.0,10.0,0.0
205,70.0,2.0,60.0,11.0,0.0
206,49.0,7.0,30.0,12.0,0.0
207,58.0,2.0,60.0,13.0,0.0
208,42.0,0.0,60.0,3.0,0.0
209,54.0,4.0,60.0,3.0,0.0
210,42.0,13.0,60.0,14.0,0.0
211,61.0,16.0,20.0,10.0,0.0
212,54.0,2.0,30.0,12.0,0.0
213,70.0,2.0,20.0,10.0,0.0
214,66.0,6.0,60.0,10.0,0.0
215,63.0,0.0,60.0,0.0,0.0
216,66.0,1.0,60.0,0.0,0.0
217,66.0,20.0,20.0,11.0,0.0
218,63.0,4.0,90.0,13.0,0.0
219,47.0,1.0,60.0,3.0,0.0
220,35.0,0.0,60.0,3.0,0.0
221,35.0,12.0,60.0,14.0,0.0
222,58.0,14.0,20.0,11.0,0.0
223,47.0,5.0,30.0,12.0,0.0
224,66.0,0.0,20.0,11.0,0.0
225,64.0,13.0,20.0,10.0,0.0
226,64.0,2.0,60.0,11.0,0.0
227,64.0,1.0,60.0,0.0,0.0
228,58.0,0.0,60.0,0.0,0.0
229,52.0,3.0,30.0,12.0,0.0
230,49.0,0.0,60.0,3.0,0.0
231,37.0,6.0,60.0,3.0,0.0
232,37.0,10.0,60.0,14.0,0.0
233,58.0,16.0,20.0,10.0,0.0
234,46.0,2.0,30.0,12.0,0.0
235,61.0,0.0,30.0,13.0,0.0
236,64.0,1.0,20.0,10.0,0.0
237,59.0,3.0,60.0,10.0,0.0
238,59.0,9.0,20.0,11.0,0.0
239,47.0,8.0,30.0,12.0,0.0
240,56.0,3.0,15.0,13.0,0.0
241,52.0,0.0,60.0,3.0,0.0
242,40.0,1.0,60.0,3.0,0.0
243,40.0,25.0,60.0,14.0,0.0
244,58.0,3.0,15.0,13.0,0.0
245,56.0,1.0,20.0,11.0,0.0
246,56.0,12.0,15.0,13.0,0.0
247,56.0,3.0,30.0,12.0,0.0
248,59.0,5.0,20.0,11.0,0.0
249,55.0,1.0,15.0,13.0,0.0
250,56.0,1.0,15.0,13.0,0.0
251,56.0,3.0,60.0,10.0,0.0
252,51.0,8.0,30.0,12.0,0.0
253,59.0,1.0,60.0,13.0,0.0
254,51.0,0.0,60.0,3.0,0.0
255,39.0,1.0,60.0,3.0,0.0
256,39.0,25.0,60.0,14.0,0.0
257,56.0,14.0,20.0,11.0,0.0
258,56.0,3.0,30.0,12.0,0.0
259,59.0,5.0,20.0,11.0,0.0
260,58.0,3.0,60.0,10.0,0.0
261,68.0,0.0,60.0,0.0,0.0
262,65.0,0.0,60.0,0.0,0.0
263,53.0,8.0,30.0,12.0,0.0
264,58.0,0.0,60.0,13.0,0.0
265,38.0,6.0,60.0,3.0,0.0
266,50.0,0.0,60.0,3.0,0.0
267,38.0,53.0,60.0,14.0,0.0
268,56.0,14.0,20.0,11.0,0.0
269,56.0,3.0,30.0,12.0,0.0
270,58.0,1.0,20.0,11.0,0.0
271,63.0,0.0,60.0,0.0,0.0
272,55.0,0.0,60.0,11.0,0.0
273,67.0,2.0,60.0,0.0,0.0
274,51.0,4.0,60.0,12.0,0.0
275,63.0,5.0,210.0,13.0,0.0
276,49.0,0.0,60.0,3.0,0.0
277,37.0,1.0,60.0,3.0,0.0
278,37.0,60.0,60.0,14.0,0.0
279,68.0,0.0,90.0,0.0,0.0
280,65.0,0.0,90.0,0.0,0.0
281,56.0,2.0,90.0,11.0,0.0
282,53.0,4.0,90.0,12.0,0.0
283,35.0,8.0,90.0,3.0,0.0
284,47.0,0.0,90.0,3.0,0.0
285,35.0,23.0,60.0,14.0,0.0
286,68.0,11.0,60.0,10.0,0.0
287,67.0,2.0,30.0,0.0,0.0
288,73.0,0.0,30.0,0.0,0.0
289,61.0,0.0,30.0,11.0,0.0
290,55.0,4.0,30.0,12.0,0.0
291,34.0,6.0,30.0,3.0,0.0
292,46.0,0.0,30.0,3.0,0.0
293,34.0,13.0,30.0,14.0,0.0
294,70.0,0.0,15.0,10.0,0.0
295,71.0,1.0,180.0,10.0,0.0
296,71.0,2.0,120.0,0.0,0.0
297,68.0,0.0,120.0,0.0,0.0
298,59.0,15.0,20.0,11.0,0.0
299,56.0,3.0,60.0,12.0,0.0
300,44.0,1.0,60.0,3.0,0.0
301,32.0,14.0,120.0,3.0,0.0
302,32.0,15.0,60.0,14.0,0.0
303,51.0,17.0,20.0,11.0,0.0
304,61.0,1.0,30.0,13.0,0.0
305,59.0,5.0,20.0,11.0,0.0
306,63.0,5.0,60.0,11.0,0.0
307,63.0,11.0,20.0,12.0,0.0
308,59.0,7.0,30.0,13.0,0.0
309,59.0,13.0,20.0,12.0,0.0
310,59.0,0.0,15.0,2.0,0.0
311,63.0,2.0,15.0,2.0,0.0
312,58.0,1.0,30.0,13.0,0.0
313,63.0,3.0,20.0,12.0,0.0
314,71.0,6.0,20.0,11.0,0.0
315,59.0,2.0,60.0,12.0,0.0
316,56.0,5.0,30.0,13.0,0.0
317,44.0,7.0,20.0,3.0,0.0
318,63.0,6.0,20.0,11.0,0.0
319,47.0,11.0,20.0,3.0,0.0
320,59.0,0.0,15.0,2.0,0.0
321,63.0,0.0,30.0,2.0,0.0
322,54.0,0.0,30.0,13.0,0.0
323,71.0,3.0,20.0,11.0,0.0
324,51.0,16.0,20.0,3.0,0.0
325,75.0,2.0,60.0,10.0,0.0
326,76.0,4.0,60.0,11.0,0.0
327,68.0,4.0,20.0,12.0,0.0
328,64.0,0.0,60.0,2.0,0.0
329,58.0,3.0,60.0,2.0,0.0
330,52.0,6.0,120.0,13.0,0.0
331,56.0,16.0,20.0,3.0,0.0
332,37.0,38.0,120.0,3.0,0.0
333,25.0,47.0,60.0,14.0,0.0
334,58.0,2.0,20.0,12.0,0.0
335,52.0,9.0,20.0,3.0,0.0
336,68.0,1.0,20.0,12.0,0.0
337,73.0,3.0,15.0,10.0,0.0
338,49.0,1.0,20.0,3.0,0.0
339,70.0,3.0,60.0,10.0,0.0
340,64.0,3.0,60.0,12.0,0.0
341,68.0,14.0,60.0,10.0,0.0
342,64.0,5.0,90.0,13.0,0.0
343,70.0,22.0,15.0,10.0,0.0
344,71.0,1.0,180.0,10.0,0.0
345,59.0,15.0,20.0,11.0,0.0
346,44.0,14.0,120.0,3.0,0.0
347,32.0,15.0,60.0,14.0,0.0
348,51.0,20.0,20.0,11.0,0.0
349,63.0,2.0,60.0,2.0,0.0
350,63.0,2.0,30.0,13.0,0.0
351,59.0,5.0,20.0,11.0,0.0
352,63.0,7.0,60.0,11.0,0.0
353,63.0,11.0,20.0,12.0,0.0
354,59.0,7.0,30.0,13.0,0.0
355,59.0,13.0,20.0,12.0,0.0
356,71.0,0.0,15.0,2.0,0.0
357,63.0,2.0,60.0,2.0,0.0
358,58.0,1.0,30.0,13.0,0.0
359,63.0,3.0,20.0,12.0,0.0
360,71.0,6.0,20.0,11.0,0.0
361,59.0,2.0,60.0,12.0,0.0
362,56.0,5.0,30.0,13.0,0.0
363,47.0,7.0,20.0,3.0,0.0
364,68.0,6.0,20.0,11.0,0.0
365,51.0,11.0,20.0,3.0,0.0
366,68.0,3.0,90.0,2.0,0.0
367,71.0,0.0,15.0,2.0,0.0
368,51.0,3.0,30.0,13.0,0.0
369,71.0,0.0,20.0,11.0,0.0
370,56.0,16.0,20.0,3.0,0.0
371,78.0,2.0,60.0,10.0,0.0
372,80.0,4.0,60.0,11.0,0.0
373,70.0,4.0,20.0,12.0,0.0
374,70.0,0.0,60.0,2.0,0.0
375,49.0,6.0,120.0,13.0,0.0
376,37.0,38.0,120.0,3.0,0.0
377,58.0,16.0,20.0,3.0,0.0
378,25.0,47.0,60.0,14.0,0.0
379,58.0,2.0,20.0,12.0,0.0
380,56.0,9.0,20.0,3.0,0.0
381,70.0,1.0,20.0,12.0,0.0
