,note,step,duration,channel,velocity
0,55.0,0.0,480.0,0.0,0.0
1,64.0,0.0,480.0,0.0,0.0
2,48.0,0.0,480.0,0.0,0.0
3,67.0,492.0,480.0,0.0,0.0
4,55.0,0.0,960.0,0.0,0.0
5,64.0,204.0,720.0,0.0,0.0
6,48.0,228.0,480.0,0.0,0.0
7,67.0,468.0,960.0,0.0,0.0
8,47.0,24.0,420.0,0.0,0.0
9,62.0,24.0,210.0,0.0,0.0
10,65.0,0.0,480.0,0.0,0.0
11,55.0,0.0,480.0,0.0,0.0
12,67.0,0.0,480.0,0.0,0.0
13,50.0,492.0,480.0,0.0,0.0
14,50.0,0.0,480.0,0.0,0.0
15,65.0,432.0,480.0,0.0,0.0
16,67.0,0.0,960.0,0.0,0.0
17,55.0,8.0,960.0,0.0,0.0
18,48.0,40.0,420.0,0.0,0.0
19,64.0,468.0,480.0,0.0,0.0
20,55.0,0.0,480.0,0.0,0.0
21,67.0,0.0,480.0,0.0,0.0
22,52.0,492.0,480.0,0.0,0.0
23,55.0,0.0,480.0,0.0,0.0
24,67.0,0.0,480.0,0.0,0.0
25,52.0,228.0,480.0,0.0,0.0
26,69.0,204.0,720.0,0.0,0.0
27,65.0,480.0,480.0,0.0,0.0
28,50.0,0.0,420.0,0.0,0.0
29,53.0,12.0,420.0,0.0,0.0
30,69.0,24.0,210.0,0.0,0.0
31,53.0,0.0,480.0,0.0,0.0
32,50.0,0.0,480.0,0.0,0.0
33,65.0,0.0,480.0,0.0,0.0
34,71.0,492.0,480.0,0.0,0.0
35,53.0,0.0,480.0,0.0,0.0
36,65.0,0.0,480.0,0.0,0.0
37,50.0,432.0,480.0,0.0,0.0
38,72.0,432.0,960.0,0.0,0.0
39,52.0,0.0,420.0,0.0,0.0
40,64.0,12.0,480.0,0.0,0.0
41,48.0,36.0,420.0,0.0,0.0
42,67.0,0.0,420.0,0.0,0.0
43,76.0,0.0,420.0,0.0,0.0
44,55.0,0.0,420.0,0.0,0.0
45,48.0,528.0,420.0,0.0,0.0
46,55.0,0.0,960.0,0.0,0.0
47,67.0,204.0,720.0,0.0,0.0
48,47.0,228.0,480.0,0.0,0.0
49,74.0,0.0,960.0,0.0,0.0
50,45.0,48.0,420.0,0.0,0.0
51,66.0,432.0,240.0,0.0,0.0
52,71.0,0.0,420.0,0.0,0.0
