,note,step,duration,channel,velocity
0,78.0,1.0,600.0,10.0,0.0
1,78.0,2.0,600.0,11.0,0.0
2,66.0,6.0,600.0,12.0,0.0
3,54.0,2.0,2640.0,13.0,0.0
4,58.0,120.0,120.0,3.0,0.0
5,66.0,0.0,120.0,3.0,0.0
6,42.0,113.0,2640.0,14.0,0.0
7,65.0,0.0,120.0,3.0,0.0
8,61.0,120.0,120.0,3.0,0.0
9,59.0,120.0,120.0,3.0,0.0
10,63.0,0.0,120.0,3.0,0.0
11,61.0,0.0,120.0,3.0,0.0
12,58.0,111.0,120.0,3.0,0.0
13,59.0,111.0,120.0,3.0,0.0
14,56.0,0.0,120.0,3.0,0.0
15,78.0,1.0,120.0,10.0,0.0
16,78.0,2.0,120.0,11.0,0.0
17,66.0,3.0,120.0,12.0,0.0
18,54.0,117.0,120.0,3.0,0.0
19,58.0,0.0,120.0,3.0,0.0
20,83.0,1.0,120.0,10.0,0.0
21,83.0,2.0,120.0,11.0,0.0
22,71.0,3.0,120.0,12.0,0.0
23,53.0,114.0,120.0,3.0,0.0
24,56.0,0.0,120.0,3.0,0.0
25,82.0,1.0,120.0,10.0,0.0
26,82.0,2.0,120.0,11.0,0.0
27,70.0,3.0,120.0,12.0,0.0
28,54.0,114.0,120.0,3.0,0.0
29,58.0,0.0,120.0,3.0,0.0
30,80.0,1.0,120.0,10.0,0.0
31,80.0,2.0,120.0,11.0,0.0
32,68.0,3.0,120.0,12.0,0.0
33,56.0,0.0,120.0,3.0,0.0
34,59.0,111.0,120.0,3.0,0.0
35,78.0,1.0,120.0,10.0,0.0
36,78.0,2.0,120.0,11.0,0.0
37,66.0,6.0,120.0,12.0,0.0
38,61.0,0.0,120.0,3.0,0.0
39,58.0,111.0,120.0,3.0,0.0
40,77.0,1.0,120.0,10.0,0.0
41,77.0,2.0,120.0,11.0,0.0
42,65.0,6.0,120.0,12.0,0.0
43,59.0,0.0,120.0,3.0,0.0
44,63.0,111.0,120.0,3.0,0.0
45,75.0,1.0,120.0,10.0,0.0
46,75.0,2.0,120.0,11.0,0.0
47,63.0,3.0,120.0,12.0,0.0
48,61.0,123.0,120.0,3.0,0.0
49,65.0,0.0,120.0,3.0,0.0
50,73.0,1.0,240.0,10.0,0.0
51,73.0,2.0,240.0,11.0,0.0
52,61.0,114.0,240.0,12.0,0.0
53,63.0,114.0,120.0,3.0,0.0
54,66.0,0.0,120.0,3.0,0.0
55,68.0,0.0,240.0,3.0,0.0
56,65.0,120.0,240.0,3.0,0.0
57,71.0,1.0,120.0,10.0,0.0
58,71.0,2.0,120.0,11.0,0.0
59,59.0,6.0,120.0,12.0,0.0
60,70.0,1.0,240.0,10.0,0.0
61,70.0,2.0,240.0,11.0,0.0
62,58.0,117.0,240.0,12.0,0.0
63,70.0,111.0,120.0,3.0,0.0
64,66.0,0.0,120.0,3.0,0.0
65,65.0,0.0,240.0,3.0,0.0
66,68.0,114.0,240.0,3.0,0.0
67,73.0,1.0,120.0,10.0,0.0
68,73.0,2.0,120.0,11.0,0.0
69,61.0,3.0,120.0,12.0,0.0
70,78.0,1.0,120.0,10.0,0.0
71,78.0,2.0,120.0,11.0,0.0
72,66.0,6.0,120.0,12.0,0.0
73,66.0,0.0,120.0,3.0,0.0
74,63.0,111.0,120.0,3.0,0.0
75,78.0,1.0,120.0,10.0,0.0
76,78.0,2.0,120.0,11.0,0.0
77,66.0,6.0,120.0,12.0,0.0
