,note,step,duration,channel,velocity
0,94.0,0.0,240.0,1.0,0.0
1,58.0,0.0,240.0,5.0,0.0
2,97.0,0.0,210.0,2.0,0.0
3,61.0,3.0,210.0,4.0,0.0
4,101.0,0.0,150.0,2.0,0.0
5,65.0,0.0,150.0,4.0,0.0
6,106.0,213.0,120.0,1.0,0.0
7,70.0,0.0,120.0,5.0,0.0
8,97.0,0.0,90.0,1.0,0.0
9,61.0,0.0,90.0,5.0,0.0
10,49.0,120.0,90.0,5.0,0.0
11,85.0,0.0,90.0,1.0,0.0
12,99.0,120.0,90.0,1.0,0.0
13,87.0,0.0,90.0,1.0,0.0
14,63.0,0.0,90.0,5.0,0.0
15,51.0,0.0,90.0,5.0,0.0
16,101.0,120.0,90.0,1.0,0.0
17,89.0,0.0,90.0,1.0,0.0
18,53.0,0.0,90.0,5.0,0.0
19,65.0,0.0,90.0,5.0,0.0
20,58.0,120.0,90.0,5.0,0.0
21,46.0,0.0,90.0,5.0,0.0
22,94.0,0.0,90.0,1.0,0.0
23,82.0,0.0,90.0,1.0,0.0
24,84.0,0.0,90.0,1.0,0.0
25,48.0,504.0,90.0,5.0,0.0
26,60.0,0.0,90.0,5.0,0.0
27,96.0,0.0,90.0,1.0,0.0
28,61.0,0.0,480.0,5.0,0.0
29,49.0,240.0,480.0,5.0,0.0
30,85.0,0.0,480.0,1.0,0.0
31,97.0,0.0,15.0,1.0,0.0
32,61.0,0.0,240.0,5.0,0.0
33,101.0,3.0,210.0,2.0,0.0
34,65.0,0.0,210.0,4.0,0.0
35,104.0,0.0,150.0,2.0,0.0
36,68.0,213.0,150.0,4.0,0.0
37,109.0,0.0,120.0,1.0,0.0
38,73.0,0.0,120.0,5.0,0.0
39,89.0,0.0,90.0,1.0,0.0
40,65.0,0.0,90.0,5.0,0.0
41,53.0,120.0,90.0,5.0,0.0
42,77.0,0.0,90.0,1.0,0.0
43,90.0,0.0,90.0,1.0,0.0
44,54.0,0.0,90.0,5.0,0.0
45,66.0,0.0,90.0,5.0,0.0
46,78.0,120.0,90.0,1.0,0.0
47,68.0,120.0,90.0,5.0,0.0
48,56.0,0.0,90.0,5.0,0.0
49,92.0,0.0,90.0,1.0,0.0
50,80.0,0.0,90.0,1.0,0.0
51,61.0,0.0,90.0,5.0,0.0
52,85.0,0.0,90.0,1.0,0.0
53,73.0,0.0,90.0,1.0,0.0
54,49.0,120.0,90.0,5.0,0.0
55,75.0,384.0,90.0,1.0,0.0
56,87.0,0.0,90.0,1.0,0.0
57,51.0,0.0,90.0,5.0,0.0
58,63.0,0.0,90.0,5.0,0.0
59,89.0,4.0,360.0,1.0,0.0
60,53.0,3.0,360.0,5.0,0.0
61,65.0,233.0,360.0,5.0,0.0
62,77.0,0.0,15.0,1.0,0.0
63,81.0,40.0,240.0,2.0,0.0
64,84.0,40.0,240.0,2.0,0.0
65,48.0,40.0,120.0,3.0,0.0
66,41.0,0.0,120.0,5.0,0.0
67,89.0,0.0,240.0,1.0,0.0
68,51.0,120.0,120.0,3.0,0.0
69,48.0,120.0,120.0,3.0,0.0
70,41.0,0.0,120.0,5.0,0.0
71,51.0,120.0,120.0,3.0,0.0
72,65.0,0.0,15.0,1.0,0.0
73,48.0,120.0,120.0,3.0,0.0
74,41.0,0.0,120.0,5.0,0.0
75,66.0,120.0,120.0,1.0,0.0
76,51.0,0.0,120.0,3.0,0.0
77,48.0,120.0,120.0,3.0,0.0
78,66.0,0.0,120.0,1.0,0.0
79,41.0,0.0,120.0,5.0,0.0
80,51.0,120.0,120.0,3.0,0.0
81,65.0,0.0,15.0,1.0,0.0
82,41.0,0.0,120.0,5.0,0.0
83,48.0,0.0,120.0,3.0,0.0
84,69.0,0.0,120.0,1.0,0.0
85,51.0,120.0,120.0,3.0,0.0
86,48.0,0.0,120.0,3.0,0.0
87,69.0,120.0,120.0,1.0,0.0
88,41.0,0.0,120.0,5.0,0.0
89,65.0,0.0,120.0,1.0,0.0
90,51.0,120.0,120.0,3.0,0.0
91,65.0,120.0,120.0,1.0,0.0
92,48.0,0.0,120.0,3.0,0.0
93,41.0,0.0,120.0,5.0,0.0
94,51.0,0.0,120.0,3.0,0.0
95,72.0,120.0,15.0,1.0,0.0
96,41.0,0.0,120.0,5.0,0.0
97,48.0,120.0,120.0,3.0,0.0
98,51.0,0.0,120.0,3.0,0.0
99,65.0,120.0,120.0,1.0,0.0
100,41.0,0.0,120.0,5.0,0.0
101,48.0,0.0,120.0,3.0,0.0
102,65.0,120.0,120.0,1.0,0.0
103,51.0,120.0,120.0,3.0,0.0
104,78.0,0.0,120.0,1.0,0.0
105,48.0,120.0,120.0,3.0,0.0
106,41.0,0.0,120.0,5.0,0.0
107,78.0,0.0,120.0,1.0,0.0
108,65.0,120.0,120.0,1.0,0.0
109,51.0,0.0,120.0,3.0,0.0
110,48.0,0.0,120.0,3.0,0.0
111,41.0,0.0,120.0,5.0,0.0
112,65.0,120.0,120.0,1.0,0.0
113,51.0,0.0,120.0,3.0,0.0
114,48.0,120.0,120.0,3.0,0.0
115,41.0,0.0,120.0,5.0,0.0
116,81.0,120.0,15.0,1.0,0.0
117,51.0,0.0,120.0,3.0,0.0
118,41.0,0.0,120.0,5.0,0.0
119,48.0,120.0,120.0,3.0,0.0
120,77.0,120.0,15.0,1.0,0.0
121,51.0,120.0,120.0,3.0,0.0
122,84.0,0.0,15.0,1.0,0.0
123,41.0,0.0,120.0,5.0,0.0
124,48.0,120.0,120.0,3.0,0.0
125,51.0,120.0,120.0,3.0,0.0
126,48.0,0.0,120.0,3.0,0.0
127,77.0,0.0,15.0,1.0,0.0
128,41.0,120.0,120.0,5.0,0.0
129,51.0,120.0,120.0,3.0,0.0
130,90.0,0.0,15.0,1.0,0.0
131,48.0,0.0,120.0,3.0,0.0
132,41.0,0.0,120.0,5.0,0.0
133,51.0,120.0,120.0,3.0,0.0
134,77.0,0.0,15.0,1.0,0.0
135,41.0,0.0,120.0,5.0,0.0
136,48.0,120.0,120.0,3.0,0.0
137,93.0,120.0,120.0,1.0,0.0
138,51.0,0.0,120.0,3.0,0.0
139,48.0,0.0,120.0,3.0,0.0
140,41.0,0.0,120.0,5.0,0.0
141,93.0,120.0,120.0,1.0,0.0
142,51.0,120.0,120.0,3.0,0.0
143,77.0,0.0,120.0,1.0,0.0
144,77.0,120.0,120.0,1.0,0.0
145,41.0,0.0,120.0,5.0,0.0
146,48.0,0.0,120.0,3.0,0.0
147,90.0,120.0,120.0,1.0,0.0
148,51.0,0.0,120.0,3.0,0.0
149,41.0,0.0,120.0,5.0,0.0
150,48.0,120.0,120.0,3.0,0.0
151,90.0,0.0,120.0,1.0,0.0
152,51.0,120.0,120.0,3.0,0.0
153,48.0,0.0,120.0,3.0,0.0
154,77.0,0.0,15.0,1.0,0.0
