,note,step,duration,channel,velocity
0,45.0,2048.0,2070.0,0.0,0.0
1,57.0,2048.0,2070.0,0.0,0.0
2,62.0,2048.0,2070.0,0.0,0.0
3,58.0,0.0,8220.0,0.0,0.0
4,74.0,2048.0,2070.0,0.0,0.0
5,75.0,1024.0,5160.0,0.0,0.0
6,43.0,2048.0,2070.0,0.0,0.0
7,55.0,1024.0,2070.0,0.0,0.0
8,59.0,1024.0,2070.0,0.0,0.0
9,56.0,0.0,4140.0,0.0,0.0
10,76.0,1024.0,2070.0,0.0,0.0
11,71.0,0.0,2070.0,0.0,0.0
12,77.0,1024.0,1050.0,0.0,0.0
13,75.0,1024.0,1050.0,0.0,0.0
14,57.0,0.0,2070.0,0.0,0.0
15,72.0,2048.0,4140.0,0.0,0.0
16,76.0,2048.0,1050.0,0.0,0.0
17,69.0,0.0,2070.0,0.0,0.0
18,73.0,2048.0,2070.0,0.0,0.0
19,70.0,0.0,8220.0,0.0,0.0
20,85.0,4096.0,2070.0,0.0,0.0
21,86.0,1024.0,5160.0,0.0,0.0
22,79.0,0.0,4140.0,0.0,0.0
23,91.0,1024.0,2070.0,0.0,0.0
24,92.0,0.0,4140.0,0.0,0.0
25,80.0,1024.0,4140.0,0.0,0.0
26,71.0,0.0,1050.0,0.0,0.0
27,59.0,1024.0,2070.0,0.0,0.0
28,87.0,1024.0,2070.0,0.0,0.0
29,71.0,0.0,2070.0,0.0,0.0
30,88.0,0.0,1050.0,0.0,0.0
31,94.0,1024.0,1050.0,0.0,0.0
32,82.0,0.0,1050.0,0.0,0.0
33,86.0,0.0,1050.0,0.0,0.0
34,55.0,2048.0,2070.0,0.0,0.0
35,70.0,2048.0,4140.0,0.0,0.0
36,87.0,0.0,1050.0,0.0,0.0
37,67.0,0.0,2070.0,0.0,0.0
38,68.0,0.0,4140.0,0.0,0.0
39,71.0,1024.0,2070.0,0.0,0.0
40,87.0,1024.0,2070.0,0.0,0.0
41,83.0,0.0,2070.0,0.0,0.0
42,88.0,1024.0,1050.0,0.0,0.0
43,86.0,0.0,1050.0,0.0,0.0
44,82.0,1024.0,1050.0,0.0,0.0
45,70.0,0.0,1050.0,0.0,0.0
46,58.0,1024.0,2070.0,0.0,0.0
47,43.0,0.0,2070.0,0.0,0.0
48,87.0,0.0,1050.0,0.0,0.0
49,75.0,1024.0,2070.0,0.0,0.0
50,70.0,0.0,2070.0,0.0,0.0
