,note,step,duration,channel,velocity
0,68.0,6.0,120.0,2.0,0.0
1,76.0,0.0,120.0,2.0,0.0
2,59.0,54.0,120.0,3.0,0.0
3,52.0,114.0,360.0,3.0,0.0
4,69.0,6.0,120.0,2.0,0.0
5,78.0,6.0,60.0,2.0,0.0
6,63.0,54.0,60.0,3.0,0.0
7,75.0,0.0,60.0,2.0,0.0
8,66.0,109.0,60.0,3.0,0.0
9,76.0,1.0,120.0,2.0,0.0
10,68.0,5.0,120.0,2.0,0.0
11,59.0,0.0,120.0,3.0,0.0
12,71.0,5.0,120.0,2.0,0.0
13,68.0,6.0,120.0,2.0,0.0
14,52.0,114.0,120.0,3.0,0.0
15,64.0,0.0,120.0,3.0,0.0
16,73.0,0.0,120.0,2.0,0.0
17,69.0,6.0,120.0,2.0,0.0
18,64.0,114.0,120.0,3.0,0.0
19,57.0,0.0,120.0,3.0,0.0
20,71.0,6.0,120.0,2.0,0.0
21,68.0,0.0,120.0,2.0,0.0
22,64.0,114.0,120.0,3.0,0.0
23,52.0,0.0,120.0,3.0,0.0
24,73.0,6.0,120.0,2.0,0.0
25,69.0,0.0,120.0,2.0,0.0
26,64.0,54.0,120.0,3.0,0.0
27,57.0,0.0,120.0,3.0,0.0
28,59.0,2.0,120.0,4.0,0.0
29,66.0,3.0,120.0,2.0,0.0
30,59.0,1.0,120.0,5.0,0.0
31,71.0,55.0,60.0,2.0,0.0
32,63.0,84.0,120.0,3.0,0.0
33,59.0,0.0,120.0,3.0,0.0
34,69.0,0.0,60.0,2.0,0.0
35,64.0,2.0,240.0,4.0,0.0
36,68.0,35.0,90.0,2.0,0.0
37,56.0,0.0,240.0,5.0,0.0
38,64.0,0.0,240.0,2.0,0.0
39,52.0,79.0,120.0,3.0,0.0
40,59.0,0.0,240.0,3.0,0.0
41,68.0,6.0,30.0,2.0,0.0
42,71.0,0.0,120.0,0.0,0.0
43,68.0,3.0,120.0,0.0,0.0
44,71.0,30.0,90.0,2.0,0.0
45,44.0,120.0,120.0,3.0,0.0
46,71.0,6.0,30.0,2.0,0.0
47,75.0,3.0,240.0,0.0,0.0
48,69.0,0.0,240.0,0.0,0.0
49,66.0,2.0,240.0,4.0,0.0
50,63.0,0.0,240.0,2.0,0.0
51,59.0,6.0,240.0,5.0,0.0
52,78.0,0.0,240.0,2.0,0.0
53,57.0,0.0,240.0,3.0,0.0
54,47.0,109.0,120.0,3.0,0.0
55,59.0,109.0,120.0,3.0,0.0
56,68.0,0.0,120.0,0.0,0.0
57,76.0,3.0,120.0,0.0,0.0
58,68.0,1.0,120.0,4.0,0.0
59,56.0,1.0,120.0,12.0,0.0
60,76.0,0.0,120.0,2.0,0.0
61,64.0,3.0,120.0,2.0,0.0
62,64.0,0.0,120.0,5.0,0.0
63,52.0,3.0,120.0,13.0,0.0
64,56.0,0.0,120.0,13.0,0.0
65,52.0,0.0,120.0,3.0,0.0
66,56.0,113.0,120.0,3.0,0.0
67,59.0,4.0,120.0,12.0,0.0
68,59.0,0.0,120.0,13.0,0.0
69,44.0,236.0,120.0,13.0,0.0
70,66.0,4.0,240.0,12.0,0.0
71,57.0,0.0,240.0,12.0,0.0
72,63.0,0.0,240.0,13.0,0.0
73,47.0,3.0,240.0,13.0,0.0
