,note,step,duration,channel,velocity
0,77.0,0.0,720.0,0.0,0.0
1,49.0,288.0,420.0,0.0,0.0
2,68.0,154.0,720.0,0.0,0.0
3,56.0,62.0,420.0,0.0,0.0
4,65.0,0.0,450.0,0.0,0.0
5,73.0,248.0,210.0,0.0,0.0
6,53.0,0.0,420.0,0.0,0.0
7,61.0,64.0,390.0,0.0,0.0
8,65.0,0.0,210.0,0.0,0.0
9,73.0,168.0,210.0,0.0,0.0
10,77.0,0.0,210.0,0.0,0.0
11,68.0,464.0,210.0,0.0,0.0
12,68.0,0.0,720.0,0.0,0.0
13,77.0,144.0,720.0,0.0,0.0
14,49.0,288.0,420.0,0.0,0.0
15,56.0,64.0,420.0,0.0,0.0
16,65.0,0.0,450.0,0.0,0.0
17,73.0,232.0,210.0,0.0,0.0
18,53.0,0.0,420.0,0.0,0.0
19,65.0,0.0,210.0,0.0,0.0
20,73.0,176.0,210.0,0.0,0.0
21,61.0,80.0,390.0,0.0,0.0
22,68.0,0.0,240.0,0.0,0.0
23,77.0,448.0,240.0,0.0,0.0
24,70.0,0.0,420.0,0.0,0.0
25,78.0,0.0,420.0,0.0,0.0
26,49.0,0.0,420.0,0.0,0.0
27,80.0,120.0,120.0,0.0,0.0
28,78.0,324.0,120.0,0.0,0.0
29,54.0,0.0,420.0,0.0,0.0
30,77.0,0.0,480.0,0.0,0.0
31,66.0,96.0,390.0,0.0,0.0
32,68.0,372.0,480.0,0.0,0.0
33,58.0,0.0,420.0,0.0,0.0
34,61.0,48.0,390.0,0.0,0.0
35,66.0,0.0,420.0,0.0,0.0
36,75.0,480.0,420.0,0.0,0.0
37,77.0,0.0,750.0,0.0,0.0
38,49.0,310.0,420.0,0.0,0.0
39,68.0,130.0,750.0,0.0,0.0
40,61.0,0.0,420.0,0.0,0.0
41,65.0,64.0,390.0,0.0,0.0
42,73.0,248.0,210.0,0.0,0.0
43,65.0,0.0,420.0,0.0,0.0
44,73.0,168.0,210.0,0.0,0.0
45,68.0,64.0,390.0,0.0,0.0
46,80.0,0.0,210.0,0.0,0.0
47,77.0,456.0,210.0,0.0,0.0
48,82.0,0.0,750.0,0.0,0.0
49,58.0,310.0,420.0,0.0,0.0
50,73.0,114.0,750.0,0.0,0.0
51,65.0,8.0,420.0,0.0,0.0
52,70.0,94.0,390.0,0.0,0.0
53,77.0,242.0,210.0,0.0,0.0
54,61.0,8.0,420.0,0.0,0.0
55,73.0,0.0,240.0,0.0,0.0
56,77.0,136.0,240.0,0.0,0.0
57,65.0,96.0,390.0,0.0,0.0
58,80.0,432.0,240.0,0.0,0.0
59,82.0,0.0,750.0,0.0,0.0
60,58.0,310.0,420.0,0.0,0.0
61,73.0,114.0,750.0,0.0,0.0
62,65.0,8.0,420.0,0.0,0.0
63,70.0,94.0,390.0,0.0,0.0
64,77.0,242.0,210.0,0.0,0.0
65,61.0,8.0,420.0,0.0,0.0
66,73.0,0.0,240.0,0.0,0.0
67,77.0,136.0,240.0,0.0,0.0
68,65.0,96.0,390.0,0.0,0.0
69,80.0,240.0,240.0,0.0,0.0
70,72.0,0.0,240.0,0.0,0.0
71,84.0,192.0,240.0,0.0,0.0
72,56.0,48.0,420.0,0.0,0.0
73,82.0,384.0,240.0,0.0,0.0
74,80.0,0.0,420.0,0.0,0.0
75,65.0,36.0,390.0,0.0,0.0
76,72.0,480.0,420.0,0.0,0.0
77,60.0,12.0,420.0,0.0,0.0
78,79.0,0.0,420.0,0.0,0.0
79,64.0,0.0,420.0,0.0,0.0
80,70.0,0.0,420.0,0.0,0.0
81,60.0,480.0,420.0,0.0,0.0
82,80.0,0.0,720.0,0.0,0.0
83,53.0,288.0,420.0,0.0,0.0
84,72.0,144.0,720.0,0.0,0.0
85,60.0,0.0,390.0,0.0,0.0
86,65.0,72.0,390.0,0.0,0.0
87,68.0,0.0,210.0,0.0,0.0
88,72.0,272.0,210.0,0.0,0.0
89,68.0,0.0,240.0,0.0,0.0
90,60.0,0.0,390.0,0.0,0.0
91,56.0,88.0,390.0,0.0,0.0
92,72.0,144.0,240.0,0.0,0.0
93,77.0,432.0,240.0,0.0,0.0
94,77.0,0.0,720.0,0.0,0.0
95,49.0,288.0,420.0,0.0,0.0
96,68.0,152.0,720.0,0.0,0.0
97,56.0,64.0,420.0,0.0,0.0
98,65.0,0.0,450.0,0.0,0.0
99,73.0,248.0,210.0,0.0,0.0
100,53.0,0.0,420.0,0.0,0.0
101,73.0,0.0,210.0,0.0,0.0
102,61.0,88.0,390.0,0.0,0.0
103,65.0,168.0,210.0,0.0,0.0
104,77.0,0.0,240.0,0.0,0.0
105,68.0,440.0,240.0,0.0,0.0
106,68.0,0.0,720.0,0.0,0.0
107,77.0,144.0,720.0,0.0,0.0
108,49.0,288.0,420.0,0.0,0.0
109,56.0,64.0,420.0,0.0,0.0
110,65.0,0.0,450.0,0.0,0.0
111,73.0,232.0,210.0,0.0,0.0
112,53.0,0.0,420.0,0.0,0.0
113,73.0,0.0,210.0,0.0,0.0
114,61.0,80.0,390.0,0.0,0.0
115,65.0,168.0,210.0,0.0,0.0
116,77.0,0.0,210.0,0.0,0.0
117,68.0,456.0,210.0,0.0,0.0
118,70.0,72.0,480.0,0.0,0.0
119,78.0,0.0,420.0,0.0,0.0
120,49.0,0.0,420.0,0.0,0.0
121,80.0,48.0,120.0,0.0,0.0
122,78.0,324.0,120.0,0.0,0.0
123,54.0,0.0,420.0,0.0,0.0
124,68.0,0.0,480.0,0.0,0.0
125,77.0,372.0,480.0,0.0,0.0
126,66.0,96.0,390.0,0.0,0.0
127,58.0,0.0,420.0,0.0,0.0
128,61.0,48.0,390.0,0.0,0.0
129,66.0,0.0,420.0,0.0,0.0
130,75.0,480.0,420.0,0.0,0.0
131,77.0,0.0,750.0,0.0,0.0
132,49.0,310.0,420.0,0.0,0.0
133,68.0,122.0,750.0,0.0,0.0
134,61.0,0.0,420.0,0.0,0.0
135,65.0,94.0,390.0,0.0,0.0
136,73.0,242.0,210.0,0.0,0.0
137,65.0,0.0,420.0,0.0,0.0
138,73.0,144.0,240.0,0.0,0.0
139,68.0,96.0,390.0,0.0,0.0
140,80.0,0.0,240.0,0.0,0.0
141,77.0,432.0,240.0,0.0,0.0
142,82.0,0.0,750.0,0.0,0.0
143,58.0,310.0,420.0,0.0,0.0
144,73.0,122.0,750.0,0.0,0.0
145,65.0,0.0,420.0,0.0,0.0
146,70.0,94.0,390.0,0.0,0.0
147,77.0,242.0,210.0,0.0,0.0
148,61.0,0.0,420.0,0.0,0.0
149,77.0,0.0,240.0,0.0,0.0
150,65.0,96.0,390.0,0.0,0.0
151,73.0,144.0,240.0,0.0,0.0
152,80.0,432.0,240.0,0.0,0.0
153,82.0,0.0,750.0,0.0,0.0
154,58.0,310.0,420.0,0.0,0.0
155,73.0,122.0,750.0,0.0,0.0
156,65.0,0.0,420.0,0.0,0.0
157,70.0,94.0,390.0,0.0,0.0
158,77.0,242.0,210.0,0.0,0.0
159,61.0,0.0,420.0,0.0,0.0
160,77.0,0.0,240.0,0.0,0.0
161,65.0,96.0,390.0,0.0,0.0
162,73.0,144.0,240.0,0.0,0.0
163,80.0,240.0,240.0,0.0,0.0
164,72.0,0.0,240.0,0.0,0.0
165,84.0,192.0,240.0,0.0,0.0
166,56.0,48.0,420.0,0.0,0.0
167,82.0,384.0,240.0,0.0,0.0
168,65.0,0.0,390.0,0.0,0.0
169,72.0,0.0,420.0,0.0,0.0
170,80.0,432.0,420.0,0.0,0.0
171,60.0,48.0,390.0,0.0,0.0
172,79.0,0.0,420.0,0.0,0.0
173,64.0,0.0,390.0,0.0,0.0
174,60.0,48.0,390.0,0.0,0.0
175,70.0,480.0,420.0,0.0,0.0
176,80.0,0.0,750.0,0.0,0.0
177,53.0,310.0,420.0,0.0,0.0
178,72.0,122.0,750.0,0.0,0.0
179,65.0,0.0,390.0,0.0,0.0
180,60.0,94.0,390.0,0.0,0.0
181,77.0,0.0,210.0,0.0,0.0
182,68.0,242.0,210.0,0.0,0.0
183,68.0,0.0,240.0,0.0,0.0
184,77.0,144.0,240.0,0.0,0.0
185,56.0,0.0,390.0,0.0,0.0
186,60.0,96.0,390.0,0.0,0.0
187,80.0,432.0,240.0,0.0,0.0
188,44.0,310.0,420.0,0.0,0.0
189,72.0,0.0,750.0,0.0,0.0
190,78.0,0.0,750.0,0.0,0.0
191,80.0,122.0,750.0,0.0,0.0
192,63.0,0.0,390.0,0.0,0.0
193,66.0,94.0,390.0,0.0,0.0
194,75.0,242.0,210.0,0.0,0.0
195,75.0,144.0,240.0,0.0,0.0
196,60.0,0.0,390.0,0.0,0.0
197,56.0,96.0,390.0,0.0,0.0
198,78.0,0.0,240.0,0.0,0.0
199,80.0,432.0,240.0,0.0,0.0
200,49.0,310.0,420.0,0.0,0.0
201,73.0,0.0,750.0,0.0,0.0
202,77.0,0.0,750.0,0.0,0.0
203,80.0,122.0,750.0,0.0,0.0
204,65.0,0.0,390.0,0.0,0.0
205,61.0,94.0,390.0,0.0,0.0
206,77.0,242.0,210.0,0.0,0.0
207,77.0,144.0,240.0,0.0,0.0
208,61.0,0.0,390.0,0.0,0.0
209,56.0,96.0,390.0,0.0,0.0
210,80.0,432.0,240.0,0.0,0.0
211,49.0,310.0,420.0,0.0,0.0
212,77.0,0.0,750.0,0.0,0.0
213,83.0,0.0,750.0,0.0,0.0
214,85.0,122.0,750.0,0.0,0.0
215,71.0,0.0,390.0,0.0,0.0
216,68.0,94.0,390.0,0.0,0.0
217,80.0,242.0,210.0,0.0,0.0
218,80.0,144.0,240.0,0.0,0.0
219,61.0,0.0,390.0,0.0,0.0
220,65.0,96.0,390.0,0.0,0.0
221,83.0,0.0,240.0,0.0,0.0
222,85.0,432.0,240.0,0.0,0.0
223,54.0,310.0,420.0,0.0,0.0
224,78.0,0.0,750.0,0.0,0.0
225,82.0,0.0,750.0,0.0,0.0
226,85.0,122.0,750.0,0.0,0.0
227,70.0,0.0,390.0,0.0,0.0
228,66.0,94.0,390.0,0.0,0.0
229,82.0,242.0,210.0,0.0,0.0
230,82.0,144.0,240.0,0.0,0.0
231,61.0,0.0,390.0,0.0,0.0
232,66.0,96.0,390.0,0.0,0.0
233,85.0,432.0,240.0,0.0,0.0
234,79.0,0.0,750.0,0.0,0.0
235,82.0,0.0,750.0,0.0,0.0
236,87.0,0.0,750.0,0.0,0.0
237,75.0,122.0,750.0,0.0,0.0
238,51.0,310.0,420.0,0.0,0.0
239,67.0,0.0,390.0,0.0,0.0
240,73.0,240.0,480.0,0.0,0.0
241,70.0,94.0,390.0,0.0,0.0
242,82.0,2.0,210.0,0.0,0.0
243,79.0,0.0,240.0,0.0,0.0
244,82.0,0.0,240.0,0.0,0.0
245,75.0,144.0,240.0,0.0,0.0
246,67.0,0.0,390.0,0.0,0.0
247,63.0,0.0,480.0,0.0,0.0
248,70.0,96.0,390.0,0.0,0.0
249,85.0,240.0,240.0,0.0,0.0
250,85.0,0.0,240.0,0.0,0.0
251,56.0,48.0,420.0,0.0,0.0
252,78.0,0.0,480.0,0.0,0.0
253,75.0,192.0,240.0,0.0,0.0
254,84.0,384.0,240.0,0.0,0.0
