,note,step,duration,channel,velocity
0,75.0,116.0,240.0,0.0,0.0
1,76.0,80.0,120.0,0.0,0.0
2,75.0,30.0,120.0,0.0,0.0
3,73.0,242.0,90.0,0.0,0.0
4,56.0,0.0,1440.0,0.0,0.0
5,71.0,0.0,240.0,0.0,0.0
6,75.0,240.0,240.0,0.0,0.0
7,75.0,0.0,240.0,0.0,0.0
8,83.0,430.0,240.0,0.0,0.0
9,68.0,0.0,390.0,0.0,0.0
10,63.0,62.0,390.0,0.0,0.0
11,75.0,0.0,240.0,0.0,0.0
12,83.0,228.0,240.0,0.0,0.0
13,82.0,0.0,240.0,0.0,0.0
14,67.0,0.0,420.0,0.0,0.0
15,63.0,36.0,420.0,0.0,0.0
16,73.0,204.0,240.0,0.0,0.0
17,75.0,0.0,240.0,0.0,0.0
18,83.0,492.0,240.0,0.0,0.0
19,73.0,0.0,480.0,0.0,0.0
20,56.0,394.0,510.0,0.0,0.0
21,82.0,24.0,480.0,0.0,0.0
22,63.0,0.0,390.0,0.0,0.0
23,68.0,32.0,390.0,0.0,0.0
24,80.0,0.0,420.0,0.0,0.0
25,71.0,377.0,420.0,0.0,0.0
26,54.0,18.0,450.0,0.0,0.0
27,71.0,1.0,180.0,0.0,0.0
28,73.0,60.0,60.0,0.0,0.0
29,71.0,42.0,60.0,0.0,0.0
30,70.0,240.0,60.0,0.0,0.0
31,71.0,0.0,240.0,0.0,0.0
32,52.0,0.0,1440.0,0.0,0.0
33,68.0,240.0,240.0,0.0,0.0
34,80.0,0.0,240.0,0.0,0.0
35,71.0,430.0,240.0,0.0,0.0
36,64.0,0.0,390.0,0.0,0.0
37,59.0,62.0,390.0,0.0,0.0
38,71.0,0.0,240.0,0.0,0.0
39,80.0,228.0,240.0,0.0,0.0
40,78.0,0.0,240.0,0.0,0.0
41,63.0,0.0,420.0,0.0,0.0
42,59.0,36.0,420.0,0.0,0.0
43,69.0,204.0,240.0,0.0,0.0
44,80.0,0.0,240.0,0.0,0.0
45,71.0,492.0,240.0,0.0,0.0
46,69.0,0.0,480.0,0.0,0.0
47,52.0,386.0,510.0,0.0,0.0
48,78.0,24.0,480.0,0.0,0.0
49,64.0,0.0,390.0,0.0,0.0
50,68.0,0.0,420.0,0.0,0.0
51,59.0,32.0,390.0,0.0,0.0
52,76.0,376.0,420.0,0.0,0.0
53,51.0,18.0,450.0,0.0,0.0
54,68.0,10.0,180.0,0.0,0.0
55,69.0,60.0,60.0,0.0,0.0
56,68.0,42.0,60.0,0.0,0.0
57,67.0,240.0,60.0,0.0,0.0
58,50.0,410.0,510.0,0.0,0.0
59,68.0,240.0,240.0,0.0,0.0
60,77.0,20.0,240.0,0.0,0.0
61,65.0,0.0,390.0,0.0,0.0
62,58.0,0.0,390.0,0.0,0.0
63,56.0,62.0,390.0,0.0,0.0
64,70.0,228.0,240.0,0.0,0.0
65,71.0,0.0,240.0,0.0,0.0
66,51.0,36.0,420.0,0.0,0.0
67,66.0,204.0,240.0,0.0,0.0
68,75.0,240.0,240.0,0.0,0.0
69,74.0,0.0,240.0,0.0,0.0
70,53.0,410.0,510.0,0.0,0.0
71,68.0,240.0,240.0,0.0,0.0
72,83.0,20.0,240.0,0.0,0.0
73,58.0,0.0,390.0,0.0,0.0
74,68.0,0.0,390.0,0.0,0.0
75,62.0,62.0,390.0,0.0,0.0
76,74.0,228.0,240.0,0.0,0.0
