,note,step,duration,channel,velocity
0,69.0,0,228,0.0,0.0
1,81.0,240,228,0.0,0.0
2,74.0,240,228,0.0,0.0
3,62.0,0,228,0.0,0.0
4,65.0,0,228,0.0,0.0
5,57.0,240,228,0.0,0.0
6,76.0,0,228,0.0,0.0
7,64.0,0,228,0.0,0.0
8,69.0,126,18,0.0,0.0
9,55.0,120,114,0.0,0.0
10,67.0,0,114,0.0,0.0
11,53.0,0,114,0.0,0.0
12,65.0,6,114,0.0,0.0
13,64.0,0,114,0.0,0.0
14,52.0,120,114,0.0,0.0
15,50.0,234,114,0.0,0.0
16,62.0,0,114,0.0,0.0
17,52.0,240,228,0.0,0.0
18,64.0,0,228,0.0,0.0
19,45.0,456,228,0.0,0.0
20,57.0,12,684,0.0,0.0
21,61.0,252,456,0.0,0.0
22,69.0,0,456,0.0,0.0
23,45.0,0,456,0.0,0.0
24,52.0,0,456,0.0,0.0
25,50.0,0,456,0.0,0.0
26,69.0,12,456,0.0,0.0
27,62.0,220,228,0.0,0.0
28,60.0,8,28,0.0,0.0
29,58.0,252,18,0.0,0.0
30,69.0,0,936,0.0,0.0
31,52.0,0,936,0.0,0.0
32,45.0,0,936,0.0,0.0
33,57.0,252,936,0.0,0.0
34,65.0,0,228,0.0,0.0
35,69.0,240,228,0.0,0.0
36,57.0,0,228,0.0,0.0
37,69.0,0,228,1.0,0.0
38,50.0,0,228,0.0,0.0
39,58.0,0,228,0.0,0.0
40,49.0,0,228,0.0,0.0
41,67.0,240,228,0.0,0.0
42,67.0,0,228,1.0,0.0
43,64.0,0,228,0.0,0.0
44,65.0,0,228,0.0,0.0
45,62.0,0,228,0.0,0.0
46,57.0,0,228,0.0,0.0
47,50.0,240,228,0.0,0.0
48,65.0,0,228,1.0,0.0
49,64.0,0,228,1.0,0.0
50,64.0,0,228,0.0,0.0
51,61.0,0,228,0.0,0.0
52,45.0,240,228,0.0,0.0
53,55.0,0,228,0.0,0.0
54,46.0,0,228,0.0,0.0
55,53.0,0,228,0.0,0.0
56,62.0,126,228,1.0,0.0
57,62.0,0,228,0.0,0.0
58,45.0,114,114,0.0,0.0
59,61.0,6,228,0.0,0.0
60,64.0,0,228,0.0,0.0
61,64.0,0,228,1.0,0.0
62,43.0,120,114,0.0,0.0
63,65.0,0,228,0.0,0.0
64,62.0,6,228,0.0,0.0
65,41.0,114,114,0.0,0.0
66,65.0,0,228,1.0,0.0
67,40.0,234,114,0.0,0.0
68,65.0,0,228,0.0,0.0
69,38.0,0,228,0.0,0.0
70,65.0,240,228,1.0,0.0
71,57.0,0,228,0.0,0.0
72,62.0,0,228,0.0,0.0
73,67.0,0,456,0.0,0.0
74,48.0,0,456,0.0,0.0
75,64.0,12,456,0.0,0.0
76,60.0,0,228,0.0,0.0
77,55.0,228,228,0.0,0.0
78,36.0,0,456,0.0,0.0
79,67.0,0,228,1.0,0.0
80,67.0,240,228,1.0,0.0
81,62.0,0,228,0.0,0.0
82,58.0,0,228,0.0,0.0
83,57.0,0,456,0.0,0.0
84,69.0,228,228,1.0,0.0
85,41.0,12,456,0.0,0.0
86,65.0,0,456,0.0,0.0
87,60.0,0,456,0.0,0.0
88,69.0,126,228,1.0,0.0
89,65.0,6,228,0.0,0.0
