,note,step,duration,channel,velocity
0,51.0,0,480,0.0,0.0
1,63.0,0,480,0.0,0.0
2,27.0,360,480,0.0,0.0
3,39.0,0,480,0.0,0.0
4,57.0,0,120,0.0,0.0
5,49.0,120,120,0.0,0.0
6,52.0,0,120,0.0,0.0
7,50.0,0,120,0.0,0.0
8,58.0,120,120,0.0,0.0
9,53.0,0,120,0.0,0.0
10,59.0,120,120,0.0,0.0
11,54.0,0,120,0.0,0.0
12,51.0,0,120,0.0,0.0
13,55.0,0,120,0.0,0.0
14,60.0,120,120,0.0,0.0
15,52.0,0,120,0.0,0.0
16,56.0,0,120,0.0,0.0
17,61.0,120,120,0.0,0.0
18,62.0,0,120,0.0,0.0
19,57.0,0,120,0.0,0.0
20,53.0,0,15,0.0,0.0
21,55.0,0,120,0.0,0.0
22,58.0,480,120,0.0,0.0
23,63.0,0,120,0.0,0.0
24,39.0,0,120,0.0,0.0
25,55.0,840,120,0.0,0.0
26,58.0,0,120,0.0,0.0
27,46.0,0,120,0.0,0.0
28,56.0,0,480,0.0,0.0
29,64.0,0,480,0.0,0.0
30,68.0,0,480,0.0,0.0
31,59.0,240,480,0.0,0.0
32,50.0,0,480,0.0,0.0
33,58.0,370,240,0.0,0.0
34,55.0,0,240,0.0,0.0
35,63.0,0,240,0.0,0.0
36,67.0,0,240,0.0,0.0
37,51.0,0,240,0.0,0.0
38,44.0,120,120,0.0,0.0
39,59.0,0,120,0.0,0.0
40,43.0,0,120,0.0,0.0
41,58.0,120,120,0.0,0.0
42,38.0,120,120,0.0,0.0
43,52.0,0,120,0.0,0.0
44,51.0,120,120,0.0,0.0
45,39.0,0,120,0.0,0.0
46,44.0,0,120,0.0,0.0
47,59.0,120,120,0.0,0.0
48,43.0,0,120,0.0,0.0
49,58.0,120,120,0.0,0.0
50,38.0,0,120,0.0,0.0
51,52.0,120,120,0.0,0.0
52,39.0,0,120,0.0,0.0
53,51.0,120,120,0.0,0.0
54,44.0,0,120,0.0,0.0
55,59.0,120,120,0.0,0.0
56,43.0,0,120,0.0,0.0
57,58.0,120,120,0.0,0.0
58,38.0,0,120,0.0,0.0
59,52.0,120,120,0.0,0.0
60,39.0,120,120,0.0,0.0
61,51.0,0,120,0.0,0.0
62,44.0,0,120,0.0,0.0
63,59.0,120,120,0.0,0.0
64,43.0,120,120,0.0,0.0
65,58.0,0,120,0.0,0.0
66,52.0,0,120,0.0,0.0
67,38.0,120,120,0.0,0.0
68,51.0,0,120,0.0,0.0
69,39.0,120,120,0.0,0.0
70,59.0,120,120,0.0,0.0
71,44.0,0,120,0.0,0.0
72,43.0,0,120,0.0,0.0
73,58.0,120,120,0.0,0.0
74,38.0,0,120,0.0,0.0
75,52.0,110,120,0.0,0.0
76,51.0,0,120,0.0,0.0
77,39.0,480,15,0.0,0.0
78,51.0,0,480,0.0,0.0
79,64.0,0,480,0.0,0.0
80,52.0,360,480,0.0,0.0
81,56.0,0,480,0.0,0.0
82,59.0,0,480,0.0,0.0
83,44.0,0,480,0.0,0.0
84,50.0,0,120,0.0,0.0
85,58.0,120,120,0.0,0.0
86,53.0,0,120,0.0,0.0
87,54.0,0,120,0.0,0.0
88,59.0,0,120,0.0,0.0
89,51.0,120,120,0.0,0.0
90,60.0,0,120,0.0,0.0
91,52.0,0,120,0.0,0.0
92,55.0,120,120,0.0,0.0
93,61.0,120,120,0.0,0.0
94,56.0,0,120,0.0,0.0
95,53.0,0,120,0.0,0.0
96,62.0,0,120,0.0,0.0
97,57.0,120,120,0.0,0.0
98,54.0,0,120,0.0,0.0
99,63.0,0,120,0.0,0.0
100,58.0,0,120,0.0,0.0
101,54.0,120,120,0.0,0.0
102,59.0,480,120,0.0,0.0
103,64.0,0,120,0.0,0.0
104,56.0,0,120,0.0,0.0
105,59.0,840,120,0.0,0.0
106,39.0,0,120,0.0,0.0
107,52.0,0,120,0.0,0.0
108,56.0,0,120,0.0,0.0
109,47.0,0,120,0.0,0.0
110,58.0,0,480,0.0,0.0
111,55.0,0,480,0.0,0.0
112,61.0,0,480,0.0,0.0
113,73.0,240,480,0.0,0.0
114,70.0,0,480,0.0,0.0
115,64.0,0,15,0.0,0.0
116,59.0,0,240,0.0,0.0
117,56.0,370,240,0.0,0.0
118,71.0,0,240,0.0,0.0
119,68.0,0,240,0.0,0.0
120,46.0,120,120,0.0,0.0
121,61.0,0,120,0.0,0.0
122,44.0,0,120,0.0,0.0
123,59.0,120,120,0.0,0.0
124,54.0,120,120,0.0,0.0
125,39.0,0,120,0.0,0.0
126,44.0,0,120,0.0,0.0
127,52.0,120,120,0.0,0.0
128,46.0,0,120,0.0,0.0
129,61.0,120,120,0.0,0.0
130,44.0,0,120,0.0,0.0
131,59.0,120,120,0.0,0.0
132,39.0,0,120,0.0,0.0
133,54.0,120,120,0.0,0.0
134,44.0,0,120,0.0,0.0
135,52.0,120,120,0.0,0.0
136,61.0,120,120,0.0,0.0
137,46.0,0,120,0.0,0.0
138,44.0,120,120,0.0,0.0
139,59.0,0,120,0.0,0.0
140,54.0,0,120,0.0,0.0
141,39.0,120,120,0.0,0.0
142,52.0,0,120,0.0,0.0
143,44.0,120,120,0.0,0.0
144,61.0,0,120,0.0,0.0
145,46.0,120,120,0.0,0.0
146,59.0,120,120,0.0,0.0
147,44.0,0,120,0.0,0.0
148,54.0,120,120,0.0,0.0
149,39.0,0,120,0.0,0.0
150,44.0,0,120,0.0,0.0
151,52.0,120,120,0.0,0.0
152,46.0,120,120,0.0,0.0
153,61.0,0,120,0.0,0.0
154,44.0,120,120,0.0,0.0
155,59.0,0,120,0.0,0.0
156,39.0,110,120,0.0,0.0
157,54.0,0,120,0.0,0.0
158,44.0,0,120,0.0,0.0
159,52.0,480,120,0.0,0.0
160,65.0,0,480,0.0,0.0
161,53.0,0,480,0.0,0.0
162,57.0,0,480,0.0,0.0
163,60.0,0,480,0.0,0.0
164,51.0,0,480,0.0,0.0
165,39.0,360,480,0.0,0.0
166,45.0,0,480,0.0,0.0
167,57.0,0,120,0.0,0.0
168,62.0,120,120,0.0,0.0
169,54.0,0,120,0.0,0.0
170,55.0,0,120,0.0,0.0
171,63.0,120,120,0.0,0.0
172,58.0,0,120,0.0,0.0
173,56.0,120,120,0.0,0.0
174,64.0,0,120,0.0,0.0
175,59.0,0,120,0.0,0.0
176,60.0,0,120,0.0,0.0
177,65.0,120,120,0.0,0.0
178,57.0,0,120,0.0,0.0
179,61.0,120,120,0.0,0.0
180,67.0,0,120,0.0,0.0
181,58.0,0,120,0.0,0.0
182,68.0,0,120,0.0,0.0
183,62.0,0,120,0.0,0.0
184,59.0,120,120,0.0,0.0
185,60.0,0,120,0.0,0.0
186,69.0,480,120,0.0,0.0
187,63.0,0,120,0.0,0.0
188,65.0,840,120,0.0,0.0
189,53.0,0,120,0.0,0.0
190,57.0,0,120,0.0,0.0
191,60.0,0,120,0.0,0.0
192,39.0,0,120,0.0,0.0
193,51.0,0,120,0.0,0.0
194,57.0,0,480,0.0,0.0
195,60.0,0,480,0.0,0.0
196,65.0,0,480,0.0,0.0
197,72.0,240,480,0.0,0.0
198,51.0,0,480,0.0,0.0
199,63.0,0,480,0.0,0.0
200,70.0,0,240,0.0,0.0
201,58.0,0,240,0.0,0.0
202,27.0,600,240,0.0,0.0
203,39.0,0,240,0.0,0.0
204,62.0,0,240,0.0,0.0
205,56.0,0,240,0.0,0.0
206,65.0,0,240,0.0,0.0
207,56.0,0,120,0.0,0.0
208,59.0,120,120,0.0,0.0
209,64.0,0,120,0.0,0.0
210,65.0,120,120,0.0,0.0
211,57.0,0,120,0.0,0.0
212,60.0,0,120,0.0,0.0
213,61.0,0,120,0.0,0.0
214,66.0,120,120,0.0,0.0
215,58.0,0,120,0.0,0.0
216,67.0,120,120,0.0,0.0
217,62.0,0,120,0.0,0.0
218,59.0,0,120,0.0,0.0
219,68.0,0,120,0.0,0.0
220,60.0,0,120,0.0,0.0
221,63.0,120,120,0.0,0.0
222,61.0,0,120,0.0,0.0
223,69.0,0,120,0.0,0.0
224,64.0,120,120,0.0,0.0
225,70.0,480,120,0.0,0.0
226,65.0,0,120,0.0,0.0
227,62.0,0,120,0.0,0.0
228,58.0,0,120,0.0,0.0
229,53.0,840,120,0.0,0.0
230,39.0,0,120,0.0,0.0
231,51.0,0,120,0.0,0.0
232,65.0,0,120,0.0,0.0
233,62.0,0,120,0.0,0.0
234,65.0,0,480,0.0,0.0
235,70.0,0,480,0.0,0.0
236,77.0,0,480,0.0,0.0
237,62.0,240,480,0.0,0.0
238,56.0,0,480,0.0,0.0
239,68.0,0,480,0.0,0.0
240,58.0,0,480,0.0,0.0
241,67.0,360,240,0.0,0.0
242,39.0,0,240,0.0,0.0
243,27.0,0,240,0.0,0.0
244,61.0,0,240,0.0,0.0
