,note,step,duration,channel,velocity
0,32.0,0,168,2.0,77.0
1,66.0,0,168,2.0,62.0
2,75.0,0,168,2.0,62.0
3,48.0,0,168,2.0,57.0
4,56.0,0,168,2.0,57.0
5,68.0,0,168,2.0,59.0
6,77.0,160,168,2.0,59.0
7,60.0,0,168,2.0,57.0
8,51.0,0,168,2.0,57.0
9,66.0,0,168,2.0,65.0
10,75.0,160,168,2.0,47.0
11,56.0,0,168,2.0,57.0
12,63.0,0,168,2.0,57.0
13,68.0,0,168,2.0,62.0
14,77.0,160,168,2.0,65.0
15,75.0,0,168,2.0,52.0
16,51.0,160,168,2.0,57.0
17,60.0,0,168,2.0,57.0
18,66.0,0,168,2.0,62.0
19,68.0,0,150,2.0,62.0
20,56.0,0,150,2.0,57.0
21,48.0,160,150,2.0,57.0
22,77.0,0,150,2.0,61.0
23,65.0,160,168,2.0,62.0
24,73.0,0,168,2.0,62.0
25,37.0,0,168,2.0,75.0
26,49.0,0,168,2.0,57.0
27,75.0,0,168,2.0,64.0
28,66.0,0,168,2.0,62.0
29,56.0,160,168,2.0,57.0
30,67.0,0,168,2.0,62.0
31,53.0,0,168,2.0,57.0
32,76.0,0,168,2.0,68.0
33,61.0,160,168,2.0,57.0
34,78.0,0,157,2.0,72.0
35,70.0,0,157,2.0,62.0
36,49.0,0,168,2.0,57.0
37,56.0,160,168,2.0,57.0
38,68.0,0,168,2.0,62.0
39,77.0,0,168,2.0,62.0
40,61.0,160,168,2.0,57.0
41,53.0,0,168,2.0,57.0
42,65.0,160,150,2.0,62.0
43,73.0,0,150,2.0,50.0
44,49.0,0,150,2.0,57.0
45,56.0,0,150,2.0,57.0
46,68.0,160,168,2.0,70.0
47,77.0,0,168,2.0,70.0
48,32.0,0,168,2.0,79.0
49,48.0,0,168,2.0,57.0
50,56.0,0,168,2.0,57.0
51,75.0,0,168,2.0,59.0
52,66.0,160,168,2.0,59.0
53,60.0,0,168,2.0,57.0
54,51.0,0,168,2.0,57.0
55,77.0,0,168,2.0,70.0
56,68.0,160,168,2.0,70.0
57,66.0,0,168,2.0,62.0
58,56.0,160,168,2.0,57.0
59,63.0,0,168,2.0,57.0
60,75.0,0,168,2.0,65.0
61,77.0,160,168,2.0,52.0
62,60.0,0,168,2.0,57.0
63,51.0,0,168,2.0,57.0
64,68.0,0,168,2.0,62.0
65,66.0,0,150,2.0,62.0
66,48.0,0,150,2.0,57.0
67,75.0,0,150,2.0,61.0
68,56.0,160,150,2.0,57.0
69,37.0,160,168,2.0,75.0
70,65.0,0,168,2.0,62.0
71,73.0,0,168,2.0,62.0
72,56.0,160,168,2.0,57.0
73,49.0,0,168,2.0,57.0
74,75.0,0,168,2.0,64.0
75,66.0,0,168,2.0,62.0
76,76.0,0,157,2.0,68.0
77,67.0,0,157,2.0,68.0
78,53.0,0,168,2.0,57.0
79,61.0,160,168,2.0,57.0
80,56.0,160,168,2.0,57.0
81,78.0,0,168,2.0,72.0
82,70.0,0,168,2.0,72.0
83,49.0,0,168,2.0,57.0
84,68.0,0,168,2.0,62.0
85,53.0,0,168,2.0,57.0
86,61.0,0,168,2.0,57.0
87,77.0,160,168,2.0,62.0
88,65.0,0,150,2.0,62.0
89,73.0,160,150,2.0,50.0
90,56.0,0,150,2.0,57.0
91,49.0,0,150,2.0,57.0
92,75.0,160,168,2.0,62.0
93,67.0,0,168,2.0,62.0
94,39.0,0,168,2.0,77.0
95,61.0,0,168,2.0,57.0
96,51.0,0,168,2.0,57.0
97,68.0,0,168,2.0,59.0
98,77.0,160,168,2.0,59.0
99,69.0,0,168,2.0,65.0
100,63.0,0,168,2.0,57.0
101,58.0,160,168,2.0,57.0
102,78.0,0,168,2.0,47.0
103,79.0,0,168,2.0,65.0
104,67.0,0,168,2.0,57.0
105,70.0,0,168,2.0,62.0
106,61.0,160,168,2.0,57.0
107,58.0,0,168,2.0,57.0
108,63.0,0,168,2.0,57.0
109,72.0,0,168,2.0,62.0
110,80.0,160,168,2.0,52.0
111,61.0,160,150,2.0,57.0
112,51.0,0,150,2.0,57.0
113,73.0,0,150,2.0,62.0
114,82.0,0,150,2.0,61.0
115,44.0,0,84,2.0,81.0
116,83.0,0,168,2.0,62.0
117,74.0,160,168,2.0,62.0
118,75.0,160,168,2.0,62.0
