,note,step,duration,channel,velocity
0,49.0,37,60,0.0,0.0
1,51.0,33,40,0.0,0.0
2,49.0,47,40,0.0,0.0
3,48.0,28,40,0.0,0.0
4,49.0,51,40,0.0,0.0
5,58.0,36,40,0.0,0.0
6,56.0,32,40,0.0,0.0
7,54.0,46,30,0.0,0.0
8,53.0,39,40,0.0,0.0
9,63.0,39,40,0.0,0.0
10,61.0,42,40,0.0,0.0
11,60.0,37,40,0.0,0.0
12,59.0,39,40,0.0,0.0
13,61.0,46,40,0.0,0.0
14,59.0,34,40,0.0,0.0
15,58.0,40,30,0.0,0.0
16,59.0,56,40,0.0,0.0
17,70.0,42,40,0.0,0.0
18,68.0,41,40,0.0,0.0
19,66.0,58,40,0.0,0.0
20,65.0,49,60,0.0,0.0
21,75.0,54,60,0.0,0.0
22,73.0,79,60,0.0,0.0
23,69.0,41,60,0.0,0.0
24,70.0,39,60,0.0,0.0
25,30.0,10,40,0.0,0.0
26,71.0,53,30,0.0,0.0
27,72.0,29,40,0.0,0.0
28,75.0,35,30,0.0,0.0
29,66.0,0,30,0.0,0.0
30,58.0,6,30,0.0,0.0
31,73.0,42,30,0.0,0.0
32,82.0,4,30,0.0,0.0
33,49.0,32,30,0.0,0.0
34,83.0,21,30,0.0,0.0
35,54.0,29,40,0.0,0.0
36,82.0,31,40,0.0,0.0
37,66.0,2,30,0.0,0.0
38,77.0,6,30,0.0,0.0
39,58.0,31,30,0.0,0.0
40,78.0,36,30,0.0,0.0
41,66.0,6,20,0.0,0.0
42,75.0,55,30,0.0,0.0
43,58.0,3,30,0.0,0.0
44,78.0,16,40,0.0,0.0
45,49.0,36,60,0.0,0.0
46,77.0,6,40,0.0,0.0
47,56.0,27,40,0.0,0.0
48,68.0,4,20,0.0,0.0
49,65.0,37,20,0.0,0.0
50,71.0,6,20,0.0,0.0
51,59.0,25,15,0.0,0.0
52,73.0,19,40,0.0,0.0
53,65.0,18,15,0.0,0.0
54,59.0,11,20,0.0,0.0
55,77.0,34,30,0.0,0.0
56,49.0,19,40,0.0,0.0
57,75.0,11,20,0.0,0.0
58,77.0,24,20,0.0,0.0
59,75.0,17,30,0.0,0.0
60,56.0,12,40,0.0,0.0
61,74.0,3,30,0.0,0.0
62,65.0,43,15,0.0,0.0
63,68.0,4,30,0.0,0.0
64,59.0,25,30,0.0,0.0
65,70.0,37,20,0.0,0.0
66,65.0,5,15,0.0,0.0
67,59.0,7,20,0.0,0.0
68,73.0,43,30,0.0,0.0
69,72.0,13,30,0.0,0.0
70,50.0,48,40,0.0,0.0
71,71.0,32,40,0.0,0.0
72,51.0,2,40,0.0,0.0
73,66.0,39,30,0.0,0.0
74,63.0,1,20,0.0,0.0
75,68.0,31,30,0.0,0.0
76,54.0,2,20,0.0,0.0
77,69.0,37,30,0.0,0.0
78,63.0,11,20,0.0,0.0
79,70.0,4,30,0.0,0.0
80,54.0,39,40,0.0,0.0
81,78.0,6,30,0.0,0.0
82,46.0,35,40,0.0,0.0
83,77.0,34,40,0.0,0.0
84,51.0,5,30,0.0,0.0
85,76.0,35,30,0.0,0.0
86,63.0,4,30,0.0,0.0
87,75.0,27,40,0.0,0.0
88,54.0,4,30,0.0,0.0
89,74.0,40,30,0.0,0.0
90,63.0,4,20,0.0,0.0
91,54.0,31,30,0.0,0.0
92,75.0,1,30,0.0,0.0
93,71.0,23,20,0.0,0.0
94,46.0,12,40,0.0,0.0
95,73.0,23,30,0.0,0.0
96,71.0,4,30,0.0,0.0
97,53.0,23,40,0.0,0.0
98,65.0,35,30,0.0,0.0
99,62.0,13,15,0.0,0.0
100,68.0,6,20,0.0,0.0
101,56.0,31,30,0.0,0.0
102,70.0,31,40,0.0,0.0
103,62.0,14,20,0.0,0.0
104,56.0,46,30,0.0,0.0
105,73.0,0,30,0.0,0.0
106,46.0,53,30,0.0,0.0
107,72.0,4,30,0.0,0.0
108,71.0,27,40,0.0,0.0
109,53.0,35,90,0.0,0.0
110,65.0,8,30,0.0,0.0
111,62.0,7,20,0.0,0.0
112,56.0,30,40,0.0,0.0
113,69.0,9,30,0.0,0.0
114,70.0,43,30,0.0,0.0
115,62.0,7,20,0.0,0.0
116,56.0,35,40,0.0,0.0
117,71.0,4,30,0.0,0.0
118,68.0,47,20,0.0,0.0
119,46.0,42,60,0.0,0.0
120,66.0,2,180,0.0,0.0
121,51.0,44,40,0.0,0.0
122,63.0,31,40,0.0,0.0
123,51.0,14,30,0.0,0.0
124,61.0,25,40,0.0,0.0
125,58.0,11,20,0.0,0.0
126,60.0,5,90,0.0,0.0
127,44.0,33,30,0.0,0.0
128,65.0,23,40,0.0,0.0
129,56.0,2,30,0.0,0.0
130,51.0,12,20,0.0,0.0
131,66.0,70,30,0.0,0.0
132,70.0,17,60,0.0,0.0
133,54.0,18,40,0.0,0.0
134,59.0,3,180,0.0,0.0
135,49.0,9,210,0.0,0.0
136,68.0,43,30,0.0,0.0
137,53.0,2,30,0.0,0.0
138,63.0,48,40,0.0,0.0
139,54.0,2,30,0.0,0.0
140,61.0,21,40,0.0,0.0
141,56.0,2,60,0.0,0.0
142,65.0,11,20,0.0,0.0
143,63.0,35,30,0.0,0.0
144,61.0,47,20,0.0,0.0
145,58.0,8,40,0.0,0.0
146,42.0,50,20,0.0,0.0
147,70.0,8,150,0.0,0.0
148,61.0,43,15,0.0,0.0
149,54.0,0,15,0.0,0.0
150,58.0,1,15,0.0,0.0
151,62.0,6,15,0.0,0.0
152,54.0,35,30,0.0,0.0
153,58.0,6,20,0.0,0.0
154,63.0,5,20,0.0,0.0
155,54.0,0,30,0.0,0.0
156,58.0,39,30,0.0,0.0
157,69.0,66,30,0.0,0.0
158,70.0,27,60,0.0,0.0
159,41.0,16,20,0.0,0.0
160,73.0,34,30,0.0,0.0
161,72.0,28,30,0.0,0.0
162,63.0,3,15,0.0,0.0
163,57.0,9,15,0.0,0.0
164,53.0,0,15,0.0,0.0
165,66.0,51,30,0.0,0.0
166,58.0,3,15,0.0,0.0
