,note,step,duration,channel,velocity
0,65.0,0,240,0.0,0.0
1,41.0,240,240,0.0,0.0
2,65.0,480,120,0.0,0.0
3,63.0,480,480,0.0,0.0
4,67.0,0,480,0.0,0.0
5,53.0,0,0,0.0,0.0
6,60.0,0,0,0.0,0.0
7,63.0,0,480,0.0,0.0
8,69.0,0,480,0.0,0.0
9,46.0,0,240,0.0,0.0
10,70.0,240,240,0.0,0.0
11,72.0,480,120,0.0,0.0
12,74.0,0,480,0.0,0.0
13,62.0,0,480,0.0,0.0
14,58.0,0,480,0.0,0.0
15,53.0,240,480,0.0,0.0
16,75.0,240,240,0.0,0.0
17,46.0,0,240,0.0,0.0
18,77.0,120,240,0.0,0.0
19,39.0,90,390,0.0,0.0
20,79.0,270,120,0.0,0.0
21,51.0,0,390,0.0,0.0
22,81.0,60,120,0.0,0.0
23,55.0,0,570,0.0,0.0
24,58.0,0,540,0.0,0.0
25,63.0,240,510,0.0,0.0
26,82.0,60,60,0.0,0.0
27,67.0,0,480,0.0,0.0
28,84.0,60,60,0.0,0.0
29,82.0,60,60,0.0,0.0
30,84.0,60,60,0.0,0.0
31,82.0,60,60,0.0,0.0
32,84.0,60,60,0.0,0.0
33,82.0,60,60,0.0,0.0
34,84.0,0,60,0.0,0.0
35,81.0,180,240,0.0,0.0
36,79.0,60,180,0.0,0.0
37,77.0,120,60,0.0,0.0
38,46.0,240,240,0.0,0.0
39,82.0,120,120,0.0,0.0
40,82.0,480,120,0.0,0.0
41,58.0,0,480,0.0,0.0
42,62.0,420,480,0.0,0.0
43,74.0,60,900,0.0,0.0
44,53.0,0,480,0.0,0.0
45,62.0,0,480,0.0,0.0
46,58.0,0,480,0.0,0.0
47,53.0,120,480,0.0,0.0
48,75.0,0,60,0.0,0.0
49,41.0,240,240,0.0,0.0
50,79.0,120,120,0.0,0.0
51,79.0,480,120,0.0,0.0
52,60.0,0,480,0.0,0.0
53,69.0,60,900,0.0,0.0
54,63.0,420,0,0.0,0.0
55,53.0,0,0,0.0,0.0
56,60.0,0,480,0.0,0.0
57,70.0,0,60,0.0,0.0
58,74.0,120,120,0.0,0.0
59,46.0,240,240,0.0,0.0
60,74.0,480,120,0.0,0.0
61,58.0,480,480,0.0,0.0
62,64.0,0,960,0.0,0.0
63,53.0,0,480,0.0,0.0
64,62.0,0,0,0.0,0.0
65,58.0,0,480,0.0,0.0
66,53.0,0,480,0.0,0.0
67,65.0,120,120,0.0,0.0
68,41.0,240,240,0.0,0.0
69,69.0,240,120,0.0,0.0
70,53.0,0,480,0.0,0.0
71,72.0,240,240,0.0,0.0
72,63.0,0,480,0.0,0.0
73,75.0,360,240,0.0,0.0
74,53.0,0,480,0.0,0.0
75,57.0,0,480,0.0,0.0
76,63.0,0,480,0.0,0.0
77,79.0,60,360,0.0,0.0
78,77.0,60,60,0.0,0.0
79,77.0,120,60,0.0,0.0
80,46.0,240,240,0.0,0.0
81,86.0,120,120,0.0,0.0
82,84.0,60,120,0.0,0.0
83,58.0,0,480,0.0,0.0
84,53.0,0,480,0.0,0.0
85,62.0,0,480,0.0,0.0
86,82.0,60,60,0.0,0.0
87,84.0,120,60,0.0,0.0
88,82.0,240,120,0.0,0.0
89,79.0,480,240,0.0,0.0
90,53.0,0,480,0.0,0.0
91,58.0,0,480,0.0,0.0
92,77.0,0,480,0.0,0.0
93,62.0,0,480,0.0,0.0
94,79.0,120,60,0.0,0.0
95,46.0,240,240,0.0,0.0
96,82.0,120,120,0.0,0.0
97,82.0,480,120,0.0,0.0
98,69.0,60,840,0.0,0.0
99,63.0,0,480,0.0,0.0
100,53.0,0,480,0.0,0.0
101,60.0,360,0,0.0,0.0
102,63.0,120,480,0.0,0.0
103,53.0,0,480,0.0,0.0
104,70.0,60,60,0.0,0.0
105,74.0,0,60,0.0,0.0
106,77.0,120,120,0.0,0.0
107,46.0,240,240,0.0,0.0
108,77.0,480,120,0.0,0.0
109,64.0,0,960,0.0,0.0
110,62.0,0,480,0.0,0.0
111,53.0,480,0,0.0,0.0
112,58.0,0,0,0.0,0.0
113,62.0,120,480,0.0,0.0
114,41.0,240,240,0.0,0.0
115,65.0,120,120,0.0,0.0
116,69.0,240,120,0.0,0.0
117,53.0,0,480,0.0,0.0
118,72.0,240,240,0.0,0.0
119,75.0,0,240,0.0,0.0
120,63.0,60,0,0.0,0.0
121,57.0,0,480,0.0,0.0
122,74.0,60,60,0.0,0.0
123,53.0,0,480,0.0,0.0
124,75.0,120,60,0.0,0.0
125,74.0,240,120,0.0,0.0
