,note,step,duration,channel,velocity
0,40.0,16,15,0.0,0.0
1,47.0,16,15,0.0,0.0
2,55.0,16,15,0.0,0.0
3,52.0,16,15,0.0,0.0
4,60.0,8,15,0.0,0.0
5,59.0,24,15,0.0,0.0
6,40.0,16,15,0.0,0.0
7,47.0,16,15,0.0,0.0
8,55.0,16,15,0.0,0.0
9,52.0,16,15,0.0,0.0
10,60.0,8,15,0.0,0.0
11,59.0,5,15,0.0,0.0
12,71.0,19,15,0.0,0.0
13,79.0,2,150,0.0,0.0
14,40.0,16,15,0.0,0.0
15,47.0,16,15,0.0,0.0
16,55.0,16,15,0.0,0.0
17,52.0,16,15,0.0,0.0
18,60.0,8,15,0.0,0.0
19,59.0,24,15,0.0,0.0
20,40.0,16,15,0.0,0.0
21,47.0,14,15,0.0,0.0
22,55.0,16,15,0.0,0.0
23,78.0,8,20,0.0,0.0
24,52.0,8,15,0.0,0.0
25,60.0,8,15,0.0,0.0
26,76.0,16,20,0.0,0.0
27,59.0,8,15,0.0,0.0
28,75.0,2,150,0.0,0.0
29,42.0,16,15,0.0,0.0
30,47.0,16,15,0.0,0.0
31,57.0,16,15,0.0,0.0
32,54.0,16,15,0.0,0.0
33,60.0,8,15,0.0,0.0
34,59.0,24,15,0.0,0.0
35,43.0,16,15,0.0,0.0
36,47.0,14,15,0.0,0.0
37,55.0,16,15,0.0,0.0
38,52.0,16,15,0.0,0.0
39,76.0,6,30,0.0,0.0
40,60.0,2,15,0.0,0.0
41,59.0,6,15,0.0,0.0
42,72.0,18,15,0.0,0.0
43,39.0,16,15,0.0,0.0
44,71.0,10,60,0.0,0.0
45,47.0,16,15,0.0,0.0
46,57.0,16,15,0.0,0.0
47,54.0,6,15,0.0,0.0
48,60.0,8,15,0.0,0.0
49,66.0,18,20,0.0,0.0
50,59.0,6,15,0.0,0.0
51,69.0,0,20,0.0,0.0
52,40.0,8,15,0.0,0.0
53,72.0,8,20,0.0,0.0
54,47.0,16,15,0.0,0.0
55,67.0,0,20,0.0,0.0
56,71.0,16,20,0.0,0.0
57,55.0,0,15,0.0,0.0
58,66.0,8,20,0.0,0.0
59,69.0,0,20,0.0,0.0
60,52.0,8,15,0.0,0.0
61,60.0,8,15,0.0,0.0
62,64.0,12,20,0.0,0.0
63,67.0,0,20,0.0,0.0
64,59.0,6,15,0.0,0.0
65,63.0,0,40,0.0,0.0
66,66.0,3,40,0.0,0.0
67,35.0,22,15,0.0,0.0
68,47.0,13,15,0.0,0.0
69,59.0,16,15,0.0,0.0
70,67.0,0,40,0.0,0.0
71,64.0,3,40,0.0,0.0
72,58.0,16,15,0.0,0.0
73,55.0,13,15,0.0,0.0
74,46.0,10,15,0.0,0.0
75,47.0,12,15,0.0,0.0
76,66.0,0,20,0.0,0.0
77,63.0,10,20,0.0,0.0
78,35.0,16,15,0.0,0.0
79,47.0,16,15,0.0,0.0
80,51.0,16,15,0.0,0.0
81,54.0,8,15,0.0,0.0
82,59.0,24,15,0.0,0.0
83,43.0,16,15,0.0,0.0
84,71.0,0,40,0.0,0.0
85,62.0,3,40,0.0,0.0
86,50.0,13,15,0.0,0.0
87,59.0,16,15,0.0,0.0
88,65.0,13,40,0.0,0.0
89,71.0,1,90,0.0,0.0
90,55.0,16,15,0.0,0.0
91,64.0,8,15,0.0,0.0
92,62.0,5,15,0.0,0.0
93,42.0,22,15,0.0,0.0
94,66.0,3,40,0.0,0.0
95,54.0,12,15,0.0,0.0
96,61.0,16,15,0.0,0.0
97,70.0,3,40,0.0,0.0
98,73.0,0,40,0.0,0.0
99,64.0,16,15,0.0,0.0
100,61.0,13,15,0.0,0.0
101,54.0,16,15,0.0,0.0
102,47.0,16,15,0.0,0.0
103,74.0,0,90,0.0,0.0
104,71.0,4,90,0.0,0.0
105,54.0,16,15,0.0,0.0
106,62.0,16,15,0.0,0.0
107,59.0,16,15,0.0,0.0
108,67.0,12,15,0.0,0.0
109,66.0,16,15,0.0,0.0
110,71.0,1,90,0.0,0.0
111,65.0,16,15,0.0,0.0
112,74.0,3,40,0.0,0.0
113,62.0,13,15,0.0,0.0
114,59.0,16,15,0.0,0.0
115,74.0,3,40,0.0,0.0
116,56.0,16,15,0.0,0.0
117,53.0,12,15,0.0,0.0
118,41.0,16,15,0.0,0.0
119,71.0,4,90,0.0,0.0
120,73.0,4,180,0.0,0.0
121,42.0,16,15,0.0,0.0
122,54.0,16,15,0.0,0.0
123,61.0,16,15,0.0,0.0
124,64.0,16,15,0.0,0.0
125,67.0,12,15,0.0,0.0
126,66.0,16,15,0.0,0.0
127,64.0,16,15,0.0,0.0
128,70.0,0,90,0.0,0.0
129,61.0,16,15,0.0,0.0
130,58.0,16,15,0.0,0.0
131,54.0,16,15,0.0,0.0
132,42.0,12,15,0.0,0.0
133,30.0,16,15,0.0,0.0
134,35.0,16,15,0.0,0.0
135,71.0,2,40,0.0,0.0
136,47.0,14,15,0.0,0.0
137,54.0,16,15,0.0,0.0
138,57.0,16,15,0.0,0.0
139,63.0,16,40,0.0,0.0
140,60.0,16,15,0.0,0.0
141,59.0,0,15,0.0,0.0
142,55.0,16,15,0.0,0.0
143,64.0,16,40,0.0,0.0
144,60.0,16,15,0.0,0.0
145,59.0,0,15,0.0,0.0
146,54.0,16,15,0.0,0.0
147,66.0,16,40,0.0,0.0
148,60.0,8,15,0.0,0.0
149,59.0,8,15,0.0,0.0
150,67.0,0,150,0.0,0.0
151,79.0,2,150,0.0,0.0
152,40.0,16,15,0.0,0.0
153,47.0,16,15,0.0,0.0
154,55.0,16,15,0.0,0.0
155,52.0,16,15,0.0,0.0
156,60.0,8,15,0.0,0.0
157,59.0,24,15,0.0,0.0
158,40.0,16,15,0.0,0.0
159,47.0,14,15,0.0,0.0
160,55.0,16,15,0.0,0.0
161,52.0,8,15,0.0,0.0
162,78.0,8,20,0.0,0.0
163,66.0,0,20,0.0,0.0
164,60.0,8,15,0.0,0.0
165,76.0,0,20,0.0,0.0
166,64.0,18,20,0.0,0.0
167,59.0,6,15,0.0,0.0
168,42.0,16,15,0.0,0.0
169,75.0,0,120,0.0,0.0
170,63.0,16,120,0.0,0.0
171,47.0,16,15,0.0,0.0
172,57.0,16,15,0.0,0.0
173,54.0,16,15,0.0,0.0
174,60.0,8,15,0.0,0.0
175,59.0,24,15,0.0,0.0
176,43.0,0,15,0.0,0.0
177,64.0,0,15,0.0,0.0
178,76.0,0,15,0.0,0.0
179,47.0,8,15,0.0,0.0
180,66.0,8,15,0.0,0.0
181,55.0,16,15,0.0,0.0
182,78.0,0,15,0.0,0.0
183,66.0,0,15,0.0,0.0
184,78.0,0,15,0.0,0.0
185,52.0,16,15,0.0,0.0
186,67.0,8,15,0.0,0.0
187,79.0,0,15,0.0,0.0
188,60.0,0,15,0.0,0.0
189,69.0,18,15,0.0,0.0
190,81.0,0,15,0.0,0.0
191,59.0,6,15,0.0,0.0
192,71.0,10,60,0.0,0.0
193,39.0,16,15,0.0,0.0
194,83.0,0,60,0.0,0.0
195,47.0,16,15,0.0,0.0
196,57.0,16,15,0.0,0.0
197,54.0,6,15,0.0,0.0
198,60.0,8,15,0.0,0.0
199,71.0,0,15,0.0,0.0
200,69.0,0,15,0.0,0.0
201,59.0,22,15,0.0,0.0
202,71.0,1,40,0.0,0.0
203,69.0,2,15,0.0,0.0
204,40.0,14,15,0.0,0.0
205,47.0,13,15,0.0,0.0
206,68.0,2,15,0.0,0.0
207,55.0,14,15,0.0,0.0
208,67.0,2,15,0.0,0.0
209,52.0,14,15,0.0,0.0
210,71.0,0,15,0.0,0.0
211,67.0,2,15,0.0,0.0
212,60.0,8,15,0.0,0.0
213,69.0,2,15,0.0,0.0
214,66.0,0,15,0.0,0.0
215,59.0,6,15,0.0,0.0
216,64.0,12,15,0.0,0.0
217,67.0,0,15,0.0,0.0
218,66.0,0,40,0.0,0.0
219,35.0,22,15,0.0,0.0
220,63.0,4,40,0.0,0.0
221,47.0,12,15,0.0,0.0
222,59.0,14,15,0.0,0.0
223,67.0,0,30,0.0,0.0
224,64.0,2,15,0.0,0.0
225,58.0,8,15,0.0,0.0
226,76.0,22,15,0.0,0.0
227,47.0,0,15,0.0,0.0
228,35.0,16,15,0.0,0.0
229,67.0,2,15,0.0,0.0
230,76.0,0,15,0.0,0.0
231,66.0,0,90,0.0,0.0
232,75.0,20,90,0.0,0.0
233,47.0,16,15,0.0,0.0
234,35.0,16,15,0.0,0.0
235,47.0,16,15,0.0,0.0
236,51.0,16,15,0.0,0.0
237,54.0,8,15,0.0,0.0
238,59.0,4,15,0.0,0.0
239,66.0,2,40,0.0,0.0
240,74.0,2,150,0.0,0.0
241,47.0,16,15,0.0,0.0
242,35.0,14,15,0.0,0.0
243,47.0,16,15,0.0,0.0
244,67.0,10,20,0.0,0.0
245,50.0,6,15,0.0,0.0
246,55.0,14,15,0.0,0.0
247,65.0,2,20,0.0,0.0
248,59.0,16,15,0.0,0.0
249,60.0,16,15,0.0,0.0
250,64.0,2,90,0.0,0.0
251,59.0,14,15,0.0,0.0
252,60.0,16,15,0.0,0.0
253,72.0,15,40,0.0,0.0
254,55.0,16,15,0.0,0.0
255,52.0,14,15,0.0,0.0
256,48.0,1,15,0.0,0.0
257,43.0,16,15,0.0,0.0
258,65.0,2,90,0.0,0.0
259,50.0,4,15,0.0,0.0
260,71.0,6,15,0.0,0.0
261,55.0,16,15,0.0,0.0
262,69.0,6,15,0.0,0.0
263,71.0,0,15,0.0,0.0
264,69.0,8,20,0.0,0.0
265,59.0,8,15,0.0,0.0
266,64.0,8,15,0.0,0.0
267,67.0,6,15,0.0,0.0
