,note,step,duration,channel,velocity
0,59.0,75,300,2.0,0.0
1,59.0,17,60,4.0,0.0
2,64.0,19,480,2.0,0.0
3,40.0,29,150,6.0,0.0
4,52.0,27,90,5.0,0.0
5,59.0,177,1020,14.0,0.0
6,55.0,40,60,3.0,0.0
7,55.0,3,900,14.0,0.0
8,52.0,31,270,15.0,0.0
9,64.0,1,870,7.0,0.0
10,40.0,56,150,1.0,0.0
11,41.0,49,60,1.0,0.0
12,40.0,17,60,1.0,0.0
13,41.0,34,60,1.0,0.0
14,55.0,4,60,3.0,0.0
15,59.0,5,90,4.0,0.0
16,40.0,30,60,1.0,0.0
17,43.0,11,90,6.0,0.0
18,55.0,11,120,5.0,0.0
19,55.0,6,210,15.0,0.0
20,41.0,16,40,1.0,0.0
21,40.0,41,40,1.0,0.0
22,41.0,14,40,1.0,0.0
23,40.0,31,40,1.0,0.0
24,63.0,36,180,2.0,0.0
25,41.0,31,40,1.0,0.0
26,40.0,39,40,1.0,0.0
27,41.0,28,40,1.0,0.0
28,64.0,19,300,13.0,0.0
29,40.0,5,40,1.0,0.0
30,55.0,13,120,4.0,0.0
31,59.0,6,90,3.0,0.0
32,52.0,3,90,5.0,0.0
33,40.0,17,120,6.0,0.0
34,52.0,3,270,15.0,0.0
35,64.0,7,300,15.0,0.0
36,64.0,12,150,2.0,0.0
37,41.0,16,40,1.0,0.0
38,40.0,6,40,1.0,0.0
39,41.0,18,40,1.0,0.0
40,40.0,42,30,1.0,0.0
41,67.0,12,180,2.0,0.0
42,41.0,59,40,1.0,0.0
43,40.0,3,60,1.0,0.0
44,41.0,9,40,1.0,0.0
45,47.0,1,40,1.0,0.0
46,54.0,8,360,14.0,0.0
47,51.0,22,570,15.0,0.0
48,66.0,18,60,3.0,0.0
49,71.0,7,1170,13.0,0.0
50,63.0,20,600,15.0,0.0
51,59.0,21,30,3.0,0.0
52,71.0,8,90,2.0,0.0
53,54.0,18,120,4.0,0.0
54,39.0,15,90,6.0,0.0
55,66.0,19,570,13.0,0.0
56,51.0,18,60,5.0,0.0
57,59.0,32,840,7.0,0.0
58,47.0,34,40,1.0,0.0
59,66.0,27,90,3.0,0.0
60,66.0,3,90,4.0,0.0
61,59.0,14,60,3.0,0.0
62,51.0,2,90,5.0,0.0
63,51.0,43,210,11.0,0.0
64,71.0,8,60,2.0,0.0
65,66.0,6,300,14.0,0.0
66,39.0,109,120,6.0,0.0
67,59.0,15,570,14.0,0.0
68,71.0,26,120,2.0,0.0
69,71.0,3,600,12.0,0.0
70,50.0,11,60,5.0,0.0
71,71.0,4,600,7.0,0.0
72,65.0,75,120,4.0,0.0
73,65.0,26,360,14.0,0.0
74,68.0,13,90,3.0,0.0
75,38.0,7,120,6.0,0.0
76,47.0,27,40,1.0,0.0
77,59.0,6,90,3.0,0.0
78,50.0,47,210,11.0,0.0
79,68.0,31,540,13.0,0.0
80,50.0,22,240,15.0,0.0
81,62.0,26,300,15.0,0.0
82,76.0,13,300,2.0,0.0
83,76.0,0,300,12.0,0.0
84,68.0,4,150,3.0,0.0
85,76.0,36,330,8.0,0.0
86,59.0,18,150,3.0,0.0
87,49.0,19,90,5.0,0.0
88,64.0,7,330,8.0,0.0
89,64.0,46,90,4.0,0.0
90,49.0,5,180,11.0,0.0
91,37.0,13,150,6.0,0.0
92,40.0,45,180,1.0,0.0
93,64.0,1,540,7.0,0.0
94,49.0,3,180,15.0,0.0
95,61.0,7,570,15.0,0.0
96,64.0,9,540,14.0,0.0
97,41.0,22,60,1.0,0.0
98,40.0,5,60,1.0,0.0
99,41.0,2,60,1.0,0.0
100,75.0,8,180,2.0,0.0
101,52.0,4,90,5.0,0.0
102,52.0,4,150,11.0,0.0
103,40.0,18,120,6.0,0.0
104,69.0,10,120,3.0,0.0
105,61.0,20,90,3.0,0.0
106,52.0,23,150,15.0,0.0
107,69.0,4,150,13.0,0.0
108,64.0,6,120,4.0,0.0
109,75.0,1,150,12.0,0.0
110,57.0,4,90,4.0,0.0
111,69.0,17,270,12.0,0.0
112,69.0,8,330,7.0,0.0
113,40.0,4,40,1.0,0.0
114,41.0,3,40,1.0,0.0
115,40.0,5,40,1.0,0.0
116,76.0,2,150,2.0,0.0
117,76.0,16,180,12.0,0.0
118,41.0,31,40,1.0,0.0
119,40.0,44,40,1.0,0.0
120,41.0,6,60,1.0,0.0
121,40.0,11,40,1.0,0.0
122,78.0,3,240,2.0,0.0
123,41.0,17,60,1.0,0.0
124,67.0,11,90,4.0,0.0
