,note,step,duration,channel,velocity
0,43.0,0,119,0.0,52.0
1,50.0,119,120,0.0,45.0
2,55.0,120,120,0.0,48.0
3,57.0,120,120,0.0,40.0
4,59.0,120,140,0.0,48.0
5,57.0,120,140,0.0,44.0
6,55.0,120,140,0.0,44.0
7,64.0,120,140,0.0,52.0
8,62.0,120,140,0.0,52.0
9,60.0,120,140,0.0,45.0
10,59.0,120,140,0.0,41.0
11,57.0,120,140,0.0,42.0
12,55.0,120,140,0.0,49.0
13,57.0,120,140,0.0,41.0
14,59.0,120,140,0.0,45.0
15,50.0,120,140,0.0,41.0
16,43.0,120,120,0.0,52.0
17,50.0,120,120,0.0,45.0
18,55.0,120,120,0.0,48.0
19,57.0,120,120,0.0,40.0
20,59.0,120,140,0.0,48.0
21,57.0,120,140,0.0,44.0
22,55.0,120,140,0.0,44.0
23,64.0,120,140,0.0,52.0
24,62.0,120,140,0.0,52.0
25,60.0,120,140,0.0,45.0
26,59.0,120,140,0.0,41.0
27,57.0,120,140,0.0,42.0
28,55.0,120,140,0.0,49.0
29,57.0,120,140,0.0,41.0
30,59.0,120,140,0.0,45.0
31,50.0,120,140,0.0,41.0
32,43.0,120,120,0.0,52.0
33,50.0,120,120,0.0,45.0
34,55.0,120,120,0.0,48.0
35,57.0,120,120,0.0,40.0
36,59.0,120,120,0.0,48.0
37,62.0,0,720,0.0,77.0
38,57.0,120,120,0.0,44.0
39,55.0,120,120,0.0,44.0
40,64.0,120,120,0.0,52.0
41,62.0,0,120,0.0,52.0
42,60.0,120,120,0.0,45.0
43,59.0,120,120,0.0,41.0
44,57.0,120,120,0.0,42.0
45,55.0,120,120,0.0,49.0
46,71.0,120,720,0.0,77.0
47,57.0,120,120,0.0,41.0
48,67.0,0,720,0.0,69.0
49,59.0,120,120,0.0,45.0
50,50.0,0,120,0.0,41.0
51,72.0,120,120,0.0,66.0
52,76.0,0,120,0.0,74.0
53,43.0,120,120,0.0,52.0
54,50.0,120,120,0.0,46.0
55,55.0,120,120,0.0,50.0
56,57.0,120,120,0.0,44.0
57,59.0,120,120,0.0,55.0
58,57.0,120,120,0.0,53.0
59,55.0,120,120,0.0,55.0
60,64.0,120,120,0.0,68.0
61,62.0,120,120,0.0,70.0
62,60.0,120,120,0.0,61.0
63,59.0,120,120,0.0,55.0
64,57.0,120,120,0.0,56.0
65,74.0,0,1440,0.0,82.0
66,71.0,0,1440,0.0,73.0
67,55.0,120,120,0.0,66.0
68,57.0,120,120,0.0,55.0
69,59.0,120,120,0.0,60.0
70,50.0,120,120,0.0,55.0
71,76.0,0,120,0.0,78.0
72,84.0,0,120,0.0,92.0
73,43.0,0,120,0.0,68.0
74,50.0,120,120,0.0,58.0
75,55.0,120,120,0.0,60.0
76,57.0,120,120,0.0,49.0
77,59.0,120,120,0.0,58.0
78,57.0,120,120,0.0,52.0
79,55.0,120,120,0.0,52.0
80,64.0,120,120,0.0,60.0
