,note,step,duration,channel,velocity
0,92.0,80,90,0.0,0.0
1,93.0,80,90,0.0,0.0
2,92.0,80,90,0.0,0.0
3,93.0,80,90,0.0,0.0
4,92.0,80,90,0.0,0.0
5,49.0,0,600,0.0,0.0
6,91.0,80,90,0.0,0.0
7,56.0,0,540,0.0,0.0
8,92.0,80,90,0.0,0.0
9,97.0,0,90,0.0,0.0
10,64.0,80,480,0.0,0.0
11,93.0,80,90,0.0,0.0
12,92.0,120,90,0.0,0.0
13,88.0,120,120,0.0,0.0
14,87.0,0,120,0.0,0.0
15,92.0,0,90,0.0,0.0
16,85.0,80,90,0.0,0.0
17,87.0,80,90,0.0,0.0
18,85.0,120,90,0.0,0.0
19,81.0,120,120,0.0,0.0
20,80.0,80,120,0.0,0.0
21,42.0,0,360,0.0,0.0
22,49.0,120,300,0.0,0.0
23,57.0,0,240,0.0,0.0
24,78.0,0,90,0.0,0.0
25,85.0,80,90,0.0,0.0
26,80.0,80,90,0.0,0.0
27,78.0,0,90,0.0,0.0
28,76.0,120,120,0.0,0.0
29,49.0,0,360,0.0,0.0
30,75.0,80,120,0.0,0.0
31,56.0,0,300,0.0,0.0
32,80.0,80,90,0.0,0.0
33,73.0,0,90,0.0,0.0
34,64.0,120,240,0.0,0.0
35,75.0,80,90,0.0,0.0
36,73.0,0,90,0.0,0.0
37,69.0,120,120,0.0,0.0
38,42.0,0,360,0.0,0.0
39,68.0,80,120,0.0,0.0
40,49.0,0,300,0.0,0.0
41,66.0,80,90,0.0,0.0
42,73.0,0,90,0.0,0.0
43,57.0,0,240,0.0,0.0
44,68.0,80,90,0.0,0.0
45,66.0,120,90,0.0,0.0
46,64.0,120,120,0.0,0.0
47,63.0,80,120,0.0,0.0
48,37.0,0,360,0.0,0.0
49,44.0,0,300,0.0,0.0
50,68.0,0,90,0.0,0.0
51,61.0,80,90,0.0,0.0
52,52.0,0,240,0.0,0.0
53,63.0,80,90,0.0,0.0
54,61.0,120,90,0.0,0.0
55,59.0,120,120,0.0,0.0
56,57.0,960,120,0.0,0.0
57,44.0,240,960,0.0,0.0
58,60.0,480,480,0.0,0.0
59,51.0,0,480,0.0,0.0
60,32.0,0,480,0.0,0.0
61,58.0,0,480,0.0,0.0
62,49.0,0,480,0.0,0.0
63,44.0,100,240,0.0,0.0
64,51.0,0,330,0.0,0.0
65,60.0,140,330,0.0,0.0
66,52.0,0,120,0.0,0.0
67,61.0,480,120,0.0,0.0
68,44.0,0,15,0.0,0.0
69,60.0,0,480,0.0,0.0
70,63.0,0,480,0.0,0.0
71,54.0,420,480,0.0,0.0
72,56.0,0,15,0.0,0.0
73,32.0,60,420,0.0,0.0
74,64.0,0,480,0.0,0.0
75,49.0,80,600,0.0,0.0
76,56.0,0,15,0.0,0.0
77,92.0,0,90,0.0,0.0
78,64.0,0,480,0.0,0.0
79,97.0,80,90,0.0,0.0
80,93.0,80,90,0.0,0.0
81,92.0,120,90,0.0,0.0
82,88.0,120,120,0.0,0.0
83,87.0,0,120,0.0,0.0
84,85.0,80,90,0.0,0.0
85,92.0,0,90,0.0,0.0
86,87.0,80,90,0.0,0.0
87,85.0,120,90,0.0,0.0
88,81.0,120,120,0.0,0.0
89,42.0,120,360,0.0,0.0
90,80.0,80,120,0.0,0.0
91,49.0,0,300,0.0,0.0
92,57.0,0,240,0.0,0.0
93,78.0,80,90,0.0,0.0
94,85.0,0,90,0.0,0.0
95,80.0,80,90,0.0,0.0
96,78.0,0,90,0.0,0.0
97,76.0,120,120,0.0,0.0
98,49.0,120,360,0.0,0.0
99,75.0,80,120,0.0,0.0
100,56.0,0,300,0.0,0.0
101,80.0,80,90,0.0,0.0
102,73.0,0,90,0.0,0.0
103,64.0,0,240,0.0,0.0
104,75.0,80,90,0.0,0.0
105,73.0,0,90,0.0,0.0
106,69.0,120,120,0.0,0.0
107,42.0,0,360,0.0,0.0
108,68.0,80,120,0.0,0.0
109,49.0,120,300,0.0,0.0
110,66.0,0,90,0.0,0.0
111,57.0,0,240,0.0,0.0
112,73.0,80,90,0.0,0.0
113,68.0,80,90,0.0,0.0
114,66.0,0,90,0.0,0.0
115,64.0,120,120,0.0,0.0
116,37.0,0,360,0.0,0.0
117,63.0,80,120,0.0,0.0
118,44.0,0,300,0.0,0.0
119,61.0,80,90,0.0,0.0
120,52.0,0,240,0.0,0.0
121,68.0,0,90,0.0,0.0
122,63.0,80,90,0.0,0.0
123,61.0,120,90,0.0,0.0
124,59.0,120,120,0.0,0.0
125,58.0,900,120,0.0,0.0
126,56.0,0,960,0.0,0.0
127,63.0,0,960,0.0,0.0
128,51.0,0,960,0.0,0.0
129,60.0,60,480,0.0,0.0
130,38.0,60,60,0.0,0.0
131,39.0,0,60,0.0,0.0
132,40.0,60,60,0.0,0.0
133,58.0,0,480,0.0,0.0
134,55.0,0,480,0.0,0.0
135,39.0,60,60,0.0,0.0
136,40.0,60,60,0.0,0.0
137,39.0,60,60,0.0,0.0
138,40.0,60,60,0.0,0.0
139,39.0,60,60,0.0,0.0
140,38.0,60,60,0.0,0.0
141,39.0,240,60,0.0,0.0
142,56.0,140,330,0.0,0.0
143,44.0,100,240,0.0,0.0
144,51.0,0,330,0.0,0.0
145,59.0,0,330,0.0,0.0
