,note,step,duration,channel,velocity
0,77.0,120,360,0.0,0.0
1,49.0,120,240,0.0,0.0
2,56.0,0,240,0.0,0.0
3,73.0,480,120,0.0,0.0
4,68.0,0,960,0.0,0.0
5,65.0,240,960,0.0,0.0
6,56.0,240,15,0.0,0.0
7,56.0,240,15,0.0,0.0
8,61.0,0,15,0.0,0.0
9,70.0,480,480,0.0,0.0
10,65.0,240,240,0.0,0.0
11,56.0,0,240,0.0,0.0
12,63.0,240,1440,0.0,0.0
13,66.0,0,1440,0.0,0.0
14,72.0,0,1440,0.0,0.0
15,56.0,240,15,0.0,0.0
16,56.0,240,240,0.0,0.0
17,58.0,240,240,0.0,0.0
18,56.0,0,240,0.0,0.0
19,73.0,0,480,0.0,0.0
20,65.0,240,240,0.0,0.0
21,61.0,0,240,0.0,0.0
22,56.0,360,240,0.0,0.0
23,66.0,120,360,0.0,0.0
24,75.0,0,360,0.0,0.0
25,60.0,240,1440,0.0,0.0
26,56.0,240,480,0.0,0.0
27,77.0,240,120,0.0,0.0
28,68.0,0,120,0.0,0.0
29,70.0,0,960,0.0,0.0
30,78.0,0,960,0.0,0.0
31,56.0,240,15,0.0,0.0
32,61.0,240,240,0.0,0.0
33,68.0,0,240,0.0,0.0
34,56.0,0,15,0.0,0.0
35,77.0,240,15,0.0,0.0
36,68.0,240,240,0.0,0.0
37,60.0,240,960,0.0,0.0
38,56.0,240,240,0.0,0.0
39,66.0,0,240,0.0,0.0
40,56.0,0,240,0.0,0.0
41,75.0,0,240,0.0,0.0
42,65.0,180,240,0.0,0.0
43,61.0,0,240,0.0,0.0
44,73.0,60,420,0.0,0.0
45,56.0,68,240,0.0,0.0
46,75.0,0,60,0.0,0.0
47,75.0,68,60,0.0,0.0
48,60.0,32,240,0.0,0.0
49,66.0,0,240,0.0,0.0
50,77.0,68,60,0.0,0.0
51,75.0,36,60,0.0,0.0
52,74.0,68,60,0.0,0.0
53,56.0,240,240,0.0,0.0
54,75.0,68,60,0.0,0.0
55,77.0,72,60,0.0,0.0
56,78.0,0,60,0.0,0.0
57,49.0,120,240,0.0,0.0
58,77.0,120,360,0.0,0.0
59,56.0,0,240,0.0,0.0
60,73.0,480,120,0.0,0.0
61,61.0,0,1440,0.0,0.0
62,65.0,0,1440,0.0,0.0
63,68.0,240,960,0.0,0.0
64,56.0,240,15,0.0,0.0
65,56.0,0,15,0.0,0.0
66,70.0,480,480,0.0,0.0
67,56.0,240,15,0.0,0.0
68,66.0,0,1440,0.0,0.0
69,63.0,240,1440,0.0,0.0
70,72.0,0,1440,0.0,0.0
71,56.0,240,15,0.0,0.0
72,56.0,240,240,0.0,0.0
73,58.0,240,240,0.0,0.0
74,56.0,0,240,0.0,0.0
75,73.0,360,480,0.0,0.0
76,61.0,240,240,0.0,0.0
77,65.0,0,240,0.0,0.0
78,56.0,0,240,0.0,0.0
