,note,step,duration,channel,velocity
0,34.0,0,480,0.0,0.0
1,46.0,0,480,0.0,0.0
2,58.0,90,480,0.0,0.0
3,63.0,0,90,0.0,0.0
4,27.0,90,480,0.0,0.0
5,51.0,240,90,0.0,0.0
6,39.0,0,480,0.0,0.0
7,51.0,150,90,0.0,0.0
8,63.0,0,90,0.0,0.0
9,28.0,0,90,0.0,0.0
10,40.0,0,90,0.0,0.0
11,63.0,240,90,0.0,0.0
12,51.0,0,90,0.0,0.0
13,41.0,630,90,0.0,0.0
14,29.0,0,90,0.0,0.0
15,63.0,0,90,0.0,0.0
16,51.0,0,90,0.0,0.0
17,51.0,390,480,0.0,0.0
18,42.0,0,480,0.0,0.0
19,63.0,0,480,0.0,0.0
20,30.0,0,480,0.0,0.0
21,32.0,0,390,0.0,0.0
22,59.0,0,480,0.0,0.0
23,65.0,0,480,0.0,0.0
24,63.0,0,480,0.0,0.0
25,44.0,90,0,0.0,0.0
26,51.0,0,450,0.0,0.0
27,53.0,240,30,0.0,0.0
28,65.0,0,240,0.0,0.0
29,71.0,0,240,0.0,0.0
30,77.0,150,240,0.0,0.0
31,59.0,0,390,0.0,0.0
32,75.0,0,0,0.0,0.0
33,63.0,240,240,0.0,0.0
34,46.0,0,570,0.0,0.0
35,53.0,90,540,0.0,0.0
36,56.0,27,483,0.0,0.0
37,65.0,0,240,0.0,0.0
38,77.0,213,240,0.0,0.0
39,74.0,0,240,0.0,0.0
40,70.0,0,240,0.0,0.0
41,62.0,0,480,0.0,0.0
42,78.0,0,240,0.0,0.0
43,66.0,0,240,0.0,0.0
44,66.0,0,90,0.0,0.0
45,54.0,240,90,0.0,0.0
46,30.0,90,480,0.0,0.0
47,42.0,0,480,0.0,0.0
48,54.0,150,90,0.0,0.0
49,66.0,0,90,0.0,0.0
50,54.0,240,90,0.0,0.0
51,66.0,0,90,0.0,0.0
52,43.0,0,90,0.0,0.0
53,31.0,0,90,0.0,0.0
54,32.0,0,90,0.0,0.0
55,44.0,0,90,0.0,0.0
56,66.0,630,90,0.0,0.0
57,54.0,0,90,0.0,0.0
58,33.0,390,480,0.0,0.0
59,45.0,0,480,0.0,0.0
60,54.0,0,480,0.0,0.0
61,66.0,0,0,0.0,0.0
62,35.0,90,390,0.0,0.0
63,47.0,0,390,0.0,0.0
64,48.0,0,480,0.0,0.0
65,54.0,0,450,0.0,0.0
66,56.0,0,30,0.0,0.0
67,62.0,0,0,0.0,0.0
68,74.0,0,240,0.0,0.0
69,68.0,240,0,0.0,0.0
70,80.0,0,240,0.0,0.0
71,66.0,240,240,0.0,0.0
72,78.0,150,0,0.0,0.0
73,49.0,0,570,0.0,0.0
74,56.0,0,540,0.0,0.0
75,59.0,0,510,0.0,0.0
76,65.0,0,480,0.0,0.0
77,68.0,240,240,0.0,0.0
78,80.0,0,240,0.0,0.0
79,77.0,0,240,0.0,0.0
80,73.0,0,240,0.0,0.0
81,81.0,0,240,0.0,0.0
82,69.0,90,0,0.0,0.0
83,33.0,90,480,0.0,0.0
84,57.0,240,90,0.0,0.0
85,45.0,0,480,0.0,0.0
86,57.0,150,90,0.0,0.0
87,69.0,0,90,0.0,0.0
88,57.0,0,90,0.0,0.0
89,69.0,0,90,0.0,0.0
90,35.0,240,90,0.0,0.0
91,47.0,0,90,0.0,0.0
92,48.0,0,90,0.0,0.0
93,36.0,630,90,0.0,0.0
94,69.0,0,90,0.0,0.0
95,57.0,0,90,0.0,0.0
96,49.0,0,480,0.0,0.0
97,57.0,90,480,0.0,0.0
98,69.0,0,480,0.0,0.0
99,37.0,0,480,0.0,0.0
100,38.0,90,480,0.0,0.0
101,50.0,0,480,0.0,0.0
102,56.0,240,90,0.0,0.0
103,70.0,0,90,0.0,0.0
104,68.0,0,90,0.0,0.0
105,65.0,0,90,0.0,0.0
106,58.0,0,90,0.0,0.0
107,70.0,0,90,0.0,0.0
108,68.0,0,90,0.0,0.0
109,65.0,0,90,0.0,0.0
110,56.0,150,90,0.0,0.0
111,58.0,0,90,0.0,0.0
112,51.0,0,90,0.0,0.0
113,56.0,0,90,0.0,0.0
114,39.0,0,90,0.0,0.0
115,65.0,0,90,0.0,0.0
116,68.0,0,90,0.0,0.0
117,70.0,240,90,0.0,0.0
118,58.0,0,90,0.0,0.0
119,65.0,0,90,0.0,0.0
