,note,step,duration,channel,velocity
0,70.0,240.0,720.0,0.0,0.0
1,38.0,252.0,450.0,0.0,0.0
2,50.0,0.0,930.0,0.0,0.0
3,69.0,240.0,240.0,0.0,0.0
4,67.0,228.0,240.0,0.0,0.0
5,61.0,12.0,930.0,0.0,0.0
6,58.0,12.0,450.0,0.0,0.0
7,69.0,240.0,240.0,0.0,0.0
8,70.0,228.0,240.0,0.0,0.0
9,55.0,0.0,450.0,0.0,0.0
10,76.0,468.0,240.0,0.0,0.0
11,74.0,480.0,450.0,0.0,0.0
12,62.0,0.0,930.0,0.0,0.0
13,53.0,0.0,450.0,0.0,0.0
14,57.0,0.0,450.0,0.0,0.0
15,74.0,480.0,450.0,0.0,0.0
16,70.0,240.0,720.0,0.0,0.0
17,38.0,252.0,450.0,0.0,0.0
18,50.0,12.0,930.0,0.0,0.0
19,69.0,240.0,240.0,0.0,0.0
20,67.0,228.0,240.0,0.0,0.0
21,61.0,12.0,930.0,0.0,0.0
22,58.0,0.0,450.0,0.0,0.0
23,69.0,240.0,240.0,0.0,0.0
24,55.0,0.0,450.0,0.0,0.0
25,70.0,228.0,240.0,0.0,0.0
26,76.0,468.0,240.0,0.0,0.0
27,74.0,0.0,930.0,0.0,0.0
28,53.0,480.0,450.0,0.0,0.0
29,62.0,252.0,930.0,0.0,0.0
30,57.0,0.0,450.0,0.0,0.0
31,50.0,0.0,450.0,0.0,0.0
32,57.0,0.0,450.0,0.0,0.0
33,48.0,0.0,450.0,0.0,0.0
34,73.0,228.0,240.0,0.0,0.0
35,42.0,12.0,450.0,0.0,0.0
36,74.0,68.0,240.0,0.0,0.0
37,72.0,30.0,60.0,0.0,0.0
38,55.0,12.0,450.0,0.0,0.0
39,50.0,0.0,450.0,0.0,0.0
40,46.0,0.0,450.0,0.0,0.0
41,43.0,0.0,450.0,0.0,0.0
42,74.0,142.0,60.0,0.0,0.0
43,72.0,228.0,180.0,0.0,0.0
44,70.0,240.0,240.0,0.0,0.0
45,55.0,0.0,450.0,0.0,0.0
46,49.0,0.0,450.0,0.0,0.0
47,45.0,12.0,450.0,0.0,0.0
48,68.0,228.0,240.0,0.0,0.0
49,69.0,68.0,240.0,0.0,0.0
50,67.0,30.0,60.0,0.0,0.0
51,46.0,12.0,450.0,0.0,0.0
52,50.0,0.0,450.0,0.0,0.0
53,55.0,0.0,450.0,0.0,0.0
54,69.0,142.0,60.0,0.0,0.0
55,67.0,228.0,180.0,0.0,0.0
56,65.0,68.0,240.0,0.0,0.0
57,64.0,30.0,60.0,0.0,0.0
58,58.0,12.0,450.0,0.0,0.0
59,50.0,0.0,450.0,0.0,0.0
60,43.0,0.0,450.0,0.0,0.0
61,65.0,142.0,60.0,0.0,0.0
62,64.0,228.0,180.0,0.0,0.0
63,62.0,240.0,240.0,0.0,0.0
64,45.0,0.0,450.0,0.0,0.0
