,note,step,duration,channel,velocity
0,48.0,120.0,480.0,0.0,0.0
1,41.0,240.0,120.0,0.0,0.0
2,65.0,0.0,120.0,0.0,0.0
3,56.0,0.0,120.0,0.0,0.0
4,48.0,0.0,120.0,0.0,0.0
5,60.0,0.0,120.0,0.0,0.0
6,72.0,240.0,120.0,0.0,0.0
7,44.0,240.0,120.0,0.0,0.0
8,77.0,0.0,120.0,0.0,0.0
9,72.0,0.0,120.0,0.0,0.0
10,65.0,240.0,120.0,0.0,0.0
11,60.0,0.0,120.0,0.0,0.0
12,53.0,0.0,120.0,0.0,0.0
13,43.0,240.0,120.0,0.0,0.0
14,77.0,0.0,120.0,0.0,0.0
15,70.0,0.0,120.0,0.0,0.0
16,58.0,240.0,120.0,0.0,0.0
17,49.0,0.0,120.0,0.0,0.0
18,65.0,0.0,120.0,0.0,0.0
19,48.0,240.0,120.0,0.0,0.0
20,60.0,240.0,120.0,0.0,0.0
21,76.0,0.0,120.0,0.0,0.0
22,72.0,0.0,120.0,0.0,0.0
23,55.0,0.0,120.0,0.0,0.0
24,64.0,0.0,120.0,0.0,0.0
25,44.0,240.0,120.0,0.0,0.0
26,53.0,0.0,120.0,0.0,0.0
27,65.0,0.0,120.0,0.0,0.0
28,72.0,240.0,120.0,0.0,0.0
29,60.0,0.0,120.0,0.0,0.0
30,41.0,240.0,120.0,0.0,0.0
31,60.0,0.0,120.0,0.0,0.0
32,80.0,0.0,120.0,0.0,0.0
33,72.0,0.0,120.0,0.0,0.0
34,68.0,240.0,120.0,0.0,0.0
35,53.0,0.0,120.0,0.0,0.0
36,46.0,240.0,120.0,0.0,0.0
37,68.0,240.0,120.0,0.0,0.0
38,73.0,0.0,120.0,0.0,0.0
39,80.0,0.0,120.0,0.0,0.0
40,61.0,0.0,120.0,0.0,0.0
41,53.0,0.0,120.0,0.0,0.0
42,46.0,240.0,120.0,0.0,0.0
43,73.0,0.0,120.0,0.0,0.0
44,79.0,240.0,120.0,0.0,0.0
45,67.0,0.0,120.0,0.0,0.0
46,52.0,0.0,120.0,0.0,0.0
47,61.0,0.0,120.0,0.0,0.0
48,44.0,240.0,120.0,0.0,0.0
49,53.0,240.0,120.0,0.0,0.0
50,73.0,0.0,120.0,0.0,0.0
51,77.0,0.0,120.0,0.0,0.0
52,61.0,0.0,120.0,0.0,0.0
53,65.0,0.0,120.0,0.0,0.0
54,44.0,240.0,120.0,0.0,0.0
55,53.0,0.0,120.0,0.0,0.0
56,72.0,240.0,120.0,0.0,0.0
57,84.0,0.0,120.0,0.0,0.0
58,60.0,0.0,120.0,0.0,0.0
59,77.0,0.0,120.0,0.0,0.0
60,43.0,240.0,120.0,0.0,0.0
61,49.0,0.0,120.0,0.0,0.0
62,70.0,0.0,120.0,0.0,0.0
63,58.0,0.0,120.0,0.0,0.0
64,82.0,240.0,120.0,0.0,0.0
65,77.0,0.0,120.0,0.0,0.0
66,36.0,240.0,120.0,0.0,0.0
67,55.0,0.0,120.0,0.0,0.0
68,58.0,0.0,120.0,0.0,0.0
69,48.0,240.0,120.0,0.0,0.0
70,84.0,0.0,120.0,0.0,0.0
71,76.0,0.0,120.0,0.0,0.0
72,72.0,0.0,120.0,0.0,0.0
73,41.0,240.0,120.0,0.0,0.0
74,68.0,0.0,120.0,0.0,0.0
75,48.0,0.0,120.0,0.0,0.0
76,80.0,0.0,120.0,0.0,0.0
77,72.0,240.0,120.0,0.0,0.0
78,56.0,0.0,120.0,0.0,0.0
79,43.0,240.0,120.0,0.0,0.0
80,64.0,0.0,120.0,0.0,0.0
81,76.0,240.0,120.0,0.0,0.0
82,58.0,0.0,120.0,0.0,0.0
83,48.0,0.0,120.0,0.0,0.0
84,72.0,0.0,120.0,0.0,0.0
85,44.0,240.0,120.0,0.0,0.0
86,48.0,0.0,120.0,0.0,0.0
87,60.0,240.0,120.0,0.0,0.0
88,72.0,0.0,120.0,0.0,0.0
89,65.0,0.0,120.0,0.0,0.0
90,77.0,0.0,120.0,0.0,0.0
91,41.0,240.0,120.0,0.0,0.0
92,72.0,0.0,120.0,0.0,0.0
93,80.0,240.0,120.0,0.0,0.0
94,56.0,0.0,120.0,0.0,0.0
95,48.0,0.0,120.0,0.0,0.0
96,68.0,0.0,120.0,0.0,0.0
97,36.0,240.0,120.0,0.0,0.0
98,48.0,0.0,120.0,0.0,0.0
99,72.0,240.0,120.0,0.0,0.0
100,79.0,0.0,120.0,0.0,0.0
101,67.0,0.0,120.0,0.0,0.0
102,58.0,0.0,120.0,0.0,0.0
103,41.0,240.0,120.0,0.0,0.0
104,56.0,0.0,120.0,0.0,0.0
105,65.0,0.0,120.0,0.0,0.0
106,77.0,0.0,120.0,0.0,0.0
107,72.0,0.0,120.0,0.0,0.0
108,48.0,240.0,120.0,0.0,0.0
109,43.0,240.0,120.0,0.0,0.0
110,48.0,0.0,120.0,0.0,0.0
111,58.0,0.0,120.0,0.0,0.0
112,52.0,0.0,120.0,0.0,0.0
113,67.0,0.0,120.0,0.0,0.0
114,72.0,240.0,120.0,0.0,0.0
115,60.0,0.0,120.0,0.0,0.0
116,41.0,240.0,120.0,0.0,0.0
117,65.0,0.0,120.0,0.0,0.0
118,72.0,0.0,120.0,0.0,0.0
119,77.0,0.0,120.0,0.0,0.0
120,56.0,0.0,120.0,0.0,0.0
121,48.0,240.0,120.0,0.0,0.0
122,53.0,0.0,120.0,0.0,0.0
123,36.0,240.0,120.0,0.0,0.0
124,79.0,240.0,120.0,0.0,0.0
125,58.0,0.0,120.0,0.0,0.0
126,72.0,0.0,120.0,0.0,0.0
127,48.0,0.0,120.0,0.0,0.0
128,52.0,0.0,120.0,0.0,0.0
129,67.0,0.0,120.0,0.0,0.0
130,41.0,240.0,120.0,0.0,0.0
131,72.0,0.0,120.0,0.0,0.0
132,77.0,240.0,120.0,0.0,0.0
133,53.0,0.0,120.0,0.0,0.0
134,56.0,0.0,120.0,0.0,0.0
135,48.0,0.0,120.0,0.0,0.0
136,65.0,0.0,120.0,0.0,0.0
137,43.0,240.0,120.0,0.0,0.0
138,48.0,0.0,120.0,0.0,0.0
139,60.0,0.0,120.0,0.0,0.0
140,67.0,0.0,120.0,0.0,0.0
141,72.0,0.0,120.0,0.0,0.0
142,58.0,0.0,120.0,0.0,0.0
143,52.0,240.0,120.0,0.0,0.0
144,41.0,240.0,120.0,0.0,0.0
145,65.0,240.0,120.0,0.0,0.0
146,48.0,0.0,120.0,0.0,0.0
147,77.0,0.0,120.0,0.0,0.0
148,72.0,0.0,120.0,0.0,0.0
149,53.0,0.0,120.0,0.0,0.0
150,56.0,0.0,120.0,0.0,0.0
151,39.0,240.0,120.0,0.0,0.0
152,79.0,0.0,120.0,0.0,0.0
153,67.0,0.0,120.0,0.0,0.0
154,72.0,240.0,120.0,0.0,0.0
155,60.0,0.0,120.0,0.0,0.0
156,51.0,0.0,120.0,0.0,0.0
157,41.0,240.0,120.0,0.0,0.0
158,72.0,0.0,120.0,0.0,0.0
159,80.0,0.0,120.0,0.0,0.0
160,60.0,0.0,120.0,0.0,0.0
161,53.0,240.0,120.0,0.0,0.0
162,68.0,0.0,120.0,0.0,0.0
163,43.0,240.0,120.0,0.0,0.0
164,60.0,0.0,120.0,0.0,0.0
165,55.0,0.0,120.0,0.0,0.0
166,75.0,0.0,120.0,0.0,0.0
167,67.0,240.0,120.0,0.0,0.0
168,63.0,0.0,120.0,0.0,0.0
169,43.0,240.0,120.0,0.0,0.0
170,59.0,0.0,120.0,0.0,0.0
171,65.0,0.0,120.0,0.0,0.0
172,74.0,0.0,120.0,0.0,0.0
173,67.0,0.0,120.0,0.0,0.0
174,55.0,240.0,120.0,0.0,0.0
175,48.0,240.0,120.0,0.0,0.0
176,55.0,240.0,120.0,0.0,0.0
177,64.0,0.0,120.0,0.0,0.0
178,67.0,0.0,120.0,0.0,0.0
179,60.0,0.0,120.0,0.0,0.0
180,72.0,0.0,120.0,0.0,0.0
181,47.0,240.0,120.0,0.0,0.0
182,68.0,0.0,120.0,0.0,0.0
183,74.0,0.0,120.0,0.0,0.0
184,62.0,240.0,120.0,0.0,0.0
185,56.0,0.0,120.0,0.0,0.0
186,65.0,0.0,120.0,0.0,0.0
187,46.0,240.0,120.0,0.0,0.0
188,61.0,240.0,120.0,0.0,0.0
189,55.0,0.0,120.0,0.0,0.0
190,75.0,0.0,120.0,0.0,0.0
191,63.0,0.0,120.0,0.0,0.0
192,67.0,0.0,120.0,0.0,0.0
193,73.0,0.0,120.0,0.0,0.0
194,36.0,240.0,120.0,0.0,0.0
195,64.0,0.0,120.0,0.0,0.0
196,76.0,0.0,120.0,0.0,0.0
197,67.0,0.0,120.0,0.0,0.0
198,72.0,240.0,120.0,0.0,0.0
199,60.0,0.0,120.0,0.0,0.0
200,55.0,0.0,120.0,0.0,0.0
201,41.0,240.0,120.0,0.0,0.0
202,65.0,0.0,120.0,0.0,0.0
203,68.0,0.0,120.0,0.0,0.0
204,72.0,0.0,120.0,0.0,0.0
205,77.0,0.0,120.0,0.0,0.0
206,53.0,0.0,120.0,0.0,0.0
207,60.0,240.0,120.0,0.0,0.0
208,44.0,240.0,120.0,0.0,0.0
209,53.0,0.0,120.0,0.0,0.0
210,77.0,120.0,960.0,0.0,0.0
211,60.0,0.0,120.0,0.0,0.0
212,72.0,0.0,120.0,0.0,0.0
213,65.0,240.0,120.0,0.0,0.0
214,43.0,240.0,120.0,0.0,0.0
215,70.0,0.0,120.0,0.0,0.0
216,49.0,0.0,120.0,0.0,0.0
217,58.0,0.0,120.0,0.0,0.0
218,65.0,240.0,120.0,0.0,0.0
219,48.0,120.0,120.0,0.0,0.0
220,76.0,0.0,120.0,0.0,0.0
221,72.0,0.0,120.0,0.0,0.0
222,64.0,240.0,120.0,0.0,0.0
223,60.0,0.0,120.0,0.0,0.0
224,55.0,0.0,120.0,0.0,0.0
225,44.0,240.0,120.0,0.0,0.0
226,60.0,0.0,120.0,0.0,0.0
227,53.0,240.0,120.0,0.0,0.0
228,65.0,0.0,120.0,0.0,0.0
229,72.0,0.0,120.0,0.0,0.0
230,41.0,240.0,120.0,0.0,0.0
231,60.0,0.0,120.0,0.0,0.0
232,53.0,0.0,120.0,0.0,0.0
233,72.0,0.0,120.0,0.0,0.0
