,note,step,duration,channel,velocity
0,32.0,80.0,90.0,0.0,0.0
1,39.0,80.0,90.0,0.0,0.0
2,51.0,0.0,330.0,0.0,0.0
3,48.0,80.0,90.0,0.0,0.0
4,56.0,0.0,90.0,0.0,0.0
5,60.0,80.0,90.0,0.0,0.0
6,63.0,0.0,150.0,0.0,0.0
7,56.0,80.0,90.0,0.0,0.0
8,53.0,0.0,90.0,0.0,0.0
9,65.0,80.0,90.0,0.0,0.0
10,31.0,80.0,90.0,0.0,0.0
11,51.0,0.0,330.0,0.0,0.0
12,39.0,80.0,90.0,0.0,0.0
13,58.0,80.0,90.0,0.0,0.0
14,49.0,0.0,90.0,0.0,0.0
15,61.0,80.0,90.0,0.0,0.0
16,63.0,0.0,150.0,0.0,0.0
17,58.0,80.0,90.0,0.0,0.0
18,65.0,80.0,90.0,0.0,0.0
19,53.0,0.0,90.0,0.0,0.0
20,32.0,80.0,90.0,0.0,0.0
21,51.0,0.0,330.0,0.0,0.0
22,39.0,80.0,90.0,0.0,0.0
23,48.0,0.0,90.0,0.0,0.0
24,56.0,80.0,90.0,0.0,0.0
25,63.0,80.0,150.0,0.0,0.0
26,60.0,80.0,90.0,0.0,0.0
27,56.0,0.0,90.0,0.0,0.0
28,65.0,80.0,90.0,0.0,0.0
29,53.0,0.0,90.0,0.0,0.0
30,36.0,80.0,90.0,0.0,0.0
31,48.0,80.0,90.0,0.0,0.0
32,55.0,0.0,330.0,0.0,0.0
33,51.0,0.0,90.0,0.0,0.0
34,60.0,80.0,90.0,0.0,0.0
35,63.0,80.0,90.0,0.0,0.0
36,67.0,80.0,150.0,0.0,0.0
37,60.0,0.0,90.0,0.0,0.0
38,68.0,80.0,90.0,0.0,0.0
39,56.0,0.0,90.0,0.0,0.0
40,37.0,80.0,90.0,0.0,0.0
41,48.0,80.0,90.0,0.0,0.0
42,60.0,80.0,330.0,0.0,0.0
43,65.0,0.0,90.0,0.0,0.0
44,53.0,80.0,90.0,0.0,0.0
45,72.0,0.0,150.0,0.0,0.0
46,68.0,80.0,90.0,0.0,0.0
47,65.0,0.0,90.0,0.0,0.0
48,70.0,0.0,90.0,0.0,0.0
49,58.0,80.0,90.0,0.0,0.0
50,38.0,80.0,90.0,0.0,0.0
51,46.0,80.0,90.0,0.0,0.0
52,60.0,80.0,330.0,0.0,0.0
53,56.0,80.0,90.0,0.0,0.0
54,65.0,0.0,90.0,0.0,0.0
55,68.0,80.0,90.0,0.0,0.0
56,72.0,0.0,150.0,0.0,0.0
57,65.0,0.0,90.0,0.0,0.0
58,70.0,0.0,90.0,0.0,0.0
59,58.0,80.0,90.0,0.0,0.0
60,39.0,80.0,90.0,0.0,0.0
61,49.0,80.0,90.0,0.0,0.0
62,60.0,0.0,330.0,0.0,0.0
63,63.0,80.0,90.0,0.0,0.0
64,55.0,0.0,90.0,0.0,0.0
65,72.0,0.0,150.0,0.0,0.0
66,67.0,80.0,90.0,0.0,0.0
67,63.0,80.0,90.0,0.0,0.0
68,58.0,80.0,90.0,0.0,0.0
69,70.0,0.0,90.0,0.0,0.0
70,27.0,80.0,90.0,0.0,0.0
71,55.0,80.0,330.0,0.0,0.0
72,39.0,80.0,90.0,0.0,0.0
73,58.0,0.0,90.0,0.0,0.0
74,49.0,80.0,90.0,0.0,0.0
75,67.0,0.0,150.0,0.0,0.0
76,61.0,80.0,90.0,0.0,0.0
77,58.0,0.0,90.0,0.0,0.0
78,65.0,0.0,90.0,0.0,0.0
79,53.0,80.0,90.0,0.0,0.0
80,32.0,80.0,90.0,0.0,0.0
81,39.0,80.0,90.0,0.0,0.0
82,51.0,0.0,330.0,0.0,0.0
83,48.0,0.0,90.0,0.0,0.0
84,56.0,80.0,90.0,0.0,0.0
85,63.0,0.0,150.0,0.0,0.0
86,60.0,80.0,90.0,0.0,0.0
87,56.0,80.0,90.0,0.0,0.0
88,53.0,80.0,90.0,0.0,0.0
89,65.0,0.0,90.0,0.0,0.0
90,31.0,80.0,90.0,0.0,0.0
91,39.0,80.0,90.0,0.0,0.0
92,51.0,80.0,330.0,0.0,0.0
93,58.0,80.0,90.0,0.0,0.0
94,49.0,0.0,90.0,0.0,0.0
95,63.0,0.0,150.0,0.0,0.0
96,61.0,80.0,90.0,0.0,0.0
97,58.0,0.0,90.0,0.0,0.0
98,65.0,80.0,90.0,0.0,0.0
99,53.0,0.0,90.0,0.0,0.0
100,32.0,80.0,90.0,0.0,0.0
101,51.0,80.0,330.0,0.0,0.0
102,39.0,80.0,90.0,0.0,0.0
103,56.0,0.0,90.0,0.0,0.0
104,48.0,80.0,90.0,0.0,0.0
105,63.0,0.0,150.0,0.0,0.0
106,60.0,80.0,90.0,0.0,0.0
107,56.0,0.0,90.0,0.0,0.0
108,65.0,0.0,90.0,0.0,0.0
109,53.0,80.0,90.0,0.0,0.0
110,36.0,80.0,90.0,0.0,0.0
111,55.0,80.0,330.0,0.0,0.0
112,48.0,80.0,90.0,0.0,0.0
113,60.0,80.0,90.0,0.0,0.0
114,51.0,0.0,90.0,0.0,0.0
115,67.0,0.0,150.0,0.0,0.0
116,63.0,80.0,90.0,0.0,0.0
117,60.0,0.0,90.0,0.0,0.0
118,68.0,80.0,90.0,0.0,0.0
119,56.0,0.0,90.0,0.0,0.0
120,37.0,80.0,90.0,0.0,0.0
121,57.0,0.0,330.0,0.0,0.0
122,44.0,80.0,90.0,0.0,0.0
123,61.0,80.0,90.0,0.0,0.0
124,53.0,0.0,90.0,0.0,0.0
125,69.0,80.0,150.0,0.0,0.0
126,65.0,80.0,90.0,0.0,0.0
127,61.0,0.0,90.0,0.0,0.0
128,58.0,80.0,90.0,0.0,0.0
129,70.0,0.0,90.0,0.0,0.0
130,39.0,80.0,90.0,0.0,0.0
131,59.0,0.0,330.0,0.0,0.0
132,44.0,80.0,90.0,0.0,0.0
133,63.0,0.0,90.0,0.0,0.0
134,54.0,80.0,90.0,0.0,0.0
135,71.0,0.0,150.0,0.0,0.0
136,68.0,80.0,90.0,0.0,0.0
137,63.0,80.0,90.0,0.0,0.0
138,72.0,0.0,90.0,0.0,0.0
139,60.0,80.0,90.0,0.0,0.0
140,41.0,80.0,90.0,0.0,0.0
141,49.0,80.0,90.0,0.0,0.0
142,63.0,80.0,330.0,0.0,0.0
143,65.0,80.0,90.0,0.0,0.0
144,56.0,0.0,90.0,0.0,0.0
145,75.0,0.0,150.0,0.0,0.0
146,68.0,80.0,90.0,0.0,0.0
147,65.0,0.0,90.0,0.0,0.0
148,73.0,0.0,90.0,0.0,0.0
149,61.0,80.0,90.0,0.0,0.0
150,39.0,80.0,90.0,0.0,0.0
151,59.0,80.0,330.0,0.0,0.0
152,44.0,80.0,90.0,0.0,0.0
