,note,step,duration,channel,velocity
0,51.0,96.0,60.0,0.0,80.0
1,79.0,0.0,510.0,0.0,80.0
2,75.0,0.0,510.0,0.0,80.0
3,73.0,0.0,510.0,0.0,80.0
4,67.0,32.0,510.0,0.0,80.0
5,70.0,0.0,510.0,0.0,80.0
6,63.0,96.0,60.0,1.0,75.0
7,61.0,96.0,60.0,1.0,75.0
8,58.0,96.0,60.0,1.0,75.0
9,59.0,64.0,60.0,1.0,75.0
10,58.0,96.0,60.0,1.0,75.0
11,55.0,96.0,60.0,1.0,75.0
12,51.0,96.0,60.0,1.0,75.0
13,52.0,96.0,60.0,1.0,75.0
14,51.0,96.0,60.0,1.0,75.0
15,49.0,96.0,60.0,1.0,75.0
16,46.0,96.0,60.0,1.0,75.0
17,47.0,96.0,60.0,1.0,75.0
18,46.0,96.0,60.0,1.0,75.0
19,44.0,96.0,60.0,1.0,75.0
20,42.0,96.0,60.0,1.0,75.0
21,43.0,96.0,60.0,1.0,75.0
22,39.0,96.0,60.0,1.0,75.0
23,40.0,96.0,60.0,1.0,75.0
24,39.0,96.0,60.0,1.0,75.0
25,37.0,96.0,60.0,1.0,75.0
26,34.0,96.0,60.0,1.0,75.0
27,35.0,96.0,60.0,1.0,75.0
28,34.0,96.0,60.0,1.0,75.0
29,32.0,96.0,60.0,1.0,75.0
30,27.0,96.0,60.0,1.0,75.0
31,32.0,96.0,60.0,1.0,75.0
32,27.0,96.0,60.0,1.0,75.0
33,32.0,96.0,60.0,1.0,75.0
34,71.0,0.0,180.0,0.0,80.0
35,73.0,64.0,180.0,0.0,80.0
36,64.0,0.0,180.0,0.0,80.0
37,76.0,0.0,180.0,0.0,80.0
38,27.0,32.0,60.0,1.0,75.0
39,32.0,96.0,60.0,1.0,75.0
40,63.0,0.0,60.0,0.0,80.0
41,75.0,0.0,60.0,0.0,80.0
42,27.0,160.0,60.0,1.0,75.0
43,82.0,0.0,510.0,0.0,80.0
44,75.0,0.0,510.0,0.0,80.0
45,73.0,0.0,510.0,0.0,80.0
46,70.0,32.0,510.0,0.0,80.0
47,31.0,128.0,120.0,1.0,75.0
48,51.0,96.0,60.0,0.0,80.0
49,63.0,96.0,60.0,1.0,75.0
50,61.0,64.0,60.0,1.0,75.0
51,58.0,96.0,60.0,1.0,75.0
52,59.0,96.0,60.0,1.0,75.0
53,58.0,96.0,60.0,1.0,75.0
54,55.0,96.0,60.0,1.0,75.0
55,51.0,96.0,60.0,1.0,75.0
56,52.0,96.0,60.0,1.0,75.0
57,51.0,96.0,60.0,1.0,75.0
58,49.0,96.0,60.0,1.0,75.0
59,46.0,96.0,60.0,1.0,75.0
60,47.0,96.0,60.0,1.0,75.0
61,46.0,96.0,60.0,1.0,75.0
62,43.0,96.0,60.0,1.0,75.0
63,39.0,96.0,60.0,1.0,75.0
64,40.0,96.0,60.0,1.0,75.0
65,39.0,96.0,60.0,1.0,75.0
66,37.0,96.0,60.0,1.0,75.0
67,34.0,96.0,60.0,1.0,75.0
68,35.0,96.0,60.0,1.0,75.0
69,34.0,96.0,60.0,1.0,75.0
70,32.0,96.0,60.0,1.0,75.0
71,27.0,96.0,60.0,1.0,75.0
72,32.0,96.0,60.0,1.0,75.0
73,27.0,96.0,60.0,1.0,75.0
74,32.0,96.0,60.0,1.0,75.0
75,64.0,0.0,180.0,0.0,80.0
76,73.0,0.0,180.0,0.0,80.0
77,76.0,0.0,180.0,0.0,80.0
78,71.0,64.0,180.0,0.0,80.0
79,27.0,32.0,60.0,1.0,75.0
80,32.0,96.0,60.0,1.0,75.0
81,63.0,160.0,60.0,0.0,80.0
82,75.0,0.0,60.0,0.0,80.0
83,27.0,0.0,60.0,1.0,75.0
84,75.0,0.0,120.0,0.0,80.0
85,73.0,0.0,120.0,0.0,80.0
86,31.0,128.0,120.0,1.0,75.0
87,85.0,0.0,120.0,0.0,80.0
88,82.0,0.0,120.0,0.0,80.0
89,76.0,96.0,60.0,0.0,80.0
90,88.0,0.0,60.0,0.0,80.0
91,87.0,0.0,60.0,0.0,80.0
92,75.0,96.0,60.0,0.0,80.0
93,73.0,0.0,60.0,0.0,80.0
94,85.0,96.0,60.0,0.0,80.0
95,82.0,0.0,60.0,0.0,80.0
96,70.0,96.0,60.0,0.0,80.0
97,71.0,96.0,60.0,0.0,80.0
98,83.0,0.0,60.0,0.0,80.0
99,82.0,0.0,60.0,0.0,80.0
100,70.0,96.0,60.0,0.0,80.0
101,79.0,0.0,60.0,0.0,80.0
102,67.0,96.0,60.0,0.0,80.0
103,63.0,96.0,60.0,0.0,80.0
104,75.0,0.0,60.0,0.0,80.0
105,76.0,0.0,60.0,0.0,80.0
106,64.0,96.0,60.0,0.0,80.0
107,63.0,96.0,60.0,0.0,80.0
108,75.0,0.0,60.0,0.0,80.0
109,73.0,0.0,60.0,0.0,80.0
110,61.0,96.0,60.0,0.0,80.0
111,70.0,0.0,60.0,0.0,80.0
112,58.0,96.0,60.0,0.0,80.0
113,71.0,0.0,60.0,0.0,80.0
114,59.0,96.0,60.0,0.0,80.0
