,note,step,duration,channel,velocity
0,54.0,114.0,120.0,0.0,64.0
1,42.0,87.0,240.0,0.0,64.0
2,53.0,17.0,90.0,0.0,64.0
3,41.0,8.0,60.0,0.0,64.0
4,54.0,7.0,60.0,0.0,64.0
5,42.0,11.0,60.0,0.0,64.0
6,45.0,17.0,60.0,0.0,64.0
7,57.0,1.0,40.0,0.0,64.0
8,61.0,248.0,40.0,0.0,64.0
9,49.0,3.0,30.0,0.0,64.0
10,53.0,30.0,60.0,0.0,64.0
11,41.0,18.0,40.0,0.0,64.0
12,42.0,6.0,60.0,0.0,64.0
13,54.0,18.0,60.0,0.0,64.0
14,45.0,195.0,60.0,0.0,64.0
15,57.0,7.0,40.0,0.0,64.0
16,61.0,27.0,210.0,0.0,64.0
17,49.0,373.0,240.0,0.0,64.0
18,54.0,1.0,30.0,0.0,64.0
19,30.0,566.0,30.0,0.0,64.0
20,42.0,0.0,30.0,0.0,64.0
21,90.0,19.0,300.0,0.0,64.0
22,86.0,9.0,300.0,0.0,64.0
23,78.0,15.0,330.0,0.0,64.0
24,66.0,230.0,360.0,0.0,64.0
25,56.0,15.0,330.0,0.0,64.0
26,54.0,45.0,240.0,0.0,64.0
27,62.0,4.0,300.0,0.0,64.0
28,59.0,10.0,270.0,0.0,64.0
29,71.0,1.0,40.0,0.0,64.0
30,83.0,78.0,60.0,0.0,64.0
31,80.0,0.0,30.0,0.0,64.0
32,66.0,3.0,40.0,0.0,64.0
33,56.0,4.0,40.0,0.0,64.0
34,62.0,2.0,30.0,0.0,64.0
35,54.0,7.0,20.0,0.0,64.0
36,80.0,4.0,30.0,0.0,64.0
37,73.0,2.0,20.0,0.0,64.0
38,54.0,42.0,40.0,0.0,64.0
39,85.0,3.0,20.0,0.0,64.0
40,62.0,3.0,15.0,0.0,64.0
41,66.0,0.0,20.0,0.0,64.0
42,56.0,5.0,20.0,0.0,64.0
43,80.0,7.0,40.0,0.0,64.0
44,74.0,8.0,40.0,0.0,64.0
45,86.0,3.0,40.0,0.0,64.0
46,54.0,98.0,60.0,0.0,64.0
47,62.0,3.0,40.0,0.0,64.0
48,66.0,1.0,40.0,0.0,64.0
49,56.0,2.0,40.0,0.0,64.0
50,54.0,207.0,60.0,0.0,64.0
51,81.0,11.0,60.0,0.0,64.0
52,73.0,4.0,40.0,0.0,64.0
53,66.0,2.0,40.0,0.0,64.0
54,85.0,0.0,30.0,0.0,64.0
55,61.0,8.0,30.0,0.0,64.0
56,57.0,0.0,40.0,0.0,64.0
57,41.0,16.0,40.0,0.0,64.0
58,53.0,22.0,60.0,0.0,64.0
59,42.0,9.0,60.0,0.0,64.0
60,54.0,5.0,60.0,0.0,64.0
61,45.0,4.0,60.0,0.0,64.0
62,57.0,21.0,40.0,0.0,64.0
63,49.0,260.0,40.0,0.0,64.0
64,61.0,0.0,30.0,0.0,64.0
65,53.0,30.0,60.0,0.0,64.0
66,41.0,17.0,60.0,0.0,64.0
67,42.0,6.0,60.0,0.0,64.0
68,54.0,22.0,60.0,0.0,64.0
69,45.0,190.0,60.0,0.0,64.0
70,57.0,3.0,60.0,0.0,64.0
71,61.0,46.0,210.0,0.0,64.0
72,49.0,333.0,240.0,0.0,64.0
73,52.0,0.0,40.0,0.0,64.0
74,28.0,532.0,40.0,0.0,64.0
75,40.0,4.0,30.0,0.0,64.0
76,88.0,24.0,270.0,0.0,64.0
77,69.0,25.0,210.0,0.0,64.0
78,61.0,11.0,240.0,0.0,64.0
79,52.0,256.0,300.0,0.0,64.0
80,85.0,14.0,240.0,0.0,64.0
81,76.0,28.0,270.0,0.0,64.0
82,83.0,95.0,60.0,0.0,64.0
83,62.0,16.0,40.0,0.0,64.0
84,71.0,3.0,30.0,0.0,64.0
85,64.0,0.0,30.0,0.0,64.0
86,52.0,3.0,20.0,0.0,64.0
87,80.0,3.0,20.0,0.0,64.0
88,59.0,0.0,30.0,0.0,64.0
89,80.0,2.0,30.0,0.0,64.0
90,73.0,1.0,20.0,0.0,64.0
91,62.0,2.0,30.0,0.0,64.0
92,52.0,39.0,30.0,0.0,64.0
93,64.0,3.0,20.0,0.0,64.0
94,85.0,2.0,15.0,0.0,64.0
95,59.0,2.0,15.0,0.0,64.0
96,74.0,0.0,60.0,0.0,64.0
97,80.0,8.0,30.0,0.0,64.0
98,86.0,4.0,60.0,0.0,64.0
99,64.0,5.0,40.0,0.0,64.0
100,62.0,2.0,40.0,0.0,64.0
101,52.0,104.0,60.0,0.0,64.0
102,59.0,11.0,20.0,0.0,64.0
103,81.0,5.0,40.0,0.0,64.0
104,73.0,0.0,40.0,0.0,64.0
105,85.0,6.0,40.0,0.0,64.0
106,64.0,12.0,40.0,0.0,64.0
107,57.0,254.0,60.0,0.0,64.0
108,61.0,6.0,30.0,0.0,64.0
109,73.0,12.0,60.0,0.0,64.0
110,65.0,0.0,60.0,0.0,64.0
111,61.0,5.0,60.0,0.0,64.0
112,56.0,18.0,60.0,0.0,64.0
113,49.0,298.0,90.0,0.0,64.0
114,61.0,17.0,90.0,0.0,64.0
115,53.0,8.0,120.0,0.0,64.0
116,37.0,935.0,150.0,0.0,64.0
117,49.0,2.0,120.0,0.0,64.0
118,44.0,18.0,120.0,0.0,64.0
119,25.0,14.0,750.0,0.0,64.0
120,37.0,14.0,720.0,0.0,64.0
121,38.0,1.0,15.0,0.0,64.0
122,26.0,991.0,20.0,0.0,64.0
123,41.0,29.0,60.0,0.0,64.0
124,53.0,14.0,90.0,0.0,64.0
125,42.0,6.0,90.0,0.0,64.0
126,54.0,3.0,60.0,0.0,64.0
127,45.0,12.0,60.0,0.0,64.0
128,57.0,3.0,40.0,0.0,64.0
129,61.0,8.0,30.0,0.0,64.0
130,49.0,280.0,30.0,0.0,64.0
131,53.0,38.0,60.0,0.0,64.0
132,54.0,6.0,90.0,0.0,64.0
133,42.0,0.0,90.0,0.0,64.0
134,41.0,0.0,30.0,0.0,64.0
135,45.0,244.0,60.0,0.0,64.0
136,57.0,4.0,60.0,0.0,64.0
137,61.0,253.0,270.0,0.0,64.0
138,49.0,6.0,270.0,0.0,64.0
139,54.0,394.0,30.0,0.0,64.0
140,30.0,2.0,30.0,0.0,64.0
141,42.0,1.0,30.0,0.0,64.0
142,54.0,10.0,120.0,0.0,64.0
143,90.0,5.0,180.0,0.0,64.0
144,78.0,262.0,180.0,0.0,64.0
145,56.0,0.0,180.0,0.0,64.0
146,86.0,8.0,180.0,0.0,64.0
147,66.0,6.0,180.0,0.0,64.0
148,62.0,39.0,120.0,0.0,64.0
149,59.0,10.0,120.0,0.0,64.0
150,66.0,50.0,30.0,0.0,64.0
151,71.0,4.0,20.0,0.0,64.0
152,83.0,1.0,20.0,0.0,64.0
153,56.0,0.0,30.0,0.0,64.0
154,59.0,2.0,15.0,0.0,64.0
155,54.0,0.0,15.0,0.0,64.0
156,80.0,2.0,15.0,0.0,64.0
157,62.0,1.0,15.0,0.0,64.0
158,56.0,3.0,40.0,0.0,64.0
159,54.0,18.0,40.0,0.0,64.0
160,71.0,4.0,30.0,0.0,64.0
161,66.0,2.0,40.0,0.0,64.0
162,59.0,67.0,60.0,0.0,64.0
163,83.0,1.0,40.0,0.0,64.0
164,80.0,0.0,30.0,0.0,64.0
165,62.0,6.0,30.0,0.0,64.0
166,56.0,3.0,40.0,0.0,64.0
167,54.0,2.0,40.0,0.0,64.0
168,59.0,10.0,15.0,0.0,64.0
169,80.0,2.0,30.0,0.0,64.0
170,71.0,7.0,20.0,0.0,64.0
171,83.0,92.0,40.0,0.0,64.0
172,66.0,4.0,30.0,0.0,64.0
173,62.0,0.0,20.0,0.0,64.0
174,80.0,0.0,30.0,0.0,64.0
175,73.0,9.0,15.0,0.0,64.0
176,62.0,2.0,15.0,0.0,64.0
177,59.0,0.0,15.0,0.0,64.0
178,66.0,2.0,30.0,0.0,64.0
179,56.0,2.0,30.0,0.0,64.0
180,54.0,30.0,30.0,0.0,64.0
181,85.0,4.0,15.0,0.0,64.0
182,80.0,17.0,30.0,0.0,64.0
183,74.0,1.0,40.0,0.0,64.0
184,86.0,2.0,40.0,0.0,64.0
185,59.0,102.0,60.0,0.0,64.0
186,54.0,18.0,40.0,0.0,64.0
187,66.0,3.0,30.0,0.0,64.0
188,56.0,1.0,40.0,0.0,64.0
189,62.0,2.0,40.0,0.0,64.0
190,54.0,225.0,60.0,0.0,64.0
191,66.0,4.0,40.0,0.0,64.0
192,81.0,0.0,40.0,0.0,64.0
193,85.0,6.0,40.0,0.0,64.0
194,73.0,7.0,40.0,0.0,64.0
195,61.0,0.0,30.0,0.0,64.0
196,57.0,2.0,40.0,0.0,64.0
197,53.0,23.0,60.0,0.0,64.0
198,41.0,13.0,60.0,0.0,64.0
199,42.0,6.0,60.0,0.0,64.0
200,54.0,6.0,60.0,0.0,64.0
201,45.0,5.0,60.0,0.0,64.0
202,57.0,12.0,60.0,0.0,64.0
203,61.0,4.0,30.0,0.0,64.0
204,49.0,263.0,30.0,0.0,64.0
205,41.0,2.0,60.0,0.0,64.0
206,53.0,38.0,60.0,0.0,64.0
207,54.0,25.0,60.0,0.0,64.0
208,42.0,1.0,60.0,0.0,64.0
209,45.0,0.0,60.0,0.0,64.0
210,57.0,247.0,60.0,0.0,64.0
211,61.0,81.0,270.0,0.0,64.0
212,49.0,176.0,330.0,0.0,64.0
213,56.0,3.0,30.0,0.0,64.0
214,44.0,2.0,20.0,0.0,64.0
215,32.0,516.0,30.0,0.0,64.0
216,68.0,3.0,300.0,0.0,64.0
217,56.0,254.0,300.0,0.0,64.0
218,88.0,1.0,270.0,0.0,64.0
219,64.0,3.0,270.0,0.0,64.0
220,92.0,7.0,240.0,0.0,64.0
221,61.0,17.0,270.0,0.0,64.0
222,85.0,1.0,270.0,0.0,64.0
223,80.0,5.0,270.0,0.0,64.0
224,87.0,1.0,40.0,0.0,64.0
225,56.0,2.0,40.0,0.0,64.0
226,63.0,6.0,40.0,0.0,64.0
227,66.0,70.0,60.0,0.0,64.0
228,84.0,4.0,40.0,0.0,64.0
229,75.0,12.0,20.0,0.0,64.0
230,68.0,0.0,40.0,0.0,64.0
231,66.0,22.0,30.0,0.0,64.0
232,63.0,0.0,30.0,0.0,64.0
233,68.0,0.0,20.0,0.0,64.0
234,84.0,1.0,15.0,0.0,64.0
235,76.0,1.0,20.0,0.0,64.0
236,56.0,3.0,20.0,0.0,64.0
237,88.0,4.0,15.0,0.0,64.0
238,90.0,28.0,15.0,0.0,64.0
239,84.0,134.0,60.0,0.0,64.0
240,66.0,5.0,40.0,0.0,64.0
241,63.0,6.0,40.0,0.0,64.0
242,56.0,4.0,30.0,0.0,64.0
243,78.0,0.0,30.0,0.0,64.0
244,68.0,10.0,40.0,0.0,64.0
245,90.0,1.0,40.0,0.0,64.0
246,88.0,3.0,60.0,0.0,64.0
247,80.0,0.0,60.0,0.0,64.0
248,61.0,199.0,90.0,0.0,64.0
249,85.0,1.0,60.0,0.0,64.0
250,76.0,3.0,60.0,0.0,64.0
251,64.0,9.0,60.0,0.0,64.0
252,73.0,6.0,40.0,0.0,64.0
253,68.0,5.0,60.0,0.0,64.0
254,76.0,4.0,40.0,0.0,64.0
255,49.0,270.0,90.0,0.0,64.0
256,73.0,18.0,40.0,0.0,64.0
257,68.0,6.0,30.0,0.0,64.0
258,61.0,0.0,30.0,0.0,64.0
259,56.0,16.0,60.0,0.0,64.0
260,64.0,4.0,20.0,0.0,64.0
261,64.0,5.0,120.0,0.0,64.0
262,37.0,669.0,150.0,0.0,64.0
263,56.0,7.0,120.0,0.0,64.0
264,49.0,12.0,120.0,0.0,64.0
265,61.0,6.0,90.0,0.0,64.0
266,52.0,11.0,120.0,0.0,64.0
267,44.0,2.0,120.0,0.0,64.0
268,36.0,8.0,540.0,0.0,64.0
269,24.0,4.0,540.0,0.0,64.0
270,37.0,0.0,20.0,0.0,64.0
271,25.0,935.0,20.0,0.0,64.0
272,97.0,20.0,390.0,0.0,64.0
273,33.0,8.0,510.0,0.0,64.0
274,21.0,5.0,510.0,0.0,64.0
275,52.0,7.0,60.0,0.0,64.0
276,40.0,88.0,60.0,0.0,64.0
277,57.0,46.0,60.0,0.0,64.0
278,49.0,10.0,40.0,0.0,64.0
279,95.0,25.0,60.0,0.0,64.0
280,93.0,19.0,40.0,0.0,64.0
281,88.0,9.0,40.0,0.0,64.0
282,40.0,26.0,60.0,0.0,64.0
283,52.0,14.0,15.0,0.0,64.0
284,85.0,20.0,30.0,0.0,64.0
285,83.0,42.0,40.0,0.0,64.0
286,49.0,20.0,120.0,0.0,64.0
287,57.0,3.0,60.0,0.0,64.0
288,81.0,23.0,60.0,0.0,64.0
289,76.0,12.0,30.0,0.0,64.0
290,73.0,64.0,30.0,0.0,64.0
291,71.0,56.0,60.0,0.0,64.0
292,69.0,87.0,60.0,0.0,64.0
293,64.0,215.0,90.0,0.0,64.0
294,40.0,5.0,40.0,0.0,64.0
295,50.0,4.0,40.0,0.0,64.0
296,47.0,9.0,40.0,0.0,64.0
297,68.0,31.0,40.0,0.0,64.0
298,69.0,19.0,60.0,0.0,64.0
299,71.0,75.0,30.0,0.0,64.0
300,73.0,29.0,60.0,0.0,64.0
301,74.0,48.0,40.0,0.0,64.0
302,76.0,38.0,60.0,0.0,64.0
303,77.0,33.0,60.0,0.0,64.0
304,62.0,8.0,40.0,0.0,64.0
305,56.0,9.0,40.0,0.0,64.0
306,51.0,37.0,90.0,0.0,64.0
307,52.0,96.0,40.0,0.0,64.0
308,62.0,5.0,40.0,0.0,64.0
309,56.0,2.0,30.0,0.0,64.0
310,52.0,50.0,60.0,0.0,64.0
311,62.0,23.0,120.0,0.0,64.0
312,56.0,11.0,60.0,0.0,64.0
313,77.0,3.0,40.0,0.0,64.0
314,76.0,45.0,40.0,0.0,64.0
315,75.0,40.0,40.0,0.0,64.0
316,74.0,28.0,40.0,0.0,64.0
317,73.0,46.0,40.0,0.0,64.0
318,72.0,7.0,60.0,0.0,64.0
319,56.0,17.0,30.0,0.0,64.0
320,53.0,47.0,90.0,0.0,64.0
321,62.0,40.0,40.0,0.0,64.0
322,71.0,7.0,15.0,0.0,64.0
323,52.0,62.0,40.0,0.0,64.0
324,62.0,2.0,40.0,0.0,64.0
325,56.0,6.0,30.0,0.0,64.0
326,62.0,1.0,20.0,0.0,64.0
327,52.0,335.0,30.0,0.0,64.0
328,56.0,11.0,15.0,0.0,64.0
329,97.0,23.0,390.0,0.0,64.0
330,33.0,12.0,570.0,0.0,64.0
331,21.0,1.0,540.0,0.0,64.0
332,52.0,8.0,60.0,0.0,64.0
333,40.0,93.0,60.0,0.0,64.0
334,49.0,11.0,90.0,0.0,64.0
335,57.0,32.0,60.0,0.0,64.0
336,95.0,27.0,60.0,0.0,64.0
337,93.0,16.0,40.0,0.0,64.0
338,88.0,5.0,30.0,0.0,64.0
339,52.0,16.0,40.0,0.0,64.0
340,40.0,2.0,60.0,0.0,64.0
341,85.0,64.0,30.0,0.0,64.0
342,83.0,9.0,40.0,0.0,64.0
343,49.0,22.0,90.0,0.0,64.0
344,57.0,15.0,40.0,0.0,64.0
345,81.0,5.0,60.0,0.0,64.0
346,76.0,24.0,40.0,0.0,64.0
347,73.0,68.0,20.0,0.0,64.0
348,71.0,50.0,40.0,0.0,64.0
349,69.0,94.0,40.0,0.0,64.0
350,64.0,217.0,90.0,0.0,64.0
351,68.0,12.0,60.0,0.0,64.0
352,40.0,5.0,60.0,0.0,64.0
353,50.0,24.0,60.0,0.0,64.0
354,47.0,2.0,40.0,0.0,64.0
355,69.0,19.0,60.0,0.0,64.0
356,71.0,77.0,30.0,0.0,64.0
357,73.0,37.0,60.0,0.0,64.0
358,74.0,29.0,60.0,0.0,64.0
359,76.0,39.0,40.0,0.0,64.0
360,77.0,14.0,40.0,0.0,64.0
361,56.0,37.0,60.0,0.0,64.0
362,57.0,28.0,60.0,0.0,64.0
363,59.0,48.0,40.0,0.0,64.0
364,61.0,43.0,60.0,0.0,64.0
365,62.0,31.0,60.0,0.0,64.0
366,64.0,41.0,40.0,0.0,64.0
367,65.0,12.0,40.0,0.0,64.0
368,77.0,32.0,40.0,0.0,64.0
369,76.0,45.0,40.0,0.0,64.0
370,75.0,37.0,40.0,0.0,64.0
371,74.0,32.0,40.0,0.0,64.0
372,73.0,80.0,40.0,0.0,64.0
373,72.0,27.0,90.0,0.0,64.0
374,71.0,4.0,90.0,0.0,64.0
375,53.0,17.0,60.0,0.0,64.0
376,52.0,35.0,40.0,0.0,64.0
377,51.0,32.0,40.0,0.0,64.0
378,50.0,56.0,40.0,0.0,64.0
379,49.0,50.0,40.0,0.0,64.0
380,47.0,56.0,40.0,0.0,64.0
381,67.0,17.0,180.0,0.0,64.0
382,45.0,55.0,60.0,0.0,64.0
383,73.0,17.0,180.0,0.0,64.0
384,52.0,24.0,60.0,0.0,64.0
385,57.0,38.0,30.0,0.0,64.0
386,61.0,3.0,60.0,0.0,64.0
387,57.0,40.0,40.0,0.0,64.0
388,52.0,36.0,40.0,0.0,64.0
389,45.0,53.0,30.0,0.0,64.0
390,67.0,13.0,240.0,0.0,64.0
391,55.0,3.0,60.0,0.0,64.0
392,71.0,24.0,120.0,0.0,64.0
393,57.0,47.0,60.0,0.0,64.0
394,61.0,2.0,60.0,0.0,64.0
395,57.0,17.0,40.0,0.0,64.0
396,69.0,10.0,40.0,0.0,64.0
397,55.0,74.0,40.0,0.0,64.0
398,50.0,29.0,60.0,0.0,64.0
399,69.0,24.0,240.0,0.0,64.0
400,67.0,33.0,270.0,0.0,64.0
401,55.0,43.0,40.0,0.0,64.0
402,57.0,30.0,60.0,0.0,64.0
403,62.0,32.0,60.0,0.0,64.0
404,57.0,35.0,60.0,0.0,64.0
405,55.0,27.0,30.0,0.0,64.0
406,74.0,20.0,270.0,0.0,64.0
407,66.0,5.0,270.0,0.0,64.0
408,45.0,7.0,40.0,0.0,64.0
409,54.0,48.0,60.0,0.0,64.0
410,57.0,7.0,60.0,0.0,64.0
411,62.0,47.0,40.0,0.0,64.0
412,57.0,61.0,30.0,0.0,64.0
413,54.0,22.0,60.0,0.0,64.0
414,67.0,15.0,360.0,0.0,64.0
415,52.0,62.0,40.0,0.0,64.0
416,55.0,23.0,60.0,0.0,64.0
417,57.0,40.0,40.0,0.0,64.0
418,61.0,45.0,40.0,0.0,64.0
419,73.0,26.0,40.0,0.0,64.0
420,57.0,54.0,60.0,0.0,64.0
421,55.0,2.0,30.0,0.0,64.0
422,45.0,46.0,40.0,0.0,64.0
423,73.0,0.0,90.0,0.0,64.0
424,55.0,16.0,60.0,0.0,64.0
425,71.0,5.0,120.0,0.0,64.0
426,57.0,67.0,40.0,0.0,64.0
427,61.0,41.0,60.0,0.0,64.0
428,57.0,18.0,60.0,0.0,64.0
429,69.0,1.0,90.0,0.0,64.0
430,55.0,54.0,40.0,0.0,64.0
431,69.0,2.0,150.0,0.0,64.0
432,66.0,6.0,150.0,0.0,64.0
433,50.0,45.0,40.0,0.0,64.0
434,78.0,21.0,150.0,0.0,64.0
435,54.0,20.0,40.0,0.0,64.0
436,57.0,35.0,30.0,0.0,64.0
437,62.0,47.0,60.0,0.0,64.0
438,57.0,33.0,60.0,0.0,64.0
439,54.0,58.0,40.0,0.0,64.0
440,64.0,5.0,120.0,0.0,64.0
441,78.0,38.0,150.0,0.0,64.0
442,69.0,0.0,120.0,0.0,64.0
443,48.0,54.0,40.0,0.0,64.0
444,54.0,7.0,60.0,0.0,64.0
445,57.0,9.0,40.0,0.0,64.0
446,64.0,61.0,40.0,0.0,64.0
447,78.0,10.0,60.0,0.0,64.0
448,57.0,18.0,60.0,0.0,64.0
449,54.0,33.0,40.0,0.0,64.0
450,63.0,31.0,90.0,0.0,64.0
451,47.0,29.0,40.0,0.0,64.0
452,54.0,29.0,60.0,0.0,64.0
