,note,step,duration,channel,velocity
0,75.0,116.0,120.0,0.0,0.0
1,74.0,40.0,150.0,0.0,0.0
2,70.0,104.0,60.0,0.0,0.0
3,67.0,532.0,90.0,0.0,0.0
4,62.0,320.0,540.0,0.0,0.0
5,55.0,40.0,90.0,0.0,0.0
6,58.0,12.0,90.0,0.0,0.0
7,43.0,16.0,60.0,0.0,0.0
8,67.0,12.0,60.0,0.0,0.0
9,60.0,520.0,60.0,0.0,0.0
10,55.0,4.0,60.0,0.0,0.0
11,39.0,4.0,60.0,0.0,0.0
12,51.0,8.0,60.0,0.0,0.0
13,69.0,4.0,150.0,0.0,0.0
14,36.0,4.0,180.0,0.0,0.0
15,63.0,504.0,180.0,0.0,0.0
16,67.0,8.0,180.0,0.0,0.0
17,57.0,0.0,180.0,0.0,0.0
18,48.0,0.0,180.0,0.0,0.0
19,66.0,20.0,240.0,0.0,0.0
20,54.0,388.0,240.0,0.0,0.0
21,57.0,4.0,210.0,0.0,0.0
22,45.0,4.0,210.0,0.0,0.0
23,50.0,4.0,240.0,0.0,0.0
24,38.0,0.0,240.0,0.0,0.0
25,62.0,4.0,210.0,0.0,0.0
26,54.0,4.0,60.0,0.0,0.0
27,57.0,16.0,30.0,0.0,0.0
28,36.0,4.0,30.0,0.0,0.0
29,50.0,4.0,60.0,0.0,0.0
30,48.0,16.0,60.0,0.0,0.0
31,62.0,176.0,60.0,0.0,0.0
32,67.0,0.0,60.0,0.0,0.0
33,55.0,4.0,60.0,0.0,0.0
34,46.0,4.0,60.0,0.0,0.0
35,62.0,16.0,30.0,0.0,0.0
36,34.0,180.0,30.0,0.0,0.0
37,62.0,136.0,120.0,0.0,0.0
38,57.0,0.0,60.0,0.0,0.0
39,69.0,24.0,90.0,0.0,0.0
40,42.0,0.0,30.0,0.0,0.0
41,30.0,32.0,30.0,0.0,0.0
42,58.0,16.0,60.0,0.0,0.0
43,70.0,160.0,60.0,0.0,0.0
44,43.0,8.0,30.0,0.0,0.0
45,62.0,4.0,30.0,0.0,0.0
46,31.0,0.0,30.0,0.0,0.0
47,72.0,212.0,90.0,0.0,0.0
48,60.0,4.0,60.0,0.0,0.0
49,63.0,4.0,20.0,0.0,0.0
50,67.0,0.0,30.0,0.0,0.0
51,55.0,12.0,30.0,0.0,0.0
52,51.0,8.0,20.0,0.0,0.0
53,48.0,4.0,30.0,0.0,0.0
54,43.0,12.0,30.0,0.0,0.0
55,74.0,660.0,300.0,0.0,0.0
56,70.0,0.0,270.0,0.0,0.0
57,62.0,20.0,270.0,0.0,0.0
58,67.0,212.0,30.0,0.0,0.0
59,50.0,16.0,270.0,0.0,0.0
60,55.0,12.0,270.0,0.0,0.0
61,43.0,8.0,240.0,0.0,0.0
62,46.0,0.0,270.0,0.0,0.0
63,77.0,16.0,180.0,0.0,0.0
64,72.0,32.0,120.0,0.0,0.0
65,65.0,4.0,90.0,0.0,0.0
66,67.0,32.0,90.0,0.0,0.0
67,55.0,0.0,180.0,0.0,0.0
68,48.0,12.0,180.0,0.0,0.0
69,43.0,12.0,150.0,0.0,0.0
70,51.0,476.0,180.0,0.0,0.0
71,75.0,148.0,90.0,0.0,0.0
72,57.0,4.0,90.0,0.0,0.0
73,63.0,8.0,90.0,0.0,0.0
74,43.0,8.0,90.0,0.0,0.0
75,51.0,12.0,20.0,0.0,0.0
76,48.0,0.0,30.0,0.0,0.0
77,72.0,4.0,30.0,0.0,0.0
78,67.0,20.0,30.0,0.0,0.0
79,43.0,48.0,60.0,0.0,0.0
80,50.0,8.0,90.0,0.0,0.0
81,74.0,1164.0,120.0,0.0,0.0
82,62.0,52.0,60.0,0.0,0.0
83,70.0,4.0,20.0,0.0,0.0
84,67.0,8.0,20.0,0.0,0.0
85,58.0,8.0,30.0,0.0,0.0
86,79.0,108.0,210.0,0.0,0.0
87,75.0,96.0,120.0,0.0,0.0
88,74.0,72.0,120.0,0.0,0.0
89,70.0,84.0,90.0,0.0,0.0
90,67.0,536.0,60.0,0.0,0.0
91,62.0,300.0,600.0,0.0,0.0
92,43.0,20.0,60.0,0.0,0.0
93,55.0,0.0,90.0,0.0,0.0
94,58.0,72.0,90.0,0.0,0.0
95,51.0,4.0,60.0,0.0,0.0
96,55.0,0.0,60.0,0.0,0.0
97,60.0,40.0,90.0,0.0,0.0
98,39.0,8.0,60.0,0.0,0.0
99,67.0,368.0,120.0,0.0,0.0
100,69.0,504.0,120.0,0.0,0.0
101,57.0,0.0,60.0,0.0,0.0
102,36.0,4.0,60.0,0.0,0.0
103,63.0,12.0,60.0,0.0,0.0
104,67.0,48.0,90.0,0.0,0.0
105,48.0,4.0,60.0,0.0,0.0
106,70.0,16.0,180.0,0.0,0.0
107,58.0,12.0,210.0,0.0,0.0
108,62.0,448.0,210.0,0.0,0.0
109,67.0,0.0,180.0,0.0,0.0
110,43.0,12.0,180.0,0.0,0.0
111,31.0,12.0,150.0,0.0,0.0
112,61.0,168.0,90.0,0.0,0.0
113,52.0,8.0,60.0,0.0,0.0
114,58.0,8.0,30.0,0.0,0.0
115,43.0,0.0,30.0,0.0,0.0
116,31.0,12.0,30.0,0.0,0.0
117,50.0,8.0,60.0,0.0,0.0
118,62.0,8.0,90.0,0.0,0.0
119,57.0,152.0,90.0,0.0,0.0
120,41.0,16.0,30.0,0.0,0.0
121,29.0,16.0,30.0,0.0,0.0
122,64.0,132.0,120.0,0.0,0.0
123,37.0,16.0,60.0,0.0,0.0
124,57.0,16.0,90.0,0.0,0.0
125,52.0,28.0,60.0,0.0,0.0
126,25.0,4.0,30.0,0.0,0.0
127,57.0,0.0,60.0,0.0,0.0
128,65.0,160.0,90.0,0.0,0.0
129,53.0,0.0,60.0,0.0,0.0
130,38.0,8.0,30.0,0.0,0.0
131,26.0,24.0,60.0,0.0,0.0
132,67.0,0.0,90.0,0.0,0.0
133,55.0,0.0,60.0,0.0,0.0
134,62.0,208.0,60.0,0.0,0.0
135,34.0,16.0,30.0,0.0,0.0
136,22.0,8.0,30.0,0.0,0.0
137,69.0,856.0,90.0,0.0,0.0
138,57.0,12.0,60.0,0.0,0.0
139,65.0,20.0,60.0,0.0,0.0
140,62.0,8.0,60.0,0.0,0.0
141,33.0,0.0,30.0,0.0,0.0
142,21.0,4.0,30.0,0.0,0.0
143,57.0,8.0,120.0,0.0,0.0
144,69.0,4.0,150.0,0.0,0.0
145,62.0,12.0,120.0,0.0,0.0
146,64.0,508.0,150.0,0.0,0.0
147,33.0,4.0,90.0,0.0,0.0
148,45.0,16.0,90.0,0.0,0.0
149,69.0,124.0,120.0,0.0,0.0
150,64.0,20.0,90.0,0.0,0.0
151,57.0,24.0,90.0,0.0,0.0
152,45.0,4.0,60.0,0.0,0.0
153,61.0,24.0,30.0,0.0,0.0
154,33.0,8.0,60.0,0.0,0.0
155,69.0,8.0,90.0,0.0,0.0
156,57.0,0.0,60.0,0.0,0.0
157,66.0,432.0,90.0,0.0,0.0
158,62.0,20.0,60.0,0.0,0.0
159,50.0,12.0,30.0,0.0,0.0
160,38.0,8.0,60.0,0.0,0.0
161,71.0,444.0,120.0,0.0,0.0
162,59.0,16.0,60.0,0.0,0.0
163,62.0,12.0,60.0,0.0,0.0
164,65.0,0.0,90.0,0.0,0.0
165,31.0,4.0,60.0,0.0,0.0
166,43.0,4.0,30.0,0.0,0.0
167,67.0,28.0,60.0,0.0,0.0
168,79.0,564.0,90.0,0.0,0.0
169,67.0,32.0,60.0,0.0,0.0
170,68.0,108.0,90.0,0.0,0.0
171,67.0,68.0,120.0,0.0,0.0
172,63.0,80.0,90.0,0.0,0.0
173,60.0,556.0,60.0,0.0,0.0
174,55.0,332.0,570.0,0.0,0.0
175,48.0,16.0,120.0,0.0,0.0
176,36.0,24.0,90.0,0.0,0.0
177,51.0,12.0,120.0,0.0,0.0
178,48.0,8.0,90.0,0.0,0.0
179,51.0,44.0,120.0,0.0,0.0
180,44.0,8.0,60.0,0.0,0.0
181,32.0,16.0,90.0,0.0,0.0
182,56.0,4.0,90.0,0.0,0.0
183,60.0,352.0,150.0,0.0,0.0
184,62.0,16.0,150.0,0.0,0.0
185,41.0,40.0,120.0,0.0,0.0
186,29.0,4.0,90.0,0.0,0.0
187,60.0,12.0,90.0,0.0,0.0
188,50.0,584.0,150.0,0.0,0.0
189,56.0,20.0,30.0,0.0,0.0
190,59.0,12.0,390.0,0.0,0.0
191,47.0,8.0,330.0,0.0,0.0
192,43.0,280.0,360.0,0.0,0.0
193,50.0,8.0,300.0,0.0,0.0
194,31.0,24.0,300.0,0.0,0.0
195,38.0,12.0,330.0,0.0,0.0
196,55.0,36.0,270.0,0.0,0.0
197,47.0,8.0,90.0,0.0,0.0
198,55.0,144.0,90.0,0.0,0.0
199,41.0,4.0,30.0,0.0,0.0
200,43.0,36.0,30.0,0.0,0.0
201,60.0,0.0,60.0,0.0,0.0
202,48.0,8.0,30.0,0.0,0.0
203,55.0,12.0,30.0,0.0,0.0
204,39.0,8.0,30.0,0.0,0.0
205,43.0,180.0,30.0,0.0,0.0
206,62.0,164.0,90.0,0.0,0.0
207,35.0,8.0,60.0,0.0,0.0
208,50.0,0.0,60.0,0.0,0.0
209,43.0,8.0,60.0,0.0,0.0
210,55.0,16.0,30.0,0.0,0.0
211,43.0,12.0,60.0,0.0,0.0
212,35.0,192.0,60.0,0.0,0.0
213,63.0,0.0,60.0,0.0,0.0
214,51.0,8.0,30.0,0.0,0.0
215,44.0,0.0,120.0,0.0,0.0
216,65.0,120.0,60.0,0.0,0.0
217,53.0,8.0,30.0,0.0,0.0
218,60.0,24.0,30.0,0.0,0.0
219,36.0,104.0,60.0,0.0,0.0
220,51.0,248.0,60.0,0.0,0.0
221,67.0,44.0,420.0,0.0,0.0
222,63.0,48.0,300.0,0.0,0.0
223,55.0,40.0,330.0,0.0,0.0
224,60.0,28.0,390.0,0.0,0.0
225,35.0,124.0,90.0,0.0,0.0
226,36.0,100.0,90.0,0.0,0.0
227,39.0,132.0,90.0,0.0,0.0
228,43.0,60.0,120.0,0.0,0.0
229,65.0,16.0,390.0,0.0,0.0
230,48.0,296.0,90.0,0.0,0.0
231,60.0,28.0,390.0,0.0,0.0
232,70.0,0.0,390.0,0.0,0.0
233,58.0,152.0,450.0,0.0,0.0
234,47.0,16.0,30.0,0.0,0.0
235,48.0,68.0,90.0,0.0,0.0
236,53.0,104.0,60.0,0.0,0.0
237,68.0,804.0,90.0,0.0,0.0
238,60.0,0.0,30.0,0.0,0.0
239,56.0,32.0,30.0,0.0,0.0
240,67.0,356.0,810.0,0.0,0.0
241,63.0,36.0,750.0,0.0,0.0
242,55.0,40.0,690.0,0.0,0.0
243,60.0,16.0,720.0,0.0,0.0
244,72.0,140.0,180.0,0.0,0.0
245,60.0,36.0,120.0,0.0,0.0
246,56.0,20.0,90.0,0.0,0.0
247,68.0,84.0,90.0,0.0,0.0
248,55.0,24.0,90.0,0.0,0.0
249,67.0,60.0,120.0,0.0,0.0
250,51.0,32.0,120.0,0.0,0.0
251,63.0,16.0,90.0,0.0,0.0
252,48.0,28.0,30.0,0.0,0.0
253,60.0,600.0,60.0,0.0,0.0
254,44.0,260.0,990.0,0.0,0.0
255,56.0,0.0,990.0,0.0,0.0
256,48.0,116.0,120.0,0.0,0.0
257,54.0,200.0,300.0,0.0,0.0
258,32.0,76.0,210.0,0.0,0.0
259,37.0,4.0,90.0,0.0,0.0
260,53.0,8.0,120.0,0.0,0.0
261,49.0,52.0,60.0,0.0,0.0
262,73.0,104.0,90.0,0.0,0.0
263,61.0,60.0,30.0,0.0,0.0
264,70.0,76.0,120.0,0.0,0.0
265,58.0,4.0,90.0,0.0,0.0
266,68.0,40.0,150.0,0.0,0.0
267,56.0,48.0,90.0,0.0,0.0
268,65.0,20.0,90.0,0.0,0.0
269,53.0,16.0,90.0,0.0,0.0
270,61.0,624.0,60.0,0.0,0.0
271,49.0,36.0,30.0,0.0,0.0
272,45.0,0.0,930.0,0.0,64.0
273,57.0,352.0,960.0,0.0,0.0
274,49.0,120.0,120.0,0.0,0.0
275,33.0,212.0,270.0,0.0,0.0
276,55.0,52.0,210.0,0.0,0.0
277,54.0,20.0,90.0,0.0,0.0
278,38.0,0.0,60.0,0.0,64.0
279,50.0,8.0,60.0,0.0,64.0
280,74.0,92.0,120.0,0.0,0.0
281,26.0,20.0,90.0,0.0,0.0
282,70.0,80.0,90.0,0.0,0.0
283,38.0,12.0,90.0,0.0,0.0
284,45.0,60.0,90.0,0.0,0.0
285,69.0,4.0,150.0,0.0,0.0
286,66.0,60.0,90.0,0.0,0.0
287,50.0,24.0,60.0,0.0,0.0
288,54.0,132.0,90.0,0.0,0.0
289,62.0,20.0,60.0,0.0,0.0
290,58.0,344.0,120.0,0.0,0.0
291,55.0,48.0,60.0,0.0,0.0
292,46.0,8.0,90.0,0.0,0.0
293,75.0,36.0,120.0,0.0,0.0
294,26.0,28.0,90.0,0.0,0.0
295,72.0,52.0,120.0,0.0,0.0
296,38.0,68.0,60.0,0.0,0.0
297,46.0,72.0,90.0,0.0,64.0
298,70.0,12.0,150.0,0.0,0.0
299,67.0,40.0,90.0,0.0,0.0
300,51.0,24.0,90.0,0.0,0.0
301,55.0,88.0,60.0,0.0,0.0
302,63.0,24.0,30.0,0.0,0.0
303,47.0,20.0,120.0,0.0,0.0
304,56.0,92.0,30.0,0.0,0.0
305,59.0,324.0,150.0,0.0,0.0
306,76.0,24.0,150.0,0.0,0.0
307,26.0,28.0,120.0,0.0,0.0
