,note,step,duration,channel,velocity
0,67.0,168.0,300.0,0.0,0.0
1,74.0,0.0,300.0,0.0,0.0
2,67.0,216.0,90.0,0.0,0.0
3,74.0,0.0,90.0,0.0,0.0
4,67.0,0.0,180.0,0.0,0.0
5,74.0,336.0,180.0,0.0,0.0
6,72.0,168.0,300.0,0.0,0.0
7,76.0,0.0,300.0,0.0,0.0
8,67.0,216.0,90.0,0.0,0.0
9,74.0,0.0,90.0,0.0,0.0
10,64.0,72.0,180.0,0.0,0.0
11,72.0,0.0,180.0,0.0,0.0
12,74.0,1224.0,20.0,0.0,0.0
13,67.0,0.0,20.0,0.0,0.0
14,79.0,480.0,1230.0,0.0,0.0
15,67.0,0.0,300.0,0.0,0.0
16,74.0,168.0,300.0,0.0,0.0
17,74.0,216.0,90.0,0.0,0.0
18,67.0,0.0,90.0,0.0,0.0
19,67.0,0.0,180.0,0.0,0.0
20,74.0,336.0,180.0,0.0,0.0
21,72.0,168.0,300.0,0.0,0.0
22,76.0,0.0,300.0,0.0,0.0
23,67.0,0.0,90.0,0.0,0.0
24,74.0,216.0,90.0,0.0,0.0
25,64.0,72.0,180.0,0.0,0.0
26,72.0,0.0,180.0,0.0,0.0
27,74.0,0.0,20.0,0.0,0.0
28,67.0,1224.0,20.0,0.0,0.0
29,79.0,480.0,1230.0,0.0,0.0
30,74.0,168.0,300.0,0.0,0.0
31,67.0,0.0,300.0,0.0,0.0
32,67.0,0.0,90.0,0.0,0.0
33,74.0,216.0,90.0,0.0,0.0
34,74.0,336.0,180.0,0.0,0.0
35,67.0,0.0,180.0,0.0,0.0
36,72.0,0.0,300.0,0.0,0.0
37,76.0,168.0,300.0,0.0,0.0
38,74.0,0.0,90.0,0.0,0.0
39,67.0,216.0,90.0,0.0,0.0
40,64.0,336.0,180.0,0.0,0.0
41,72.0,0.0,180.0,0.0,0.0
42,74.0,0.0,300.0,0.0,0.0
43,67.0,168.0,300.0,0.0,0.0
44,67.0,216.0,90.0,0.0,0.0
45,74.0,0.0,90.0,0.0,0.0
46,74.0,336.0,180.0,0.0,0.0
47,67.0,0.0,180.0,0.0,0.0
48,72.0,168.0,300.0,0.0,0.0
49,76.0,0.0,300.0,0.0,0.0
50,74.0,0.0,90.0,0.0,0.0
51,67.0,216.0,90.0,0.0,0.0
52,64.0,240.0,180.0,0.0,0.0
53,72.0,0.0,180.0,0.0,0.0
54,74.0,0.0,180.0,0.0,0.0
55,65.0,0.0,180.0,0.0,0.0
56,67.0,480.0,180.0,0.0,0.0
57,62.0,0.0,180.0,0.0,0.0
58,55.0,0.0,180.0,0.0,0.0
59,71.0,0.0,180.0,0.0,0.0
60,71.0,240.0,180.0,0.0,0.0
61,74.0,0.0,180.0,0.0,0.0
62,67.0,0.0,180.0,0.0,0.0
63,65.0,0.0,180.0,0.0,0.0
64,55.0,0.0,180.0,0.0,0.0
65,62.0,0.0,180.0,0.0,0.0
66,62.0,0.0,180.0,0.0,0.0
67,67.0,0.0,180.0,0.0,0.0
68,55.0,0.0,180.0,0.0,0.0
69,71.0,480.0,180.0,0.0,0.0
70,74.0,0.0,180.0,0.0,0.0
71,65.0,0.0,180.0,0.0,0.0
72,55.0,0.0,180.0,0.0,0.0
73,62.0,0.0,180.0,0.0,0.0
74,65.0,0.0,180.0,0.0,0.0
75,74.0,240.0,180.0,0.0,0.0
76,67.0,0.0,180.0,0.0,0.0
77,71.0,0.0,180.0,0.0,0.0
78,74.0,480.0,180.0,0.0,0.0
79,65.0,0.0,180.0,0.0,0.0
80,71.0,0.0,180.0,0.0,0.0
81,55.0,0.0,180.0,0.0,0.0
82,43.0,0.0,180.0,0.0,0.0
83,67.0,0.0,180.0,0.0,0.0
84,43.0,0.0,180.0,0.0,0.0
85,55.0,0.0,180.0,0.0,0.0
86,65.0,0.0,180.0,0.0,0.0
87,71.0,0.0,180.0,0.0,0.0
88,75.0,240.0,180.0,0.0,0.0
89,67.0,0.0,180.0,0.0,0.0
90,55.0,0.0,180.0,0.0,0.0
91,43.0,192.0,180.0,0.0,0.0
92,65.0,0.0,390.0,0.0,0.0
93,67.0,0.0,390.0,0.0,0.0
94,76.0,48.0,390.0,0.0,0.0
95,71.0,0.0,390.0,0.0,0.0
96,55.0,0.0,180.0,0.0,0.0
97,43.0,240.0,180.0,0.0,0.0
98,74.0,0.0,180.0,0.0,0.0
99,71.0,0.0,180.0,0.0,0.0
100,67.0,0.0,180.0,0.0,0.0
101,65.0,0.0,180.0,0.0,0.0
102,43.0,240.0,180.0,0.0,0.0
103,55.0,0.0,180.0,0.0,0.0
104,64.0,0.0,390.0,0.0,0.0
105,72.0,48.0,390.0,0.0,0.0
106,48.0,192.0,180.0,0.0,0.0
107,60.0,240.0,180.0,0.0,0.0
108,55.0,0.0,180.0,0.0,0.0
109,67.0,240.0,180.0,0.0,0.0
110,64.0,0.0,180.0,0.0,0.0
111,48.0,144.0,180.0,0.0,0.0
112,67.0,96.0,90.0,0.0,0.0
113,60.0,24.0,180.0,0.0,0.0
114,67.0,216.0,90.0,0.0,0.0
115,55.0,240.0,180.0,0.0,0.0
116,67.0,0.0,180.0,0.0,0.0
117,48.0,240.0,180.0,0.0,0.0
118,64.0,0.0,180.0,0.0,0.0
119,69.0,240.0,180.0,0.0,0.0
120,60.0,0.0,180.0,0.0,0.0
121,67.0,240.0,180.0,0.0,0.0
122,55.0,0.0,180.0,0.0,0.0
123,64.0,144.0,180.0,0.0,0.0
124,48.0,0.0,180.0,0.0,0.0
125,67.0,96.0,90.0,0.0,0.0
126,60.0,24.0,180.0,0.0,0.0
127,67.0,216.0,90.0,0.0,0.0
128,67.0,240.0,180.0,0.0,0.0
129,55.0,0.0,180.0,0.0,0.0
130,64.0,144.0,180.0,0.0,0.0
