,note,step,duration,channel,velocity
0,79.0,62.0,240.0,0.0,68.0
1,79.0,13.0,330.0,0.0,68.0
2,60.0,58.0,60.0,1.0,58.0
3,67.0,60.0,60.0,1.0,58.0
4,64.0,62.0,60.0,1.0,59.0
5,67.0,62.0,60.0,1.0,58.0
6,60.0,47.0,60.0,1.0,58.0
7,67.0,56.0,60.0,1.0,59.0
8,64.0,64.0,60.0,1.0,59.0
9,79.0,52.0,120.0,0.0,68.0
10,67.0,4.0,60.0,1.0,58.0
11,60.0,60.0,60.0,1.0,59.0
12,79.0,61.0,240.0,0.0,68.0
13,67.0,61.0,60.0,1.0,58.0
14,64.0,60.0,60.0,1.0,58.0
15,67.0,1.0,60.0,1.0,59.0
16,79.0,5.0,240.0,0.0,69.0
17,60.0,61.0,60.0,1.0,58.0
18,67.0,59.0,60.0,1.0,58.0
19,64.0,56.0,60.0,1.0,58.0
20,67.0,60.0,60.0,1.0,59.0
21,81.0,4.0,240.0,0.0,69.0
22,60.0,56.0,60.0,1.0,58.0
23,67.0,61.0,60.0,1.0,58.0
24,64.0,58.0,60.0,1.0,58.0
25,67.0,60.0,60.0,1.0,58.0
26,79.0,2.0,240.0,0.0,68.0
27,60.0,60.0,60.0,1.0,58.0
28,67.0,59.0,60.0,1.0,58.0
29,64.0,58.0,60.0,1.0,58.0
30,67.0,59.0,60.0,1.0,58.0
31,60.0,59.0,60.0,1.0,58.0
32,79.0,8.0,330.0,0.0,68.0
33,67.0,61.0,60.0,1.0,58.0
34,64.0,60.0,60.0,1.0,59.0
35,67.0,59.0,60.0,1.0,58.0
36,60.0,55.0,60.0,1.0,58.0
37,67.0,57.0,60.0,1.0,58.0
38,64.0,61.0,60.0,1.0,58.0
39,79.0,55.0,120.0,0.0,69.0
40,67.0,6.0,60.0,1.0,59.0
41,79.0,5.0,240.0,0.0,69.0
42,59.0,58.0,60.0,1.0,58.0
43,65.0,64.0,60.0,1.0,58.0
44,62.0,55.0,60.0,1.0,59.0
45,65.0,59.0,60.0,1.0,58.0
46,79.0,3.0,240.0,0.0,68.0
47,59.0,60.0,60.0,1.0,58.0
48,65.0,59.0,60.0,1.0,58.0
49,62.0,58.0,60.0,1.0,59.0
50,65.0,57.0,60.0,1.0,58.0
51,59.0,63.0,60.0,1.0,58.0
52,81.0,1.0,240.0,0.0,68.0
