,note,step,duration,channel,velocity
0,60.0,5.0,60.0,0.0,0.0
1,48.0,4.0,60.0,0.0,0.0
2,72.0,1.0,60.0,0.0,0.0
3,84.0,19.0,30.0,0.0,0.0
4,82.0,22.0,30.0,0.0,0.0
5,80.0,30.0,30.0,0.0,0.0
6,79.0,25.0,30.0,0.0,0.0
7,77.0,1.0,30.0,0.0,0.0
8,53.0,20.0,30.0,0.0,0.0
9,89.0,0.0,30.0,0.0,0.0
10,41.0,9.0,30.0,0.0,0.0
11,79.0,38.0,30.0,0.0,0.0
12,76.0,27.0,30.0,0.0,0.0
13,77.0,25.0,30.0,0.0,0.0
14,79.0,1.0,30.0,0.0,0.0
15,73.0,24.0,30.0,0.0,0.0
16,70.0,15.0,240.0,0.0,0.0
17,80.0,37.0,30.0,0.0,0.0
18,77.0,26.0,30.0,0.0,0.0
19,79.0,28.0,30.0,0.0,0.0
20,72.0,1.0,30.0,0.0,0.0
21,80.0,23.0,30.0,0.0,0.0
22,68.0,0.0,30.0,0.0,0.0
23,82.0,33.0,20.0,0.0,0.0
24,79.0,32.0,30.0,0.0,0.0
25,80.0,13.0,30.0,0.0,0.0
26,82.0,21.0,30.0,0.0,0.0
27,67.0,4.0,30.0,0.0,0.0
28,84.0,39.0,30.0,0.0,0.0
29,80.0,29.0,30.0,0.0,0.0
30,82.0,32.0,30.0,0.0,0.0
31,84.0,23.0,30.0,0.0,0.0
32,68.0,0.0,90.0,0.0,0.0
33,65.0,13.0,90.0,0.0,0.0
34,85.0,18.0,30.0,0.0,0.0
35,84.0,33.0,30.0,0.0,0.0
36,89.0,33.0,30.0,0.0,0.0
37,70.0,2.0,60.0,0.0,0.0
38,61.0,0.0,60.0,0.0,0.0
39,82.0,19.0,30.0,0.0,0.0
40,65.0,24.0,60.0,0.0,0.0
41,84.0,6.0,20.0,0.0,0.0
42,82.0,39.0,30.0,0.0,0.0
43,89.0,29.0,30.0,0.0,0.0
44,68.0,0.0,60.0,0.0,0.0
45,80.0,23.0,30.0,0.0,0.0
46,60.0,1.0,60.0,0.0,0.0
47,65.0,1.0,60.0,0.0,0.0
48,82.0,27.0,30.0,0.0,0.0
49,80.0,40.0,30.0,0.0,0.0
50,89.0,23.0,30.0,0.0,0.0
51,67.0,1.0,60.0,0.0,0.0
52,79.0,25.0,30.0,0.0,0.0
53,58.0,0.0,60.0,0.0,0.0
54,65.0,27.0,60.0,0.0,0.0
55,80.0,5.0,30.0,0.0,0.0
56,79.0,33.0,30.0,0.0,0.0
57,89.0,12.0,30.0,0.0,0.0
58,53.0,34.0,30.0,0.0,0.0
59,60.0,16.0,60.0,0.0,0.0
60,77.0,28.0,60.0,0.0,0.0
61,68.0,0.0,30.0,0.0,0.0
62,84.0,3.0,60.0,0.0,0.0
63,92.0,29.0,30.0,0.0,0.0
64,85.0,33.0,30.0,0.0,0.0
65,48.0,17.0,60.0,0.0,0.0
66,58.0,8.0,60.0,0.0,0.0
67,64.0,2.0,60.0,0.0,0.0
68,76.0,28.0,60.0,0.0,0.0
69,82.0,31.0,60.0,0.0,0.0
70,91.0,1.0,30.0,0.0,0.0
71,84.0,55.0,30.0,0.0,0.0
72,65.0,0.0,60.0,0.0,0.0
73,53.0,2.0,60.0,0.0,0.0
74,56.0,0.0,60.0,0.0,0.0
75,72.0,27.0,60.0,0.0,0.0
76,80.0,29.0,60.0,0.0,0.0
77,89.0,4.0,30.0,0.0,0.0
78,82.0,58.0,30.0,0.0,0.0
79,60.0,1.0,60.0,0.0,0.0
80,72.0,0.0,60.0,0.0,0.0
81,48.0,1.0,60.0,0.0,0.0
82,79.0,26.0,30.0,0.0,0.0
83,88.0,29.0,30.0,0.0,0.0
84,80.0,20.0,30.0,0.0,0.0
85,65.0,0.0,60.0,0.0,0.0
86,89.0,32.0,60.0,0.0,0.0
87,77.0,7.0,60.0,0.0,0.0
88,53.0,8.0,60.0,0.0,0.0
89,41.0,32.0,15.0,0.0,0.0
90,73.0,1.0,30.0,0.0,0.0
91,61.0,0.0,30.0,0.0,0.0
92,49.0,25.0,30.0,0.0,0.0
93,85.0,40.0,30.0,0.0,0.0
94,72.0,19.0,30.0,0.0,0.0
95,60.0,1.0,30.0,0.0,0.0
96,48.0,6.0,30.0,0.0,0.0
97,84.0,29.0,30.0,0.0,0.0
98,71.0,3.0,30.0,0.0,0.0
99,59.0,0.0,30.0,0.0,0.0
100,47.0,25.0,30.0,0.0,0.0
101,83.0,37.0,30.0,0.0,0.0
102,60.0,1.0,60.0,0.0,0.0
103,72.0,23.0,60.0,0.0,0.0
104,48.0,28.0,30.0,0.0,0.0
105,84.0,1.0,30.0,0.0,0.0
106,41.0,9.0,20.0,0.0,0.0
107,53.0,6.0,30.0,0.0,0.0
108,65.0,23.0,30.0,0.0,0.0
109,77.0,46.0,30.0,0.0,0.0
110,79.0,2.0,60.0,0.0,0.0
111,67.0,8.0,60.0,0.0,0.0
112,71.0,1.0,60.0,0.0,0.0
113,65.0,10.0,60.0,0.0,0.0
114,74.0,3.0,60.0,0.0,0.0
115,55.0,19.0,30.0,0.0,0.0
116,53.0,6.0,30.0,0.0,0.0
117,51.0,32.0,30.0,0.0,0.0
118,50.0,24.0,30.0,0.0,0.0
119,63.0,1.0,20.0,0.0,0.0
120,48.0,3.0,20.0,0.0,0.0
121,75.0,9.0,30.0,0.0,0.0
122,72.0,1.0,30.0,0.0,0.0
123,67.0,15.0,30.0,0.0,0.0
124,50.0,32.0,20.0,0.0,0.0
125,47.0,31.0,30.0,0.0,0.0
126,48.0,26.0,30.0,0.0,0.0
127,50.0,35.0,30.0,0.0,0.0
128,65.0,0.0,60.0,0.0,0.0
129,67.0,1.0,60.0,0.0,0.0
130,71.0,26.0,60.0,0.0,0.0
131,51.0,0.0,30.0,0.0,0.0
132,48.0,30.0,30.0,0.0,0.0
133,50.0,28.0,30.0,0.0,0.0
134,72.0,0.0,60.0,0.0,0.0
135,51.0,34.0,30.0,0.0,0.0
136,63.0,1.0,60.0,0.0,0.0
137,67.0,21.0,60.0,0.0,0.0
138,53.0,1.0,30.0,0.0,0.0
139,50.0,34.0,20.0,0.0,0.0
140,51.0,29.0,30.0,0.0,0.0
141,72.0,0.0,60.0,0.0,0.0
142,65.0,0.0,60.0,0.0,0.0
143,68.0,0.0,60.0,0.0,0.0
144,53.0,33.0,30.0,0.0,0.0
145,55.0,22.0,30.0,0.0,0.0
146,51.0,37.0,20.0,0.0,0.0
147,53.0,31.0,30.0,0.0,0.0
148,72.0,0.0,60.0,0.0,0.0
149,67.0,18.0,60.0,0.0,0.0
150,55.0,18.0,30.0,0.0,0.0
151,63.0,1.0,60.0,0.0,0.0
152,56.0,16.0,20.0,0.0,0.0
153,55.0,29.0,30.0,0.0,0.0
154,60.0,31.0,30.0,0.0,0.0
155,72.0,1.0,60.0,0.0,0.0
156,65.0,0.0,60.0,0.0,0.0
157,68.0,25.0,60.0,0.0,0.0
158,53.0,31.0,20.0,0.0,0.0
159,55.0,2.0,30.0,0.0,0.0
160,53.0,24.0,30.0,0.0,0.0
161,60.0,36.0,20.0,0.0,0.0
162,72.0,1.0,60.0,0.0,0.0
163,67.0,16.0,60.0,0.0,0.0
164,51.0,28.0,30.0,0.0,0.0
165,53.0,5.0,30.0,0.0,0.0
166,51.0,28.0,20.0,0.0,0.0
167,60.0,32.0,20.0,0.0,0.0
168,74.0,2.0,60.0,0.0,0.0
169,50.0,36.0,20.0,0.0,0.0
170,67.0,0.0,60.0,0.0,0.0
171,65.0,20.0,60.0,0.0,0.0
172,51.0,2.0,30.0,0.0,0.0
173,50.0,25.0,30.0,0.0,0.0
174,59.0,40.0,20.0,0.0,0.0
175,75.0,2.0,60.0,0.0,0.0
176,48.0,10.0,30.0,0.0,0.0
177,72.0,0.0,60.0,0.0,0.0
178,67.0,59.0,60.0,0.0,0.0
179,63.0,15.0,30.0,0.0,0.0
180,56.0,3.0,30.0,0.0,0.0
181,63.0,30.0,60.0,0.0,0.0
182,55.0,1.0,30.0,0.0,0.0
183,91.0,1.0,120.0,0.0,0.0
184,86.0,25.0,120.0,0.0,0.0
185,79.0,14.0,120.0,0.0,0.0
186,47.0,34.0,30.0,0.0,0.0
187,56.0,42.0,30.0,0.0,0.0
188,62.0,2.0,60.0,0.0,0.0
189,55.0,3.0,30.0,0.0,0.0
