,note,step,duration,channel,velocity
0,70.0,77.0,120.0,0.0,0.0
1,55.0,112.0,690.0,0.0,0.0
2,62.0,59.0,60.0,0.0,0.0
3,70.0,56.0,600.0,0.0,0.0
4,63.0,62.0,60.0,0.0,0.0
5,61.0,61.0,60.0,0.0,0.0
6,63.0,53.0,60.0,0.0,0.0
7,62.0,64.0,60.0,0.0,0.0
8,58.0,58.0,60.0,0.0,0.0
9,62.0,59.0,60.0,0.0,0.0
10,63.0,66.0,60.0,0.0,0.0
11,61.0,52.0,60.0,0.0,0.0
12,63.0,10.0,60.0,0.0,0.0
13,62.0,4.0,90.0,0.0,0.0
14,69.0,8.0,60.0,0.0,0.0
15,67.0,8.0,720.0,0.0,0.0
16,57.0,101.0,690.0,0.0,0.0
17,74.0,27.0,360.0,0.0,0.0
18,63.0,43.0,60.0,0.0,0.0
19,65.0,73.0,60.0,0.0,0.0
20,62.0,62.0,60.0,0.0,0.0
21,65.0,58.0,60.0,0.0,0.0
22,63.0,39.0,60.0,0.0,0.0
23,60.0,66.0,90.0,0.0,0.0
24,63.0,36.0,90.0,0.0,0.0
25,72.0,25.0,300.0,0.0,0.0
26,65.0,69.0,60.0,0.0,0.0
27,62.0,66.0,60.0,0.0,0.0
28,65.0,40.0,60.0,0.0,0.0
29,63.0,0.0,60.0,0.0,0.0
30,60.0,62.0,120.0,0.0,0.0
31,69.0,35.0,690.0,0.0,0.0
32,54.0,32.0,690.0,0.0,0.0
33,75.0,2.0,630.0,0.0,0.0
34,62.0,62.0,60.0,0.0,0.0
35,59.0,74.0,60.0,0.0,0.0
36,62.0,35.0,90.0,0.0,0.0
37,60.0,80.0,60.0,0.0,0.0
38,57.0,45.0,90.0,0.0,0.0
39,60.0,53.0,60.0,0.0,0.0
40,62.0,77.0,60.0,0.0,0.0
41,59.0,57.0,90.0,0.0,0.0
42,62.0,13.0,60.0,0.0,0.0
43,60.0,3.0,60.0,0.0,0.0
44,74.0,24.0,60.0,0.0,0.0
45,69.0,76.0,60.0,0.0,0.0
46,53.0,64.0,690.0,0.0,0.0
47,68.0,23.0,660.0,0.0,0.0
48,74.0,12.0,690.0,0.0,0.0
49,59.0,57.0,90.0,0.0,0.0
50,60.0,60.0,60.0,0.0,0.0
51,58.0,82.0,60.0,0.0,0.0
52,60.0,27.0,90.0,0.0,0.0
53,59.0,87.0,60.0,0.0,0.0
54,56.0,47.0,90.0,0.0,0.0
55,59.0,57.0,90.0,0.0,0.0
56,60.0,59.0,60.0,0.0,0.0
57,58.0,69.0,60.0,0.0,0.0
58,60.0,45.0,90.0,0.0,0.0
59,59.0,76.0,180.0,0.0,0.0
60,67.0,2.0,660.0,0.0,0.0
61,51.0,4.0,660.0,0.0,0.0
62,79.0,62.0,480.0,0.0,0.0
63,60.0,60.0,60.0,0.0,0.0
64,58.0,70.0,60.0,0.0,0.0
65,60.0,42.0,60.0,0.0,0.0
66,59.0,79.0,60.0,0.0,0.0
67,55.0,56.0,60.0,0.0,0.0
68,60.0,54.0,60.0,0.0,0.0
69,62.0,1.0,60.0,0.0,0.0
70,59.0,25.0,60.0,0.0,0.0
71,77.0,37.0,90.0,0.0,0.0
72,62.0,7.0,60.0,0.0,0.0
73,75.0,49.0,90.0,0.0,0.0
74,60.0,61.0,180.0,0.0,0.0
75,72.0,69.0,60.0,0.0,0.0
76,67.0,38.0,90.0,0.0,0.0
77,50.0,17.0,360.0,0.0,0.0
78,66.0,6.0,300.0,0.0,0.0
79,70.0,38.0,300.0,0.0,0.0
80,62.0,68.0,60.0,0.0,0.0
81,59.0,83.0,60.0,0.0,0.0
82,62.0,30.0,90.0,0.0,0.0
83,60.0,4.0,60.0,0.0,0.0
84,69.0,13.0,60.0,0.0,0.0
85,57.0,57.0,90.0,0.0,0.0
86,58.0,49.0,60.0,0.0,0.0
87,67.0,32.0,300.0,0.0,0.0
88,51.0,26.0,330.0,0.0,0.0
89,60.0,69.0,60.0,0.0,0.0
90,57.0,73.0,60.0,0.0,0.0
91,60.0,34.0,90.0,0.0,0.0
92,58.0,7.0,60.0,0.0,0.0
93,55.0,61.0,60.0,0.0,0.0
94,60.0,61.0,60.0,0.0,0.0
95,68.0,8.0,390.0,0.0,0.0
96,63.0,0.0,390.0,0.0,0.0
97,48.0,44.0,330.0,0.0,0.0
98,62.0,62.0,60.0,0.0,0.0
99,59.0,94.0,60.0,0.0,0.0
100,62.0,29.0,90.0,0.0,0.0
101,60.0,22.0,60.0,0.0,0.0
102,56.0,49.0,90.0,0.0,0.0
103,58.0,53.0,60.0,0.0,0.0
104,49.0,18.0,330.0,0.0,0.0
105,64.0,39.0,300.0,0.0,0.0
106,67.0,9.0,300.0,0.0,0.0
107,60.0,72.0,60.0,0.0,0.0
108,57.0,78.0,90.0,0.0,0.0
109,60.0,17.0,90.0,0.0,0.0
110,58.0,7.0,120.0,0.0,0.0
111,63.0,38.0,60.0,0.0,0.0
112,50.0,8.0,660.0,0.0,0.0
113,67.0,25.0,60.0,0.0,0.0
114,62.0,3.0,330.0,0.0,0.0
115,57.0,51.0,60.0,0.0,0.0
116,66.0,22.0,300.0,0.0,0.0
117,58.0,68.0,60.0,0.0,0.0
118,56.0,67.0,60.0,0.0,0.0
119,58.0,43.0,90.0,0.0,0.0
120,57.0,35.0,60.0,0.0,0.0
121,60.0,68.0,60.0,0.0,0.0
122,58.0,48.0,60.0,0.0,0.0
123,67.0,7.0,120.0,0.0,0.0
124,63.0,30.0,150.0,0.0,0.0
125,61.0,28.0,60.0,0.0,0.0
126,64.0,11.0,120.0,0.0,0.0
127,59.0,69.0,60.0,0.0,0.0
128,68.0,35.0,150.0,0.0,0.0
129,62.0,4.0,60.0,0.0,0.0
130,60.0,23.0,60.0,0.0,0.0
131,65.0,6.0,60.0,0.0,0.0
132,69.0,40.0,90.0,0.0,0.0
133,63.0,6.0,30.0,0.0,0.0
134,66.0,55.0,90.0,0.0,0.0
135,62.0,46.0,90.0,0.0,0.0
136,67.0,37.0,330.0,0.0,0.0
137,70.0,10.0,630.0,0.0,0.0
138,55.0,1.0,660.0,0.0,0.0
139,63.0,57.0,60.0,0.0,0.0
140,61.0,76.0,60.0,0.0,0.0
141,63.0,50.0,90.0,0.0,0.0
142,62.0,35.0,60.0,0.0,0.0
143,58.0,60.0,90.0,0.0,0.0
144,62.0,44.0,90.0,0.0,0.0
145,63.0,66.0,60.0,0.0,0.0
146,61.0,70.0,60.0,0.0,0.0
147,63.0,39.0,90.0,0.0,0.0
148,62.0,111.0,90.0,0.0,0.0
149,69.0,11.0,60.0,0.0,0.0
150,67.0,0.0,720.0,0.0,0.0
151,63.0,49.0,60.0,0.0,0.0
152,57.0,77.0,720.0,0.0,0.0
153,74.0,65.0,360.0,0.0,0.0
