,note,step,duration,channel,velocity
0,68.0,360.0,480.0,0.0,0.0
1,68.0,120.0,360.0,0.0,0.0
2,68.0,480.0,120.0,0.0,0.0
3,68.0,480.0,480.0,0.0,0.0
4,69.0,480.0,480.0,0.0,0.0
5,68.0,480.0,480.0,0.0,0.0
6,64.0,960.0,480.0,0.0,0.0
7,64.0,0.0,480.0,0.0,0.0
8,52.0,0.0,480.0,0.0,0.0
9,59.0,0.0,480.0,0.0,0.0
10,68.0,480.0,15.0,0.0,0.0
11,68.0,360.0,15.0,0.0,0.0
12,59.0,0.0,15.0,0.0,0.0
13,68.0,0.0,15.0,0.0,0.0
14,64.0,0.0,15.0,0.0,0.0
15,52.0,120.0,15.0,0.0,0.0
16,68.0,480.0,480.0,0.0,0.0
17,59.0,0.0,480.0,0.0,0.0
18,64.0,0.0,480.0,0.0,0.0
19,52.0,480.0,15.0,0.0,0.0
20,61.0,0.0,480.0,0.0,0.0
21,69.0,0.0,480.0,0.0,0.0
22,45.0,0.0,480.0,0.0,0.0
23,59.0,0.0,480.0,0.0,0.0
24,64.0,480.0,15.0,0.0,0.0
25,40.0,480.0,480.0,0.0,0.0
26,68.0,0.0,480.0,0.0,0.0
27,64.0,0.0,480.0,0.0,0.0
28,61.0,0.0,480.0,0.0,0.0
29,45.0,480.0,480.0,0.0,0.0
30,59.0,0.0,480.0,0.0,0.0
31,68.0,0.0,960.0,0.0,0.0
32,64.0,480.0,480.0,0.0,0.0
33,40.0,0.0,480.0,0.0,0.0
34,66.0,0.0,480.0,0.0,0.0
35,60.0,0.0,480.0,0.0,0.0
36,39.0,78.0,480.0,0.0,0.0
37,105.0,83.0,90.0,0.0,0.0
38,37.0,82.0,240.0,0.0,0.0
39,100.0,78.0,90.0,0.0,0.0
40,104.0,1.0,90.0,0.0,0.0
41,97.0,79.0,90.0,0.0,0.0
42,103.0,79.0,90.0,0.0,0.0
43,100.0,80.0,90.0,0.0,0.0
44,68.0,0.0,360.0,0.0,0.0
45,102.0,83.0,90.0,0.0,0.0
46,97.0,79.0,90.0,0.0,0.0
47,101.0,80.0,90.0,0.0,0.0
48,97.0,38.0,90.0,0.0,0.0
49,100.0,81.0,90.0,0.0,0.0
50,61.0,0.0,15.0,0.0,0.0
51,64.0,39.0,15.0,0.0,0.0
52,68.0,0.0,120.0,0.0,0.0
53,92.0,79.0,90.0,0.0,0.0
54,68.0,0.0,480.0,0.0,0.0
55,61.0,0.0,480.0,0.0,0.0
56,64.0,0.0,480.0,0.0,0.0
57,99.0,79.0,90.0,0.0,0.0
58,92.0,78.0,90.0,0.0,0.0
59,98.0,79.0,90.0,0.0,0.0
60,88.0,80.0,90.0,0.0,0.0
61,97.0,82.0,90.0,0.0,0.0
62,92.0,78.0,90.0,0.0,0.0
63,96.0,80.0,90.0,0.0,0.0
64,64.0,0.0,480.0,0.0,0.0
65,69.0,0.0,480.0,0.0,0.0
66,61.0,78.0,480.0,0.0,0.0
67,88.0,85.0,90.0,0.0,0.0
68,95.0,77.0,90.0,0.0,0.0
69,88.0,78.0,90.0,0.0,0.0
70,94.0,80.0,90.0,0.0,0.0
71,85.0,2.0,90.0,0.0,0.0
72,93.0,82.0,90.0,0.0,0.0
73,68.0,0.0,480.0,0.0,0.0
74,88.0,81.0,90.0,0.0,0.0
75,92.0,80.0,90.0,0.0,0.0
