,note,step,duration,channel,velocity
0,76.0,24.0,90.0,0.0,0.0
1,45.0,24.0,20.0,0.0,0.0
2,69.0,0.0,20.0,0.0,0.0
3,64.0,24.0,20.0,0.0,0.0
4,60.0,0.0,20.0,0.0,0.0
5,81.0,24.0,40.0,0.0,0.0
6,47.0,24.0,20.0,0.0,0.0
7,79.0,24.0,40.0,0.0,0.0
8,77.0,24.0,40.0,0.0,0.0
9,62.0,0.0,20.0,0.0,0.0
10,55.0,0.0,20.0,0.0,0.0
11,67.0,24.0,20.0,0.0,0.0
12,48.0,12.0,20.0,0.0,0.0
13,76.0,12.0,40.0,0.0,0.0
14,75.0,24.0,15.0,0.0,0.0
15,64.0,0.0,20.0,0.0,0.0
16,76.0,12.0,40.0,0.0,0.0
17,72.0,12.0,20.0,0.0,0.0
18,77.0,24.0,15.0,0.0,0.0
19,76.0,24.0,150.0,0.0,0.0
20,44.0,48.0,20.0,0.0,0.0
21,62.0,0.0,20.0,0.0,0.0
22,64.0,0.0,20.0,0.0,0.0
23,71.0,48.0,20.0,0.0,0.0
24,45.0,24.0,20.0,0.0,0.0
25,69.0,24.0,20.0,0.0,0.0
26,81.0,24.0,40.0,0.0,0.0
27,60.0,0.0,20.0,0.0,0.0
28,64.0,0.0,20.0,0.0,0.0
29,47.0,24.0,20.0,0.0,0.0
30,79.0,24.0,40.0,0.0,0.0
31,77.0,24.0,40.0,0.0,0.0
32,55.0,24.0,20.0,0.0,0.0
33,62.0,0.0,20.0,0.0,0.0
34,67.0,0.0,20.0,0.0,0.0
35,76.0,12.0,40.0,0.0,0.0
36,48.0,12.0,20.0,0.0,0.0
37,75.0,24.0,15.0,0.0,0.0
38,76.0,4.0,30.0,0.0,0.0
39,64.0,0.0,20.0,0.0,0.0
40,72.0,8.0,20.0,0.0,0.0
41,79.0,12.0,15.0,0.0,0.0
42,77.0,24.0,15.0,0.0,0.0
43,44.0,48.0,20.0,0.0,0.0
44,76.0,24.0,150.0,0.0,0.0
45,71.0,0.0,20.0,0.0,0.0
46,64.0,48.0,20.0,0.0,0.0
47,62.0,0.0,20.0,0.0,0.0
48,45.0,24.0,20.0,0.0,0.0
49,60.0,24.0,20.0,0.0,0.0
50,69.0,0.0,20.0,0.0,0.0
51,81.0,24.0,40.0,0.0,0.0
52,64.0,0.0,20.0,0.0,0.0
53,47.0,24.0,20.0,0.0,0.0
54,79.0,24.0,40.0,0.0,0.0
55,55.0,24.0,20.0,0.0,0.0
56,77.0,24.0,40.0,0.0,0.0
57,62.0,0.0,20.0,0.0,0.0
58,67.0,0.0,20.0,0.0,0.0
59,76.0,9.0,90.0,0.0,0.0
60,48.0,48.0,20.0,0.0,0.0
61,72.0,0.0,20.0,0.0,0.0
62,64.0,24.0,20.0,0.0,0.0
63,74.0,6.0,15.0,0.0,0.0
64,50.0,1.0,20.0,0.0,0.0
65,76.0,5.0,15.0,0.0,0.0
66,74.0,4.0,15.0,0.0,0.0
67,76.0,4.0,15.0,0.0,0.0
68,74.0,4.0,15.0,0.0,0.0
69,76.0,4.0,15.0,0.0,0.0
70,74.0,6.0,15.0,0.0,0.0
71,73.0,5.0,15.0,0.0,0.0
72,74.0,24.0,15.0,0.0,0.0
73,76.0,12.0,40.0,0.0,0.0
74,58.0,0.0,20.0,0.0,0.0
75,65.0,0.0,20.0,0.0,0.0
76,70.0,12.0,20.0,0.0,0.0
77,77.0,24.0,15.0,0.0,0.0
78,52.0,48.0,20.0,0.0,0.0
79,72.0,44.0,90.0,0.0,0.0
80,60.0,4.0,20.0,0.0,0.0
81,64.0,0.0,20.0,0.0,0.0
82,69.0,0.0,20.0,0.0,0.0
83,62.0,2.0,90.0,0.0,0.0
84,68.0,0.0,90.0,0.0,0.0
85,40.0,24.0,20.0,0.0,0.0
86,72.0,22.0,40.0,0.0,0.0
87,71.0,12.0,40.0,0.0,0.0
88,64.0,12.0,20.0,0.0,0.0
89,52.0,0.0,20.0,0.0,0.0
90,69.0,2.0,15.0,0.0,0.0
91,60.0,22.0,15.0,0.0,0.0
92,45.0,48.0,20.0,0.0,0.0
93,69.0,26.0,90.0,0.0,0.0
94,60.0,22.0,20.0,0.0,0.0
95,64.0,0.0,20.0,0.0,0.0
96,45.0,22.0,20.0,0.0,0.0
97,76.0,26.0,40.0,0.0,0.0
98,76.0,24.0,90.0,0.0,0.0
99,59.0,48.0,20.0,0.0,0.0
100,68.0,0.0,20.0,0.0,0.0
101,45.0,24.0,20.0,0.0,0.0
102,64.0,24.0,20.0,0.0,0.0
103,69.0,0.0,20.0,0.0,0.0
104,81.0,24.0,40.0,0.0,0.0
105,60.0,0.0,20.0,0.0,0.0
106,79.0,24.0,40.0,0.0,0.0
107,47.0,24.0,20.0,0.0,0.0
108,67.0,24.0,20.0,0.0,0.0
109,62.0,0.0,20.0,0.0,0.0
110,77.0,24.0,40.0,0.0,0.0
111,55.0,0.0,20.0,0.0,0.0
112,48.0,12.0,20.0,0.0,0.0
113,76.0,12.0,40.0,0.0,0.0
114,75.0,24.0,15.0,0.0,0.0
115,72.0,12.0,20.0,0.0,0.0
116,64.0,0.0,20.0,0.0,0.0
117,76.0,12.0,40.0,0.0,0.0
118,77.0,24.0,15.0,0.0,0.0
119,44.0,48.0,20.0,0.0,0.0
120,76.0,24.0,150.0,0.0,0.0
121,71.0,48.0,20.0,0.0,0.0
122,62.0,0.0,20.0,0.0,0.0
123,64.0,0.0,20.0,0.0,0.0
124,45.0,24.0,20.0,0.0,0.0
125,81.0,24.0,40.0,0.0,0.0
126,69.0,0.0,20.0,0.0,0.0
127,64.0,24.0,20.0,0.0,0.0
128,60.0,0.0,20.0,0.0,0.0
129,47.0,24.0,20.0,0.0,0.0
130,79.0,24.0,40.0,0.0,0.0
131,62.0,0.0,20.0,0.0,0.0
132,55.0,24.0,20.0,0.0,0.0
133,77.0,24.0,40.0,0.0,0.0
134,67.0,0.0,20.0,0.0,0.0
135,48.0,12.0,20.0,0.0,0.0
136,76.0,12.0,40.0,0.0,0.0
137,75.0,24.0,15.0,0.0,0.0
138,72.0,0.0,20.0,0.0,0.0
139,64.0,6.0,20.0,0.0,0.0
140,76.0,6.0,30.0,0.0,0.0
141,79.0,12.0,15.0,0.0,0.0
142,77.0,24.0,15.0,0.0,0.0
143,76.0,24.0,150.0,0.0,0.0
144,44.0,48.0,20.0,0.0,0.0
145,62.0,0.0,20.0,0.0,0.0
146,71.0,0.0,20.0,0.0,0.0
147,64.0,48.0,20.0,0.0,0.0
148,45.0,24.0,20.0,0.0,0.0
149,81.0,24.0,40.0,0.0,0.0
150,69.0,0.0,20.0,0.0,0.0
151,64.0,24.0,20.0,0.0,0.0
152,60.0,0.0,20.0,0.0,0.0
153,79.0,24.0,40.0,0.0,0.0
154,47.0,24.0,20.0,0.0,0.0
155,62.0,0.0,20.0,0.0,0.0
156,67.0,0.0,20.0,0.0,0.0
157,77.0,24.0,40.0,0.0,0.0
158,55.0,24.0,20.0,0.0,0.0
159,48.0,48.0,20.0,0.0,0.0
160,76.0,8.0,60.0,0.0,0.0
161,64.0,0.0,20.0,0.0,0.0
162,72.0,0.0,20.0,0.0,0.0
163,73.0,8.0,15.0,0.0,0.0
164,74.0,8.0,15.0,0.0,0.0
165,76.0,7.0,15.0,0.0,0.0
166,50.0,3.0,20.0,0.0,0.0
167,74.0,5.0,15.0,0.0,0.0
168,76.0,5.0,15.0,0.0,0.0
169,74.0,5.0,15.0,0.0,0.0
170,76.0,2.0,15.0,0.0,0.0
171,74.0,5.0,15.0,0.0,0.0
172,76.0,5.0,15.0,0.0,0.0
173,74.0,4.0,15.0,0.0,0.0
174,76.0,4.0,15.0,0.0,0.0
175,74.0,4.0,15.0,0.0,0.0
176,76.0,4.0,15.0,0.0,0.0
177,74.0,4.0,15.0,0.0,0.0
178,58.0,0.0,20.0,0.0,0.0
179,65.0,0.0,20.0,0.0,0.0
180,70.0,3.0,20.0,0.0,0.0
181,76.0,4.0,15.0,0.0,0.0
182,74.0,7.0,15.0,0.0,0.0
183,73.0,4.0,15.0,0.0,0.0
184,74.0,7.0,15.0,0.0,0.0
185,76.0,7.0,15.0,0.0,0.0
186,79.0,7.0,15.0,0.0,0.0
187,77.0,24.0,15.0,0.0,0.0
188,72.0,4.0,90.0,0.0,0.0
189,52.0,48.0,20.0,0.0,0.0
190,60.0,6.0,20.0,0.0,0.0
191,69.0,0.0,20.0,0.0,0.0
192,64.0,0.0,20.0,0.0,0.0
193,62.0,38.0,15.0,0.0,0.0
194,62.0,6.0,90.0,0.0,0.0
195,68.0,0.0,60.0,0.0,0.0
196,40.0,24.0,20.0,0.0,0.0
197,72.0,18.0,40.0,0.0,0.0
198,71.0,8.0,40.0,0.0,0.0
199,64.0,12.0,20.0,0.0,0.0
200,52.0,0.0,20.0,0.0,0.0
201,69.0,6.0,15.0,0.0,0.0
202,60.0,22.0,15.0,0.0,0.0
203,69.0,30.0,90.0,0.0,0.0
204,45.0,66.0,20.0,0.0,0.0
205,64.0,0.0,90.0,0.0,0.0
206,57.0,24.0,20.0,0.0,0.0
207,72.0,46.0,15.0,0.0,0.0
208,56.0,0.0,40.0,0.0,0.0
209,60.0,0.0,15.0,0.0,0.0
210,66.0,0.0,40.0,0.0,0.0
211,74.0,24.0,40.0,0.0,0.0
212,55.0,6.0,90.0,0.0,0.0
213,66.0,18.0,20.0,0.0,0.0
214,60.0,0.0,20.0,0.0,0.0
215,65.0,0.0,20.0,0.0,0.0
216,67.0,24.0,20.0,0.0,0.0
217,69.0,24.0,20.0,0.0,0.0
218,43.0,0.0,20.0,0.0,0.0
219,67.0,24.0,20.0,0.0,0.0
220,59.0,0.0,20.0,0.0,0.0
221,65.0,24.0,20.0,0.0,0.0
222,72.0,0.0,20.0,0.0,0.0
223,74.0,24.0,20.0,0.0,0.0
224,48.0,48.0,20.0,0.0,0.0
225,76.0,30.0,90.0,0.0,0.0
226,55.0,18.0,20.0,0.0,0.0
227,60.0,0.0,20.0,0.0,0.0
228,64.0,0.0,20.0,0.0,0.0
229,48.0,20.0,20.0,0.0,0.0
230,76.0,28.0,40.0,0.0,0.0
231,76.0,24.0,40.0,0.0,0.0
232,54.0,0.0,20.0,0.0,0.0
233,57.0,0.0,20.0,0.0,0.0
234,64.0,24.0,20.0,0.0,0.0
235,47.0,24.0,20.0,0.0,0.0
236,78.0,24.0,40.0,0.0,0.0
237,70.0,0.0,20.0,0.0,0.0
238,64.0,24.0,20.0,0.0,0.0
239,57.0,0.0,20.0,0.0,0.0
240,54.0,0.0,20.0,0.0,0.0
241,71.0,24.0,20.0,0.0,0.0
242,47.0,12.0,20.0,0.0,0.0
243,72.0,12.0,40.0,0.0,0.0
244,71.0,24.0,15.0,0.0,0.0
245,76.0,0.0,20.0,0.0,0.0
246,54.0,0.0,20.0,0.0,0.0
247,57.0,24.0,20.0,0.0,0.0
248,63.0,0.0,20.0,0.0,0.0
249,78.0,24.0,20.0,0.0,0.0
250,40.0,48.0,20.0,0.0,0.0
251,80.0,24.0,90.0,0.0,0.0
252,71.0,24.0,20.0,0.0,0.0
253,62.0,0.0,20.0,0.0,0.0
254,64.0,0.0,20.0,0.0,0.0
255,81.0,24.0,40.0,0.0,0.0
256,52.0,24.0,20.0,0.0,0.0
257,60.0,0.0,20.0,0.0,0.0
258,64.0,12.0,20.0,0.0,0.0
259,72.0,0.0,20.0,0.0,0.0
260,79.0,12.0,40.0,0.0,0.0
261,77.0,24.0,15.0,0.0,0.0
262,52.0,24.0,20.0,0.0,0.0
263,77.0,24.0,40.0,0.0,0.0
264,59.0,24.0,20.0,0.0,0.0
265,76.0,24.0,40.0,0.0,0.0
266,67.0,0.0,20.0,0.0,0.0
267,77.0,24.0,40.0,0.0,0.0
268,52.0,24.0,20.0,0.0,0.0
269,57.0,0.0,20.0,0.0,0.0
270,76.0,12.0,40.0,0.0,0.0
271,69.0,0.0,20.0,0.0,0.0
272,60.0,12.0,20.0,0.0,0.0
273,52.0,6.0,90.0,0.0,0.0
274,74.0,48.0,15.0,0.0,0.0
275,64.0,42.0,40.0,0.0,0.0
276,55.0,0.0,40.0,0.0,0.0
277,72.0,0.0,40.0,0.0,0.0
