,note,step,duration,channel,velocity
0,40.0,80.0,90.0,0.0,0.0
1,47.0,80.0,90.0,0.0,0.0
2,59.0,0.0,330.0,0.0,0.0
3,56.0,80.0,90.0,0.0,0.0
4,64.0,0.0,90.0,0.0,0.0
5,68.0,80.0,90.0,0.0,0.0
6,71.0,0.0,150.0,0.0,0.0
7,64.0,80.0,90.0,0.0,0.0
8,61.0,0.0,90.0,0.0,0.0
9,73.0,80.0,90.0,0.0,0.0
10,39.0,80.0,90.0,0.0,0.0
11,59.0,0.0,330.0,0.0,0.0
12,47.0,80.0,90.0,0.0,0.0
13,66.0,80.0,90.0,0.0,0.0
14,57.0,0.0,90.0,0.0,0.0
15,69.0,80.0,90.0,0.0,0.0
16,71.0,0.0,150.0,0.0,0.0
17,66.0,80.0,90.0,0.0,0.0
18,73.0,80.0,90.0,0.0,0.0
19,61.0,0.0,90.0,0.0,0.0
20,40.0,80.0,90.0,0.0,0.0
21,59.0,0.0,330.0,0.0,0.0
22,47.0,80.0,90.0,0.0,0.0
23,56.0,0.0,90.0,0.0,0.0
24,64.0,80.0,90.0,0.0,0.0
25,71.0,80.0,150.0,0.0,0.0
26,68.0,80.0,90.0,0.0,0.0
27,64.0,0.0,90.0,0.0,0.0
28,73.0,80.0,90.0,0.0,0.0
29,61.0,0.0,90.0,0.0,0.0
30,44.0,80.0,90.0,0.0,0.0
31,56.0,80.0,90.0,0.0,0.0
32,63.0,0.0,330.0,0.0,0.0
33,59.0,0.0,90.0,0.0,0.0
34,68.0,80.0,90.0,0.0,0.0
35,71.0,80.0,90.0,0.0,0.0
36,75.0,80.0,150.0,0.0,0.0
37,68.0,0.0,90.0,0.0,0.0
38,76.0,80.0,90.0,0.0,0.0
39,64.0,0.0,90.0,0.0,0.0
40,45.0,80.0,90.0,0.0,0.0
41,56.0,80.0,90.0,0.0,0.0
42,68.0,80.0,330.0,0.0,0.0
43,73.0,0.0,90.0,0.0,0.0
44,61.0,80.0,90.0,0.0,0.0
