,note,step,duration,channel,velocity
0,41.0,240.0,1680.0,0.0,0.0
1,53.0,0.0,1680.0,0.0,0.0
2,44.0,0.0,240.0,0.0,0.0
3,44.0,120.0,1920.0,0.0,0.0
4,32.0,1920.0,15.0,0.0,0.0
5,65.0,0.0,960.0,0.0,0.0
6,60.0,0.0,960.0,0.0,0.0
7,53.0,0.0,15.0,0.0,0.0
8,53.0,1800.0,15.0,0.0,0.0
9,55.0,0.0,3600.0,0.0,0.0
10,61.0,0.0,3480.0,0.0,0.0
11,33.0,120.0,3360.0,0.0,0.0
12,45.0,0.0,3360.0,0.0,0.0
13,65.0,1920.0,1440.0,0.0,0.0
14,52.0,0.0,1920.0,0.0,0.0
15,64.0,0.0,1920.0,0.0,0.0
16,50.0,0.0,120.0,0.0,0.0
17,38.0,120.0,120.0,0.0,0.0
18,57.0,120.0,120.0,0.0,0.0
19,62.0,0.0,120.0,0.0,0.0
20,53.0,0.0,120.0,0.0,0.0
21,65.0,120.0,120.0,0.0,0.0
22,45.0,120.0,120.0,0.0,0.0
23,38.0,120.0,120.0,0.0,0.0
24,50.0,0.0,120.0,0.0,0.0
25,57.0,120.0,120.0,0.0,0.0
26,53.0,0.0,120.0,0.0,0.0
27,65.0,120.0,120.0,0.0,0.0
28,62.0,0.0,120.0,0.0,0.0
29,45.0,120.0,120.0,0.0,0.0
30,38.0,120.0,120.0,0.0,0.0
31,50.0,0.0,120.0,0.0,0.0
32,57.0,120.0,120.0,0.0,0.0
33,53.0,0.0,120.0,0.0,0.0
34,65.0,120.0,120.0,0.0,0.0
35,62.0,0.0,120.0,0.0,0.0
36,45.0,120.0,120.0,0.0,0.0
37,38.0,0.0,120.0,0.0,0.0
38,50.0,120.0,120.0,0.0,0.0
39,57.0,120.0,120.0,0.0,0.0
40,53.0,120.0,120.0,0.0,0.0
41,62.0,0.0,120.0,0.0,0.0
42,65.0,0.0,120.0,0.0,0.0
43,45.0,120.0,120.0,0.0,0.0
44,50.0,0.0,120.0,0.0,0.0
45,38.0,120.0,120.0,0.0,0.0
46,57.0,120.0,120.0,0.0,0.0
47,65.0,120.0,120.0,0.0,0.0
48,53.0,0.0,120.0,0.0,0.0
49,62.0,0.0,120.0,0.0,0.0
50,45.0,120.0,120.0,0.0,0.0
51,50.0,0.0,120.0,0.0,0.0
52,38.0,120.0,120.0,0.0,0.0
53,57.0,120.0,120.0,0.0,0.0
54,62.0,120.0,120.0,0.0,0.0
55,65.0,0.0,120.0,0.0,0.0
56,53.0,0.0,120.0,0.0,0.0
57,45.0,120.0,120.0,0.0,0.0
58,50.0,0.0,120.0,0.0,0.0
59,38.0,120.0,120.0,0.0,0.0
60,57.0,120.0,120.0,0.0,0.0
61,53.0,0.0,120.0,0.0,0.0
62,65.0,0.0,120.0,0.0,0.0
63,62.0,120.0,120.0,0.0,0.0
64,45.0,120.0,120.0,0.0,0.0
65,50.0,120.0,120.0,0.0,0.0
66,38.0,0.0,120.0,0.0,0.0
67,57.0,120.0,120.0,0.0,0.0
68,62.0,0.0,120.0,0.0,0.0
69,65.0,0.0,120.0,0.0,0.0
70,53.0,120.0,120.0,0.0,0.0
71,57.0,120.0,120.0,0.0,0.0
72,77.0,0.0,120.0,0.0,0.0
73,50.0,60.0,120.0,0.0,0.0
74,74.0,60.0,60.0,0.0,0.0
75,57.0,120.0,120.0,0.0,0.0
76,65.0,120.0,120.0,0.0,0.0
77,62.0,0.0,120.0,0.0,0.0
78,57.0,0.0,120.0,0.0,0.0
79,76.0,120.0,120.0,0.0,0.0
80,50.0,60.0,120.0,0.0,0.0
81,77.0,0.0,120.0,0.0,0.0
82,57.0,120.0,120.0,0.0,0.0
83,74.0,60.0,60.0,0.0,0.0
84,65.0,120.0,120.0,0.0,0.0
85,62.0,0.0,120.0,0.0,0.0
86,57.0,120.0,120.0,0.0,0.0
87,77.0,0.0,120.0,0.0,0.0
88,50.0,60.0,120.0,0.0,0.0
89,74.0,60.0,60.0,0.0,0.0
90,57.0,120.0,120.0,0.0,0.0
91,62.0,120.0,120.0,0.0,0.0
92,65.0,0.0,120.0,0.0,0.0
93,76.0,0.0,120.0,0.0,0.0
94,57.0,120.0,120.0,0.0,0.0
95,50.0,60.0,120.0,0.0,0.0
96,77.0,0.0,120.0,0.0,0.0
97,74.0,60.0,60.0,0.0,0.0
98,57.0,120.0,120.0,0.0,0.0
99,65.0,0.0,120.0,0.0,0.0
100,62.0,120.0,120.0,0.0,0.0
101,57.0,120.0,120.0,0.0,0.0
102,50.0,0.0,120.0,0.0,0.0
103,77.0,60.0,120.0,0.0,0.0
104,74.0,60.0,60.0,0.0,0.0
105,57.0,120.0,120.0,0.0,0.0
106,65.0,0.0,120.0,0.0,0.0
107,62.0,120.0,120.0,0.0,0.0
108,57.0,120.0,120.0,0.0,0.0
109,76.0,0.0,120.0,0.0,0.0
110,77.0,60.0,120.0,0.0,0.0
111,50.0,0.0,120.0,0.0,0.0
112,86.0,60.0,60.0,0.0,0.0
113,57.0,120.0,120.0,0.0,0.0
114,62.0,0.0,120.0,0.0,0.0
115,65.0,120.0,120.0,0.0,0.0
116,57.0,120.0,120.0,0.0,0.0
117,52.0,0.0,120.0,0.0,0.0
118,85.0,60.0,120.0,0.0,0.0
119,58.0,120.0,120.0,0.0,0.0
120,76.0,60.0,60.0,0.0,0.0
121,61.0,0.0,120.0,0.0,0.0
122,67.0,120.0,120.0,0.0,0.0
123,58.0,0.0,120.0,0.0,0.0
124,77.0,120.0,120.0,0.0,0.0
125,79.0,60.0,120.0,0.0,0.0
126,52.0,0.0,120.0,0.0,0.0
127,76.0,60.0,60.0,0.0,0.0
128,58.0,120.0,120.0,0.0,0.0
129,67.0,120.0,120.0,0.0,0.0
130,61.0,0.0,120.0,0.0,0.0
131,58.0,120.0,120.0,0.0,0.0
132,82.0,60.0,120.0,0.0,0.0
133,52.0,0.0,120.0,0.0,0.0
134,55.0,120.0,120.0,0.0,0.0
135,76.0,60.0,60.0,0.0,0.0
136,67.0,0.0,120.0,0.0,0.0
137,61.0,120.0,120.0,0.0,0.0
138,77.0,120.0,120.0,0.0,0.0
139,55.0,0.0,120.0,0.0,0.0
140,79.0,60.0,120.0,0.0,0.0
141,52.0,0.0,120.0,0.0,0.0
142,58.0,120.0,120.0,0.0,0.0
143,76.0,60.0,60.0,0.0,0.0
144,61.0,0.0,120.0,0.0,0.0
145,67.0,120.0,120.0,0.0,0.0
146,58.0,120.0,120.0,0.0,0.0
147,82.0,0.0,120.0,0.0,0.0
148,52.0,60.0,120.0,0.0,0.0
149,76.0,60.0,60.0,0.0,0.0
150,55.0,120.0,120.0,0.0,0.0
151,67.0,120.0,120.0,0.0,0.0
152,61.0,0.0,120.0,0.0,0.0
153,55.0,120.0,120.0,0.0,0.0
154,77.0,0.0,120.0,0.0,0.0
155,79.0,60.0,120.0,0.0,0.0
156,52.0,0.0,120.0,0.0,0.0
157,58.0,120.0,120.0,0.0,0.0
158,76.0,60.0,60.0,0.0,0.0
159,67.0,0.0,120.0,0.0,0.0
160,61.0,120.0,120.0,0.0,0.0
161,58.0,120.0,120.0,0.0,0.0
162,82.0,0.0,120.0,0.0,0.0
163,52.0,60.0,120.0,0.0,0.0
164,76.0,60.0,60.0,0.0,0.0
165,55.0,120.0,120.0,0.0,0.0
166,61.0,0.0,120.0,0.0,0.0
167,67.0,120.0,120.0,0.0,0.0
168,55.0,0.0,120.0,0.0,0.0
169,77.0,120.0,120.0,0.0,0.0
170,52.0,60.0,120.0,0.0,0.0
171,79.0,0.0,120.0,0.0,0.0
172,58.0,120.0,120.0,0.0,0.0
173,88.0,60.0,60.0,0.0,0.0
174,67.0,0.0,120.0,0.0,0.0
175,61.0,120.0,120.0,0.0,0.0
176,58.0,120.0,120.0,0.0,0.0
177,88.0,120.0,240.0,0.0,0.0
178,53.0,60.0,120.0,0.0,0.0
179,57.0,0.0,120.0,0.0,0.0
180,77.0,60.0,60.0,0.0,0.0
181,69.0,0.0,120.0,0.0,0.0
182,61.0,120.0,120.0,0.0,0.0
183,57.0,120.0,120.0,0.0,0.0
184,79.0,0.0,120.0,0.0,0.0
185,86.0,120.0,240.0,0.0,0.0
186,81.0,0.0,120.0,0.0,0.0
187,53.0,60.0,120.0,0.0,0.0
188,57.0,0.0,120.0,0.0,0.0
189,77.0,60.0,60.0,0.0,0.0
190,69.0,120.0,120.0,0.0,0.0
191,62.0,0.0,120.0,0.0,0.0
192,57.0,120.0,120.0,0.0,0.0
193,56.0,0.0,120.0,0.0,0.0
194,89.0,0.0,120.0,0.0,0.0
195,77.0,60.0,120.0,0.0,0.0
196,65.0,120.0,120.0,0.0,0.0
197,88.0,60.0,60.0,0.0,0.0
198,83.0,0.0,60.0,0.0,0.0
199,71.0,120.0,120.0,0.0,0.0
200,77.0,120.0,120.0,0.0,0.0
201,56.0,0.0,120.0,0.0,0.0
202,86.0,0.0,120.0,0.0,0.0
203,57.0,0.0,120.0,0.0,0.0
204,85.0,60.0,120.0,0.0,0.0
205,81.0,0.0,120.0,0.0,0.0
206,64.0,120.0,120.0,0.0,0.0
207,88.0,0.0,60.0,0.0,0.0
208,76.0,60.0,60.0,0.0,0.0
209,73.0,120.0,120.0,0.0,0.0
210,57.0,120.0,120.0,0.0,0.0
211,82.0,60.0,120.0,0.0,0.0
212,70.0,0.0,120.0,0.0,0.0
213,49.0,0.0,120.0,0.0,0.0
214,58.0,120.0,120.0,0.0,0.0
215,81.0,0.0,60.0,0.0,0.0
216,76.0,60.0,60.0,0.0,0.0
217,67.0,120.0,120.0,0.0,0.0
218,70.0,0.0,120.0,0.0,0.0
219,79.0,120.0,120.0,0.0,0.0
220,49.0,0.0,120.0,0.0,0.0
221,50.0,0.0,120.0,0.0,0.0
222,77.0,60.0,120.0,0.0,0.0
223,74.0,0.0,120.0,0.0,0.0
224,57.0,120.0,120.0,0.0,0.0
225,81.0,0.0,60.0,0.0,0.0
226,69.0,60.0,60.0,0.0,0.0
227,65.0,120.0,120.0,0.0,0.0
228,50.0,120.0,120.0,0.0,0.0
229,89.0,0.0,120.0,0.0,0.0
230,77.0,0.0,120.0,0.0,0.0
231,56.0,60.0,120.0,0.0,0.0
232,83.0,0.0,60.0,0.0,0.0
233,65.0,120.0,120.0,0.0,0.0
234,88.0,60.0,60.0,0.0,0.0
235,71.0,120.0,120.0,0.0,0.0
236,77.0,120.0,120.0,0.0,0.0
237,86.0,0.0,120.0,0.0,0.0
238,56.0,0.0,120.0,0.0,0.0
239,57.0,60.0,120.0,0.0,0.0
240,81.0,0.0,120.0,0.0,0.0
241,85.0,0.0,120.0,0.0,0.0
242,76.0,0.0,60.0,0.0,0.0
243,88.0,60.0,60.0,0.0,0.0
244,64.0,120.0,120.0,0.0,0.0
245,73.0,120.0,120.0,0.0,0.0
246,57.0,120.0,120.0,0.0,0.0
247,49.0,0.0,120.0,0.0,0.0
248,82.0,0.0,120.0,0.0,0.0
249,70.0,60.0,120.0,0.0,0.0
250,76.0,0.0,60.0,0.0,0.0
251,58.0,120.0,120.0,0.0,0.0
252,81.0,60.0,60.0,0.0,0.0
253,67.0,120.0,120.0,0.0,0.0
254,70.0,120.0,120.0,0.0,0.0
255,79.0,0.0,120.0,0.0,0.0
256,49.0,0.0,120.0,0.0,0.0
257,50.0,60.0,120.0,0.0,0.0
258,78.0,0.0,120.0,0.0,0.0
259,74.0,0.0,120.0,0.0,0.0
260,81.0,60.0,60.0,0.0,0.0
261,77.0,0.0,60.0,0.0,0.0
262,69.0,0.0,60.0,0.0,0.0
263,57.0,120.0,120.0,0.0,0.0
264,65.0,120.0,120.0,0.0,0.0
265,50.0,120.0,120.0,0.0,0.0
266,47.0,0.0,120.0,0.0,0.0
267,93.0,60.0,120.0,0.0,0.0
268,81.0,0.0,120.0,0.0,0.0
269,86.0,0.0,120.0,0.0,0.0
270,80.0,60.0,60.0,0.0,0.0
271,92.0,0.0,60.0,0.0,0.0
272,52.0,120.0,120.0,0.0,0.0
273,53.0,120.0,120.0,0.0,0.0
274,62.0,0.0,120.0,0.0,0.0
275,89.0,120.0,120.0,0.0,0.0
276,77.0,0.0,120.0,0.0,0.0
277,47.0,0.0,120.0,0.0,0.0
278,88.0,0.0,120.0,0.0,0.0
279,80.0,0.0,120.0,0.0,0.0
280,76.0,60.0,120.0,0.0,0.0
281,74.0,0.0,60.0,0.0,0.0
282,86.0,60.0,60.0,0.0,0.0
283,52.0,120.0,120.0,0.0,0.0
284,53.0,120.0,120.0,0.0,0.0
285,62.0,120.0,120.0,0.0,0.0
286,86.0,0.0,120.0,0.0,0.0
287,74.0,60.0,120.0,0.0,0.0
288,47.0,0.0,120.0,0.0,0.0
289,84.0,60.0,60.0,0.0,0.0
290,80.0,0.0,60.0,0.0,0.0
291,52.0,120.0,120.0,0.0,0.0
292,53.0,120.0,120.0,0.0,0.0
293,71.0,0.0,120.0,0.0,0.0
294,83.0,120.0,120.0,0.0,0.0
295,62.0,0.0,120.0,0.0,0.0
296,79.0,0.0,120.0,0.0,0.0
297,82.0,0.0,120.0,0.0,0.0
298,49.0,60.0,120.0,0.0,0.0
299,70.0,60.0,60.0,0.0,0.0
300,54.0,120.0,120.0,0.0,0.0
301,76.0,0.0,60.0,0.0,0.0
302,55.0,120.0,120.0,0.0,0.0
303,64.0,120.0,120.0,0.0,0.0
304,72.0,0.0,120.0,0.0,0.0
305,51.0,60.0,120.0,0.0,0.0
306,84.0,0.0,120.0,0.0,0.0
307,83.0,0.0,60.0,0.0,0.0
308,78.0,60.0,60.0,0.0,0.0
309,56.0,120.0,120.0,0.0,0.0
310,57.0,120.0,120.0,0.0,0.0
311,81.0,0.0,120.0,0.0,0.0
312,66.0,120.0,120.0,0.0,0.0
313,69.0,0.0,120.0,0.0,0.0
314,79.0,0.0,120.0,0.0,0.0
315,76.0,0.0,120.0,0.0,0.0
316,52.0,60.0,120.0,0.0,0.0
317,58.0,120.0,120.0,0.0,0.0
318,67.0,60.0,60.0,0.0,0.0
319,71.0,0.0,60.0,0.0,0.0
320,59.0,120.0,120.0,0.0,0.0
321,67.0,120.0,120.0,0.0,0.0
322,79.0,0.0,120.0,0.0,0.0
323,76.0,0.0,120.0,0.0,0.0
324,50.0,60.0,120.0,0.0,0.0
325,57.0,120.0,120.0,0.0,0.0
326,70.0,60.0,60.0,0.0,0.0
327,67.0,0.0,60.0,0.0,0.0
328,58.0,120.0,120.0,0.0,0.0
329,67.0,120.0,120.0,0.0,0.0
330,49.0,60.0,120.0,0.0,0.0
331,79.0,0.0,120.0,0.0,0.0
332,76.0,0.0,120.0,0.0,0.0
333,56.0,120.0,120.0,0.0,0.0
334,69.0,60.0,60.0,0.0,0.0
335,67.0,0.0,60.0,0.0,0.0
336,57.0,120.0,120.0,0.0,0.0
337,67.0,120.0,120.0,0.0,0.0
338,77.0,120.0,120.0,0.0,0.0
339,50.0,0.0,120.0,0.0,0.0
340,74.0,0.0,120.0,0.0,0.0
341,57.0,120.0,120.0,0.0,0.0
342,69.0,0.0,120.0,0.0,0.0
343,65.0,0.0,120.0,0.0,0.0
344,62.0,120.0,120.0,0.0,0.0
345,76.0,0.0,120.0,0.0,0.0
346,45.0,120.0,120.0,0.0,0.0
347,50.0,120.0,120.0,0.0,0.0
348,77.0,0.0,120.0,0.0,0.0
349,65.0,0.0,120.0,0.0,0.0
350,69.0,0.0,120.0,0.0,0.0
351,57.0,120.0,120.0,0.0,0.0
352,74.0,0.0,120.0,0.0,0.0
353,62.0,120.0,120.0,0.0,0.0
354,45.0,120.0,120.0,0.0,0.0
355,77.0,120.0,120.0,0.0,0.0
356,50.0,0.0,120.0,0.0,0.0
357,69.0,120.0,120.0,0.0,0.0
358,65.0,0.0,120.0,0.0,0.0
359,74.0,0.0,120.0,0.0,0.0
360,57.0,0.0,120.0,0.0,0.0
361,62.0,120.0,120.0,0.0,0.0
362,45.0,0.0,120.0,0.0,0.0
363,76.0,120.0,120.0,0.0,0.0
364,77.0,120.0,120.0,0.0,0.0
365,50.0,0.0,120.0,0.0,0.0
366,74.0,0.0,120.0,0.0,0.0
367,65.0,0.0,120.0,0.0,0.0
368,69.0,0.0,120.0,0.0,0.0
369,57.0,120.0,120.0,0.0,0.0
370,62.0,120.0,120.0,0.0,0.0
371,45.0,120.0,120.0,0.0,0.0
372,77.0,120.0,120.0,0.0,0.0
373,50.0,0.0,120.0,0.0,0.0
374,57.0,0.0,120.0,0.0,0.0
375,65.0,120.0,120.0,0.0,0.0
376,69.0,0.0,120.0,0.0,0.0
377,74.0,0.0,120.0,0.0,0.0
378,62.0,120.0,120.0,0.0,0.0
379,45.0,120.0,120.0,0.0,0.0
380,76.0,0.0,120.0,0.0,0.0
381,50.0,0.0,120.0,0.0,0.0
382,77.0,120.0,120.0,0.0,0.0
383,57.0,0.0,120.0,0.0,0.0
384,74.0,0.0,120.0,0.0,0.0
385,81.0,120.0,120.0,0.0,0.0
386,86.0,0.0,120.0,0.0,0.0
387,65.0,120.0,120.0,0.0,0.0
388,53.0,120.0,120.0,0.0,0.0
389,85.0,0.0,120.0,0.0,0.0
390,52.0,120.0,120.0,0.0,0.0
391,76.0,120.0,120.0,0.0,0.0
392,73.0,0.0,120.0,0.0,0.0
393,58.0,0.0,120.0,0.0,0.0
394,67.0,120.0,120.0,0.0,0.0
395,52.0,0.0,120.0,0.0,0.0
396,77.0,120.0,120.0,0.0,0.0
397,58.0,0.0,120.0,0.0,0.0
398,79.0,120.0,120.0,0.0,0.0
399,61.0,120.0,120.0,0.0,0.0
400,70.0,0.0,120.0,0.0,0.0
401,73.0,0.0,120.0,0.0,0.0
402,76.0,0.0,120.0,0.0,0.0
403,67.0,120.0,120.0,0.0,0.0
404,52.0,120.0,120.0,0.0,0.0
405,55.0,0.0,120.0,0.0,0.0
406,82.0,120.0,120.0,0.0,0.0
407,61.0,0.0,120.0,0.0,0.0
408,73.0,120.0,120.0,0.0,0.0
409,70.0,0.0,120.0,0.0,0.0
410,76.0,0.0,120.0,0.0,0.0
411,67.0,120.0,120.0,0.0,0.0
412,77.0,0.0,120.0,0.0,0.0
413,52.0,120.0,120.0,0.0,0.0
414,79.0,120.0,120.0,0.0,0.0
415,58.0,0.0,120.0,0.0,0.0
416,70.0,0.0,120.0,0.0,0.0
417,73.0,0.0,120.0,0.0,0.0
418,61.0,120.0,120.0,0.0,0.0
419,76.0,0.0,120.0,0.0,0.0
420,67.0,120.0,120.0,0.0,0.0
421,52.0,120.0,120.0,0.0,0.0
422,55.0,0.0,120.0,0.0,0.0
423,82.0,120.0,120.0,0.0,0.0
424,76.0,120.0,120.0,0.0,0.0
425,73.0,0.0,120.0,0.0,0.0
426,70.0,0.0,120.0,0.0,0.0
427,61.0,0.0,120.0,0.0,0.0
428,67.0,120.0,120.0,0.0,0.0
429,52.0,120.0,120.0,0.0,0.0
430,77.0,0.0,120.0,0.0,0.0
431,79.0,120.0,120.0,0.0,0.0
432,58.0,0.0,120.0,0.0,0.0
433,61.0,0.0,120.0,0.0,0.0
434,76.0,0.0,120.0,0.0,0.0
435,70.0,0.0,120.0,0.0,0.0
