,note,step,duration,channel,velocity
0,76.0,59,60,0.0,0.0
1,57.0,1,120,1.0,0.0
2,73.0,20,60,0.0,0.0
3,71.0,20,20,0.0,0.0
4,73.0,20,20,0.0,0.0
5,71.0,60,20,0.0,0.0
6,69.0,60,60,0.0,0.0
7,81.0,1,120,0.0,0.0
8,45.0,59,60,1.0,0.0
9,57.0,60,60,1.0,0.0
10,52.0,60,60,1.0,0.0
11,49.0,60,60,1.0,0.0
12,45.0,1,120,1.0,0.0
13,76.0,59,60,0.0,0.0
14,73.0,20,60,0.0,0.0
15,71.0,20,20,0.0,0.0
16,73.0,20,20,0.0,0.0
17,71.0,60,20,0.0,0.0
18,69.0,60,60,0.0,0.0
19,81.0,61,120,0.0,0.0
20,45.0,57,60,1.0,0.0
21,57.0,2,60,1.0,0.0
22,49.0,57,60,1.0,0.0
23,57.0,63,60,1.0,0.0
24,81.0,0,60,0.0,0.0
25,47.0,57,60,1.0,0.0
26,80.0,0,60,0.0,0.0
27,59.0,63,60,1.0,0.0
28,57.0,61,120,1.0,0.0
29,80.0,57,60,0.0,0.0
30,78.0,2,60,0.0,0.0
31,56.0,61,120,1.0,0.0
32,78.0,57,60,0.0,0.0
33,76.0,2,60,0.0,0.0
34,54.0,61,120,1.0,0.0
35,76.0,57,60,0.0,0.0
36,74.0,2,60,0.0,0.0
37,52.0,60,120,1.0,0.0
38,73.0,57,60,0.0,0.0
39,76.0,2,60,0.0,0.0
40,50.0,120,120,1.0,0.0
41,68.0,60,60,0.0,0.0
42,71.0,0,60,0.0,0.0
43,49.0,0,120,1.0,0.0
44,69.0,120,120,0.0,0.0
45,45.0,61,120,1.0,0.0
46,57.0,1,120,1.0,0.0
47,76.0,59,60,0.0,0.0
48,73.0,20,60,0.0,0.0
49,71.0,20,20,0.0,0.0
50,73.0,20,20,0.0,0.0
51,71.0,60,20,0.0,0.0
52,69.0,60,60,0.0,0.0
53,45.0,59,60,1.0,0.0
54,81.0,1,120,0.0,0.0
55,57.0,60,60,1.0,0.0
56,52.0,60,60,1.0,0.0
57,49.0,60,60,1.0,0.0
58,76.0,59,60,0.0,0.0
59,45.0,1,120,1.0,0.0
60,73.0,20,60,0.0,0.0
61,71.0,20,20,0.0,0.0
62,73.0,20,20,0.0,0.0
63,71.0,60,20,0.0,0.0
64,69.0,60,60,0.0,0.0
65,81.0,60,120,0.0,0.0
66,45.0,57,60,1.0,0.0
67,57.0,2,60,1.0,0.0
68,49.0,60,60,1.0,0.0
69,52.0,61,60,1.0,0.0
70,81.0,57,60,0.0,0.0
71,47.0,0,60,1.0,0.0
72,59.0,63,60,1.0,0.0
73,80.0,0,60,0.0,0.0
74,80.0,57,60,0.0,0.0
75,57.0,61,120,1.0,0.0
76,78.0,2,60,0.0,0.0
77,78.0,57,60,0.0,0.0
78,56.0,61,120,1.0,0.0
79,76.0,2,60,0.0,0.0
80,54.0,61,120,1.0,0.0
81,76.0,57,60,0.0,0.0
82,74.0,2,60,0.0,0.0
83,52.0,60,120,1.0,0.0
84,73.0,57,60,0.0,0.0
85,76.0,2,60,0.0,0.0
86,50.0,0,120,1.0,0.0
87,68.0,60,60,0.0,0.0
88,71.0,60,60,0.0,0.0
89,49.0,60,60,1.0,0.0
90,69.0,0,120,0.0,0.0
91,57.0,60,60,1.0,0.0
92,52.0,60,60,1.0,0.0
93,49.0,61,60,1.0,0.0
94,57.0,1,120,1.0,0.0
95,76.0,59,60,0.0,0.0
96,73.0,20,60,0.0,0.0
