,note,step,duration,channel,velocity
0,69.0,30,120,0.0,0.0
1,74.0,30,30,0.0,0.0
2,50.0,30,240,1.0,0.0
3,69.0,30,30,0.0,0.0
4,71.0,30,30,0.0,0.0
5,73.0,30,30,0.0,0.0
6,74.0,30,30,0.0,0.0
7,76.0,30,30,0.0,0.0
8,78.0,30,30,0.0,0.0
9,79.0,0,30,0.0,0.0
10,81.0,30,30,0.0,0.0
11,54.0,30,120,1.0,0.0
12,78.0,30,30,0.0,0.0
13,76.0,30,30,0.0,0.0
14,74.0,0,30,0.0,0.0
15,55.0,30,120,1.0,0.0
16,83.0,30,30,0.0,0.0
17,79.0,30,30,0.0,0.0
18,78.0,30,30,0.0,0.0
19,76.0,0,30,0.0,0.0
20,50.0,30,240,1.0,0.0
21,74.0,30,30,0.0,0.0
22,69.0,30,30,0.0,0.0
23,71.0,30,30,0.0,0.0
24,73.0,30,30,0.0,0.0
25,74.0,30,30,0.0,0.0
26,76.0,30,30,0.0,0.0
27,78.0,30,30,0.0,0.0
28,79.0,0,30,0.0,0.0
29,54.0,0,120,1.0,0.0
30,81.0,30,30,0.0,0.0
31,78.0,30,30,0.0,0.0
32,76.0,30,30,0.0,0.0
33,74.0,30,30,0.0,0.0
34,55.0,0,120,1.0,0.0
35,83.0,30,30,0.0,0.0
36,79.0,30,30,0.0,0.0
37,78.0,30,30,0.0,0.0
38,76.0,30,30,0.0,0.0
39,81.0,30,30,0.0,0.0
40,54.0,0,120,1.0,0.0
41,78.0,30,30,0.0,0.0
42,76.0,30,30,0.0,0.0
43,74.0,30,30,0.0,0.0
44,74.0,30,30,0.0,0.0
45,52.0,0,120,1.0,0.0
46,73.0,30,30,0.0,0.0
47,76.0,30,30,0.0,0.0
48,79.0,30,30,0.0,0.0
49,79.0,30,30,0.0,0.0
50,50.0,30,120,1.0,0.0
51,78.0,30,30,0.0,0.0
52,81.0,30,30,0.0,0.0
53,74.0,0,30,0.0,0.0
54,74.0,30,30,0.0,0.0
55,52.0,30,120,1.0,0.0
56,73.0,30,30,0.0,0.0
57,76.0,30,30,0.0,0.0
58,79.0,0,30,0.0,0.0
59,78.0,30,30,0.0,0.0
60,50.0,60,120,1.0,0.0
61,76.0,60,30,0.0,0.0
62,74.0,0,60,0.0,0.0
63,54.0,30,120,1.0,0.0
64,69.0,30,30,0.0,0.0
65,74.0,30,30,0.0,0.0
66,78.0,0,30,0.0,0.0
67,78.0,30,30,0.0,0.0
68,55.0,30,120,1.0,0.0
69,76.0,30,30,0.0,0.0
70,74.0,30,30,0.0,0.0
71,76.0,0,30,0.0,0.0
72,56.0,0,120,1.0,0.0
73,76.0,30,30,0.0,0.0
74,74.0,30,30,0.0,0.0
75,73.0,30,30,0.0,0.0
76,74.0,30,30,0.0,0.0
77,73.0,30,30,0.0,0.0
78,57.0,60,120,1.0,0.0
79,71.0,60,30,0.0,0.0
80,69.0,0,60,0.0,0.0
81,49.0,0,120,1.0,0.0
82,64.0,30,30,0.0,0.0
83,69.0,30,30,0.0,0.0
84,73.0,30,30,0.0,0.0
85,73.0,30,30,0.0,0.0
86,50.0,30,120,1.0,0.0
87,71.0,30,30,0.0,0.0
88,74.0,30,30,0.0,0.0
89,73.0,0,30,0.0,0.0
90,51.0,30,120,1.0,0.0
91,73.0,30,30,0.0,0.0
92,71.0,30,30,0.0,0.0
93,71.0,30,30,0.0,0.0
94,69.0,0,30,0.0,0.0
95,52.0,0,60,1.0,0.0
96,68.0,30,30,0.0,0.0
97,66.0,60,30,0.0,0.0
98,50.0,0,60,1.0,0.0
99,64.0,60,60,0.0,0.0
100,49.0,30,120,1.0,0.0
101,64.0,30,30,0.0,0.0
102,69.0,30,30,0.0,0.0
103,73.0,0,30,0.0,0.0
104,50.0,69,120,1.0,0.0
105,73.0,30,30,0.0,0.0
106,71.0,60,30,0.0,0.0
107,71.0,0,60,0.0,0.0
108,54.0,0,120,1.0,0.0
109,71.0,7,15,0.0,0.0
110,73.0,15,15,0.0,0.0
111,74.0,29,15,0.0,0.0
112,52.0,60,120,1.0,0.0
113,74.0,30,30,0.0,0.0
114,73.0,60,30,0.0,0.0
115,73.0,0,60,0.0,0.0
116,49.0,30,120,1.0,0.0
117,64.0,30,30,0.0,0.0
118,69.0,30,30,0.0,0.0
119,73.0,0,30,0.0,0.0
120,50.0,0,120,1.0,0.0
121,73.0,30,30,0.0,0.0
122,71.0,60,30,0.0,0.0
123,71.0,69,60,0.0,0.0
124,54.0,30,120,1.0,0.0
125,71.0,7,15,0.0,0.0
126,73.0,15,15,0.0,0.0
127,74.0,29,15,0.0,0.0
128,74.0,30,30,0.0,0.0
129,52.0,60,120,1.0,0.0
130,73.0,60,30,0.0,0.0
131,73.0,0,60,0.0,0.0
132,49.0,0,120,1.0,0.0
133,64.0,30,30,0.0,0.0
134,69.0,30,30,0.0,0.0
135,73.0,30,30,0.0,0.0
136,50.0,0,120,1.0,0.0
137,73.0,30,30,0.0,0.0
138,71.0,30,30,0.0,0.0
139,74.0,30,30,0.0,0.0
140,71.0,60,30,0.0,0.0
141,52.0,21,60,1.0,0.0
142,69.0,0,60,0.0,0.0
143,68.0,20,20,0.0,0.0
144,40.0,1,60,1.0,0.0
145,69.0,19,20,0.0,0.0
146,68.0,119,20,0.0,0.0
147,45.0,60,120,1.0,0.0
148,69.0,0,120,0.0,0.0
149,49.0,30,120,1.0,0.0
150,64.0,30,30,0.0,0.0
151,69.0,30,30,0.0,0.0
152,73.0,0,30,0.0,0.0
153,50.0,69,120,1.0,0.0
154,73.0,30,30,0.0,0.0
155,71.0,60,30,0.0,0.0
156,71.0,0,60,0.0,0.0
157,54.0,0,120,1.0,0.0
158,71.0,7,15,0.0,0.0
159,73.0,15,15,0.0,0.0
160,74.0,29,15,0.0,0.0
161,74.0,30,30,0.0,0.0
162,74.0,30,30,0.0,0.0
163,52.0,60,120,1.0,0.0
164,73.0,60,30,0.0,0.0
165,73.0,0,60,0.0,0.0
166,49.0,30,120,1.0,0.0
167,64.0,30,30,0.0,0.0
168,69.0,30,30,0.0,0.0
169,73.0,0,30,0.0,0.0
170,73.0,30,30,0.0,0.0
171,50.0,0,120,1.0,0.0
172,71.0,60,30,0.0,0.0
173,71.0,69,60,0.0,0.0
174,54.0,0,120,1.0,0.0
175,71.0,7,15,0.0,0.0
176,73.0,15,15,0.0,0.0
177,74.0,29,15,0.0,0.0
178,74.0,30,30,0.0,0.0
179,74.0,30,30,0.0,0.0
180,52.0,60,120,1.0,0.0
181,73.0,60,30,0.0,0.0
182,73.0,0,60,0.0,0.0
183,49.0,0,120,1.0,0.0
184,64.0,30,30,0.0,0.0
185,69.0,30,30,0.0,0.0
186,73.0,30,30,0.0,0.0
187,50.0,30,60,1.0,0.0
188,73.0,30,30,0.0,0.0
189,71.0,0,30,0.0,0.0
190,74.0,30,30,0.0,0.0
191,54.0,60,60,1.0,0.0
192,71.0,0,30,0.0,0.0
193,52.0,60,60,1.0,0.0
194,69.0,0,60,0.0,0.0
195,40.0,0,60,1.0,0.0
196,68.0,60,60,0.0,0.0
197,76.0,0,60,0.0,0.0
198,49.0,60,60,1.0,0.0
199,69.0,0,60,0.0,0.0
200,78.0,0,60,0.0,0.0
201,50.0,30,60,1.0,0.0
202,69.0,0,60,0.0,0.0
203,52.0,0,120,1.0,0.0
204,76.0,30,30,0.0,0.0
205,74.0,30,30,0.0,0.0
206,73.0,30,30,0.0,0.0
207,71.0,60,30,0.0,0.0
208,49.0,0,60,1.0,0.0
209,76.0,0,60,0.0,0.0
210,69.0,60,60,0.0,0.0
211,78.0,0,60,0.0,0.0
212,50.0,30,60,1.0,0.0
213,69.0,0,60,0.0,0.0
214,76.0,30,30,0.0,0.0
215,52.0,60,120,1.0,0.0
216,74.0,30,30,0.0,0.0
217,73.0,30,30,0.0,0.0
218,71.0,0,30,0.0,0.0
219,69.0,0,120,0.0,0.0
220,64.0,0,120,0.0,0.0
221,61.0,0,120,0.0,0.0
222,57.0,60,60,1.0,0.0
223,52.0,120,60,1.0,0.0
224,45.0,240,120,1.0,0.0
225,69.0,30,120,0.0,0.0
226,50.0,0,240,1.0,0.0
227,74.0,30,30,0.0,0.0
228,69.0,30,30,0.0,0.0
229,71.0,30,30,0.0,0.0
230,73.0,30,30,0.0,0.0
231,74.0,30,30,0.0,0.0
232,76.0,30,30,0.0,0.0
233,78.0,30,30,0.0,0.0
234,79.0,30,30,0.0,0.0
235,54.0,30,120,1.0,0.0
236,81.0,30,30,0.0,0.0
237,78.0,30,30,0.0,0.0
238,76.0,30,30,0.0,0.0
239,74.0,0,30,0.0,0.0
240,83.0,30,30,0.0,0.0
241,55.0,30,120,1.0,0.0
242,79.0,30,30,0.0,0.0
243,78.0,30,30,0.0,0.0
244,76.0,0,30,0.0,0.0
245,50.0,0,240,1.0,0.0
246,74.0,30,30,0.0,0.0
247,69.0,30,30,0.0,0.0
248,71.0,30,30,0.0,0.0
249,73.0,30,30,0.0,0.0
250,74.0,30,30,0.0,0.0
251,76.0,30,30,0.0,0.0
252,78.0,30,30,0.0,0.0
253,79.0,30,30,0.0,0.0
254,54.0,0,120,1.0,0.0
255,81.0,30,30,0.0,0.0
256,78.0,30,30,0.0,0.0
257,76.0,30,30,0.0,0.0
258,74.0,30,30,0.0,0.0
259,55.0,30,120,1.0,0.0
260,83.0,30,30,0.0,0.0
261,79.0,30,30,0.0,0.0
262,78.0,30,30,0.0,0.0
263,76.0,0,30,0.0,0.0
264,81.0,30,30,0.0,0.0
265,54.0,30,120,1.0,0.0
266,78.0,30,30,0.0,0.0
267,76.0,30,30,0.0,0.0
268,74.0,0,30,0.0,0.0
269,52.0,0,120,1.0,0.0
270,74.0,30,30,0.0,0.0
271,73.0,30,30,0.0,0.0
272,76.0,30,30,0.0,0.0
273,79.0,30,30,0.0,0.0
274,50.0,0,120,1.0,0.0
275,79.0,30,30,0.0,0.0
276,78.0,30,30,0.0,0.0
277,81.0,30,30,0.0,0.0
278,74.0,30,30,0.0,0.0
279,74.0,30,30,0.0,0.0
280,52.0,30,120,1.0,0.0
281,73.0,30,30,0.0,0.0
282,76.0,30,30,0.0,0.0
283,79.0,0,30,0.0,0.0
284,78.0,30,30,0.0,0.0
285,50.0,60,120,1.0,0.0
286,76.0,60,30,0.0,0.0
287,74.0,0,60,0.0,0.0
288,54.0,0,120,1.0,0.0
289,69.0,30,30,0.0,0.0
290,74.0,30,30,0.0,0.0
291,78.0,30,30,0.0,0.0
292,55.0,30,120,1.0,0.0
293,78.0,30,30,0.0,0.0
294,76.0,30,30,0.0,0.0
295,74.0,30,30,0.0,0.0
296,76.0,0,30,0.0,0.0
297,76.0,30,30,0.0,0.0
298,56.0,30,120,1.0,0.0
299,74.0,30,30,0.0,0.0
300,73.0,30,30,0.0,0.0
301,74.0,0,30,0.0,0.0
302,57.0,60,120,1.0,0.0
303,73.0,30,30,0.0,0.0
304,71.0,60,30,0.0,0.0
305,69.0,0,60,0.0,0.0
306,49.0,30,120,1.0,0.0
307,64.0,30,30,0.0,0.0
308,69.0,30,30,0.0,0.0
309,73.0,0,30,0.0,0.0
310,50.0,30,120,1.0,0.0
311,73.0,30,30,0.0,0.0
312,71.0,30,30,0.0,0.0
313,74.0,30,30,0.0,0.0
314,73.0,0,30,0.0,0.0
315,51.0,0,120,1.0,0.0
316,73.0,30,30,0.0,0.0
317,71.0,30,30,0.0,0.0
318,71.0,30,30,0.0,0.0
319,69.0,30,30,0.0,0.0
320,52.0,60,60,1.0,0.0
321,68.0,30,30,0.0,0.0
322,66.0,0,30,0.0,0.0
323,64.0,0,60,0.0,0.0
324,50.0,60,60,1.0,0.0
325,49.0,0,120,1.0,0.0
326,64.0,30,30,0.0,0.0
327,69.0,30,30,0.0,0.0
328,73.0,30,30,0.0,0.0
329,73.0,30,30,0.0,0.0
330,50.0,0,120,1.0,0.0
331,71.0,60,30,0.0,0.0
332,71.0,69,60,0.0,0.0
333,54.0,0,120,1.0,0.0
334,71.0,7,15,0.0,0.0
335,73.0,15,15,0.0,0.0
336,74.0,29,15,0.0,0.0
337,52.0,0,120,1.0,0.0
338,74.0,30,30,0.0,0.0
339,73.0,60,30,0.0,0.0
340,73.0,60,60,0.0,0.0
341,49.0,0,120,1.0,0.0
342,64.0,30,30,0.0,0.0
343,69.0,30,30,0.0,0.0
344,73.0,30,30,0.0,0.0
345,73.0,30,30,0.0,0.0
346,50.0,69,120,1.0,0.0
347,71.0,60,30,0.0,0.0
348,71.0,0,60,0.0,0.0
349,54.0,0,120,1.0,0.0
350,71.0,7,15,0.0,0.0
351,73.0,15,15,0.0,0.0
352,74.0,29,15,0.0,0.0
353,52.0,60,120,1.0,0.0
354,74.0,30,30,0.0,0.0
355,73.0,60,30,0.0,0.0
356,73.0,0,60,0.0,0.0
357,49.0,30,120,1.0,0.0
358,64.0,30,30,0.0,0.0
359,69.0,30,30,0.0,0.0
360,73.0,0,30,0.0,0.0
361,73.0,30,30,0.0,0.0
362,50.0,60,120,1.0,0.0
363,71.0,30,30,0.0,0.0
364,74.0,30,30,0.0,0.0
365,71.0,0,30,0.0,0.0
366,69.0,21,60,0.0,0.0
367,52.0,0,60,1.0,0.0
368,68.0,20,20,0.0,0.0
369,40.0,1,60,1.0,0.0
370,69.0,19,20,0.0,0.0
371,68.0,119,20,0.0,0.0
372,45.0,0,120,1.0,0.0
373,69.0,60,120,0.0,0.0
374,49.0,0,120,1.0,0.0
375,64.0,30,30,0.0,0.0
376,69.0,30,30,0.0,0.0
377,73.0,30,30,0.0,0.0
378,73.0,30,30,0.0,0.0
379,50.0,69,120,1.0,0.0
380,71.0,60,30,0.0,0.0
381,71.0,0,60,0.0,0.0
382,54.0,30,120,1.0,0.0
383,71.0,7,15,0.0,0.0
384,73.0,15,15,0.0,0.0
385,74.0,29,15,0.0,0.0
386,74.0,30,30,0.0,0.0
387,52.0,60,120,1.0,0.0
388,73.0,60,30,0.0,0.0
389,73.0,0,60,0.0,0.0
390,49.0,0,120,1.0,0.0
391,64.0,30,30,0.0,0.0
392,69.0,30,30,0.0,0.0
393,73.0,30,30,0.0,0.0
394,73.0,30,30,0.0,0.0
395,50.0,0,120,1.0,0.0
396,71.0,60,30,0.0,0.0
397,71.0,69,60,0.0,0.0
398,54.0,30,120,1.0,0.0
399,71.0,7,15,0.0,0.0
400,73.0,15,15,0.0,0.0
401,74.0,29,15,0.0,0.0
402,74.0,30,30,0.0,0.0
403,52.0,0,120,1.0,0.0
404,73.0,60,30,0.0,0.0
405,73.0,60,60,0.0,0.0
406,49.0,0,120,1.0,0.0
407,64.0,30,30,0.0,0.0
408,69.0,30,30,0.0,0.0
409,73.0,30,30,0.0,0.0
410,50.0,30,60,1.0,0.0
411,73.0,30,30,0.0,0.0
412,71.0,0,30,0.0,0.0
413,74.0,30,30,0.0,0.0
414,54.0,60,60,1.0,0.0
415,71.0,0,30,0.0,0.0
416,69.0,60,60,0.0,0.0
417,52.0,0,60,1.0,0.0
418,40.0,0,60,1.0,0.0
