,note,step,duration,channel,velocity
0,60.0,486,3540,0.0,64.0
1,48.0,172,2010,0.0,64.0
2,36.0,1366,2160,0.0,64.0
3,63.0,452,1020,0.0,64.0
4,51.0,14,510,0.0,64.0
5,39.0,458,540,0.0,64.0
6,42.0,16,600,0.0,64.0
7,66.0,356,870,0.0,64.0
8,54.0,254,600,0.0,64.0
9,67.0,326,840,0.0,64.0
10,55.0,98,450,0.0,64.0
11,43.0,272,540,0.0,64.0
12,68.0,354,1020,0.0,64.0
13,56.0,162,420,0.0,64.0
14,44.0,428,570,0.0,64.0
15,60.0,678,960,0.0,64.0
16,48.0,386,510,0.0,64.0
17,36.0,42,480,0.0,64.0
18,59.0,1480,780,0.0,64.0
19,47.0,74,660,0.0,64.0
20,35.0,32,630,0.0,64.0
21,75.0,260,750,0.0,64.0
22,72.0,13,750,0.0,64.0
23,66.0,5,720,0.0,64.0
24,74.0,826,300,0.0,64.0
25,67.0,16,270,0.0,64.0
26,71.0,16,240,0.0,64.0
27,78.0,970,690,0.0,64.0
28,68.0,126,330,0.0,64.0
29,72.0,196,450,0.0,64.0
30,79.0,24,690,0.0,64.0
31,71.0,2,660,0.0,64.0
32,67.0,3990,660,0.0,64.0
33,58.0,360,3210,0.0,64.0
34,46.0,630,1500,0.0,64.0
35,34.0,1082,2130,0.0,64.0
36,61.0,323,810,0.0,64.0
37,49.0,298,480,0.0,64.0
38,37.0,12,450,0.0,64.0
39,64.0,207,390,0.0,64.0
40,40.0,14,990,0.0,64.0
41,52.0,196,990,0.0,64.0
42,65.0,74,210,0.0,64.0
43,64.0,128,120,0.0,64.0
44,62.0,196,150,0.0,64.0
45,64.0,180,420,0.0,64.0
46,65.0,404,540,0.0,64.0
47,41.0,292,240,0.0,64.0
48,53.0,2,210,0.0,64.0
49,67.0,278,1020,0.0,64.0
50,43.0,512,480,0.0,64.0
51,58.0,638,1050,0.0,64.0
52,34.0,426,570,0.0,64.0
53,46.0,112,450,0.0,64.0
54,45.0,68,750,0.0,64.0
55,33.0,1462,960,0.0,64.0
56,57.0,120,810,0.0,64.0
57,73.0,34,780,0.0,64.0
58,70.0,308,810,0.0,64.0
59,64.0,18,720,0.0,64.0
60,72.0,896,390,0.0,64.0
61,69.0,30,330,0.0,64.0
62,65.0,20,330,0.0,64.0
