,note,step,duration,channel,velocity
0,77.0,36,120,0.0,0.0
1,53.0,48,30,1.0,0.0
2,53.0,5,30,1.0,0.0
3,76.0,7,20,0.0,0.0
4,53.0,17,30,1.0,0.0
5,74.0,27,20,0.0,0.0
6,74.0,52,20,0.0,0.0
7,72.0,24,120,0.0,0.0
8,53.0,48,30,1.0,0.0
9,53.0,17,30,1.0,0.0
10,53.0,17,30,1.0,0.0
11,70.0,7,20,0.0,0.0
12,69.0,9,20,0.0,0.0
13,72.0,6,15,0.0,0.0
14,70.0,6,15,0.0,0.0
15,72.0,6,15,0.0,0.0
16,70.0,6,15,0.0,0.0
17,72.0,6,15,0.0,0.0
18,70.0,6,15,0.0,0.0
19,72.0,6,15,0.0,0.0
20,70.0,6,15,0.0,0.0
21,72.0,6,15,0.0,0.0
22,50.0,8,30,1.0,0.0
23,70.0,6,15,0.0,0.0
24,72.0,6,15,0.0,0.0
25,70.0,4,15,0.0,0.0
26,69.0,12,15,0.0,0.0
27,70.0,28,15,0.0,0.0
28,72.0,28,40,0.0,0.0
29,52.0,20,30,1.0,0.0
30,52.0,20,30,1.0,0.0
31,70.0,48,40,0.0,0.0
32,68.0,48,40,0.0,0.0
33,69.0,0,40,0.0,0.0
34,53.0,48,40,1.0,0.0
35,48.0,28,40,1.0,0.0
36,45.0,48,30,1.0,0.0
37,41.0,48,30,1.0,0.0
38,65.0,96,180,0.0,0.0
39,53.0,48,30,1.0,0.0
40,57.0,48,30,1.0,0.0
41,53.0,0,30,1.0,0.0
42,67.0,0,180,0.0,0.0
43,48.0,48,30,1.0,0.0
44,52.0,48,30,1.0,0.0
45,48.0,92,30,1.0,0.0
46,69.0,24,60,0.0,0.0
47,53.0,24,90,1.0,0.0
48,70.0,0,20,0.0,0.0
49,72.0,24,20,0.0,0.0
50,57.0,24,90,1.0,0.0
51,74.0,24,20,0.0,0.0
52,76.0,24,20,0.0,0.0
53,77.0,0,20,0.0,0.0
54,55.0,0,90,1.0,0.0
55,79.0,24,20,0.0,0.0
56,77.0,24,20,0.0,0.0
57,76.0,24,20,0.0,0.0
58,74.0,48,20,0.0,0.0
59,48.0,3,60,1.0,0.0
60,72.0,6,40,0.0,0.0
61,72.0,3,15,0.0,0.0
62,70.0,6,15,0.0,0.0
63,72.0,6,15,0.0,0.0
64,70.0,6,15,0.0,0.0
65,72.0,6,15,0.0,0.0
66,70.0,6,15,0.0,0.0
67,72.0,5,15,0.0,0.0
68,70.0,29,15,0.0,0.0
69,69.0,10,90,0.0,0.0
70,53.0,58,30,1.0,0.0
71,57.0,24,40,1.0,0.0
72,60.0,24,20,1.0,0.0
73,57.0,24,20,1.0,0.0
74,58.0,24,20,1.0,0.0
75,55.0,6,20,1.0,0.0
76,53.0,0,40,1.0,0.0
77,67.0,6,15,0.0,0.0
78,65.0,6,15,0.0,0.0
79,67.0,6,15,0.0,0.0
80,65.0,6,15,0.0,0.0
81,67.0,6,15,0.0,0.0
82,65.0,6,15,0.0,0.0
83,67.0,6,15,0.0,0.0
84,65.0,6,15,0.0,0.0
85,67.0,6,15,0.0,0.0
86,41.0,2,30,1.0,0.0
87,65.0,6,15,0.0,0.0
88,67.0,6,15,0.0,0.0
89,65.0,4,15,0.0,0.0
90,67.0,6,15,0.0,0.0
91,65.0,6,15,0.0,0.0
92,67.0,6,15,0.0,0.0
93,65.0,6,15,0.0,0.0
94,67.0,6,15,0.0,0.0
95,45.0,2,30,1.0,0.0
96,65.0,6,15,0.0,0.0
97,67.0,6,15,0.0,0.0
98,65.0,4,15,0.0,0.0
99,67.0,6,15,0.0,0.0
100,65.0,6,15,0.0,0.0
101,67.0,6,15,0.0,0.0
102,65.0,24,15,0.0,0.0
103,41.0,17,30,1.0,0.0
104,64.0,4,20,0.0,0.0
105,65.0,9,20,0.0,0.0
106,69.0,6,15,0.0,0.0
107,67.0,6,15,0.0,0.0
108,69.0,6,15,0.0,0.0
109,67.0,6,15,0.0,0.0
110,69.0,6,15,0.0,0.0
111,67.0,6,15,0.0,0.0
112,69.0,6,15,0.0,0.0
113,67.0,6,15,0.0,0.0
114,48.0,2,30,1.0,0.0
115,69.0,6,15,0.0,0.0
116,67.0,6,15,0.0,0.0
117,69.0,6,15,0.0,0.0
118,67.0,4,15,0.0,0.0
119,69.0,6,15,0.0,0.0
120,67.0,6,15,0.0,0.0
121,69.0,6,15,0.0,0.0
122,67.0,6,15,0.0,0.0
123,52.0,2,30,1.0,0.0
124,69.0,6,15,0.0,0.0
125,67.0,6,15,0.0,0.0
126,69.0,6,15,0.0,0.0
127,67.0,4,15,0.0,0.0
128,69.0,6,15,0.0,0.0
129,67.0,6,15,0.0,0.0
130,69.0,6,15,0.0,0.0
131,67.0,24,15,0.0,0.0
132,65.0,4,20,0.0,0.0
133,48.0,20,30,1.0,0.0
134,67.0,72,20,0.0,0.0
135,69.0,24,60,0.0,0.0
136,53.0,16,90,1.0,0.0
137,70.0,0,20,0.0,0.0
138,72.0,16,15,0.0,0.0
139,57.0,7,60,1.0,0.0
140,74.0,16,15,0.0,0.0
141,76.0,9,15,0.0,0.0
142,77.0,16,15,0.0,0.0
143,79.0,14,15,0.0,0.0
144,81.0,23,15,0.0,0.0
145,55.0,21,90,1.0,0.0
146,82.0,24,20,0.0,0.0
147,81.0,24,20,0.0,0.0
148,79.0,24,20,0.0,0.0
149,77.0,3,20,0.0,0.0
150,76.0,24,20,0.0,0.0
151,48.0,48,90,1.0,0.0
152,74.0,24,20,0.0,0.0
153,72.0,24,20,0.0,0.0
154,70.0,3,20,0.0,0.0
155,69.0,28,40,0.0,0.0
156,53.0,20,30,1.0,0.0
157,72.0,28,40,0.0,0.0
158,53.0,48,30,1.0,0.0
159,53.0,15,30,1.0,0.0
160,72.0,53,40,0.0,0.0
161,72.0,28,40,0.0,0.0
162,53.0,20,30,1.0,0.0
163,77.0,28,40,0.0,0.0
164,53.0,48,30,1.0,0.0
165,53.0,15,30,1.0,0.0
166,77.0,65,40,0.0,0.0
167,47.0,5,120,1.0,0.0
168,77.0,12,60,0.0,0.0
169,79.0,12,15,0.0,0.0
170,81.0,12,15,0.0,0.0
171,79.0,19,15,0.0,0.0
172,77.0,67,20,0.0,0.0
173,69.0,134,40,0.0,0.0
174,72.0,27,120,0.0,0.0
175,48.0,20,210,1.0,0.0
176,70.0,12,15,0.0,0.0
177,69.0,12,15,0.0,0.0
178,67.0,12,15,0.0,0.0
179,69.0,28,15,0.0,0.0
180,67.0,220,40,0.0,0.0
181,60.0,96,180,0.0,0.0
182,48.0,48,30,1.0,0.0
183,48.0,48,30,1.0,0.0
184,48.0,0,30,1.0,0.0
185,58.0,0,180,0.0,0.0
186,50.0,48,30,1.0,0.0
187,50.0,48,30,1.0,0.0
188,50.0,96,30,1.0,0.0
189,76.0,0,180,0.0,0.0
190,46.0,48,30,1.0,0.0
191,46.0,48,30,1.0,0.0
192,46.0,77,30,1.0,0.0
193,45.0,53,60,1.0,0.0
194,77.0,18,120,0.0,0.0
195,81.0,16,15,0.0,0.0
196,79.0,16,15,0.0,0.0
197,77.0,16,15,0.0,0.0
198,76.0,16,15,0.0,0.0
199,74.0,48,15,0.0,0.0
200,72.0,144,40,0.0,0.0
201,75.0,96,90,0.0,0.0
202,57.0,48,90,1.0,0.0
203,73.0,0,90,0.0,0.0
204,58.0,28,90,1.0,0.0
205,74.0,6,40,0.0,0.0
206,76.0,6,15,0.0,0.0
207,74.0,6,15,0.0,0.0
208,73.0,6,15,0.0,0.0
209,74.0,24,15,0.0,0.0
210,76.0,0,20,0.0,0.0
211,59.0,20,30,1.0,0.0
212,77.0,105,40,0.0,0.0
213,69.0,31,90,0.0,0.0
214,60.0,29,60,1.0,0.0
215,72.0,24,20,0.0,0.0
216,48.0,12,60,1.0,0.0
217,70.0,12,20,0.0,0.0
218,69.0,24,20,0.0,0.0
219,67.0,89,20,0.0,0.0
220,65.0,10,90,0.0,0.0
221,53.0,48,90,1.0,0.0
222,57.0,0,90,1.0,0.0
223,65.0,24,20,0.0,0.0
224,67.0,24,20,0.0,0.0
225,69.0,24,15,0.0,0.0
226,55.0,48,90,1.0,0.0
227,70.0,24,20,0.0,0.0
228,66.0,24,20,0.0,0.0
229,67.0,0,20,0.0,0.0
230,58.0,24,90,1.0,0.0
231,67.0,24,20,0.0,0.0
232,69.0,24,20,0.0,0.0
