,note,step,duration,channel,velocity
0,36.0,1,120,3.0,0.0
1,24.0,113,120,4.0,0.0
2,67.0,2,20,0.0,0.0
3,63.0,1,20,1.0,0.0
4,60.0,8,20,2.0,0.0
5,75.0,2,210,0.0,0.0
6,72.0,8,210,1.0,0.0
7,67.0,24,330,2.0,0.0
8,48.0,1,20,3.0,0.0
9,36.0,80,20,4.0,0.0
10,55.0,1,90,3.0,0.0
11,43.0,23,90,4.0,0.0
12,74.0,2,20,0.0,0.0
13,71.0,3,20,1.0,0.0
14,53.0,1,20,3.0,0.0
15,41.0,85,20,4.0,0.0
16,72.0,2,90,0.0,0.0
17,72.0,3,90,1.0,0.0
18,51.0,1,120,3.0,0.0
19,39.0,119,120,4.0,0.0
20,67.0,2,20,0.0,0.0
21,60.0,1,20,1.0,0.0
22,63.0,8,20,2.0,0.0
23,79.0,2,210,0.0,0.0
24,75.0,1,210,1.0,0.0
25,60.0,7,210,2.0,0.0
26,51.0,1,30,3.0,0.0
27,39.0,74,30,4.0,0.0
28,43.0,1,90,3.0,0.0
29,31.0,23,90,4.0,0.0
30,77.0,2,20,0.0,0.0
31,74.0,1,20,1.0,0.0
32,55.0,2,20,2.0,0.0
33,47.0,1,20,3.0,0.0
34,35.0,85,20,4.0,0.0
35,75.0,2,90,0.0,0.0
36,72.0,1,90,1.0,0.0
37,67.0,26,90,2.0,0.0
38,48.0,1,120,3.0,0.0
39,36.0,113,120,4.0,0.0
40,72.0,2,20,0.0,0.0
41,67.0,1,20,1.0,0.0
42,63.0,8,20,2.0,0.0
43,84.0,2,210,0.0,0.0
44,75.0,1,210,1.0,0.0
45,67.0,7,210,2.0,0.0
46,55.0,1,20,3.0,0.0
47,43.0,80,20,4.0,0.0
48,48.0,1,90,3.0,0.0
49,36.0,23,90,4.0,0.0
50,82.0,2,20,0.0,0.0
51,79.0,1,20,1.0,0.0
52,60.0,2,20,2.0,0.0
53,52.0,1,20,3.0,0.0
54,40.0,90,20,4.0,0.0
55,80.0,2,90,0.0,0.0
56,77.0,1,90,1.0,0.0
57,72.0,2,90,2.0,0.0
58,53.0,1,90,3.0,0.0
59,41.0,114,90,4.0,0.0
60,79.0,2,90,0.0,0.0
61,75.0,1,90,1.0,0.0
62,72.0,2,90,2.0,0.0
63,48.0,1,90,3.0,0.0
64,36.0,234,90,4.0,0.0
65,61.0,25,90,0.0,0.0
66,60.0,95,30,0.0,0.0
67,61.0,25,90,0.0,0.0
68,60.0,95,30,0.0,0.0
69,61.0,25,90,0.0,0.0
70,60.0,60,30,0.0,0.0
71,61.0,55,120,0.0,0.0
