,note,step,duration,channel,velocity
0,38.0,20,130,8.0,0.0
1,74.0,34,86,4.0,0.0
2,65.0,2,684,13.0,0.0
3,50.0,8,114,7.0,0.0
4,69.0,2,676,12.0,0.0
5,74.0,2,712,11.0,0.0
6,65.0,2,678,0.0,0.0
7,62.0,12,678,14.0,0.0
8,65.0,6,34,5.0,0.0
9,57.0,2,44,6.0,0.0
10,74.0,4,658,0.0,0.0
11,50.0,6,36,3.0,0.0
12,38.0,20,38,3.0,0.0
13,74.0,18,556,2.0,0.0
14,62.0,38,512,2.0,0.0
15,62.0,2,686,1.0,0.0
16,65.0,70,690,1.0,0.0
17,65.0,2,34,5.0,0.0
18,69.0,6,36,4.0,0.0
19,62.0,82,40,6.0,0.0
20,41.0,4,88,8.0,0.0
21,53.0,34,90,7.0,0.0
22,65.0,6,34,5.0,0.0
23,62.0,6,34,6.0,0.0
24,69.0,34,32,4.0,0.0
25,65.0,10,36,5.0,0.0
26,62.0,18,34,6.0,0.0
27,69.0,70,34,4.0,0.0
28,57.0,14,72,7.0,0.0
29,45.0,46,84,8.0,0.0
30,65.0,16,34,5.0,0.0
31,62.0,10,36,6.0,0.0
32,69.0,10,32,4.0,0.0
33,65.0,6,34,5.0,0.0
34,62.0,20,38,6.0,0.0
35,69.0,4,32,4.0,0.0
36,62.0,20,50,6.0,0.0
37,65.0,10,26,5.0,0.0
38,62.0,22,78,7.0,0.0
39,50.0,2,108,8.0,0.0
40,69.0,26,32,4.0,0.0
41,65.0,2,34,5.0,0.0
42,62.0,12,52,6.0,0.0
43,69.0,4,38,4.0,0.0
44,57.0,10,38,6.0,0.0
45,69.0,2,694,12.0,0.0
46,38.0,0,156,8.0,0.0
47,65.0,20,38,5.0,0.0
48,65.0,0,682,13.0,0.0
49,74.0,48,62,4.0,0.0
50,50.0,22,108,7.0,0.0
51,62.0,12,658,14.0,0.0
52,69.0,2,682,0.0,0.0
53,62.0,8,704,1.0,0.0
54,65.0,10,668,0.0,0.0
55,50.0,6,36,3.0,0.0
56,38.0,2,40,3.0,0.0
57,69.0,8,628,11.0,0.0
58,74.0,4,490,2.0,0.0
59,65.0,4,678,1.0,0.0
60,62.0,12,478,2.0,0.0
61,65.0,18,32,5.0,0.0
62,62.0,2,38,6.0,0.0
63,69.0,74,36,4.0,0.0
64,41.0,12,74,8.0,0.0
65,53.0,50,86,7.0,0.0
66,65.0,10,30,5.0,0.0
67,62.0,6,34,6.0,0.0
68,69.0,16,34,4.0,0.0
69,62.0,2,32,6.0,0.0
70,65.0,12,34,5.0,0.0
71,69.0,90,42,4.0,0.0
72,45.0,70,68,8.0,0.0
73,57.0,2,54,7.0,0.0
74,69.0,2,38,4.0,0.0
75,65.0,0,34,5.0,0.0
76,62.0,12,32,6.0,0.0
77,69.0,0,40,4.0,0.0
78,62.0,84,32,6.0,0.0
79,65.0,2,30,5.0,0.0
80,50.0,36,60,8.0,0.0
81,62.0,4,56,7.0,0.0
82,69.0,4,46,4.0,0.0
83,62.0,4,38,6.0,0.0
84,65.0,0,32,5.0,0.0
85,62.0,2,38,6.0,0.0
86,65.0,14,34,5.0,0.0
87,69.0,46,52,4.0,0.0
88,57.0,26,26,6.0,0.0
89,38.0,104,88,8.0,0.0
90,50.0,16,58,7.0,0.0
91,69.0,12,206,12.0,0.0
92,67.0,20,32,5.0,0.0
93,76.0,2,66,4.0,0.0
94,67.0,42,1466,1.0,0.0
95,67.0,154,224,13.0,0.0
96,76.0,6,1458,0.0,0.0
97,64.0,0,1458,1.0,0.0
98,67.0,2,1408,0.0,0.0
99,62.0,32,166,14.0,0.0
100,76.0,12,198,11.0,0.0
101,67.0,32,210,5.0,0.0
102,64.0,4,266,6.0,0.0
103,50.0,4,222,8.0,0.0
104,62.0,16,226,7.0,0.0
105,69.0,14,228,4.0,0.0
106,69.0,8,104,12.0,0.0
107,67.0,94,138,13.0,0.0
108,50.0,2,44,3.0,0.0
109,38.0,4,34,3.0,0.0
110,69.0,2,198,11.0,0.0
111,62.0,18,84,14.0,0.0
112,69.0,16,64,2.0,0.0
113,62.0,2,50,2.0,0.0
114,67.0,4,232,5.0,0.0
115,50.0,6,224,8.0,0.0
116,64.0,102,314,6.0,0.0
117,50.0,16,24,3.0,0.0
118,62.0,4,246,7.0,0.0
119,38.0,28,36,3.0,0.0
120,69.0,0,242,4.0,0.0
121,69.0,4,44,2.0,0.0
122,62.0,132,48,2.0,0.0
123,50.0,6,20,3.0,0.0
124,38.0,28,24,3.0,0.0
125,62.0,8,44,2.0,0.0
126,69.0,44,48,2.0,0.0
127,67.0,4,228,5.0,0.0
128,50.0,12,246,8.0,0.0
129,64.0,114,278,6.0,0.0
130,62.0,2,250,7.0,0.0
131,62.0,150,52,2.0,0.0
132,69.0,2,262,4.0,0.0
133,50.0,6,20,3.0,0.0
134,69.0,4,46,2.0,0.0
135,38.0,20,18,3.0,0.0
136,50.0,6,20,3.0,0.0
137,62.0,22,52,2.0,0.0
138,38.0,14,22,3.0,0.0
139,69.0,0,50,2.0,0.0
140,67.0,2,26,5.0,0.0
141,64.0,12,80,6.0,0.0
142,50.0,10,20,3.0,0.0
143,38.0,30,24,3.0,0.0
144,50.0,8,78,8.0,0.0
145,62.0,6,56,2.0,0.0
146,62.0,6,48,7.0,0.0
147,69.0,2,52,2.0,0.0
148,69.0,48,76,4.0,0.0
149,67.0,14,18,5.0,0.0
150,49.0,4,126,7.0,0.0
151,37.0,24,132,8.0,0.0
152,69.0,6,702,12.0,0.0
153,57.0,52,38,6.0,0.0
154,76.0,24,84,4.0,0.0
155,33.0,6,26,3.0,0.0
156,45.0,10,16,3.0,0.0
157,61.0,4,678,14.0,0.0
158,67.0,8,694,13.0,0.0
159,76.0,2,736,11.0,0.0
160,67.0,22,696,0.0,0.0
161,57.0,2,296,2.0,0.0
162,69.0,68,304,2.0,0.0
163,76.0,2,712,0.0,0.0
164,64.0,52,708,1.0,0.0
165,61.0,4,672,1.0,0.0
166,67.0,8,34,5.0,0.0
167,57.0,2,42,6.0,0.0
168,69.0,54,40,4.0,0.0
169,40.0,2,92,8.0,0.0
170,67.0,16,18,5.0,0.0
171,52.0,24,92,7.0,0.0
172,57.0,34,32,6.0,0.0
173,69.0,22,36,4.0,0.0
174,57.0,16,38,6.0,0.0
175,67.0,18,20,5.0,0.0
176,69.0,6,36,4.0,0.0
177,57.0,12,84,7.0,0.0
178,45.0,26,90,8.0,0.0
179,57.0,20,34,6.0,0.0
180,67.0,6,24,5.0,0.0
181,69.0,22,32,4.0,0.0
182,57.0,20,14,6.0,0.0
183,67.0,26,22,5.0,0.0
184,69.0,68,40,4.0,0.0
185,61.0,6,118,7.0,0.0
186,57.0,2,32,6.0,0.0
187,49.0,0,102,8.0,0.0
188,69.0,48,50,4.0,0.0
189,67.0,26,18,5.0,0.0
190,57.0,16,32,6.0,0.0
191,67.0,2,20,5.0,0.0
