,note,step,duration,channel,velocity
0,79.0,120,72,10.0,0.0
1,80.0,168,72,10.0,0.0
2,67.0,0,120,11.0,0.0
3,82.0,72,120,10.0,0.0
4,70.0,72,120,11.0,0.0
5,80.0,48,72,10.0,0.0
6,67.0,72,120,11.0,0.0
7,79.0,48,72,10.0,0.0
8,70.0,120,120,11.0,0.0
9,77.0,48,72,10.0,0.0
10,75.0,96,144,10.0,0.0
11,67.0,24,120,11.0,0.0
12,70.0,120,120,11.0,0.0
13,77.0,72,144,10.0,0.0
14,67.0,24,120,11.0,0.0
15,70.0,144,96,11.0,0.0
16,70.0,24,576,10.0,0.0
17,68.0,120,120,11.0,0.0
18,70.0,120,120,11.0,0.0
19,68.0,120,120,11.0,0.0
20,70.0,96,120,11.0,0.0
21,68.0,120,120,11.0,0.0
22,70.0,96,120,11.0,0.0
23,72.0,24,96,10.0,0.0
24,68.0,96,120,11.0,0.0
25,74.0,144,96,10.0,0.0
26,70.0,0,96,11.0,0.0
27,75.0,72,120,10.0,0.0
28,67.0,0,120,11.0,0.0
29,70.0,72,120,11.0,0.0
30,74.0,48,72,10.0,0.0
31,67.0,72,120,11.0,0.0
32,72.0,48,72,10.0,0.0
33,70.0,48,72,10.0,0.0
34,70.0,96,120,11.0,0.0
35,68.0,24,96,10.0,0.0
36,62.0,96,120,11.0,0.0
37,70.0,96,120,11.0,0.0
38,67.0,24,96,10.0,0.0
39,62.0,96,120,11.0,0.0
40,68.0,24,96,10.0,0.0
41,70.0,0,96,10.0,0.0
42,70.0,144,96,11.0,0.0
43,63.0,120,120,11.0,0.0
44,67.0,24,576,10.0,0.0
45,70.0,120,120,11.0,0.0
46,63.0,120,120,11.0,0.0
47,70.0,96,120,11.0,0.0
48,63.0,120,120,11.0,0.0
49,70.0,96,120,11.0,0.0
50,63.0,96,120,11.0,0.0
51,68.0,24,96,10.0,0.0
52,70.0,0,96,11.0,0.0
53,70.0,144,96,10.0,0.0
54,56.0,72,120,11.0,0.0
55,72.0,48,192,10.0,0.0
56,65.0,96,120,11.0,0.0
57,74.0,24,96,10.0,0.0
58,56.0,96,120,11.0,0.0
59,65.0,120,120,11.0,0.0
60,75.0,24,96,10.0,0.0
61,77.0,0,120,10.0,0.0
62,56.0,96,120,11.0,0.0
63,79.0,24,96,10.0,0.0
64,65.0,72,120,11.0,0.0
65,80.0,48,72,10.0,0.0
66,56.0,72,120,11.0,0.0
67,65.0,144,96,11.0,0.0
68,77.0,24,72,10.0,0.0
69,75.0,0,120,10.0,0.0
70,56.0,96,120,11.0,0.0
71,74.0,24,96,10.0,0.0
72,65.0,72,120,11.0,0.0
73,56.0,72,120,11.0,0.0
74,72.0,48,72,10.0,0.0
75,65.0,120,120,11.0,0.0
76,70.0,48,72,10.0,0.0
77,56.0,72,120,11.0,0.0
78,75.0,48,192,10.0,0.0
79,63.0,96,120,11.0,0.0
80,77.0,24,96,10.0,0.0
81,56.0,96,120,11.0,0.0
82,79.0,144,96,10.0,0.0
83,63.0,0,96,11.0,0.0
84,80.0,96,144,10.0,0.0
85,62.0,24,120,11.0,0.0
86,70.0,120,120,11.0,0.0
87,62.0,24,120,11.0,0.0
88,80.0,96,144,10.0,0.0
89,70.0,120,120,11.0,0.0
90,79.0,96,144,10.0,0.0
91,63.0,24,120,11.0,0.0
92,70.0,120,120,11.0,0.0
93,79.0,72,144,10.0,0.0
94,63.0,24,120,11.0,0.0
95,70.0,144,96,11.0,0.0
96,77.0,96,120,10.0,0.0
97,58.0,48,384,11.0,0.0
98,74.0,96,96,10.0,0.0
99,75.0,72,72,10.0,0.0
100,72.0,192,72,10.0,0.0
101,70.0,168,144,10.0,0.0
102,79.0,120,72,10.0,0.0
103,67.0,0,72,11.0,0.0
104,80.0,0,72,10.0,0.0
105,68.0,168,72,11.0,0.0
106,43.0,0,192,14.0,0.0
107,70.0,0,120,11.0,0.0
108,55.0,0,120,12.0,0.0
109,55.0,0,768,3.0,0.0
110,75.0,0,384,4.0,0.0
111,63.0,72,768,3.0,0.0
112,75.0,0,720,1.0,0.0
113,87.0,0,720,0.0,0.0
114,82.0,72,120,10.0,0.0
115,63.0,48,384,4.0,0.0
116,51.0,0,384,5.0,0.0
117,63.0,0,720,2.0,0.0
118,55.0,0,120,13.0,0.0
119,68.0,0,72,11.0,0.0
120,80.0,48,72,10.0,0.0
121,58.0,72,120,12.0,0.0
122,58.0,0,120,13.0,0.0
123,79.0,0,72,10.0,0.0
124,55.0,0,120,13.0,0.0
125,67.0,48,72,11.0,0.0
126,55.0,24,120,12.0,0.0
127,43.0,0,192,14.0,0.0
128,77.0,48,72,10.0,0.0
