,note,step,duration,channel,velocity
0,61.0,120.0,60.0,0.0,64.0
1,49.0,72.0,180.0,0.0,64.0
2,61.0,18.0,60.0,0.0,64.0
3,53.0,6.0,120.0,0.0,64.0
4,63.0,30.0,20.0,0.0,64.0
5,61.0,30.0,20.0,0.0,64.0
6,63.0,24.0,20.0,0.0,64.0
7,61.0,30.0,20.0,0.0,64.0
8,63.0,30.0,20.0,0.0,64.0
9,61.0,30.0,20.0,0.0,64.0
10,63.0,30.0,20.0,0.0,64.0
11,61.0,30.0,20.0,0.0,64.0
12,49.0,6.0,120.0,0.0,64.0
13,63.0,30.0,20.0,0.0,64.0
14,61.0,30.0,20.0,0.0,64.0
15,63.0,24.0,20.0,0.0,64.0
16,61.0,54.0,20.0,0.0,64.0
17,60.0,60.0,40.0,0.0,64.0
18,61.0,204.0,40.0,0.0,64.0
19,48.0,96.0,180.0,0.0,64.0
20,63.0,60.0,300.0,0.0,64.0
21,44.0,60.0,120.0,0.0,64.0
22,65.0,60.0,40.0,0.0,64.0
23,66.0,120.0,40.0,0.0,64.0
24,65.0,112.0,180.0,0.0,64.0
25,49.0,84.0,120.0,0.0,64.0
26,54.0,32.0,180.0,0.0,64.0
27,70.0,80.0,60.0,0.0,64.0
28,68.0,48.0,60.0,0.0,64.0
29,66.0,124.0,60.0,0.0,64.0
30,65.0,72.0,180.0,0.0,64.0
31,56.0,84.0,120.0,0.0,64.0
32,65.0,30.0,20.0,0.0,64.0
33,44.0,6.0,120.0,0.0,64.0
34,63.0,30.0,20.0,0.0,64.0
35,65.0,24.0,20.0,0.0,64.0
36,63.0,54.0,20.0,0.0,64.0
37,61.0,60.0,40.0,0.0,64.0
38,60.0,120.0,40.0,0.0,64.0
39,61.0,156.0,180.0,0.0,64.0
40,49.0,84.0,120.0,0.0,64.0
41,44.0,240.0,120.0,0.0,64.0
42,37.0,228.0,120.0,0.0,64.0
43,51.0,30.0,390.0,0.0,64.0
44,63.0,78.0,90.0,0.0,64.0
45,73.0,162.0,60.0,0.0,64.0
46,73.0,48.0,90.0,0.0,64.0
47,70.0,162.0,60.0,0.0,64.0
48,70.0,78.0,90.0,0.0,64.0
49,49.0,336.0,180.0,0.0,64.0
50,67.0,18.0,60.0,0.0,64.0
51,48.0,132.0,330.0,0.0,64.0
52,68.0,36.0,300.0,0.0,64.0
53,72.0,132.0,90.0,0.0,64.0
54,75.0,228.0,120.0,0.0,64.0
55,63.0,78.0,90.0,0.0,64.0
56,51.0,30.0,390.0,0.0,64.0
57,73.0,162.0,60.0,0.0,64.0
58,73.0,48.0,90.0,0.0,64.0
59,70.0,162.0,60.0,0.0,64.0
60,49.0,336.0,180.0,0.0,64.0
61,70.0,78.0,90.0,0.0,64.0
62,67.0,18.0,60.0,0.0,64.0
63,68.0,36.0,300.0,0.0,64.0
64,48.0,132.0,330.0,0.0,64.0
65,72.0,132.0,90.0,0.0,64.0
66,75.0,196.0,120.0,0.0,64.0
67,77.0,80.0,60.0,0.0,64.0
68,49.0,4.0,180.0,0.0,64.0
69,73.0,48.0,60.0,0.0,64.0
70,70.0,108.0,40.0,0.0,64.0
71,75.0,44.0,60.0,0.0,64.0
72,51.0,36.0,120.0,0.0,64.0
73,72.0,52.0,60.0,0.0,64.0
74,68.0,108.0,40.0,0.0,64.0
75,73.0,44.0,60.0,0.0,64.0
76,39.0,36.0,120.0,0.0,64.0
77,70.0,52.0,60.0,0.0,64.0
78,67.0,140.0,40.0,0.0,64.0
79,44.0,156.0,180.0,0.0,64.0
80,67.0,96.0,90.0,0.0,64.0
81,68.0,150.0,510.0,0.0,64.0
82,39.0,240.0,120.0,0.0,64.0
83,32.0,36.0,120.0,0.0,64.0
84,61.0,120.0,60.0,0.0,64.0
85,49.0,72.0,180.0,0.0,64.0
86,61.0,18.0,60.0,0.0,64.0
87,63.0,30.0,20.0,0.0,64.0
88,53.0,6.0,120.0,0.0,64.0
89,61.0,30.0,20.0,0.0,64.0
90,63.0,24.0,20.0,0.0,64.0
91,61.0,30.0,20.0,0.0,64.0
92,63.0,30.0,20.0,0.0,64.0
93,61.0,30.0,20.0,0.0,64.0
94,63.0,30.0,20.0,0.0,64.0
95,61.0,30.0,20.0,0.0,64.0
96,49.0,6.0,120.0,0.0,64.0
97,63.0,30.0,20.0,0.0,64.0
98,61.0,30.0,20.0,0.0,64.0
99,63.0,24.0,20.0,0.0,64.0
100,61.0,54.0,20.0,0.0,64.0
101,60.0,60.0,40.0,0.0,64.0
102,61.0,204.0,40.0,0.0,64.0
103,48.0,96.0,180.0,0.0,64.0
104,63.0,60.0,300.0,0.0,64.0
105,44.0,60.0,120.0,0.0,64.0
106,65.0,60.0,40.0,0.0,64.0
107,66.0,120.0,40.0,0.0,64.0
108,65.0,112.0,180.0,0.0,64.0
109,49.0,84.0,120.0,0.0,64.0
110,70.0,80.0,60.0,0.0,64.0
111,54.0,32.0,180.0,0.0,64.0
