,note,step,duration,channel,velocity
0,62.0,0.0,90.0,2.0,64.0
1,46.0,0.0,90.0,8.0,64.0
2,65.0,0.0,90.0,1.0,64.0
3,62.0,0.0,90.0,7.0,64.0
4,70.0,0.0,90.0,5.0,64.0
5,34.0,0.0,90.0,4.0,64.0
6,65.0,480.0,90.0,6.0,64.0
7,46.0,0.0,90.0,3.0,64.0
8,34.0,0.0,90.0,10.0,64.0
9,70.0,0.0,90.0,0.0,64.0
10,65.0,0.0,90.0,7.0,64.0
11,74.0,0.0,90.0,5.0,64.0
12,34.0,0.0,90.0,8.0,64.0
13,22.0,0.0,90.0,4.0,64.0
14,74.0,0.0,90.0,0.0,64.0
15,65.0,0.0,90.0,2.0,64.0
16,22.0,0.0,90.0,10.0,64.0
17,34.0,0.0,90.0,3.0,64.0
18,70.0,0.0,90.0,1.0,64.0
19,70.0,480.0,90.0,6.0,64.0
20,27.0,0.0,90.0,4.0,64.0
21,39.0,0.0,90.0,8.0,64.0
22,39.0,960.0,90.0,3.0,64.0
23,63.0,0.0,90.0,2.0,64.0
24,27.0,0.0,90.0,10.0,64.0
25,63.0,0.0,90.0,7.0,64.0
26,67.0,0.0,90.0,6.0,64.0
27,72.0,0.0,90.0,0.0,64.0
28,72.0,0.0,90.0,5.0,64.0
29,67.0,0.0,90.0,1.0,64.0
30,36.0,0.0,90.0,8.0,64.0
31,67.0,0.0,90.0,1.0,64.0
32,24.0,0.0,90.0,4.0,64.0
33,36.0,0.0,90.0,3.0,64.0
34,60.0,0.0,90.0,2.0,64.0
35,75.0,0.0,90.0,0.0,64.0
36,75.0,0.0,90.0,5.0,64.0
37,67.0,0.0,90.0,6.0,64.0
38,60.0,480.0,90.0,7.0,64.0
39,24.0,0.0,90.0,10.0,64.0
40,63.0,0.0,90.0,6.0,64.0
41,69.0,0.0,90.0,0.0,64.0
42,29.0,0.0,90.0,10.0,64.0
43,69.0,0.0,90.0,5.0,64.0
44,63.0,0.0,90.0,1.0,64.0
45,60.0,0.0,90.0,2.0,64.0
46,41.0,0.0,90.0,8.0,64.0
47,60.0,480.0,90.0,7.0,64.0
48,29.0,0.0,90.0,4.0,64.0
49,41.0,0.0,90.0,3.0,64.0
50,70.0,0.0,90.0,5.0,64.0
51,62.0,0.0,90.0,6.0,64.0
52,34.0,0.0,90.0,3.0,64.0
53,62.0,0.0,90.0,1.0,64.0
54,70.0,0.0,90.0,0.0,64.0
55,22.0,0.0,90.0,4.0,64.0
56,22.0,0.0,90.0,10.0,64.0
57,58.0,0.0,90.0,7.0,64.0
58,34.0,0.0,90.0,8.0,64.0
59,58.0,960.0,90.0,2.0,64.0
60,46.0,0.0,90.0,3.0,64.0
61,46.0,0.0,240.0,8.0,64.0
62,34.0,85.0,240.0,10.0,64.0
63,77.0,0.0,960.0,0.0,64.0
64,77.0,80.0,960.0,5.0,64.0
65,62.0,0.0,240.0,6.0,64.0
66,58.0,0.0,90.0,2.0,64.0
67,34.0,0.0,90.0,4.0,64.0
68,62.0,155.0,90.0,1.0,64.0
69,58.0,0.0,240.0,7.0,64.0
70,34.0,0.0,240.0,10.0,64.0
71,46.0,0.0,90.0,3.0,64.0
72,58.0,0.0,240.0,7.0,64.0
73,62.0,155.0,90.0,1.0,64.0
74,34.0,0.0,90.0,4.0,64.0
75,58.0,0.0,90.0,2.0,64.0
76,62.0,0.0,240.0,6.0,64.0
77,46.0,85.0,240.0,8.0,64.0
78,58.0,0.0,90.0,2.0,64.0
79,34.0,0.0,90.0,4.0,64.0
80,58.0,0.0,240.0,7.0,64.0
81,62.0,0.0,90.0,1.0,64.0
82,34.0,0.0,240.0,10.0,64.0
83,62.0,0.0,240.0,6.0,64.0
84,46.0,155.0,90.0,3.0,64.0
85,46.0,85.0,240.0,8.0,64.0
86,46.0,0.0,240.0,8.0,64.0
87,58.0,155.0,90.0,2.0,64.0
88,62.0,0.0,90.0,1.0,64.0
89,34.0,0.0,240.0,10.0,64.0
90,58.0,5.0,240.0,7.0,64.0
91,34.0,0.0,90.0,4.0,64.0
92,46.0,0.0,90.0,3.0,64.0
93,62.0,0.0,240.0,6.0,64.0
94,58.0,0.0,240.0,7.0,64.0
95,34.0,0.0,90.0,4.0,64.0
96,58.0,155.0,90.0,2.0,64.0
97,46.0,0.0,90.0,3.0,64.0
98,46.0,0.0,240.0,8.0,64.0
99,34.0,0.0,240.0,10.0,64.0
100,75.0,80.0,240.0,0.0,64.0
101,62.0,0.0,90.0,1.0,64.0
102,62.0,5.0,240.0,6.0,64.0
103,75.0,0.0,240.0,5.0,64.0
