,note,step,duration,channel,velocity
0,56.0,0.0,180.0,0.0,64.0
1,61.0,0.0,180.0,0.0,64.0
2,68.0,0.0,180.0,0.0,64.0
3,49.0,0.0,180.0,0.0,64.0
4,65.0,0.0,180.0,0.0,64.0
5,37.0,240.0,180.0,0.0,64.0
6,44.0,240.0,180.0,0.0,64.0
7,65.0,0.0,180.0,0.0,64.0
8,68.0,0.0,180.0,0.0,64.0
9,41.0,240.0,180.0,0.0,64.0
10,68.0,0.0,180.0,0.0,64.0
11,65.0,0.0,180.0,0.0,64.0
12,68.0,120.0,300.0,0.0,64.0
13,65.0,0.0,300.0,0.0,64.0
14,37.0,96.0,180.0,0.0,64.0
15,25.0,36.0,180.0,0.0,64.0
16,70.0,24.0,60.0,0.0,64.0
17,68.0,36.0,60.0,0.0,64.0
18,67.0,30.0,20.0,0.0,64.0
19,68.0,54.0,20.0,0.0,64.0
20,65.0,60.0,60.0,0.0,64.0
21,63.0,60.0,60.0,0.0,64.0
22,61.0,108.0,60.0,0.0,64.0
23,53.0,96.0,90.0,0.0,64.0
24,73.0,24.0,180.0,0.0,64.0
25,49.0,0.0,90.0,0.0,64.0
26,49.0,0.0,90.0,0.0,64.0
27,53.0,120.0,90.0,0.0,64.0
28,49.0,96.0,90.0,0.0,64.0
29,54.0,0.0,90.0,0.0,64.0
30,51.0,0.0,90.0,0.0,64.0
31,72.0,24.0,180.0,0.0,64.0
32,49.0,0.0,90.0,0.0,64.0
33,51.0,120.0,90.0,0.0,64.0
34,54.0,0.0,90.0,0.0,64.0
35,49.0,0.0,90.0,0.0,64.0
36,53.0,0.0,90.0,0.0,64.0
37,71.0,24.0,180.0,0.0,64.0
38,56.0,96.0,90.0,0.0,64.0
39,49.0,120.0,90.0,0.0,64.0
40,53.0,0.0,90.0,0.0,64.0
41,56.0,0.0,90.0,0.0,64.0
42,54.0,96.0,90.0,0.0,64.0
43,49.0,0.0,90.0,0.0,64.0
44,58.0,0.0,90.0,0.0,64.0
45,70.0,24.0,180.0,0.0,64.0
46,49.0,0.0,90.0,0.0,64.0
47,54.0,0.0,90.0,0.0,64.0
48,58.0,120.0,90.0,0.0,64.0
49,58.0,0.0,90.0,0.0,64.0
50,49.0,120.0,90.0,0.0,64.0
51,54.0,0.0,90.0,0.0,64.0
52,58.0,120.0,90.0,0.0,64.0
53,54.0,0.0,90.0,0.0,64.0
54,49.0,0.0,90.0,0.0,64.0
55,49.0,0.0,90.0,0.0,64.0
56,58.0,0.0,90.0,0.0,64.0
57,54.0,120.0,90.0,0.0,64.0
58,49.0,120.0,90.0,0.0,64.0
59,54.0,0.0,90.0,0.0,64.0
60,58.0,0.0,90.0,0.0,64.0
61,51.0,0.0,90.0,0.0,64.0
62,49.0,0.0,90.0,0.0,64.0
63,60.0,120.0,90.0,0.0,64.0
64,68.0,0.0,90.0,0.0,64.0
65,49.0,0.0,90.0,0.0,64.0
66,51.0,0.0,90.0,0.0,64.0
67,60.0,0.0,90.0,0.0,64.0
68,66.0,120.0,90.0,0.0,64.0
69,49.0,96.0,90.0,0.0,64.0
70,51.0,0.0,90.0,0.0,64.0
71,66.0,24.0,180.0,0.0,64.0
72,60.0,0.0,90.0,0.0,64.0
73,60.0,0.0,90.0,0.0,64.0
74,49.0,0.0,90.0,0.0,64.0
75,51.0,120.0,90.0,0.0,64.0
76,49.0,120.0,90.0,0.0,64.0
77,60.0,0.0,90.0,0.0,64.0
78,51.0,0.0,90.0,0.0,64.0
79,49.0,120.0,90.0,0.0,64.0
80,51.0,0.0,90.0,0.0,64.0
81,60.0,0.0,90.0,0.0,64.0
82,53.0,0.0,90.0,0.0,64.0
83,49.0,0.0,90.0,0.0,64.0
84,61.0,120.0,90.0,0.0,64.0
85,70.0,0.0,90.0,0.0,64.0
86,49.0,0.0,90.0,0.0,64.0
87,53.0,0.0,90.0,0.0,64.0
88,61.0,0.0,90.0,0.0,64.0
89,68.0,120.0,90.0,0.0,64.0
90,49.0,96.0,90.0,0.0,64.0
91,53.0,0.0,90.0,0.0,64.0
92,68.0,24.0,180.0,0.0,64.0
93,61.0,0.0,90.0,0.0,64.0
