,note,step,duration,channel,velocity
0,44.0,10.0,90.0,0.0,0.0
1,56.0,25.0,90.0,0.0,0.0
2,51.0,2.0,90.0,0.0,0.0
3,72.0,2.0,210.0,1.0,0.0
4,63.0,13.0,240.0,1.0,0.0
5,44.0,2.0,210.0,1.0,0.0
6,56.0,1.0,210.0,1.0,0.0
7,60.0,39.0,40.0,0.0,0.0
8,72.0,4.0,40.0,0.0,0.0
9,68.0,0.0,40.0,0.0,0.0
10,60.0,58.0,90.0,0.0,0.0
11,68.0,0.0,90.0,0.0,0.0
12,72.0,2.0,90.0,0.0,0.0
13,44.0,39.0,30.0,0.0,0.0
14,48.0,3.0,90.0,0.0,0.0
15,72.0,6.0,90.0,0.0,0.0
16,60.0,0.0,90.0,0.0,0.0
17,68.0,49.0,90.0,0.0,0.0
18,46.0,3.0,15.0,0.0,0.0
19,44.0,33.0,15.0,0.0,0.0
20,63.0,2.0,90.0,1.0,0.0
21,48.0,6.0,90.0,0.0,0.0
22,72.0,11.0,120.0,1.0,0.0
23,44.0,46.0,120.0,1.0,0.0
24,56.0,1.0,90.0,1.0,0.0
25,60.0,1.0,40.0,0.0,0.0
26,72.0,1.0,30.0,0.0,0.0
27,68.0,8.0,40.0,0.0,0.0
28,46.0,0.0,15.0,0.0,0.0
29,44.0,1.0,15.0,0.0,0.0
30,72.0,29.0,60.0,0.0,0.0
31,51.0,1.0,180.0,1.0,0.0
32,60.0,5.0,60.0,0.0,0.0
33,56.0,7.0,120.0,1.0,0.0
34,72.0,46.0,120.0,1.0,0.0
35,63.0,3.0,240.0,1.0,0.0
36,39.0,7.0,40.0,0.0,0.0
37,68.0,0.0,60.0,0.0,0.0
38,51.0,13.0,60.0,0.0,0.0
39,27.0,3.0,40.0,0.0,0.0
40,39.0,1.0,40.0,0.0,0.0
41,73.0,5.0,15.0,0.0,0.0
42,70.0,9.0,15.0,0.0,0.0
43,72.0,6.0,15.0,0.0,0.0
44,63.0,3.0,60.0,0.0,0.0
45,67.0,3.0,60.0,0.0,0.0
46,70.0,4.0,90.0,1.0,0.0
47,51.0,4.0,40.0,0.0,0.0
48,39.0,1.0,40.0,0.0,0.0
49,55.0,0.0,60.0,1.0,0.0
50,75.0,6.0,30.0,0.0,0.0
51,70.0,21.0,15.0,0.0,0.0
52,68.0,19.0,40.0,1.0,0.0
53,65.0,2.0,15.0,1.0,0.0
54,53.0,5.0,15.0,1.0,0.0
55,53.0,1.0,15.0,0.0,0.0
56,41.0,1.0,15.0,0.0,0.0
57,68.0,2.0,15.0,0.0,0.0
58,77.0,3.0,15.0,0.0,0.0
59,43.0,13.0,40.0,0.0,0.0
60,55.0,3.0,40.0,0.0,0.0
61,79.0,3.0,20.0,0.0,0.0
62,67.0,11.0,30.0,0.0,0.0
63,52.0,4.0,60.0,1.0,0.0
64,72.0,1.0,30.0,0.0,0.0
65,67.0,3.0,60.0,1.0,0.0
66,70.0,2.0,30.0,0.0,0.0
67,41.0,2.0,20.0,0.0,0.0
68,53.0,8.0,20.0,0.0,0.0
69,72.0,1.0,60.0,1.0,0.0
70,60.0,1.0,40.0,0.0,0.0
71,70.0,2.0,40.0,0.0,0.0
72,67.0,8.0,40.0,0.0,0.0
73,48.0,0.0,60.0,1.0,0.0
74,64.0,0.0,60.0,1.0,0.0
75,52.0,5.0,40.0,0.0,0.0
76,40.0,1.0,40.0,0.0,0.0
77,36.0,58.0,15.0,0.0,0.0
78,48.0,0.0,15.0,0.0,0.0
79,68.0,1.0,60.0,0.0,0.0
80,65.0,6.0,60.0,0.0,0.0
81,60.0,3.0,60.0,0.0,0.0
82,53.0,2.0,60.0,0.0,0.0
83,53.0,2.0,120.0,1.0,0.0
84,60.0,4.0,60.0,1.0,0.0
85,41.0,2.0,90.0,0.0,0.0
86,68.0,5.0,20.0,1.0,0.0
87,67.0,7.0,15.0,0.0,0.0
88,70.0,1.0,15.0,0.0,0.0
89,58.0,2.0,30.0,1.0,0.0
