,note,step,duration,channel,velocity
0,68.0,64.0,90.0,10.0,0.0
1,51.0,0.0,150.0,10.0,0.0
2,44.0,0.0,150.0,15.0,0.0
3,47.0,30.0,150.0,11.0,0.0
4,63.0,34.0,90.0,10.0,0.0
5,63.0,96.0,30.0,10.0,0.0
6,47.0,0.0,90.0,11.0,0.0
7,44.0,0.0,90.0,15.0,0.0
8,51.0,0.0,90.0,10.0,0.0
9,63.0,62.0,30.0,10.0,0.0
10,47.0,30.0,150.0,11.0,0.0
11,63.0,64.0,90.0,10.0,0.0
12,51.0,0.0,150.0,10.0,0.0
13,44.0,0.0,150.0,15.0,0.0
14,59.0,34.0,90.0,10.0,0.0
15,59.0,96.0,30.0,10.0,0.0
16,47.0,0.0,90.0,11.0,0.0
17,51.0,98.0,90.0,10.0,0.0
18,59.0,62.0,30.0,10.0,0.0
19,44.0,0.0,90.0,15.0,0.0
20,59.0,64.0,90.0,10.0,0.0
21,52.0,30.0,150.0,10.0,0.0
22,49.0,0.0,150.0,11.0,0.0
23,44.0,0.0,150.0,15.0,0.0
24,58.0,34.0,90.0,10.0,0.0
25,58.0,96.0,30.0,10.0,0.0
26,52.0,0.0,90.0,10.0,0.0
27,58.0,62.0,30.0,10.0,0.0
28,49.0,50.0,90.0,11.0,0.0
29,44.0,0.0,90.0,15.0,0.0
30,43.0,0.0,150.0,15.0,0.0
31,51.0,32.0,150.0,10.0,0.0
32,58.0,48.0,40.0,10.0,0.0
33,46.0,0.0,150.0,11.0,0.0
34,60.0,48.0,40.0,10.0,0.0
35,61.0,16.0,40.0,10.0,0.0
36,60.0,94.0,40.0,10.0,0.0
37,61.0,34.0,90.0,10.0,0.0
38,51.0,0.0,90.0,11.0,0.0
39,43.0,0.0,90.0,15.0,0.0
40,61.0,62.0,30.0,10.0,0.0
41,58.0,0.0,90.0,10.0,0.0
42,51.0,30.0,150.0,11.0,0.0
43,57.0,0.0,150.0,10.0,0.0
44,42.0,0.0,150.0,15.0,0.0
45,61.0,64.0,90.0,10.0,0.0
46,60.0,34.0,90.0,10.0,0.0
47,60.0,96.0,30.0,10.0,0.0
48,60.0,62.0,30.0,10.0,0.0
49,42.0,0.0,90.0,15.0,0.0
50,51.0,0.0,90.0,11.0,0.0
51,57.0,50.0,90.0,10.0,0.0
52,42.0,0.0,150.0,15.0,0.0
53,51.0,0.0,150.0,11.0,0.0
54,56.0,0.0,150.0,10.0,0.0
55,60.0,48.0,40.0,10.0,0.0
56,62.0,48.0,40.0,10.0,0.0
57,63.0,16.0,40.0,10.0,0.0
58,62.0,94.0,40.0,10.0,0.0
59,63.0,34.0,90.0,10.0,0.0
60,48.0,0.0,90.0,11.0,0.0
61,56.0,0.0,90.0,10.0,0.0
62,42.0,0.0,90.0,15.0,0.0
63,63.0,62.0,30.0,10.0,0.0
64,56.0,0.0,150.0,10.0,0.0
65,53.0,30.0,150.0,11.0,0.0
66,63.0,64.0,90.0,10.0,0.0
67,56.0,0.0,1320.0,1.0,0.0
68,56.0,0.0,330.0,5.0,0.0
69,68.0,46.0,330.0,2.0,0.0
70,41.0,0.0,150.0,15.0,0.0
71,56.0,0.0,330.0,6.0,0.0
72,59.0,16.0,720.0,1.0,0.0
73,62.0,34.0,90.0,10.0,0.0
74,62.0,96.0,30.0,10.0,0.0
75,62.0,16.0,30.0,10.0,0.0
76,53.0,0.0,90.0,15.0,0.0
77,53.0,50.0,90.0,11.0,0.0
78,56.0,0.0,90.0,10.0,0.0
79,62.0,48.0,40.0,10.0,0.0
80,59.0,0.0,150.0,10.0,0.0
81,56.0,0.0,150.0,6.0,0.0
82,68.0,30.0,150.0,2.0,0.0
83,56.0,0.0,150.0,5.0,0.0
84,51.0,0.0,150.0,15.0,0.0
85,56.0,0.0,150.0,11.0,0.0
86,63.0,48.0,40.0,10.0,0.0
87,65.0,16.0,40.0,10.0,0.0
88,63.0,50.0,40.0,10.0,0.0
89,56.0,30.0,150.0,5.0,0.0
90,68.0,0.0,150.0,2.0,0.0
91,56.0,0.0,150.0,6.0,0.0
92,63.0,48.0,40.0,10.0,0.0
93,65.0,48.0,40.0,10.0,0.0
94,59.0,0.0,90.0,10.0,0.0
95,66.0,0.0,40.0,10.0,0.0
96,56.0,0.0,90.0,11.0,0.0
97,51.0,0.0,90.0,15.0,0.0
98,65.0,0.0,40.0,10.0,0.0
99,58.0,0.0,150.0,1.0,0.0
100,58.0,48.0,180.0,10.0,0.0
101,56.0,0.0,150.0,5.0,0.0
102,56.0,30.0,150.0,6.0,0.0
103,68.0,0.0,150.0,2.0,0.0
104,50.0,0.0,150.0,15.0,0.0
105,65.0,48.0,40.0,10.0,0.0
106,56.0,0.0,540.0,11.0,0.0
107,67.0,48.0,40.0,10.0,0.0
108,68.0,16.0,40.0,10.0,0.0
109,67.0,2.0,40.0,10.0,0.0
110,59.0,0.0,150.0,10.0,0.0
111,51.0,0.0,150.0,6.0,0.0
112,67.0,48.0,40.0,10.0,0.0
113,59.0,0.0,150.0,1.0,0.0
114,51.0,30.0,150.0,5.0,0.0
115,63.0,0.0,150.0,2.0,0.0
116,51.0,0.0,330.0,15.0,0.0
117,68.0,48.0,40.0,10.0,0.0
118,70.0,16.0,40.0,10.0,0.0
119,68.0,50.0,40.0,10.0,0.0
120,63.0,0.0,150.0,2.0,0.0
121,58.0,16.0,330.0,1.0,0.0
122,68.0,48.0,40.0,10.0,0.0
123,51.0,0.0,150.0,6.0,0.0
124,61.0,0.0,330.0,10.0,0.0
125,51.0,30.0,150.0,5.0,0.0
