,note,step,duration,channel,velocity
0,39.0,480.0,390.0,5.0,0.0
1,51.0,0.0,390.0,4.0,0.0
2,63.0,0.0,390.0,8.0,0.0
3,67.0,0.0,390.0,6.0,0.0
4,51.0,0.0,390.0,10.0,0.0
5,63.0,0.0,390.0,3.0,0.0
6,67.0,0.0,390.0,2.0,0.0
7,75.0,0.0,390.0,2.0,0.0
8,58.0,0.0,390.0,2.0,0.0
9,67.0,0.0,390.0,1.0,0.0
10,58.0,0.0,390.0,1.0,0.0
11,75.0,0.0,390.0,6.0,0.0
12,58.0,0.0,390.0,6.0,0.0
13,67.0,0.0,390.0,7.0,0.0
14,75.0,0.0,390.0,7.0,0.0
15,58.0,0.0,390.0,7.0,0.0
16,39.0,0.0,390.0,11.0,0.0
17,75.0,0.0,390.0,1.0,0.0
18,34.0,0.0,150.0,11.0,0.0
19,46.0,0.0,150.0,4.0,0.0
20,70.0,480.0,150.0,6.0,0.0
21,70.0,0.0,150.0,1.0,0.0
22,46.0,0.0,150.0,10.0,0.0
23,34.0,0.0,150.0,5.0,0.0
24,58.0,0.0,150.0,3.0,0.0
25,70.0,0.0,150.0,2.0,0.0
26,70.0,0.0,150.0,7.0,0.0
27,58.0,0.0,150.0,8.0,0.0
28,51.0,0.0,390.0,4.0,0.0
29,39.0,0.0,390.0,11.0,0.0
30,63.0,0.0,390.0,8.0,0.0
31,75.0,0.0,390.0,1.0,0.0
32,51.0,0.0,390.0,10.0,0.0
33,39.0,480.0,390.0,5.0,0.0
34,63.0,0.0,390.0,3.0,0.0
35,75.0,0.0,390.0,2.0,0.0
36,75.0,0.0,390.0,7.0,0.0
37,75.0,0.0,390.0,6.0,0.0
38,34.0,0.0,150.0,5.0,0.0
39,70.0,0.0,150.0,7.0,0.0
40,46.0,240.0,150.0,10.0,0.0
41,70.0,0.0,150.0,1.0,0.0
42,58.0,0.0,150.0,8.0,0.0
43,34.0,0.0,150.0,11.0,0.0
44,70.0,0.0,150.0,6.0,0.0
45,46.0,0.0,150.0,4.0,0.0
46,70.0,0.0,150.0,2.0,0.0
47,58.0,0.0,150.0,3.0,0.0
48,75.0,0.0,150.0,6.0,0.0
49,63.0,0.0,150.0,8.0,0.0
50,51.0,240.0,150.0,10.0,0.0
51,75.0,0.0,150.0,1.0,0.0
52,75.0,0.0,150.0,2.0,0.0
53,63.0,0.0,150.0,3.0,0.0
54,75.0,0.0,150.0,7.0,0.0
55,51.0,0.0,150.0,4.0,0.0
56,39.0,0.0,150.0,5.0,0.0
57,39.0,0.0,150.0,11.0,0.0
58,46.0,0.0,150.0,10.0,0.0
59,70.0,0.0,150.0,1.0,0.0
60,34.0,0.0,150.0,5.0,0.0
61,70.0,0.0,150.0,7.0,0.0
62,70.0,240.0,150.0,2.0,0.0
63,58.0,0.0,150.0,8.0,0.0
64,46.0,0.0,150.0,4.0,0.0
65,34.0,0.0,150.0,11.0,0.0
66,58.0,0.0,150.0,3.0,0.0
67,70.0,0.0,150.0,6.0,0.0
68,75.0,0.0,150.0,2.0,0.0
69,39.0,0.0,150.0,11.0,0.0
70,51.0,0.0,150.0,10.0,0.0
71,63.0,240.0,150.0,3.0,0.0
72,75.0,0.0,150.0,7.0,0.0
73,39.0,0.0,150.0,5.0,0.0
74,51.0,0.0,150.0,4.0,0.0
75,63.0,0.0,150.0,8.0,0.0
76,75.0,0.0,150.0,6.0,0.0
77,75.0,0.0,150.0,1.0,0.0
78,55.0,0.0,150.0,4.0,0.0
79,79.0,0.0,150.0,7.0,0.0
80,43.0,0.0,150.0,5.0,0.0
81,79.0,0.0,150.0,2.0,0.0
82,55.0,0.0,150.0,10.0,0.0
83,43.0,0.0,150.0,11.0,0.0
84,79.0,0.0,150.0,1.0,0.0
85,67.0,0.0,150.0,8.0,0.0
86,79.0,0.0,150.0,6.0,0.0
87,67.0,480.0,150.0,3.0,0.0
88,46.0,0.0,390.0,11.0,0.0
89,58.0,0.0,390.0,10.0,0.0
90,46.0,0.0,390.0,5.0,0.0
91,82.0,0.0,390.0,1.0,0.0
92,82.0,0.0,390.0,2.0,0.0
93,82.0,0.0,390.0,7.0,0.0
94,70.0,0.0,390.0,8.0,0.0
95,58.0,960.0,390.0,4.0,0.0
96,82.0,0.0,390.0,6.0,0.0
97,70.0,0.0,390.0,3.0,0.0
98,56.0,0.0,390.0,10.0,0.0
99,80.0,0.0,390.0,6.0,0.0
100,68.0,0.0,390.0,8.0,0.0
101,80.0,0.0,390.0,1.0,0.0
102,80.0,0.0,390.0,2.0,0.0
103,56.0,0.0,390.0,4.0,0.0
104,80.0,0.0,390.0,7.0,0.0
105,44.0,0.0,390.0,5.0,0.0
106,44.0,0.0,390.0,11.0,0.0
107,68.0,480.0,390.0,3.0,0.0
108,53.0,0.0,150.0,10.0,0.0
109,77.0,0.0,150.0,6.0,0.0
110,53.0,0.0,150.0,4.0,0.0
111,77.0,0.0,150.0,7.0,0.0
112,77.0,0.0,150.0,2.0,0.0
113,77.0,0.0,150.0,1.0,0.0
114,65.0,0.0,150.0,3.0,0.0
115,41.0,0.0,150.0,11.0,0.0
116,41.0,0.0,150.0,5.0,0.0
117,65.0,480.0,150.0,8.0,0.0
118,68.0,0.0,390.0,8.0,0.0
119,80.0,0.0,390.0,1.0,0.0
120,80.0,0.0,390.0,6.0,0.0
121,80.0,0.0,390.0,7.0,0.0
122,68.0,0.0,390.0,3.0,0.0
123,44.0,480.0,390.0,11.0,0.0
124,44.0,0.0,390.0,5.0,0.0
125,56.0,0.0,390.0,10.0,0.0
126,80.0,0.0,390.0,2.0,0.0
127,56.0,0.0,390.0,4.0,0.0
128,53.0,0.0,150.0,4.0,0.0
129,77.0,0.0,150.0,6.0,0.0
130,65.0,0.0,150.0,8.0,0.0
131,77.0,240.0,150.0,7.0,0.0
132,77.0,0.0,150.0,2.0,0.0
133,41.0,0.0,150.0,11.0,0.0
134,41.0,0.0,150.0,5.0,0.0
135,77.0,0.0,150.0,1.0,0.0
136,65.0,0.0,150.0,3.0,0.0
137,53.0,0.0,150.0,10.0,0.0
138,68.0,0.0,150.0,8.0,0.0
139,68.0,240.0,150.0,3.0,0.0
140,56.0,0.0,150.0,4.0,0.0
141,80.0,0.0,150.0,2.0,0.0
142,44.0,0.0,150.0,5.0,0.0
143,80.0,0.0,150.0,6.0,0.0
144,56.0,0.0,150.0,10.0,0.0
145,80.0,0.0,150.0,7.0,0.0
146,44.0,0.0,150.0,11.0,0.0
147,80.0,0.0,150.0,1.0,0.0
148,77.0,0.0,150.0,2.0,0.0
149,77.0,0.0,150.0,7.0,0.0
150,77.0,0.0,150.0,6.0,0.0
151,77.0,240.0,150.0,1.0,0.0
152,65.0,0.0,150.0,8.0,0.0
153,41.0,0.0,150.0,11.0,0.0
154,41.0,0.0,150.0,5.0,0.0
155,53.0,0.0,150.0,4.0,0.0
156,65.0,0.0,150.0,3.0,0.0
157,53.0,0.0,150.0,10.0,0.0
158,62.0,0.0,150.0,8.0,0.0
159,74.0,0.0,150.0,2.0,0.0
160,74.0,0.0,150.0,1.0,0.0
161,62.0,0.0,150.0,3.0,0.0
162,38.0,0.0,150.0,5.0,0.0
163,38.0,0.0,150.0,11.0,0.0
164,74.0,240.0,150.0,7.0,0.0
165,50.0,0.0,150.0,4.0,0.0
166,50.0,0.0,150.0,10.0,0.0
167,74.0,0.0,150.0,6.0,0.0
168,77.0,0.0,150.0,6.0,0.0
169,65.0,0.0,150.0,3.0,0.0
170,77.0,0.0,150.0,7.0,0.0
171,77.0,0.0,150.0,2.0,0.0
172,53.0,0.0,150.0,4.0,0.0
173,53.0,0.0,150.0,10.0,0.0
174,41.0,0.0,150.0,5.0,0.0
175,77.0,0.0,150.0,1.0,0.0
176,65.0,480.0,150.0,8.0,0.0
177,41.0,0.0,150.0,11.0,0.0
178,46.0,0.0,390.0,4.0,0.0
179,70.0,0.0,390.0,2.0,0.0
180,34.0,0.0,390.0,5.0,0.0
181,58.0,0.0,390.0,3.0,0.0
182,70.0,0.0,390.0,6.0,0.0
183,70.0,0.0,390.0,7.0,0.0
184,70.0,0.0,390.0,1.0,0.0
185,34.0,0.0,390.0,11.0,0.0
186,46.0,672.0,390.0,10.0,0.0
187,58.0,0.0,390.0,8.0,0.0
188,51.0,0.0,150.0,10.0,0.0
189,58.0,0.0,90.0,7.0,0.0
190,63.0,0.0,150.0,8.0,0.0
191,55.0,0.0,90.0,2.0,0.0
192,58.0,0.0,90.0,2.0,0.0
193,39.0,0.0,150.0,5.0,0.0
194,39.0,0.0,150.0,11.0,0.0
195,58.0,24.0,180.0,1.0,0.0
196,67.0,0.0,180.0,1.0,0.0
197,51.0,0.0,150.0,4.0,0.0
198,63.0,36.0,150.0,3.0,0.0
199,75.0,0.0,150.0,6.0,0.0
200,67.0,0.0,180.0,6.0,0.0
201,58.0,0.0,180.0,6.0,0.0
202,75.0,12.0,150.0,1.0,0.0
203,55.0,48.0,90.0,7.0,0.0
204,58.0,120.0,90.0,7.0,0.0
205,58.0,0.0,90.0,2.0,0.0
206,55.0,0.0,90.0,7.0,0.0
207,55.0,0.0,90.0,2.0,0.0
208,51.0,0.0,150.0,4.0,0.0
209,63.0,0.0,150.0,8.0,0.0
210,58.0,0.0,90.0,2.0,0.0
211,55.0,0.0,90.0,2.0,0.0
212,39.0,0.0,150.0,5.0,0.0
213,63.0,0.0,150.0,3.0,0.0
214,51.0,60.0,150.0,10.0,0.0
215,39.0,0.0,150.0,11.0,0.0
216,55.0,60.0,90.0,7.0,0.0
217,58.0,0.0,90.0,7.0,0.0
218,55.0,0.0,90.0,7.0,0.0
219,58.0,120.0,90.0,7.0,0.0
220,58.0,0.0,90.0,2.0,0.0
221,55.0,0.0,90.0,2.0,0.0
222,39.0,0.0,150.0,5.0,0.0
223,55.0,0.0,90.0,2.0,0.0
224,58.0,0.0,90.0,2.0,0.0
225,63.0,60.0,150.0,8.0,0.0
226,39.0,0.0,150.0,11.0,0.0
227,75.0,0.0,570.0,6.0,0.0
228,51.0,0.0,150.0,4.0,0.0
229,51.0,0.0,150.0,10.0,0.0
230,55.0,60.0,90.0,7.0,0.0
231,63.0,0.0,150.0,3.0,0.0
232,58.0,0.0,90.0,7.0,0.0
233,75.0,0.0,570.0,1.0,0.0
234,58.0,0.0,90.0,7.0,0.0
235,55.0,120.0,90.0,2.0,0.0
236,55.0,0.0,90.0,7.0,0.0
237,58.0,0.0,90.0,2.0,0.0
238,39.0,0.0,150.0,5.0,0.0
239,51.0,60.0,150.0,10.0,0.0
240,55.0,0.0,90.0,2.0,0.0
241,63.0,0.0,150.0,3.0,0.0
242,58.0,60.0,90.0,2.0,0.0
243,39.0,0.0,150.0,11.0,0.0
244,51.0,0.0,150.0,4.0,0.0
