,note,step,duration,channel,velocity
0,69.0,30.0,30.0,3.0,0.0
1,70.0,30.0,30.0,3.0,0.0
2,72.0,0.0,30.0,3.0,0.0
3,69.0,0.0,30.0,7.0,0.0
4,65.0,60.0,30.0,7.0,0.0
5,72.0,60.0,30.0,3.0,0.0
6,72.0,0.0,30.0,3.0,0.0
7,69.0,0.0,30.0,7.0,0.0
8,65.0,60.0,30.0,7.0,0.0
9,74.0,0.0,30.0,3.0,0.0
10,69.0,0.0,30.0,7.0,0.0
11,65.0,30.0,30.0,7.0,0.0
12,72.0,30.0,30.0,3.0,0.0
13,71.0,0.0,30.0,3.0,0.0
14,69.0,0.0,30.0,7.0,0.0
15,65.0,30.0,30.0,7.0,0.0
16,72.0,30.0,30.0,3.0,0.0
17,74.0,0.0,30.0,3.0,0.0
18,69.0,0.0,30.0,7.0,0.0
19,65.0,30.0,30.0,7.0,0.0
20,72.0,180.0,30.0,3.0,0.0
21,70.0,0.0,180.0,3.0,0.0
22,67.0,0.0,180.0,7.0,0.0
23,64.0,0.0,180.0,7.0,0.0
24,60.0,60.0,180.0,7.0,0.0
25,69.0,0.0,60.0,3.0,0.0
26,69.0,0.0,60.0,7.0,0.0
27,65.0,90.0,60.0,7.0,0.0
28,77.0,30.0,30.0,3.0,0.0
29,76.0,30.0,30.0,3.0,0.0
30,74.0,0.0,30.0,3.0,0.0
31,65.0,0.0,30.0,7.0,0.0
32,58.0,60.0,30.0,7.0,0.0
33,74.0,0.0,30.0,3.0,0.0
34,65.0,0.0,30.0,7.0,0.0
35,58.0,60.0,30.0,7.0,0.0
36,74.0,30.0,30.0,3.0,0.0
37,72.0,30.0,30.0,3.0,0.0
38,70.0,30.0,60.0,3.0,0.0
39,65.0,0.0,30.0,7.0,0.0
40,62.0,30.0,30.0,7.0,0.0
41,70.0,0.0,30.0,3.0,0.0
42,65.0,0.0,30.0,7.0,0.0
43,62.0,30.0,30.0,7.0,0.0
44,69.0,30.0,30.0,3.0,0.0
45,67.0,30.0,30.0,3.0,0.0
46,65.0,60.0,30.0,3.0,0.0
47,64.0,0.0,60.0,3.0,0.0
48,60.0,30.0,60.0,7.0,0.0
49,65.0,0.0,60.0,3.0,0.0
50,62.0,30.0,60.0,7.0,0.0
51,60.0,30.0,30.0,7.0,0.0
52,66.0,0.0,60.0,3.0,0.0
53,63.0,60.0,60.0,7.0,0.0
54,60.0,30.0,30.0,7.0,0.0
55,67.0,0.0,60.0,3.0,0.0
56,64.0,0.0,60.0,7.0,0.0
57,60.0,90.0,60.0,7.0,0.0
58,69.0,0.0,30.0,3.0,0.0
