,note,step,duration,channel,velocity
0,58.0,0.0,60.0,2.0,0.0
1,73.0,48.0,60.0,2.0,0.0
2,59.0,0.0,60.0,2.0,0.0
3,75.0,48.0,60.0,2.0,0.0
4,71.0,0.0,60.0,2.0,0.0
5,56.0,48.0,60.0,2.0,0.0
6,58.0,0.0,60.0,2.0,0.0
7,73.0,92.0,60.0,2.0,0.0
8,54.0,23.0,360.0,3.0,0.0
9,54.0,46.0,90.0,2.0,0.0
10,42.0,0.0,90.0,3.0,0.0
11,70.0,0.0,90.0,2.0,0.0
12,61.0,52.0,90.0,3.0,0.0
13,58.0,50.0,30.0,3.0,0.0
14,61.0,0.0,90.0,3.0,0.0
15,58.0,4.0,90.0,3.0,0.0
16,61.0,0.0,60.0,2.0,0.0
17,70.0,44.0,60.0,2.0,0.0
18,71.0,0.0,60.0,2.0,0.0
19,63.0,48.0,60.0,2.0,0.0
20,68.0,21.0,60.0,2.0,0.0
21,59.0,0.0,60.0,2.0,0.0
22,66.0,0.0,90.0,3.0,0.0
23,61.0,4.0,90.0,3.0,0.0
24,61.0,0.0,60.0,2.0,0.0
25,70.0,92.0,60.0,2.0,0.0
26,58.0,0.0,90.0,2.0,0.0
27,30.0,0.0,90.0,3.0,0.0
28,66.0,46.0,90.0,2.0,0.0
29,58.0,102.0,30.0,3.0,0.0
30,66.0,0.0,30.0,3.0,0.0
31,58.0,0.0,90.0,3.0,0.0
32,66.0,44.0,60.0,2.0,0.0
33,66.0,4.0,90.0,3.0,0.0
34,68.0,48.0,60.0,2.0,0.0
35,65.0,21.0,60.0,2.0,0.0
36,70.0,0.0,90.0,3.0,0.0
37,54.0,0.0,180.0,2.0,0.0
38,61.0,4.0,90.0,3.0,0.0
39,42.0,0.0,90.0,2.0,0.0
40,66.0,92.0,60.0,2.0,0.0
41,35.0,46.0,90.0,3.0,0.0
42,47.0,96.0,180.0,2.0,0.0
43,63.0,0.0,90.0,2.0,0.0
44,54.0,0.0,90.0,3.0,0.0
45,51.0,8.0,180.0,2.0,0.0
46,71.0,0.0,180.0,2.0,0.0
47,59.0,42.0,30.0,3.0,0.0
48,51.0,0.0,30.0,3.0,0.0
49,44.0,0.0,90.0,2.0,0.0
50,59.0,96.0,90.0,3.0,0.0
51,51.0,0.0,90.0,3.0,0.0
52,56.0,0.0,90.0,3.0,0.0
53,32.0,0.0,90.0,3.0,0.0
54,47.0,13.0,90.0,2.0,0.0
55,68.0,0.0,90.0,2.0,0.0
56,56.0,0.0,90.0,2.0,0.0
57,63.0,0.0,90.0,3.0,0.0
58,59.0,0.0,90.0,3.0,0.0
59,56.0,0.0,90.0,2.0,0.0
60,66.0,83.0,15.0,2.0,0.0
61,49.0,46.0,90.0,2.0,0.0
62,37.0,0.0,90.0,3.0,0.0
63,65.0,0.0,90.0,2.0,0.0
64,68.0,36.0,60.0,2.0,0.0
65,53.0,0.0,30.0,3.0,0.0
66,56.0,6.0,30.0,3.0,0.0
67,65.0,48.0,60.0,2.0,0.0
68,56.0,4.0,90.0,3.0,0.0
69,53.0,0.0,60.0,2.0,0.0
70,53.0,0.0,90.0,3.0,0.0
71,73.0,44.0,60.0,2.0,0.0
72,54.0,48.0,60.0,2.0,0.0
73,75.0,0.0,60.0,2.0,0.0
74,56.0,0.0,60.0,2.0,0.0
75,65.0,0.0,90.0,3.0,0.0
76,71.0,44.0,60.0,2.0,0.0
77,56.0,4.0,90.0,3.0,0.0
78,58.0,0.0,60.0,2.0,0.0
79,73.0,92.0,60.0,2.0,0.0
80,70.0,46.0,90.0,2.0,0.0
81,54.0,0.0,90.0,2.0,0.0
82,42.0,0.0,90.0,3.0,0.0
83,54.0,23.0,360.0,3.0,0.0
84,61.0,0.0,30.0,3.0,0.0
85,58.0,102.0,30.0,3.0,0.0
86,58.0,4.0,90.0,3.0,0.0
87,61.0,0.0,90.0,3.0,0.0
88,70.0,44.0,60.0,2.0,0.0
89,61.0,0.0,60.0,2.0,0.0
90,63.0,48.0,60.0,2.0,0.0
91,71.0,0.0,60.0,2.0,0.0
92,59.0,0.0,60.0,2.0,0.0
93,68.0,21.0,60.0,2.0,0.0
94,61.0,4.0,90.0,3.0,0.0
95,66.0,0.0,90.0,3.0,0.0
96,61.0,0.0,60.0,2.0,0.0
97,70.0,92.0,60.0,2.0,0.0
98,30.0,46.0,90.0,3.0,0.0
99,58.0,0.0,90.0,2.0,0.0
100,66.0,0.0,90.0,2.0,0.0
101,66.0,0.0,30.0,3.0,0.0
102,58.0,102.0,30.0,3.0,0.0
103,66.0,44.0,60.0,2.0,0.0
104,66.0,0.0,90.0,3.0,0.0
105,58.0,4.0,90.0,3.0,0.0
106,68.0,48.0,60.0,2.0,0.0
107,65.0,21.0,60.0,2.0,0.0
108,42.0,0.0,90.0,2.0,0.0
109,70.0,4.0,90.0,3.0,0.0
110,54.0,4.0,180.0,2.0,0.0
111,61.0,0.0,90.0,3.0,0.0
112,66.0,48.0,60.0,2.0,0.0
113,35.0,0.0,180.0,3.0,0.0
114,63.0,44.0,60.0,2.0,0.0
115,54.0,0.0,90.0,3.0,0.0
116,47.0,8.0,180.0,2.0,0.0
117,68.0,48.0,60.0,2.0,0.0
118,71.0,36.0,60.0,2.0,0.0
119,56.0,8.0,180.0,2.0,0.0
120,63.0,4.0,90.0,3.0,0.0
121,71.0,0.0,90.0,3.0,0.0
122,56.0,0.0,180.0,3.0,0.0
123,68.0,9.0,60.0,2.0,0.0
124,37.0,8.0,180.0,3.0,0.0
125,49.0,0.0,180.0,2.0,0.0
126,66.0,75.0,15.0,2.0,0.0
