,note,step,duration,channel,velocity
0,56.0,240.0,240.0,4.0,0.0
1,68.0,240.0,960.0,1.0,0.0
2,63.0,240.0,240.0,3.0,0.0
3,60.0,240.0,240.0,3.0,0.0
4,63.0,0.0,240.0,3.0,0.0
5,72.0,240.0,480.0,1.0,0.0
6,56.0,240.0,240.0,4.0,0.0
7,63.0,0.0,240.0,3.0,0.0
8,60.0,240.0,240.0,3.0,0.0
9,75.0,240.0,480.0,1.0,0.0
10,63.0,0.0,240.0,3.0,0.0
11,58.0,240.0,240.0,4.0,0.0
12,67.0,0.0,720.0,1.0,0.0
13,63.0,240.0,240.0,3.0,0.0
14,61.0,120.0,240.0,3.0,0.0
15,68.0,120.0,120.0,1.0,0.0
16,63.0,240.0,240.0,3.0,0.0
17,70.0,0.0,120.0,1.0,0.0
18,56.0,240.0,240.0,4.0,0.0
19,68.0,0.0,480.0,1.0,0.0
20,63.0,240.0,240.0,3.0,0.0
21,60.0,192.0,240.0,3.0,0.0
22,63.0,288.0,180.0,3.0,0.0
23,77.0,0.0,960.0,1.0,0.0
24,56.0,240.0,240.0,4.0,0.0
25,65.0,240.0,240.0,3.0,0.0
26,61.0,240.0,240.0,3.0,0.0
27,65.0,240.0,240.0,3.0,0.0
28,75.0,0.0,480.0,1.0,0.0
29,56.0,240.0,240.0,4.0,0.0
30,63.0,240.0,240.0,3.0,0.0
31,80.0,0.0,480.0,1.0,0.0
32,60.0,240.0,240.0,3.0,0.0
33,63.0,240.0,240.0,3.0,0.0
34,75.0,90.0,480.0,1.0,0.0
35,55.0,240.0,240.0,4.0,0.0
36,63.0,0.0,240.0,3.0,0.0
37,58.0,60.0,240.0,3.0,0.0
38,73.0,112.0,90.0,1.0,0.0
39,75.0,38.0,120.0,1.0,0.0
40,73.0,97.0,120.0,1.0,0.0
41,63.0,0.0,240.0,3.0,0.0
42,72.0,83.0,120.0,1.0,0.0
43,73.0,240.0,90.0,1.0,0.0
44,72.0,0.0,480.0,1.0,0.0
45,56.0,240.0,240.0,4.0,0.0
46,63.0,240.0,240.0,3.0,0.0
47,60.0,192.0,240.0,3.0,0.0
48,63.0,238.0,180.0,3.0,0.0
49,61.0,70.0,390.0,5.0,0.0
50,65.0,145.0,180.0,1.0,0.0
51,67.0,50.0,90.0,1.0,0.0
52,68.0,120.0,90.0,1.0,0.0
53,70.0,120.0,90.0,1.0,0.0
54,72.0,120.0,90.0,1.0,0.0
55,73.0,120.0,90.0,1.0,0.0
56,75.0,120.0,90.0,1.0,0.0
57,77.0,120.0,90.0,1.0,0.0
58,75.0,120.0,90.0,1.0,0.0
59,73.0,120.0,90.0,1.0,0.0
60,72.0,120.0,90.0,1.0,0.0
61,56.0,70.0,390.0,4.0,0.0
62,70.0,120.0,90.0,1.0,0.0
63,49.0,0.0,390.0,5.0,0.0
64,68.0,120.0,90.0,1.0,0.0
65,67.0,50.0,90.0,1.0,0.0
66,65.0,215.0,90.0,1.0,0.0
67,56.0,70.0,390.0,4.0,0.0
68,63.0,145.0,180.0,1.0,0.0
69,48.0,0.0,390.0,5.0,0.0
70,65.0,50.0,90.0,1.0,0.0
71,67.0,120.0,90.0,1.0,0.0
72,68.0,120.0,90.0,1.0,0.0
73,70.0,120.0,90.0,1.0,0.0
74,72.0,120.0,90.0,1.0,0.0
75,73.0,120.0,90.0,1.0,0.0
76,75.0,120.0,90.0,1.0,0.0
77,73.0,120.0,90.0,1.0,0.0
78,72.0,120.0,90.0,1.0,0.0
79,70.0,120.0,90.0,1.0,0.0
80,48.0,70.0,390.0,5.0,0.0
81,68.0,120.0,90.0,1.0,0.0
82,56.0,0.0,390.0,4.0,0.0
83,67.0,120.0,90.0,1.0,0.0
84,65.0,50.0,90.0,1.0,0.0
85,63.0,215.0,90.0,1.0,0.0
86,56.0,70.0,390.0,4.0,0.0
87,46.0,0.0,390.0,5.0,0.0
88,61.0,145.0,180.0,1.0,0.0
89,63.0,50.0,90.0,1.0,0.0
90,65.0,120.0,90.0,1.0,0.0
91,67.0,120.0,90.0,1.0,0.0
92,68.0,120.0,90.0,1.0,0.0
93,70.0,120.0,90.0,1.0,0.0
94,72.0,120.0,90.0,1.0,0.0
95,73.0,120.0,90.0,1.0,0.0
96,72.0,120.0,90.0,1.0,0.0
97,70.0,120.0,90.0,1.0,0.0
98,68.0,120.0,90.0,1.0,0.0
99,67.0,120.0,90.0,1.0,0.0
100,55.0,70.0,390.0,4.0,0.0
101,46.0,0.0,390.0,5.0,0.0
102,65.0,120.0,90.0,1.0,0.0
103,63.0,50.0,90.0,1.0,0.0
104,61.0,215.0,90.0,1.0,0.0
105,60.0,145.0,180.0,1.0,0.0
106,56.0,0.0,390.0,4.0,0.0
107,44.0,70.0,390.0,5.0,0.0
108,61.0,50.0,90.0,1.0,0.0
109,63.0,120.0,90.0,1.0,0.0
110,65.0,120.0,90.0,1.0,0.0
111,67.0,120.0,90.0,1.0,0.0
112,68.0,120.0,90.0,1.0,0.0
113,70.0,120.0,90.0,1.0,0.0
114,72.0,120.0,90.0,1.0,0.0
115,70.0,120.0,90.0,1.0,0.0
116,68.0,120.0,90.0,1.0,0.0
117,67.0,120.0,90.0,1.0,0.0
118,44.0,70.0,390.0,5.0,0.0
119,65.0,120.0,90.0,1.0,0.0
120,48.0,0.0,390.0,4.0,0.0
121,63.0,120.0,90.0,1.0,0.0
122,61.0,50.0,90.0,1.0,0.0
123,60.0,215.0,90.0,1.0,0.0
124,58.0,145.0,180.0,1.0,0.0
125,53.0,88.0,1800.0,4.0,0.0
126,49.0,7.0,1800.0,5.0,0.0
127,60.0,120.0,90.0,1.0,0.0
128,61.0,120.0,90.0,1.0,0.0
129,63.0,120.0,90.0,1.0,0.0
130,65.0,120.0,90.0,1.0,0.0
131,67.0,120.0,90.0,1.0,0.0
132,69.0,120.0,90.0,1.0,0.0
133,70.0,120.0,90.0,1.0,0.0
134,65.0,120.0,90.0,1.0,0.0
135,67.0,120.0,90.0,1.0,0.0
136,69.0,120.0,90.0,1.0,0.0
137,70.0,120.0,90.0,1.0,0.0
138,72.0,120.0,90.0,1.0,0.0
139,73.0,25.0,90.0,1.0,0.0
140,75.0,120.0,90.0,1.0,0.0
141,49.0,120.0,570.0,5.0,0.0
142,77.0,120.0,90.0,1.0,0.0
143,79.0,120.0,90.0,1.0,0.0
144,80.0,120.0,90.0,1.0,0.0
