,note,step,duration,channel,velocity
0,53.0,304.0,40.0,1.0,0.0
1,65.0,0.0,40.0,0.0,0.0
2,46.0,32.0,150.0,1.0,0.0
3,70.0,0.0,180.0,0.0,0.0
4,62.0,160.0,180.0,0.0,0.0
5,74.0,80.0,150.0,0.0,0.0
6,65.0,192.0,40.0,0.0,0.0
7,70.0,0.0,40.0,0.0,0.0
8,62.0,0.0,40.0,1.0,0.0
9,57.0,48.0,180.0,1.0,0.0
10,77.0,0.0,40.0,0.0,0.0
11,72.0,144.0,40.0,0.0,0.0
12,75.0,0.0,40.0,0.0,0.0
13,60.0,80.0,150.0,1.0,0.0
14,77.0,112.0,40.0,0.0,0.0
15,57.0,0.0,40.0,1.0,0.0
16,77.0,0.0,40.0,0.0,0.0
17,72.0,336.0,40.0,0.0,0.0
18,58.0,0.0,180.0,1.0,0.0
19,74.0,0.0,180.0,0.0,0.0
20,77.0,160.0,180.0,0.0,0.0
21,55.0,0.0,150.0,1.0,0.0
22,79.0,80.0,150.0,0.0,0.0
23,70.0,0.0,150.0,0.0,0.0
24,60.0,0.0,40.0,1.0,0.0
25,67.0,0.0,40.0,0.0,0.0
26,76.0,336.0,40.0,0.0,0.0
27,72.0,0.0,180.0,0.0,0.0
28,77.0,0.0,180.0,0.0,0.0
29,57.0,160.0,180.0,1.0,0.0
30,69.0,128.0,150.0,0.0,0.0
31,53.0,0.0,150.0,1.0,0.0
32,65.0,94.0,90.0,0.0,0.0
33,67.0,50.0,90.0,0.0,0.0
34,69.0,240.0,40.0,0.0,0.0
35,65.0,96.0,90.0,0.0,0.0
36,67.0,96.0,90.0,0.0,0.0
37,69.0,94.0,90.0,0.0,0.0
38,65.0,0.0,90.0,1.0,0.0
39,70.0,50.0,90.0,0.0,0.0
40,67.0,0.0,90.0,1.0,0.0
41,69.0,0.0,40.0,1.0,0.0
42,72.0,240.0,40.0,0.0,0.0
43,69.0,96.0,90.0,0.0,0.0
44,65.0,0.0,90.0,1.0,0.0
45,67.0,0.0,90.0,1.0,0.0
46,70.0,96.0,90.0,0.0,0.0
47,72.0,94.0,90.0,0.0,0.0
48,69.0,0.0,90.0,1.0,0.0
49,74.0,0.0,90.0,0.0,0.0
50,70.0,50.0,90.0,1.0,0.0
51,72.0,0.0,40.0,1.0,0.0
52,75.0,240.0,40.0,0.0,0.0
53,69.0,0.0,90.0,1.0,0.0
54,72.0,96.0,90.0,0.0,0.0
55,70.0,0.0,90.0,1.0,0.0
56,74.0,96.0,90.0,0.0,0.0
57,72.0,94.0,90.0,1.0,0.0
58,75.0,0.0,90.0,0.0,0.0
59,74.0,530.0,90.0,1.0,0.0
60,77.0,0.0,90.0,0.0,0.0
61,79.0,0.0,540.0,0.0,0.0
62,75.0,0.0,540.0,1.0,0.0
63,69.0,240.0,540.0,1.0,0.0
64,77.0,0.0,180.0,0.0,0.0
65,62.0,0.0,180.0,1.0,0.0
66,58.0,192.0,180.0,1.0,0.0
67,60.0,0.0,180.0,1.0,0.0
68,63.0,0.0,180.0,1.0,0.0
69,75.0,160.0,180.0,0.0,0.0
70,62.0,0.0,150.0,1.0,0.0
71,65.0,192.0,150.0,1.0,0.0
72,74.0,0.0,150.0,0.0,0.0
73,67.0,0.0,150.0,1.0,0.0
74,72.0,160.0,180.0,0.0,0.0
75,63.0,32.0,150.0,1.0,0.0
76,75.0,80.0,150.0,0.0,0.0
77,53.0,304.0,40.0,1.0,0.0
78,63.0,0.0,40.0,0.0,0.0
79,69.0,0.0,40.0,0.0,0.0
80,62.0,0.0,150.0,0.0,0.0
81,70.0,192.0,150.0,0.0,0.0
82,46.0,0.0,150.0,1.0,0.0
83,58.0,80.0,150.0,1.0,0.0
84,53.0,304.0,40.0,1.0,0.0
85,65.0,0.0,40.0,0.0,0.0
86,70.0,0.0,180.0,0.0,0.0
87,62.0,160.0,180.0,0.0,0.0
88,46.0,32.0,150.0,1.0,0.0
89,74.0,80.0,150.0,0.0,0.0
90,62.0,0.0,40.0,1.0,0.0
91,65.0,0.0,40.0,0.0,0.0
92,70.0,192.0,40.0,0.0,0.0
93,57.0,48.0,180.0,1.0,0.0
94,72.0,0.0,40.0,0.0,0.0
95,77.0,144.0,40.0,0.0,0.0
96,60.0,80.0,150.0,1.0,0.0
97,77.0,0.0,40.0,0.0,0.0
98,75.0,112.0,40.0,0.0,0.0
99,57.0,0.0,40.0,1.0,0.0
100,72.0,0.0,40.0,0.0,0.0
101,77.0,336.0,40.0,0.0,0.0
102,77.0,160.0,180.0,0.0,0.0
103,74.0,0.0,180.0,0.0,0.0
104,58.0,0.0,180.0,1.0,0.0
105,79.0,0.0,150.0,0.0,0.0
106,70.0,0.0,150.0,0.0,0.0
107,55.0,80.0,150.0,1.0,0.0
108,67.0,0.0,40.0,0.0,0.0
109,76.0,0.0,40.0,0.0,0.0
110,60.0,336.0,40.0,1.0,0.0
111,57.0,0.0,180.0,1.0,0.0
112,72.0,0.0,180.0,0.0,0.0
113,77.0,160.0,180.0,0.0,0.0
114,69.0,0.0,150.0,0.0,0.0
115,53.0,128.0,150.0,1.0,0.0
116,65.0,94.0,90.0,0.0,0.0
117,67.0,50.0,90.0,0.0,0.0
118,69.0,240.0,40.0,0.0,0.0
119,65.0,96.0,90.0,0.0,0.0
120,67.0,96.0,90.0,0.0,0.0
121,69.0,0.0,90.0,0.0,0.0
122,65.0,94.0,90.0,1.0,0.0
123,70.0,0.0,90.0,0.0,0.0
124,67.0,50.0,90.0,1.0,0.0
125,72.0,240.0,40.0,0.0,0.0
126,69.0,0.0,40.0,1.0,0.0
127,65.0,0.0,90.0,1.0,0.0
128,69.0,96.0,90.0,0.0,0.0
129,67.0,96.0,90.0,1.0,0.0
130,70.0,0.0,90.0,0.0,0.0
131,72.0,0.0,90.0,0.0,0.0
132,69.0,94.0,90.0,1.0,0.0
133,70.0,0.0,90.0,1.0,0.0
134,74.0,50.0,90.0,0.0,0.0
135,72.0,0.0,40.0,1.0,0.0
136,75.0,240.0,40.0,0.0,0.0
137,69.0,0.0,90.0,1.0,0.0
138,72.0,96.0,90.0,0.0,0.0
139,70.0,96.0,90.0,1.0,0.0
140,74.0,0.0,90.0,0.0,0.0
141,75.0,0.0,90.0,0.0,0.0
142,72.0,94.0,90.0,1.0,0.0
