,note,step,duration,channel,velocity
0,63.0,56.0,90.0,10.0,0.0
1,72.0,252.0,150.0,10.0,0.0
2,48.0,0.0,420.0,5.0,0.0
3,56.0,2.0,390.0,14.0,0.0
4,44.0,2.0,390.0,15.0,0.0
5,68.0,0.0,420.0,6.0,0.0
6,56.0,0.0,420.0,4.0,0.0
7,68.0,0.0,420.0,13.0,0.0
8,60.0,4.0,420.0,7.0,0.0
9,80.0,9.0,390.0,10.0,0.0
10,56.0,4.0,420.0,2.0,0.0
11,44.0,15.0,360.0,8.0,0.0
12,75.0,4.0,420.0,0.0,0.0
13,72.0,324.0,420.0,1.0,0.0
14,44.0,0.0,30.0,2.0,0.0
15,56.0,2.0,40.0,10.0,0.0
16,56.0,8.0,30.0,0.0,0.0
17,32.0,0.0,30.0,15.0,0.0
18,44.0,2.0,30.0,14.0,0.0
19,56.0,0.0,30.0,6.0,0.0
20,44.0,2.0,30.0,5.0,0.0
21,44.0,2.0,15.0,8.0,0.0
22,44.0,176.0,570.0,8.0,0.0
23,44.0,8.0,390.0,5.0,0.0
24,44.0,2.0,510.0,14.0,0.0
25,56.0,98.0,420.0,6.0,0.0
26,32.0,7.0,510.0,15.0,0.0
27,56.0,24.0,540.0,0.0,0.0
28,56.0,1.0,510.0,10.0,0.0
29,44.0,20.0,510.0,2.0,0.0
30,27.0,0.0,15.0,15.0,0.0
31,51.0,0.0,15.0,10.0,0.0
32,39.0,0.0,40.0,2.0,0.0
33,39.0,8.0,15.0,14.0,0.0
34,53.0,0.0,15.0,10.0,0.0
35,29.0,0.0,15.0,15.0,0.0
36,41.0,16.0,15.0,2.0,0.0
37,41.0,0.0,15.0,14.0,0.0
38,44.0,8.0,15.0,8.0,0.0
39,55.0,86.0,15.0,10.0,0.0
40,43.0,0.0,15.0,14.0,0.0
41,43.0,0.0,15.0,2.0,0.0
42,31.0,0.0,15.0,15.0,0.0
43,56.0,0.0,90.0,0.0,0.0
44,32.0,18.0,90.0,15.0,0.0
45,44.0,2.0,90.0,2.0,0.0
46,44.0,0.0,15.0,8.0,0.0
47,56.0,2.0,120.0,4.0,0.0
48,44.0,0.0,90.0,14.0,0.0
49,56.0,2.0,90.0,10.0,0.0
50,68.0,0.0,120.0,6.0,0.0
51,56.0,4.0,120.0,7.0,0.0
52,44.0,20.0,120.0,5.0,0.0
53,60.0,0.0,90.0,10.0,0.0
54,48.0,0.0,90.0,2.0,0.0
55,44.0,39.0,120.0,8.0,0.0
56,36.0,44.0,90.0,15.0,0.0
57,44.0,2.0,90.0,5.0,0.0
58,56.0,2.0,90.0,4.0,0.0
59,56.0,0.0,90.0,7.0,0.0
60,68.0,1.0,90.0,6.0,0.0
61,60.0,0.0,90.0,0.0,0.0
62,48.0,2.0,90.0,14.0,0.0
63,44.0,2.0,30.0,5.0,0.0
64,56.0,1.0,30.0,7.0,0.0
65,68.0,0.0,30.0,6.0,0.0
66,56.0,102.0,30.0,4.0,0.0
67,51.0,0.0,90.0,14.0,0.0
68,44.0,0.0,120.0,5.0,0.0
69,39.0,6.0,90.0,15.0,0.0
70,63.0,0.0,90.0,0.0,0.0
71,44.0,144.0,120.0,8.0,0.0
72,51.0,2.0,90.0,2.0,0.0
73,68.0,2.0,90.0,6.0,0.0
74,56.0,26.0,120.0,4.0,0.0
75,56.0,10.0,90.0,7.0,0.0
76,63.0,2.0,90.0,10.0,0.0
77,56.0,0.0,90.0,14.0,0.0
78,56.0,10.0,90.0,7.0,0.0
79,44.0,6.0,90.0,15.0,0.0
80,68.0,1.0,90.0,10.0,0.0
81,44.0,58.0,120.0,8.0,0.0
82,68.0,2.0,90.0,0.0,0.0
83,68.0,2.0,90.0,6.0,0.0
84,56.0,1.0,90.0,2.0,0.0
85,56.0,0.0,120.0,4.0,0.0
86,44.0,26.0,120.0,5.0,0.0
87,44.0,0.0,30.0,15.0,0.0
88,68.0,8.0,30.0,10.0,0.0
89,56.0,4.0,30.0,2.0,0.0
90,56.0,12.0,30.0,14.0,0.0
91,68.0,20.0,90.0,0.0,0.0
92,51.0,1.0,90.0,7.0,0.0
93,67.0,0.0,20.0,10.0,0.0
94,55.0,0.0,40.0,2.0,0.0
95,43.0,24.0,20.0,15.0,0.0
96,39.0,2.0,90.0,5.0,0.0
97,51.0,0.0,90.0,4.0,0.0
98,63.0,7.0,90.0,6.0,0.0
99,55.0,0.0,20.0,14.0,0.0
100,39.0,44.0,120.0,8.0,0.0
101,56.0,0.0,20.0,14.0,0.0
102,68.0,28.0,20.0,10.0,0.0
103,44.0,0.0,20.0,15.0,0.0
104,55.0,0.0,60.0,14.0,0.0
105,67.0,0.0,60.0,0.0,0.0
106,55.0,2.0,60.0,2.0,0.0
107,43.0,26.0,60.0,15.0,0.0
108,67.0,0.0,60.0,10.0,0.0
109,41.0,0.0,30.0,15.0,0.0
110,65.0,2.0,30.0,0.0,0.0
111,65.0,105.0,40.0,10.0,0.0
112,53.0,1.0,30.0,2.0,0.0
113,53.0,1.0,30.0,14.0,0.0
114,51.0,2.0,90.0,4.0,0.0
115,39.0,6.0,120.0,8.0,0.0
116,51.0,8.0,120.0,14.0,0.0
117,39.0,20.0,90.0,5.0,0.0
118,63.0,1.0,90.0,6.0,0.0
119,63.0,8.0,150.0,10.0,0.0
120,63.0,2.0,120.0,0.0,0.0
121,51.0,6.0,90.0,7.0,0.0
122,39.0,0.0,150.0,15.0,0.0
123,51.0,335.0,150.0,2.0,0.0
124,56.0,3.0,90.0,2.0,0.0
125,44.0,0.0,90.0,15.0,0.0
126,56.0,0.0,90.0,14.0,0.0
127,68.0,90.0,90.0,10.0,0.0
128,68.0,4.0,30.0,10.0,0.0
129,56.0,0.0,30.0,14.0,0.0
130,44.0,0.0,30.0,15.0,0.0
131,56.0,20.0,30.0,2.0,0.0
132,67.0,0.0,20.0,10.0,0.0
133,55.0,0.0,40.0,2.0,0.0
134,55.0,0.0,20.0,14.0,0.0
135,43.0,24.0,20.0,15.0,0.0
136,56.0,0.0,20.0,14.0,0.0
137,44.0,0.0,20.0,15.0,0.0
138,68.0,60.0,20.0,10.0,0.0
139,55.0,0.0,60.0,2.0,0.0
140,67.0,0.0,60.0,10.0,0.0
141,55.0,0.0,60.0,14.0,0.0
142,43.0,70.0,60.0,15.0,0.0
143,65.0,0.0,30.0,10.0,0.0
144,41.0,1.0,30.0,15.0,0.0
145,53.0,81.0,30.0,2.0,0.0
146,53.0,0.0,30.0,14.0,0.0
147,63.0,74.0,60.0,10.0,0.0
148,51.0,0.0,60.0,14.0,0.0
149,39.0,0.0,60.0,15.0,0.0
150,51.0,0.0,60.0,2.0,0.0
151,56.0,0.0,40.0,14.0,0.0
152,44.0,50.0,40.0,15.0,0.0
153,56.0,0.0,40.0,2.0,0.0
154,68.0,0.0,40.0,10.0,0.0
155,56.0,0.0,30.0,14.0,0.0
156,68.0,24.0,30.0,10.0,0.0
157,44.0,0.0,30.0,15.0,0.0
158,56.0,0.0,30.0,2.0,0.0
159,43.0,0.0,20.0,15.0,0.0
160,55.0,0.0,40.0,2.0,0.0
161,67.0,0.0,20.0,10.0,0.0
162,55.0,24.0,20.0,14.0,0.0
163,44.0,52.0,20.0,15.0,0.0
164,56.0,0.0,20.0,14.0,0.0
165,68.0,0.0,20.0,10.0,0.0
166,43.0,0.0,60.0,15.0,0.0
167,67.0,0.0,60.0,10.0,0.0
168,55.0,78.0,60.0,2.0,0.0
169,55.0,0.0,60.0,14.0,0.0
170,41.0,0.0,30.0,15.0,0.0
171,65.0,1.0,30.0,10.0,0.0
172,53.0,0.0,30.0,14.0,0.0
173,53.0,81.0,30.0,2.0,0.0
174,63.0,74.0,60.0,10.0,0.0
175,39.0,0.0,60.0,15.0,0.0
176,51.0,0.0,60.0,14.0,0.0
177,51.0,0.0,60.0,2.0,0.0
178,68.0,0.0,40.0,10.0,0.0
179,56.0,0.0,40.0,14.0,0.0
180,56.0,0.0,40.0,2.0,0.0
181,44.0,50.0,40.0,15.0,0.0
182,44.0,0.0,30.0,15.0,0.0
183,56.0,0.0,30.0,14.0,0.0
184,56.0,24.0,30.0,2.0,0.0
185,68.0,0.0,30.0,10.0,0.0
186,67.0,0.0,20.0,10.0,0.0
187,55.0,24.0,20.0,14.0,0.0
188,55.0,0.0,40.0,2.0,0.0
189,43.0,0.0,20.0,15.0,0.0
190,68.0,60.0,20.0,10.0,0.0
191,56.0,0.0,20.0,14.0,0.0
192,44.0,0.0,20.0,15.0,0.0
193,55.0,0.0,60.0,2.0,0.0
194,67.0,0.0,60.0,10.0,0.0
195,55.0,0.0,60.0,14.0,0.0
196,43.0,70.0,60.0,15.0,0.0
197,65.0,1.0,30.0,10.0,0.0
198,41.0,0.0,30.0,15.0,0.0
199,53.0,147.0,30.0,2.0,0.0
200,53.0,0.0,30.0,14.0,0.0
201,51.0,0.0,120.0,2.0,0.0
202,51.0,540.0,120.0,14.0,0.0
203,39.0,0.0,120.0,15.0,0.0
204,63.0,0.0,120.0,10.0,0.0
205,37.0,0.0,90.0,15.0,0.0
206,61.0,4.0,120.0,11.0,0.0
207,56.0,0.0,120.0,7.0,0.0
208,65.0,0.0,90.0,10.0,0.0
209,68.0,2.0,120.0,6.0,0.0
210,49.0,0.0,90.0,14.0,0.0
211,61.0,2.0,90.0,13.0,0.0
212,73.0,4.0,90.0,1.0,0.0
213,56.0,0.0,120.0,4.0,0.0
214,44.0,20.0,120.0,5.0,0.0
215,49.0,6.0,120.0,2.0,0.0
216,44.0,120.0,120.0,8.0,0.0
217,77.0,0.0,120.0,0.0,0.0
218,73.0,4.0,90.0,12.0,0.0
219,68.0,0.0,90.0,11.0,0.0
220,77.0,0.0,90.0,11.0,0.0
221,73.0,4.0,90.0,1.0,0.0
222,73.0,0.0,90.0,12.0,0.0
223,65.0,4.0,90.0,10.0,0.0
224,49.0,8.0,90.0,2.0,0.0
225,68.0,0.0,90.0,6.0,0.0
226,44.0,2.0,90.0,5.0,0.0
227,49.0,8.0,60.0,14.0,0.0
228,77.0,2.0,90.0,11.0,0.0
229,68.0,0.0,90.0,11.0,0.0
230,37.0,2.0,60.0,15.0,0.0
231,61.0,0.0,90.0,13.0,0.0
232,56.0,2.0,90.0,4.0,0.0
233,56.0,0.0,90.0,7.0,0.0
234,44.0,69.0,90.0,8.0,0.0
235,77.0,0.0,90.0,0.0,0.0
236,44.0,1.0,30.0,5.0,0.0
237,56.0,1.0,30.0,4.0,0.0
238,68.0,1.0,30.0,11.0,0.0
239,61.0,0.0,30.0,13.0,0.0
240,65.0,4.0,20.0,10.0,0.0
241,49.0,3.0,30.0,14.0,0.0
242,73.0,0.0,30.0,1.0,0.0
243,77.0,7.0,30.0,11.0,0.0
244,37.0,0.0,30.0,15.0,0.0
245,49.0,1.0,30.0,2.0,0.0
246,77.0,0.0,30.0,0.0,0.0
247,56.0,0.0,30.0,7.0,0.0
248,73.0,96.0,40.0,12.0,0.0
249,68.0,0.0,30.0,6.0,0.0
250,44.0,0.0,30.0,8.0,0.0
251,77.0,0.0,90.0,0.0,0.0
252,49.0,0.0,90.0,2.0,0.0
253,37.0,0.0,90.0,15.0,0.0
254,73.0,6.0,90.0,12.0,0.0
255,68.0,0.0,90.0,6.0,0.0
256,73.0,2.0,90.0,1.0,0.0
257,44.0,162.0,120.0,5.0,0.0
258,56.0,0.0,90.0,4.0,0.0
259,56.0,18.0,90.0,7.0,0.0
260,49.0,0.0,90.0,14.0,0.0
261,44.0,0.0,120.0,8.0,0.0
262,65.0,0.0,90.0,10.0,0.0
263,68.0,0.0,90.0,11.0,0.0
264,77.0,2.0,90.0,11.0,0.0
265,61.0,1.0,90.0,13.0,0.0
266,73.0,0.0,90.0,1.0,0.0
267,65.0,1.0,90.0,10.0,0.0
268,44.0,267.0,120.0,5.0,0.0
269,56.0,1.0,90.0,4.0,0.0
270,61.0,1.0,90.0,13.0,0.0
271,56.0,0.0,90.0,7.0,0.0
